Date	Price	Open	High	Low	Vol.	Change %
Jan 23, 2014	19.75	19.97	20.03	19.72	116.31K	1.28
Jan 22, 2014	19.50	19.59	19.64	19.50	66.17K	-0.71
Jan 21, 2014	19.64	19.57	19.67	19.50	128.95K	-1.85
Jan 17, 2014	20.01	19.93	20.15	19.93	78.12K	1.01
Jan 16, 2014	19.81	19.88	19.90	19.79	137.82K	-0.40
Jan 15, 2014	19.89	19.73	19.95	19.73	68.89K	-0.15
Jan 14, 2014	19.92	20.09	20.33	19.89	110.31K	-1.19
Jan 13, 2014	20.16	19.80	20.18	19.77	126.53K	1.51
Jan 10, 2014	19.86	19.87	19.98	19.75	106.93K	2.90
Jan 09, 2014	19.30	19.24	19.45	19.15	53.96K	0.00
Jan 08, 2014	19.30	19.16	19.35	19.08	83.93K	-1.58
Jan 07, 2014	19.61	19.46	19.63	19.40	78.61K	-1.56
Jan 06, 2014	19.92	19.90	20.08	19.81	117.21K	0.00
Jan 03, 2014	19.92	19.86	19.97	19.82	61.62K	1.01
Jan 02, 2014	19.72	19.85	19.94	19.70	126.90K	2.71
Dec 31, 2013	19.20	18.74	19.55	18.72	431.63K	-0.78
Dec 30, 2013	19.35	19.41	19.50	19.22	257.82K	-2.12
Dec 27, 2013	19.77	19.76	19.82	19.74	165.47K	1.38
Dec 26, 2013	19.50	19.73	19.73	19.50	107.27K	1.30
Dec 24, 2013	19.25	19.21	19.30	19.15	80.49K	0.36
Dec 23, 2013	19.18	19.18	19.26	19.12	205.54K	0.47
Dec 20, 2013	19.09	19.02	19.26	18.95	204.46K	0.74
Dec 19, 2013	18.95	19.00	19.03	18.90	215.28K	-2.42
Dec 18, 2013	19.42	19.73	20.00	19.42	174.68K	-1.07
Dec 17, 2013	19.63	19.63	19.85	19.56	160.71K	-0.30
Dec 16, 2013	19.69	19.44	20.03	19.39	131.70K	1.39
Dec 13, 2013	19.42	19.39	19.48	19.32	104.14K	0.73
Dec 12, 2013	19.28	19.32	19.33	19.20	113.07K	-3.79
Dec 11, 2013	20.04	20.16	20.20	20.00	129.70K	-0.60
Dec 10, 2013	20.16	20.14	20.16	20.00	131.59K	2.80
Dec 09, 2013	19.61	19.61	19.71	19.43	108.39K	1.82
Dec 06, 2013	19.26	19.29	19.38	19.16	142.23K	0.52
Dec 05, 2013	19.16	19.09	19.47	19.04	81.17K	-1.49
Dec 04, 2013	19.45	19.02	19.62	19.02	143.67K	3.07
Dec 03, 2013	18.87	18.82	18.96	18.75	225.09K	-0.26
Dec 02, 2013	18.92	19.42	19.42	18.90	244.34K	-4.06
Nov 29, 2013	19.72	19.68	19.83	19.68	53.61K	1.54
Nov 27, 2013	19.42	19.69	19.69	19.40	97.32K	-0.92
Nov 26, 2013	19.60	19.66	19.76	19.56	57.40K	-0.86
Nov 25, 2013	19.77	19.51	19.85	19.51	96.64K	0.76
Nov 22, 2013	19.62	19.75	19.75	19.58	74.59K	-0.51
Nov 21, 2013	19.72	19.55	19.79	19.48	138.58K	0.61
Nov 20, 2013	19.60	20.01	20.10	19.55	275.79K	-2.39
Nov 19, 2013	20.08	20.11	20.23	20.06	39.11K	-0.30
Nov 18, 2013	20.14	20.39	20.46	20.06	79.47K	-1.76
Nov 15, 2013	20.50	20.49	20.53	20.47	102.38K	-0.15
Nov 14, 2013	20.53	20.36	20.56	20.36	36.94K	1.23
Nov 13, 2013	20.28	20.44	20.47	20.20	75.99K	-0.98
Nov 12, 2013	20.48	20.91	20.97	20.33	114.80K	-2.98
Nov 11, 2013	21.11	21.04	21.14	21.02	59.18K	-0.52
Nov 08, 2013	21.22	21.21	21.22	21.01	123.25K	-0.52
Nov 07, 2013	21.33	21.34	21.43	21.29	29.82K	-0.88
Nov 06, 2013	21.52	21.60	21.63	21.49	55.59K	0.47
Nov 05, 2013	21.42	21.32	21.44	21.32	62.76K	0.33
Nov 04, 2013	21.35	21.52	21.56	21.34	169.72K	-1.16
Nov 01, 2013	21.60	21.57	21.66	21.51	118.32K	-0.14
Oct 31, 2013	21.63	21.77	21.84	21.59	99.22K	-3.48
Oct 30, 2013	22.41	22.74	22.78	22.17	204.94K	0.90
