Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,52.990002,53.779999,52.150002,53.619999,118800,53.619999
2016-01-21,53.360001,53.740002,51.810001,52.419998,369100,52.419998
2016-01-20,51.029999,53.82,50.099998,53.310001,279500,53.310001
2016-01-19,51.98,52.389999,51.130001,51.720001,295500,51.720001
2016-01-15,48.970001,51.09,48.009998,51.029999,153800,51.029999
2016-01-14,50.02,51.080002,48.860001,50.450001,139900,50.450001
2016-01-13,52.00,52.299999,49.560001,49.720001,135000,49.720001
2016-01-12,51.02,51.950001,50.740002,51.880001,113900,51.880001
2016-01-11,51.860001,52.369999,49.709999,50.73,184900,50.73
2016-01-08,53.060001,54.16,51.470001,51.540001,164500,51.540001
2016-01-07,53.970001,54.790001,52.82,53.080002,138000,53.080002
2016-01-06,54.450001,55.25,54.080002,55.009998,170300,55.009998
2016-01-05,54.439999,55.290001,54.099998,55.02,95100,55.02
2016-01-04,54.66,55.099998,53.049999,54.380001,206700,54.380001
2015-12-31,57.439999,57.470001,55.41,55.68,196100,55.68
2015-12-30,57.139999,58.150002,57.009998,57.880001,226300,57.880001
2015-12-29,56.459999,57.07,56.07,57.00,136300,57.00
2015-12-28,54.880001,56.529999,54.77,55.98,198400,55.98
2015-12-24,54.75,56.02,53.75,54.970001,89700,54.970001
2015-12-23,54.41,54.830002,53.900002,54.779999,135300,54.779999
2015-12-22,52.75,54.279999,52.389999,53.990002,160800,53.990002
2015-12-21,51.689999,53.209999,51.09,52.549999,175400,52.549999
2015-12-18,52.580002,52.900002,51.16,51.169998,371100,51.169998
2015-12-17,53.75,54.27,52.77,52.91,120100,52.91
2015-12-16,52.41,53.860001,52.41,53.540001,74200,53.540001
2015-12-15,53.290001,53.669998,51.959999,52.200001,160400,52.200001
2015-12-14,51.990002,55.130001,51.040001,53.009998,233800,53.009998
2015-12-11,52.810001,52.860001,51.450001,51.700001,121000,51.700001
2015-12-10,52.970001,54.209999,52.970001,53.59,72500,53.59
2015-12-09,54.099998,54.349998,52.709999,53.049999,66500,53.049999
2015-12-08,53.66,54.68,53.50,54.220001,52400,54.220001
2015-12-07,54.150002,54.509998,53.860001,54.200001,88400,54.200001
2015-12-04,53.919998,54.50,53.540001,54.290001,73400,54.290001
2015-12-03,54.029999,54.830002,52.259998,53.900002,192300,53.900002
2015-12-02,53.130001,54.16,52.720001,53.77,126600,53.77
2015-12-01,53.330002,53.93,52.43,53.09,122600,53.09
2015-11-30,53.549999,53.759998,52.880001,53.169998,94900,53.059999
2015-11-27,53.48,54.09,53.150002,53.380001,39100,53.269568
2015-11-25,53.50,53.759998,52.98,53.48,61700,53.369359
2015-11-24,54.57,54.889999,53.200001,53.50,206300,53.389318
2015-11-23,51.93,55.150002,51.93,54.919998,243400,54.806379
2015-11-20,51.540001,52.060001,51.279999,51.689999,111300,51.583061
2015-11-19,52.009998,52.459999,51.02,51.16,95900,51.054159
2015-11-18,52.52,52.52,51.66,52.220001,178400,52.111968
2015-11-17,51.939999,53.240002,51.450001,52.419998,140800,52.311551
2015-11-16,51.119999,51.950001,50.900002,51.759998,147700,51.652916
2015-11-13,51.220001,53.98,50.389999,51.029999,131000,50.924427
2015-11-12,53.25,53.75,51.099998,51.52,257900,51.413415
2015-11-11,53.00,54.98,53.00,53.240002,310600,53.129858
2015-11-10,52.080002,52.66,51.779999,52.619999,57000,52.511138
2015-11-09,52.799999,52.799999,51.490002,52.25,72500,52.141904
2015-11-06,52.59,53.07,51.650002,52.91,124600,52.800539
2015-11-05,52.00,53.049999,51.639999,52.869999,142700,52.760621
2015-11-04,51.529999,52.529999,51.459999,52.09,155300,51.982235
2015-11-03,51.200001,52.330002,50.75,51.540001,166900,51.433374
2015-11-02,50.169998,51.68,49.279999,51.470001,137400,51.363519
2015-10-30,51.450001,54.900002,50.02,50.209999,241000,50.106124
2015-10-29,53.490002,53.98,51.27,51.380001,313100,51.273705
2015-10-28,46.200001,54.040001,46.200001,53.490002,944600,53.379341
2015-10-27,43.189999,45.790001,43.02,43.360001,367800,43.270297
2015-10-26,43.00,43.34,42.139999,43.169998,242800,43.080687
2015-10-23,42.57,43.66,42.220001,43.07,338400,42.980896
2015-10-22,43.959999,44.200001,41.529999,42.060001,359100,41.972987
2015-10-21,43.810001,45.439999,43.00,43.880001,317200,43.789221
2015-10-20,46.00,46.639999,45.00,45.610001,152900,45.515642
2015-10-19,44.48,46.09,44.48,46.00,120000,45.904834
2015-10-16,44.68,45.73,44.490002,44.610001,151900,44.517711
2015-10-15,44.029999,44.880001,44.029999,44.77,184800,44.677379
2015-10-14,44.810001,45.16,43.93,44.07,124800,43.978827
2015-10-13,45.549999,45.919998,44.950001,44.959999,126500,44.866985
2015-10-12,46.07,46.490002,45.610001,45.66,115400,45.565538
2015-10-09,44.860001,46.299999,44.860001,46.25,139100,46.154317
2015-10-08,44.84,45.139999,44.23,44.810001,117800,44.717298
2015-10-07,44.650002,45.130001,43.759998,45.009998,156700,44.916881
2015-10-06,45.75,46.110001,44.16,44.25,108400,44.158455
2015-10-05,45.459999,46.060001,44.759998,45.689999,160200,45.595474
2015-10-02,42.919998,45.189999,42.919998,45.18,106600,45.086531
2015-10-01,44.07,44.189999,42.759998,43.52,199600,43.429966
2015-09-30,43.240002,44.43,43.240002,43.990002,214300,43.898994
2015-09-29,43.720001,44.34,42.549999,42.75,218700,42.661558
2015-09-28,46.380001,46.380001,43.549999,43.75,124700,43.659489
2015-09-25,47.330002,47.830002,46.060001,46.560001,193400,46.463677
2015-09-24,47.049999,47.34,46.57,46.869999,151500,46.773033
2015-09-23,47.02,47.43,46.700001,47.209999,178800,47.11233
2015-09-22,47.16,47.360001,46.610001,46.939999,138600,46.842888
2015-09-21,48.32,48.759998,47.299999,47.380001,152400,47.28198
2015-09-18,48.18,49.119999,47.77,48.220001,399000,48.120243
2015-09-17,47.84,49.119999,47.700001,48.849998,111000,48.748937
2015-09-16,48.91,49.060001,47.860001,47.959999,279600,47.860779
2015-09-15,48.639999,49.130001,48.169998,49.02,70600,48.918587
2015-09-14,48.830002,48.830002,48.360001,48.52,83600,48.419621
2015-09-11,48.220001,49.259998,48.150002,48.73,39500,48.629186
2015-09-10,48.369999,48.939999,48.279999,48.509998,51300,48.40964
2015-09-09,49.060001,49.060001,47.950001,48.43,131200,48.329807
2015-09-08,47.68,48.84,47.139999,48.740002,118300,48.639168
2015-09-04,46.580002,47.43,46.220001,47.099998,79800,47.002557
2015-09-03,47.349998,47.709999,47.049999,47.080002,72500,46.982602
2015-09-02,47.389999,47.50,46.68,47.419998,176500,47.321895
2015-09-01,46.139999,47.689999,45.73,47.07,260500,46.97262
2015-08-31,47.580002,48.369999,46.93,47.02,122400,46.812952
2015-08-28,46.919998,47.98,46.900002,47.889999,162900,47.67912
2015-08-27,47.189999,47.549999,46.580002,47.16,161300,46.952335
2015-08-26,47.240002,47.240002,46.080002,46.959999,162700,46.753215
2015-08-25,46.98,47.450001,46.009998,46.400002,191700,46.195683
2015-08-24,45.240002,47.169998,44.07,45.740002,204300,45.53859
2015-08-21,46.73,47.950001,46.639999,47.540001,195700,47.330663
2015-08-20,47.50,47.860001,47.09,47.299999,201000,47.091718
2015-08-19,47.669998,48.09,47.200001,47.57,155500,47.360529
2015-08-18,48.299999,48.459999,47.849998,47.93,134600,47.718945
2015-08-17,48.27,48.889999,47.43,48.279999,173500,48.067402
2015-08-14,47.709999,48.720001,47.709999,48.450001,126100,48.236655
2015-08-13,48.360001,48.580002,47.580002,47.91,130600,47.699032
2015-08-12,48.259998,48.759998,47.639999,48.27,166300,48.057448
2015-08-11,48.189999,48.990002,47.98,48.490002,210400,48.27648
2015-08-10,48.029999,49.349998,48.029999,48.740002,195100,48.525379
2015-08-07,48.490002,48.779999,47.509998,48.669998,209500,48.455684
2015-08-06,49.959999,49.959999,48.709999,48.799999,134100,48.585113
2015-08-05,49.639999,50.66,49.360001,49.77,324500,49.550843
2015-08-04,49.59,49.849998,49.09,49.349998,162500,49.13269
2015-08-03,49.860001,50.240002,49.200001,49.580002,175300,49.361681
2015-07-31,49.349998,50.529999,49.169998,50.060001,200300,49.839567
2015-07-30,48.610001,49.57,47.990002,49.200001,178100,48.983353
2015-07-29,48.439999,49.540001,48.220001,48.759998,126100,48.545288
2015-07-28,49.150002,49.810001,47.509998,48.330002,212300,48.117185
2015-07-27,49.009998,49.50,48.02,49.09,311000,48.873837
2015-07-24,51.00,52.080002,47.27,48.830002,907500,48.614983
2015-07-23,56.259998,56.790001,55.279999,55.66,369500,55.414906
2015-07-22,55.639999,56.779999,55.27,56.75,185800,56.500106
2015-07-21,53.810001,55.939999,53.669998,55.93,128900,55.683717
2015-07-20,54.349998,54.759998,53.48,54.029999,184000,53.792082
2015-07-17,54.240002,54.830002,53.580002,54.41,176600,54.17041
2015-07-16,54.369999,54.439999,53.849998,54.139999,92000,53.901599
2015-07-15,53.91,54.490002,53.779999,54.00,90600,53.762216
2015-07-14,53.799999,54.27,53.610001,53.990002,55000,53.752261
2015-07-13,53.529999,54.130001,53.00,53.82,95900,53.583008
2015-07-10,50.959999,53.549999,50.91,53.470001,161800,53.234551
2015-07-09,50.43,51.00,50.099998,50.50,110400,50.277628
2015-07-08,50.93,51.009998,49.66,50.049999,174000,49.829608
2015-07-07,51.049999,51.549999,50.23,51.259998,86300,51.034279
2015-07-06,50.209999,51.34,49.91,51.23,106800,51.004413
2015-07-02,52.029999,52.060001,50.450001,50.48,97300,50.257715
2015-07-01,51.84,52.110001,50.950001,52.02,199900,51.790935
2015-06-30,51.349998,51.91,50.950001,51.48,94500,51.253312
2015-06-29,51.950001,52.41,51.099998,51.169998,87000,50.944676
2015-06-26,52.669998,52.790001,51.669998,52.080002,165600,51.850672
2015-06-25,51.619999,52.779999,51.299999,52.580002,128900,52.34847
2015-06-24,52.419998,52.610001,51.389999,51.439999,132400,51.213487
2015-06-23,53.009998,53.450001,52.43,52.459999,129400,52.228996
2015-06-22,52.25,53.369999,52.009998,53.130001,391800,52.896048
2015-06-19,52.209999,52.209999,51.779999,51.990002,127800,51.761068
2015-06-18,51.779999,52.369999,51.66,52.049999,241900,51.820802
2015-06-17,51.73,52.360001,51.619999,51.759998,105300,51.532078
2015-06-16,51.00,51.759998,51.00,51.50,156400,51.273224
2015-06-15,51.25,51.389999,50.52,51.16,124100,50.934721
2015-06-12,51.48,51.84,51.27,51.360001,92600,51.133841
2015-06-11,51.48,51.77,51.00,51.57,106100,51.342916
2015-06-10,51.66,51.990002,51.02,51.52,176300,51.293137
2015-06-09,52.41,52.41,51.459999,51.540001,101700,51.313049
2015-06-08,52.880001,53.259998,52.259998,52.290001,136600,52.059746
2015-06-05,52.82,53.049999,52.18,53.040001,213000,52.806444
2015-06-04,52.889999,53.16,52.639999,52.799999,161700,52.567499
2015-06-03,52.91,53.630001,52.779999,53.119999,235000,52.88609
2015-06-02,52.849998,53.139999,52.529999,52.93,322100,52.696928
2015-06-01,53.00,53.439999,52.529999,52.990002,230500,52.647149
2015-05-29,52.799999,53.400002,52.52,53.110001,181200,52.766371
2015-05-28,53.220001,53.439999,52.650002,52.790001,220700,52.448442
2015-05-27,53.389999,53.630001,52.740002,53.419998,87400,53.074363
2015-05-26,52.50,53.599998,52.48,53.330002,141500,52.984949
2015-05-22,52.939999,53.209999,52.259998,52.689999,81600,52.349087
2015-05-21,52.639999,53.490002,52.580002,53.049999,93800,52.706758
2015-05-20,52.990002,53.040001,52.349998,52.619999,98500,52.27954
2015-05-19,53.18,53.400002,52.82,52.860001,81100,52.517989
2015-05-18,52.540001,53.790001,52.509998,53.25,91200,52.905465
2015-05-15,52.810001,53.049999,52.310001,52.740002,98000,52.398766
2015-05-14,52.450001,53.299999,51.77,52.75,87300,52.4087
2015-05-13,52.060001,52.740002,51.360001,52.150002,133800,51.812584
2015-05-12,53.189999,53.189999,52.049999,52.09,235300,51.75297
2015-05-11,54.139999,54.759998,53.02,53.23,318600,52.885594
2015-05-08,55.00,55.799999,53.950001,54.259998,196200,53.908928
2015-05-07,52.610001,54.630001,52.16,54.529999,196800,54.177182
2015-05-06,53.360001,53.470001,52.02,52.740002,294700,52.398766
2015-05-05,55.02,55.240002,53.080002,53.150002,262200,52.806113
2015-05-04,55.48,56.349998,55.00,55.080002,312200,54.723626
2015-05-01,62.00,62.860001,55.00,55.48,1176200,55.121036
2015-04-30,64.00,64.650002,63.880001,64.00,310400,63.585911
2015-04-29,64.559998,64.739998,63.459999,64.099998,157000,63.685262
2015-04-28,62.84,64.660004,62.209999,64.559998,238500,64.142285
2015-04-27,63.41,64.169998,62.200001,62.48,107100,62.075745
2015-04-24,63.57,63.91,63.299999,63.619999,79200,63.208368
2015-04-23,63.259998,63.919998,62.98,63.310001,94000,62.900377
2015-04-22,63.369999,63.50,62.549999,63.25,58700,62.840763
2015-04-21,62.919998,63.50,62.919998,63.34,96000,62.930181
2015-04-20,62.48,63.98,62.299999,63.009998,118800,62.602315
2015-04-17,63.360001,63.41,62.23,62.290001,83600,61.886976
2015-04-16,63.91,64.25,63.259998,63.779999,54900,63.367333
2015-04-15,64.389999,64.949997,63.830002,63.869999,86100,63.456751
2015-04-14,64.559998,64.639999,63.810001,64.400002,143300,63.983324
2015-04-13,64.019997,64.480003,63.950001,64.290001,60400,63.874035
2015-04-10,63.919998,64.480003,63.50,63.93,68100,63.516364
2015-04-09,63.25,63.919998,62.740002,63.540001,98400,63.128888
2015-04-08,62.32,63.610001,62.00,63.119999,102900,62.711603
2015-04-07,62.43,63.41,62.130001,62.200001,85700,61.797558
2015-04-06,62.939999,63.119999,62.139999,62.279999,130100,61.877038
2015-04-02,64.089996,64.120003,63.02,63.099998,115800,62.691732
2015-04-01,63.919998,64.019997,62.52,63.84,119900,63.426946
2015-03-31,66.059998,66.519997,63.849998,64.110001,121700,63.6952
2015-03-30,64.690002,66.889999,64.410004,66.540001,142500,66.109478
2015-03-27,64.18,64.779999,63.32,64.400002,83800,63.983324
2015-03-26,64.300003,65.279999,63.419998,64.230003,157700,63.814426
2015-03-25,64.400002,64.529999,63.540001,64.50,209900,64.082676
2015-03-24,63.779999,64.82,63.439999,64.370003,73500,63.95352
2015-03-23,65.769997,65.830002,63.110001,63.810001,156900,63.397141
2015-03-20,65.00,65.839996,64.900002,65.610001,215600,65.185494
2015-03-19,63.23,64.50,63.040001,64.279999,92600,63.864098
2015-03-18,64.00,64.279999,63.009998,63.18,149600,62.771217
2015-03-17,63.619999,64.57,63.419998,64.139999,141100,63.725004
2015-03-16,63.419998,64.919998,63.25,63.93,94200,63.516364
2015-03-13,62.950001,63.52,62.060001,62.880001,81200,62.473158
2015-03-12,62.32,63.25,62.139999,62.98,135200,62.57251
2015-03-11,62.41,62.82,61.630001,61.98,147400,61.57898
2015-03-10,62.689999,63.400002,62.18,62.279999,191700,61.877038
2015-03-09,62.540001,63.59,62.02,63.34,196300,62.930181
2015-03-06,61.950001,62.57,61.50,62.389999,176000,61.986327
2015-03-05,62.439999,62.639999,61.98,62.150002,131600,61.747882
2015-03-04,61.790001,62.619999,61.119999,62.110001,134600,61.70814
2015-03-03,62.650002,62.650002,61.209999,61.790001,121000,61.390211
2015-03-02,61.00,63.00,60.75,62.549999,159300,62.145292
2015-02-27,61.139999,61.93,60.919998,60.919998,123300,60.525837
2015-02-26,61.740002,61.740002,60.98,61.459999,90600,60.962992
2015-02-25,60.880001,61.959999,60.43,61.919998,110500,61.419271
2015-02-24,62.25,62.25,60.889999,60.919998,134200,60.427358
2015-02-23,59.970001,62.049999,59.59,62.029999,195000,61.528382
2015-02-20,60.09,60.75,59.099998,60.169998,189000,59.683423
2015-02-19,60.540001,61.189999,60.290001,60.330002,123900,59.842132
2015-02-18,60.900002,61.360001,60.450001,60.560001,248700,60.070272
2015-02-17,61.189999,61.330002,60.790001,61.110001,134000,60.615824
2015-02-13,60.41,61.450001,59.639999,60.93,165200,60.437279
2015-02-12,58.849998,60.509998,58.50,60.279999,123800,59.792534
2015-02-11,59.330002,59.599998,58.099998,58.470001,123500,57.997173
2015-02-10,60.200001,60.419998,59.299999,59.48,181200,58.999004
2015-02-09,60.50,61.509998,59.610001,59.740002,231000,59.256903
2015-02-06,58.84,59.41,58.220001,59.130001,251100,58.651836
2015-02-05,58.75,59.360001,58.68,58.919998,254700,58.443531
2015-02-04,59.07,59.279999,58.16,58.43,301100,57.957496
2015-02-03,61.349998,61.529999,59.310001,59.470001,244800,58.989086
2015-02-02,61.700001,62.330002,60.369999,61.07,329600,60.576146
2015-01-30,63.25,66.050003,60.66,61.48,779900,60.98283
2015-01-29,59.82,60.450001,58.84,59.73,315300,59.246982
2015-01-28,60.650002,60.990002,59.82,59.939999,467700,59.455283
2015-01-27,59.290001,60.619999,58.490002,60.509998,283400,60.020673
2015-01-26,59.830002,60.310001,59.02,59.68,142900,59.197387
2015-01-23,59.290001,60.169998,58.560001,59.900002,262400,59.415609
2015-01-22,59.529999,60.380001,58.720001,59.400002,551400,58.919653
2015-01-21,60.130001,61.00,58.869999,59.099998,170900,58.622076
2015-01-20,59.610001,60.900002,58.810001,60.27,244400,59.782616
2015-01-16,56.439999,59.57,56.23,59.419998,255300,58.939488
2015-01-15,57.990002,58.299999,56.23,56.650002,148300,56.191891
2015-01-14,56.369999,58.650002,56.369999,57.759998,208400,57.292912
2015-01-13,57.669998,58.689999,56.099998,57.16,202500,56.697765
2015-01-12,57.380001,58.209999,57.16,57.200001,270900,56.737443
2015-01-09,58.419998,58.709999,56.779999,57.119999,220200,56.658088
2015-01-08,57.689999,59.18,57.150002,58.459999,216300,57.987252
2015-01-07,57.290001,57.779999,56.349998,57.099998,219400,56.638249
2015-01-06,57.619999,58.07,56.41,57.110001,220200,56.64817
2015-01-05,57.52,58.259998,57.169998,57.560001,211400,57.094532
2015-01-02,57.310001,58.25,56.650002,57.709999,197400,57.243317
2014-12-31,58.099998,59.049999,56.720001,56.830002,130700,56.370436
2014-12-30,57.84,58.459999,57.150002,57.93,144800,57.461539
2014-12-29,58.66,59.09,57.209999,57.880001,107100,57.411944
2014-12-26,58.459999,59.25,58.029999,58.509998,74700,58.036847
2014-12-24,58.259998,59.349998,58.040001,58.48,80800,58.00709
2014-12-23,59.50,60.049999,57.849998,58.259998,160800,57.788868
2014-12-22,59.709999,60.939999,59.119999,59.240002,171000,58.760947
2014-12-19,59.66,59.889999,58.810001,59.810001,401800,59.326337
2014-12-18,59.50,59.759998,57.630001,59.73,228600,59.246982
2014-12-17,56.790001,58.970001,56.330002,58.759998,144900,58.284825
2014-12-16,56.029999,57.889999,55.68,56.689999,186400,56.231565
2014-12-15,57.57,58.00,55.040001,56.220001,175900,55.765368
2014-12-12,56.009998,57.560001,55.889999,57.200001,115800,56.737443
2014-12-11,55.779999,56.799999,55.279999,56.59,152100,56.132375
2014-12-10,57.189999,57.389999,55.400002,55.599998,110700,55.150379
2014-12-09,55.900002,57.52,55.900002,57.360001,160300,56.896149
2014-12-08,57.259998,58.060001,56.439999,56.639999,143900,56.18197
2014-12-05,57.299999,58.060001,56.880001,57.50,142500,57.035016
2014-12-04,57.900002,58.610001,56.889999,57.259998,191300,56.796955
2014-12-03,57.119999,58.16,56.200001,58.060001,188400,57.590489
2014-12-02,56.16,57.509998,55.73,57.16,117800,56.697765
2014-12-01,57.509998,57.889999,56.060001,56.18,189200,55.725691
2014-11-28,56.939999,58.240002,56.50,57.400002,120600,56.935826
2014-11-26,56.91,57.52,56.82,57.200001,239700,56.737443
2014-11-25,55.91,57.290001,55.549999,56.880001,295900,56.420031
2014-11-24,54.049999,55.380001,53.709999,55.330002,121400,54.882566
2014-11-21,53.830002,54.91,53.650002,53.799999,177900,53.364936
2014-11-20,53.759998,53.779999,52.470001,53.240002,173600,52.809467
2014-11-19,54.450001,54.450001,53.779999,54.07,143200,53.632753
2014-11-18,54.630001,55.240002,54.380001,54.610001,114700,54.168387
2014-11-17,54.630001,55.560001,54.389999,54.66,168500,54.217982
2014-11-14,55.040001,55.849998,54.549999,54.799999,227100,54.356849
2014-11-13,54.049999,55.52,54.049999,55.009998,199700,54.56515
2014-11-12,53.490002,54.240002,52.740002,54.200001,144300,53.662511
2014-11-11,52.91,53.98,52.200001,53.50,186900,52.969452
2014-11-10,51.720001,52.959999,51.389999,52.939999,108200,52.415004
2014-11-07,53.900002,54.060001,51.52,51.630001,245800,51.117998
2014-11-06,54.310001,54.709999,53.57,53.84,162600,53.306081
2014-11-05,53.720001,54.48,53.259998,54.450001,197100,53.910032
2014-11-04,52.860001,53.880001,52.779999,53.380001,173500,52.850643
2014-11-03,52.919998,53.48,51.98,52.950001,287100,52.424907
2014-10-31,52.00,52.98,51.759998,52.66,347500,52.137782
2014-10-30,49.41,51.77,48.630001,51.529999,372400,51.018987
2014-10-29,50.18,50.59,49.02,49.639999,121600,49.14773
2014-10-28,49.09,50.459999,48.759998,50.009998,234900,49.51406
2014-10-27,49.00,49.369999,48.34,48.950001,299100,48.464574
2014-10-24,50.369999,50.50,49.00,49.07,366000,48.583383
2014-10-23,51.349998,51.860001,50.43,50.50,248000,49.999202
2014-10-22,49.549999,52.50,49.439999,51.110001,451100,50.603154
2014-10-21,48.740002,49.639999,48.09,49.360001,192600,48.870508
2014-10-20,47.790001,48.82,47.790001,48.25,154300,47.771515
2014-10-17,48.75,48.849998,47.490002,47.830002,118800,47.355682
2014-10-16,47.48,48.98,47.48,48.099998,265900,47.623001
2014-10-15,47.34,48.43,46.869999,48.07,144800,47.5933
2014-10-14,47.779999,48.68,47.48,47.869999,203000,47.395283
2014-10-13,47.580002,47.959999,47.27,47.349998,199800,46.880439
2014-10-10,47.389999,48.419998,47.25,47.279999,131500,46.811133
2014-10-09,48.029999,48.139999,47.040001,47.639999,245400,47.167564
2014-10-08,47.389999,47.919998,46.880001,47.869999,224500,47.395283
2014-10-07,49.57,50.049999,47.41,47.57,430300,47.098258
2014-10-06,50.919998,51.400002,49.639999,49.689999,251700,49.197234
2014-10-03,52.049999,52.299999,50.799999,50.959999,446500,50.45464
2014-10-02,51.209999,51.630001,50.869999,51.439999,257700,50.929879
2014-10-01,50.849998,51.57,50.150002,51.349998,188000,50.840772
2014-09-30,50.50,51.040001,50.00,50.709999,228300,50.207119
2014-09-29,50.470001,50.880001,50.009998,50.610001,206800,50.108112
