Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.280001,19.459999,19.280001,19.42,3400,19.42
2016-01-21,18.530001,18.98,18.530001,18.889999,24500,18.889999
2016-01-20,18.809999,18.809999,18.280001,18.709999,147200,18.709999
2016-01-19,19.280001,19.280001,18.91,19.09,76400,19.09
2016-01-15,19.07,19.07,18.85,18.93,22800,18.93
2016-01-14,19.41,19.73,19.41,19.719999,14400,19.719999
2016-01-13,19.40,19.40,19.24,19.280001,11100,19.280001
2016-01-12,19.67,19.67,19.51,19.620001,4900,19.620001
2016-01-11,19.60,19.629999,19.370001,19.48,82400,19.48
2016-01-08,19.65,19.65,19.459999,19.459999,20700,19.459999
2016-01-07,19.93,19.93,19.700001,19.77,91500,19.77
2016-01-06,20.18,20.280001,20.15,20.24,34400,20.24
2016-01-05,20.639999,20.639999,20.49,20.58,10900,20.58
2016-01-04,20.49,20.57,20.360001,20.51,21800,20.51
2015-12-31,21.00,21.030001,20.889999,20.940001,15000,20.940001
2015-12-30,21.24,21.24,21.110001,21.17,18000,21.17
2015-12-29,21.16,21.33,21.16,21.33,44300,21.33
2015-12-28,21.16,21.16,21.01,21.049999,93000,21.049999
2015-12-24,21.200001,21.24,21.16,21.24,24400,21.24
2015-12-23,20.98,21.209999,20.98,21.18,17000,21.18
2015-12-22,20.639999,20.74,20.60,20.73,4100,20.73
2015-12-21,20.790001,20.790001,20.540001,20.559999,23800,20.559999
2015-12-18,20.719999,20.719999,20.459999,20.459999,18000,20.459999
2015-12-17,21.16,21.18,20.92,20.98,50700,20.746999
2015-12-16,21.059999,21.34,20.959999,21.190001,63400,20.954668
2015-12-15,20.799999,20.940001,20.799999,20.90,10800,20.667888
2015-12-14,20.85,20.85,20.469999,20.73,35600,20.499776
2015-12-11,20.809999,20.889999,20.66,20.76,95800,20.529443
2015-12-10,21.290001,21.290001,21.129999,21.17,7600,20.93489
2015-12-09,21.24,21.24,21.01,21.18,10500,20.944779
2015-12-08,21.16,21.16,21.00,21.139999,36800,20.905222
2015-12-07,21.459999,21.459999,21.379999,21.389999,10700,21.152446
2015-12-04,21.469999,21.68,21.43,21.629999,8000,21.38978
2015-12-03,21.610001,21.610001,21.389999,21.59,22700,21.350225
2015-12-02,21.809999,21.90,21.629999,21.690001,16900,21.449115
2015-12-01,21.799999,21.860001,21.799999,21.799999,6500,21.557892
2015-11-30,21.700001,21.719999,21.67,21.700001,3000,21.459004
2015-11-27,21.809999,21.84,21.73,21.75,45100,21.508448
2015-11-25,21.700001,21.82,21.700001,21.709999,4300,21.468891
2015-11-24,21.57,21.76,21.57,21.74,45500,21.498559
2015-11-23,21.73,21.85,21.73,21.74,3500,21.498559
2015-11-20,22.120001,22.120001,21.90,21.90,7200,21.656782
2015-11-19,22.00,22.07,21.98,22.02,1400,21.77545
2015-11-18,21.73,21.85,21.700001,21.84,8700,21.597449
2015-11-17,21.74,21.74,21.68,21.68,1100,21.439226
2015-11-16,21.41,21.540001,21.33,21.540001,5100,21.300781
2015-11-13,21.25,21.440001,21.25,21.34,8100,21.103002
2015-11-12,21.610001,21.610001,21.469999,21.469999,15100,21.231557
2015-11-11,21.940001,21.940001,21.799999,21.870001,4000,21.627116
2015-11-10,21.719999,21.799999,21.639999,21.799999,3200,21.557892
2015-11-09,21.84,21.84,21.67,21.75,19500,21.508448
2015-11-06,21.99,21.99,21.799999,21.870001,6700,21.627116
2015-11-05,22.139999,22.209999,22.040001,22.18,3900,21.933673
2015-11-04,22.309999,22.33,22.17,22.17,1300,21.923784
2015-11-03,22.08,22.25,22.08,22.25,5400,22.002895
2015-11-02,22.24,22.280001,22.139999,22.27,14300,22.022673
2015-10-30,22.139999,22.16,22.08,22.120001,2000,21.87434
2015-10-29,22.08,22.10,22.059999,22.08,1600,21.834783
2015-10-28,22.129999,22.34,22.110001,22.33,5500,22.082007
2015-10-27,22.200001,22.200001,22.040001,22.120001,5100,21.87434
2015-10-26,22.440001,22.440001,22.280001,22.290001,1600,22.042452
2015-10-23,22.40,22.49,22.34,22.49,1300,22.24023
2015-10-22,22.190001,22.280001,22.15,22.280001,35700,22.032563
2015-10-21,22.120001,22.200001,22.030001,22.030001,16600,21.785339
2015-10-20,22.17,22.17,22.00,22.08,5600,21.834783
2015-10-19,22.10,22.17,22.10,22.17,1300,21.923784
2015-10-16,22.219999,22.32,22.219999,22.25,13700,22.002895
2015-10-15,21.99,22.209999,21.99,22.190001,6800,21.943562
2015-10-14,21.709999,21.85,21.68,21.780001,38200,21.538116
2015-10-13,21.790001,21.84,21.639999,21.66,4500,21.419447
2015-10-12,22.08,22.08,21.98,21.99,21600,21.745782
2015-10-09,22.219999,22.219999,22.01,22.049999,6100,21.805116
2015-10-08,21.77,22.040001,21.77,22.02,6300,21.77545
2015-10-07,21.84,21.950001,21.82,21.85,7900,21.607338
2015-10-06,21.65,21.73,21.65,21.700001,2200,21.459004
2015-10-05,21.459999,21.629999,21.459999,21.59,54800,21.350225
2015-10-02,20.690001,21.299999,20.690001,21.299999,24200,21.063445
2015-10-01,20.690001,20.74,20.57,20.709999,5400,20.479997
2015-09-30,20.620001,20.700001,20.58,20.700001,12300,20.47011
2015-09-29,20.280001,20.379999,20.190001,20.190001,2600,19.965774
2015-09-28,20.68,20.68,20.24,20.34,9900,20.114107
2015-09-25,21.059999,21.08,20.959999,21.02,2800,20.786556
2015-09-24,20.58,20.58,20.549999,20.549999,1900,20.321774
2015-09-23,20.99,21.00,20.75,20.76,5600,20.529443
2015-09-22,21.040001,21.040001,20.73,20.860001,4600,20.628333
2015-09-21,21.629999,21.629999,21.290001,21.379999,5700,21.142556
2015-09-18,21.58,21.639999,21.450001,21.49,22000,21.251335
2015-09-17,22.01,22.190001,22.01,22.110001,800,21.661728
2015-09-16,22.08,22.190001,22.08,22.190001,5500,21.740106
2015-09-15,21.709999,21.719999,21.709999,21.719999,4000,21.279634
2015-09-14,21.66,21.66,21.530001,21.549999,5600,21.113081
2015-09-11,21.98,21.98,21.639999,21.76,7500,21.318824
2015-09-10,21.790001,21.889999,21.68,21.889999,15600,21.446188
2015-09-09,22.16,22.16,21.74,21.74,18900,21.299229
2015-09-08,21.76,21.83,21.68,21.799999,3700,21.358012
2015-09-04,21.34,21.34,21.16,21.24,2500,20.809366
2015-09-03,21.809999,21.809999,21.700001,21.700001,67100,21.260041
2015-09-02,21.68,21.709999,21.49,21.709999,33300,21.269837
2015-09-01,21.27,21.549999,21.219999,21.379999,74000,20.946527
2015-08-31,21.889999,22.09,21.889999,22.08,9900,21.632336
2015-08-28,22.059999,22.23,22.059999,22.16,14100,21.710714
2015-08-27,21.879999,22.200001,21.879999,22.129999,11000,21.681321
2015-08-26,21.940001,21.940001,21.299999,21.690001,10100,21.250244
2015-08-25,21.93,22.040001,21.34,21.34,6500,20.907339
2015-08-24,20.50,21.73,20.200001,21.24,27700,20.809366
2015-08-21,22.59,22.59,22.040001,22.120001,7600,21.671526
2015-08-20,22.959999,22.959999,22.77,22.77,3400,22.308347
2015-08-19,23.26,23.26,23.129999,23.129999,1600,22.661047
2015-08-18,23.42,23.440001,23.370001,23.370001,1600,22.896183
2015-08-17,23.379999,23.50,23.379999,23.50,4700,23.023546
2015-08-14,23.440001,23.440001,23.440001,23.440001,1200,22.964763
2015-08-13,23.65,23.65,23.540001,23.540001,3700,23.062736
2015-08-12,23.40,23.719999,23.370001,23.639999,5600,23.160707
2015-08-11,23.870001,23.870001,23.719999,23.84,12100,23.356653
2015-08-10,24.01,24.10,23.98,24.10,22000,23.611382
2015-08-07,23.690001,23.84,23.690001,23.76,3600,23.278275
2015-08-06,23.98,23.98,23.870001,23.91,2800,23.425233
2015-08-05,23.950001,24.02,23.940001,23.959999,8700,23.474219
2015-08-04,23.84,23.92,23.82,23.82,5500,23.337058
2015-08-03,24.10,24.10,23.809999,23.870001,4700,23.386045
2015-07-31,24.030001,24.10,23.860001,24.040001,4500,23.552599
2015-07-30,23.90,23.92,23.709999,23.92,3000,23.435031
2015-07-29,23.709999,23.860001,23.709999,23.790001,11400,23.307667
2015-07-28,23.50,23.709999,23.50,23.66,3200,23.180302
2015-07-27,23.52,23.52,23.33,23.35,7200,22.876588
2015-07-24,23.60,23.780001,23.59,23.59,2400,23.111721
2015-07-23,23.77,23.799999,23.67,23.67,11800,23.190099
2015-07-22,23.84,23.84,23.76,23.77,1900,23.288072
2015-07-21,24.02,24.030001,23.940001,23.940001,1200,23.454626
2015-07-20,24.120001,24.16,24.10,24.10,3600,23.611382
2015-07-17,24.030001,24.10,23.99,24.040001,6700,23.552599
2015-07-16,24.25,24.25,24.09,24.209999,3900,23.71915
2015-07-15,24.09,24.09,23.91,23.950001,4600,23.464423
2015-07-14,23.85,24.040001,23.85,24.02,3200,23.533004
2015-07-13,23.77,23.83,23.74,23.82,5000,23.337058
2015-07-10,23.65,23.700001,23.540001,23.700001,6700,23.219492
2015-07-09,23.07,23.07,22.889999,22.889999,3500,22.425913
2015-07-08,22.790001,22.790001,22.620001,22.639999,10200,22.180982
2015-07-07,22.799999,23.07,22.610001,23.07,5900,22.602264
2015-07-06,23.129999,23.16,23.00,23.030001,6000,22.563076
2015-07-02,23.49,23.58,23.49,23.58,12800,23.101924
2015-07-01,23.48,23.50,23.41,23.41,1900,22.935371
2015-06-30,23.76,23.76,23.25,23.34,7700,22.86679
2015-06-29,23.780001,23.780001,23.49,23.60,4700,23.121519
2015-06-26,24.07,24.18,24.07,24.18,1500,23.68976
2015-06-25,24.219999,24.32,24.200001,24.23,10400,23.738745
2015-06-24,24.40,24.40,24.27,24.27,2400,23.777935
2015-06-23,24.48,24.48,24.34,24.34,700,23.846515
2015-06-22,24.25,24.440001,24.25,24.309999,2400,23.817123
2015-06-19,24.040001,24.040001,23.85,23.889999,1100,23.405638
2015-06-18,24.15,24.280001,24.040001,24.190001,5000,23.447766
2015-06-17,23.84,24.059999,23.84,24.059999,2900,23.321754
2015-06-16,23.93,24.02,23.93,23.99,1800,23.253902
2015-06-15,23.91,23.959999,23.860001,23.959999,7800,23.224822
2015-06-12,24.18,24.209999,24.07,24.200001,10800,23.45746
2015-06-11,24.309999,24.41,24.309999,24.34,3200,23.593163
2015-06-10,24.110001,24.379999,24.110001,24.35,9600,23.602857
2015-06-09,23.83,23.889999,23.75,23.870001,5800,23.137585
2015-06-08,24.030001,24.030001,23.84,23.92,5000,23.18605
2015-06-05,24.059999,24.059999,23.85,23.99,2700,23.253902
2015-06-04,24.40,24.40,24.16,24.219999,6000,23.476845
2015-06-03,24.50,24.559999,24.49,24.49,900,23.73856
2015-06-02,24.459999,24.459999,24.35,24.379999,11000,23.631935
2015-06-01,24.139999,24.26,24.129999,24.139999,7000,23.399299
2015-05-29,24.549999,24.549999,24.25,24.309999,3900,23.564083
