Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,24.93,25.00,24.83,24.98,11000,24.98
2016-01-21,25.110001,25.110001,24.66,24.76,24200,24.76
2016-01-20,24.75,24.75,24.40,24.73,42500,24.73
2016-01-19,25.459999,25.459999,24.91,25.00,29000,25.00
2016-01-15,25.01,25.120001,24.780001,25.120001,22700,25.120001
2016-01-14,24.879999,25.15,24.870001,25.07,24300,25.07
2016-01-13,25.15,25.15,24.620001,25.049999,31900,25.049999
2016-01-12,25.049999,25.18,25.01,25.15,10400,25.15
2016-01-11,25.07,25.25,25.059999,25.059999,10900,25.059999
2016-01-08,25.110001,25.15,25.059999,25.110001,4600,25.110001
2016-01-07,25.23,25.360001,25.17,25.17,4400,25.17
2016-01-06,25.299999,25.49,25.299999,25.469999,5800,25.469999
2016-01-05,25.40,25.620001,25.35,25.50,11000,25.50
2016-01-04,25.299999,26.09,25.27,25.49,12500,25.49
2015-12-31,25.299999,25.440001,25.299999,25.35,4400,25.35
2015-12-30,25.299999,25.379999,25.299999,25.299999,6400,25.299999
2015-12-29,25.51,25.52,25.299999,25.309999,12700,25.309999
2015-12-28,25.629999,25.879999,25.629999,25.700001,7500,25.200001
2015-12-24,25.549999,25.719999,25.40,25.639999,10900,25.141167
2015-12-23,25.780001,25.99,25.40,25.889999,17300,25.386303
2015-12-22,25.32,25.780001,24.879999,25.629999,15700,25.131361
2015-12-21,25.209999,25.58,25.10,25.389999,13200,24.896031
2015-12-18,25.18,25.35,25.10,25.24,22300,24.748949
2015-12-17,24.49,25.17,24.26,25.049999,17600,24.562645
2015-12-16,24.08,24.43,24.08,24.43,37600,23.954708
2015-12-15,23.629999,24.309999,23.629999,24.00,70100,23.533074
2015-12-14,24.90,24.90,23.91,24.049999,64800,23.5821
2015-12-11,25.120001,25.23,24.91,24.92,16100,24.435175
2015-12-10,25.17,25.209999,25.139999,25.17,7500,24.680311
2015-12-09,25.280001,25.299999,24.75,25.110001,24200,24.621479
2015-12-08,25.51,25.65,25.16,25.309999,23000,24.817587
2015-12-07,25.73,25.73,25.51,25.68,4100,25.180389
2015-12-04,25.950001,25.950001,25.67,25.709999,6300,25.209805
2015-12-03,25.98,25.98,25.799999,25.940001,3800,25.435331
2015-12-02,25.82,25.959999,25.82,25.93,2700,25.425526
2015-12-01,26.08,26.08,25.66,25.870001,11300,25.366693
2015-11-30,25.879999,26.02,25.879999,25.92,3200,25.41572
2015-11-27,26.030001,26.08,26.01,26.08,2200,25.572607
2015-11-25,25.719999,26.059999,25.629999,26.00,5000,25.494163
2015-11-24,25.65,25.879999,25.59,25.860001,4600,25.356888
2015-11-23,25.65,25.75,25.629999,25.700001,3300,25.200001
2015-11-20,25.780001,25.879999,25.540001,25.65,12600,25.150972
2015-11-19,25.98,25.98,25.700001,25.700001,5200,25.200001
2015-11-18,25.959999,26.040001,25.90,25.92,3900,25.41572
2015-11-17,26.01,26.10,26.00,26.040001,3800,25.533386
2015-11-16,26.09,26.09,26.02,26.02,6800,25.513775
2015-11-13,25.870001,26.07,25.870001,25.870001,3700,25.366693
2015-11-12,26.15,26.17,25.85,26.049999,6900,25.54319
2015-11-11,26.15,26.200001,26.129999,26.18,6900,25.670662
2015-11-10,25.85,26.110001,25.85,26.110001,9700,25.602024
2015-11-09,25.870001,25.99,25.73,25.91,14000,25.405914
2015-11-06,26.200001,26.200001,25.65,25.879999,10900,25.376497
2015-11-05,26.059999,26.200001,25.85,26.10,15900,25.592218
2015-11-04,26.15,26.16,25.940001,26.030001,14500,25.52358
2015-11-03,26.10,26.200001,26.10,26.200001,4900,25.690273
2015-11-02,26.00,26.17,26.00,26.16,11000,25.65105
2015-10-30,26.01,26.02,25.959999,26.01,2500,25.503969
2015-10-29,25.870001,25.90,25.76,25.90,1200,25.396109
2015-10-28,25.870001,26.08,25.85,26.00,4600,25.494163
2015-10-27,25.879999,25.879999,25.700001,25.83,12200,25.327471
2015-10-26,25.99,25.99,25.790001,25.98,3200,25.474552
2015-10-23,25.90,26.049999,25.90,25.98,7100,25.474552
2015-10-22,26.01,26.120001,26.01,26.07,4100,25.562801
2015-10-21,25.92,26.15,25.700001,25.98,12000,25.474552
2015-10-20,25.870001,26.02,25.719999,25.889999,6500,25.386303
2015-10-19,25.870001,25.98,25.780001,25.790001,8100,25.28825
2015-10-16,25.90,26.01,25.700001,26.01,14400,25.503969
2015-10-15,25.83,25.93,25.790001,25.93,4600,25.425526
2015-10-14,25.68,25.799999,25.68,25.77,6700,25.268639
2015-10-13,25.610001,25.709999,25.610001,25.709999,2200,25.209805
2015-10-12,25.67,25.68,25.620001,25.67,1700,25.170584
2015-10-09,25.690001,25.690001,25.690001,25.690001,000,25.190195
2015-10-08,25.610001,25.690001,25.60,25.690001,4500,25.190195
2015-10-07,25.809999,25.809999,25.66,25.67,1200,25.170584
2015-10-06,25.549999,25.76,25.549999,25.629999,5300,25.131361
2015-10-05,25.790001,25.809999,25.610001,25.76,7900,25.258833
2015-10-02,25.610001,25.690001,25.50,25.58,9500,25.082335
2015-10-01,25.59,25.809999,25.58,25.790001,2600,25.28825
2015-09-30,25.60,25.629999,25.35,25.51,12300,25.013697
2015-09-29,25.90,25.90,25.42,25.42,18100,24.925448
2015-09-28,26.049999,26.07,25.799999,26.049999,21400,25.052917
2015-09-25,25.85,26.07,25.83,26.07,14600,25.072152
2015-09-24,26.030001,26.030001,25.74,25.790001,30500,24.80287
2015-09-23,25.93,25.98,25.85,25.92,6400,24.927893
2015-09-22,25.799999,25.940001,25.799999,25.91,8100,24.918276
