Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.45,9.56,9.37,9.42,82900,9.42
2016-01-21,9.38,9.53,9.34,9.40,100400,9.40
2016-01-20,9.45,9.57,9.26,9.38,99100,9.38
2016-01-19,9.58,9.66,9.34,9.52,43900,9.52
2016-01-15,9.52,9.62,9.32,9.45,62000,9.45
2016-01-14,9.73,9.92,9.59,9.79,91200,9.79
2016-01-13,9.96,9.96,9.55,9.64,51700,9.64
2016-01-12,10.07,10.08,9.66,9.89,43300,9.89
2016-01-11,9.78,9.97,9.74,9.96,28500,9.96
2016-01-08,9.96,10.09,9.79,9.81,54400,9.81
2016-01-07,10.01,10.15,9.83,9.97,46000,9.97
2016-01-06,9.78,10.20,9.74,10.16,65000,10.16
2016-01-05,9.95,9.99,9.68,9.91,40400,9.91
2016-01-04,10.09,10.10,9.55,9.90,101300,9.90
2015-12-31,10.40,10.68,10.10,10.18,129000,10.18
2015-12-30,10.48,10.78,10.29,10.38,114900,10.38
2015-12-29,10.63,10.70,10.29,10.53,68700,10.53
2015-12-28,10.52,10.62,10.52,10.59,26700,10.59
2015-12-24,10.49,10.64,10.46,10.59,30200,10.59
2015-12-23,10.56,10.65,10.37,10.49,38200,10.49
2015-12-22,10.48,10.57,10.31,10.57,92100,10.57
2015-12-21,10.70,10.70,10.40,10.50,37400,10.50
2015-12-18,10.48,10.65,10.38,10.63,338700,10.63
2015-12-17,10.54,10.65,10.50,10.54,53800,10.54
2015-12-16,10.23,10.50,10.21,10.43,69600,10.43
2015-12-15,10.31,10.38,10.01,10.20,67700,10.20
2015-12-14,10.22,10.30,10.10,10.24,50400,10.24
2015-12-11,10.04,10.24,10.04,10.18,65100,10.18
2015-12-10,10.49,10.54,10.15,10.27,115700,10.27
2015-12-09,10.67,10.67,10.49,10.50,77100,10.50
2015-12-08,10.50,10.74,10.47,10.67,54500,10.67
2015-12-07,11.19,11.19,10.54,10.58,85200,10.58
2015-12-04,10.60,11.36,10.60,11.14,233900,11.14
2015-12-03,10.42,10.71,10.39,10.52,54700,10.52
2015-12-02,10.33,10.41,10.21,10.37,28400,10.37
2015-12-01,10.38,10.44,10.30,10.35,24300,10.35
2015-11-30,10.40,10.48,10.29,10.35,38200,10.35
2015-11-27,10.36,10.44,10.36,10.43,6500,10.43
2015-11-25,10.22,10.44,10.20,10.38,20100,10.38
2015-11-24,10.24,10.26,10.08,10.25,23700,10.25
2015-11-23,10.32,10.33,10.21,10.28,14500,10.28
2015-11-20,9.98,10.33,9.89,10.32,43300,10.32
2015-11-19,9.87,9.95,9.65,9.94,30700,9.94
2015-11-18,9.77,9.94,9.69,9.90,22000,9.90
2015-11-17,9.78,9.86,9.70,9.73,25600,9.73
2015-11-16,9.67,9.87,9.66,9.85,25300,9.85
2015-11-13,10.05,10.09,9.73,9.74,27900,9.74
2015-11-12,10.03,10.21,10.03,10.12,25600,10.12
2015-11-11,10.12,10.19,9.65,10.11,25600,10.11
2015-11-10,9.91,10.10,9.90,10.06,26500,10.06
2015-11-09,10.45,10.45,9.92,9.98,48600,9.88
2015-11-06,10.32,10.45,10.26,10.44,46900,10.335391
2015-11-05,10.43,10.43,10.20,10.38,14900,10.275992
2015-11-04,10.10,10.45,10.06,10.43,26800,10.325492
2015-11-03,9.99,10.24,9.95,10.11,29600,10.008697
2015-11-02,10.21,10.25,9.98,10.00,37900,9.8998
2015-10-30,10.23,10.33,10.13,10.23,31200,10.127495
2015-10-29,10.31,10.35,10.20,10.23,21400,10.127495
2015-10-28,10.02,10.42,9.88,10.40,49900,10.295791
2015-10-27,10.33,10.43,9.94,9.94,31700,9.840401
2015-10-26,10.35,10.55,10.33,10.38,30500,10.275992
2015-10-23,10.29,10.45,10.17,10.45,37800,10.345291
2015-10-22,10.23,10.29,10.18,10.23,37300,10.127495
2015-10-21,10.20,10.28,10.17,10.17,21600,10.068096
2015-10-20,10.29,10.33,10.18,10.21,24500,10.107696
2015-10-19,10.18,10.30,10.14,10.29,27200,10.186894
2015-10-16,10.25,10.25,10.12,10.20,26300,10.097796
2015-10-15,9.99,10.32,9.90,10.20,45500,10.097796
2015-10-14,9.97,10.13,9.94,9.97,27400,9.870101
2015-10-13,10.21,10.21,10.00,10.01,28600,9.9097
2015-10-12,10.25,10.31,10.09,10.20,39600,10.097796
2015-10-09,10.24,10.44,10.17,10.20,37100,10.097796
2015-10-08,10.29,10.29,10.01,10.17,46500,10.068096
2015-10-07,9.79,10.39,9.78,10.26,90300,10.157195
2015-10-06,9.74,9.80,9.67,9.76,32900,9.662205
2015-10-05,9.49,9.80,9.49,9.78,24000,9.682004
2015-10-02,9.34,9.49,9.33,9.47,36800,9.375111
2015-10-01,9.49,9.49,9.22,9.40,31800,9.305811
2015-09-30,9.50,9.50,8.90,9.42,54700,9.325612
2015-09-29,9.04,9.50,9.04,9.47,35800,9.375111
2015-09-28,9.18,9.22,9.00,9.06,210500,8.969219
2015-09-25,9.51,9.58,9.16,9.16,36600,9.068216
2015-09-24,9.48,9.57,9.45,9.47,37500,9.375111
2015-09-23,9.63,9.68,9.26,9.47,37200,9.375111
2015-09-22,9.68,9.74,9.43,9.62,33500,9.523607
2015-09-21,9.70,9.82,9.61,9.75,32500,9.652305
2015-09-18,9.34,9.85,9.34,9.71,70800,9.612706
2015-09-17,9.16,9.61,9.16,9.51,44600,9.41471
2015-09-16,9.16,9.25,9.15,9.18,17400,9.088017
2015-09-15,9.22,9.25,9.17,9.22,26100,9.127616
2015-09-14,9.29,9.30,9.19,9.24,30900,9.147415
2015-09-11,9.00,9.30,9.00,9.27,48000,9.177115
2015-09-10,9.07,9.13,9.02,9.10,28600,9.008818
2015-09-09,9.11,9.23,9.03,9.07,26700,8.979118
2015-09-08,9.25,9.25,9.01,9.10,33200,9.008818
2015-09-04,8.79,9.05,8.79,9.03,38100,8.939519
2015-09-03,9.00,9.07,8.81,8.85,37900,8.761323
2015-09-02,8.77,8.97,8.76,8.97,55700,8.880121
2015-09-01,9.03,9.09,8.58,8.69,109100,8.602926
2015-08-31,9.10,9.22,8.89,9.16,297600,9.068216
2015-08-28,8.65,9.34,8.65,9.06,169200,8.969219
2015-08-27,8.52,8.75,8.24,8.39,57900,8.305932
2015-08-26,8.56,9.30,8.52,8.54,49600,8.454429
2015-08-25,8.94,8.94,8.44,8.46,52300,8.375231
2015-08-24,8.80,9.27,8.57,8.57,85400,8.484128
2015-08-21,8.90,9.25,8.86,9.06,71300,8.969219
2015-08-20,9.21,9.42,9.02,9.04,64800,8.949419
