Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.62,13.90,13.50,13.80,1559400,13.80
2016-01-21,13.12,13.76,13.10,13.39,1953500,13.39
2016-01-20,13.20,13.38,12.71,13.22,3711400,13.22
2016-01-19,13.60,13.75,13.37,13.56,3162000,13.56
2016-01-15,13.41,13.53,13.14,13.49,3300500,13.49
2016-01-14,13.60,13.86,13.23,13.73,2070500,13.73
2016-01-13,14.02,14.06,13.54,13.59,2164500,13.59
2016-01-12,13.93,14.00,13.68,13.97,2419800,13.97
2016-01-11,13.94,14.04,13.78,13.82,2523200,13.82
2016-01-08,14.21,14.22,13.88,13.91,1902000,13.91
2016-01-07,14.33,14.43,14.04,14.08,2210700,14.08
2016-01-06,14.44,14.64,14.40,14.54,2168700,14.54
2016-01-05,14.46,14.67,14.32,14.59,1483400,14.59
2016-01-04,14.13,14.48,13.90,14.46,2784700,14.46
2015-12-31,14.42,14.55,14.25,14.25,2247100,14.25
2015-12-30,14.29,14.49,14.29,14.39,1805900,14.39
2015-12-29,14.51,14.64,14.26,14.39,1813600,14.39
2015-12-28,14.56,14.63,14.36,14.38,2167000,14.38
2015-12-24,14.60,14.78,14.60,14.64,714600,14.64
2015-12-23,14.33,14.67,14.26,14.63,2105900,14.63
2015-12-22,14.08,14.32,14.04,14.20,2540200,14.20
2015-12-21,14.08,14.25,14.00,14.08,1705300,14.08
2015-12-18,14.27,14.30,13.96,13.97,2368400,13.97
2015-12-17,14.25,14.58,14.25,14.28,2339700,14.28
2015-12-16,14.30,14.49,14.11,14.23,2418100,14.23
2015-12-15,13.98,14.35,13.79,14.23,3048500,14.23
2015-12-14,14.33,14.53,13.50,14.01,6451200,14.01
2015-12-11,14.67,14.84,14.31,14.39,2764100,14.39
2015-12-10,14.92,15.33,14.91,15.22,2919900,14.84
2015-12-09,15.20,15.35,14.80,14.88,2445000,14.508489
2015-12-08,15.23,15.33,15.00,15.24,2949500,14.859501
2015-12-07,15.76,15.79,15.30,15.36,1968500,14.976504
2015-12-04,15.86,15.88,15.65,15.76,1454600,15.366518
2015-12-03,15.78,15.85,15.66,15.68,1548600,15.288516
2015-12-02,15.88,15.88,15.68,15.73,1233900,15.337267
2015-12-01,15.88,15.97,15.73,15.87,1425900,15.473771
2015-11-30,15.92,15.93,15.66,15.82,1827000,15.42502
2015-11-27,15.66,15.90,15.66,15.87,401400,15.473771
2015-11-25,15.84,15.92,15.73,15.81,745400,15.41527
2015-11-24,15.68,15.91,15.65,15.84,1029800,15.444521
2015-11-23,15.65,15.78,15.60,15.74,882400,15.347017
2015-11-20,15.74,15.80,15.55,15.61,931800,15.220263
2015-11-19,15.60,15.73,15.50,15.72,744800,15.327517
2015-11-18,15.58,15.63,15.44,15.61,1395700,15.220263
2015-11-17,15.60,15.72,15.52,15.56,1133600,15.171512
2015-11-16,15.32,15.61,15.30,15.60,926900,15.210513
2015-11-13,15.47,15.51,15.28,15.31,1140200,14.927754
2015-11-12,15.49,15.61,15.46,15.53,785800,15.14226
2015-11-11,15.64,15.70,15.58,15.62,682400,15.230013
2015-11-10,15.59,15.72,15.53,15.62,834800,15.230013
2015-11-09,15.85,15.85,15.63,15.66,1018900,15.269015
2015-11-06,15.64,15.78,15.48,15.72,1630100,15.327517
2015-11-05,15.55,15.67,15.42,15.67,957600,15.278765
2015-11-04,15.65,15.78,15.49,15.52,1315300,15.132511
2015-11-03,15.30,15.56,15.30,15.48,993500,15.093508
2015-11-02,15.24,15.41,15.21,15.38,959500,14.996006
2015-10-30,15.32,15.35,15.16,15.23,1036300,14.84975
2015-10-29,15.24,15.41,15.23,15.25,1228300,14.869251
2015-10-28,15.08,15.33,15.05,15.30,1909000,14.918003
2015-10-27,15.30,15.37,15.00,15.11,1635400,14.732746
2015-10-26,15.59,15.60,15.33,15.37,942400,14.986255
2015-10-23,15.48,15.58,15.44,15.55,784800,15.161761
2015-10-22,15.13,15.41,15.09,15.41,1436700,15.025256
2015-10-21,15.18,15.30,15.03,15.05,1081400,14.674245
2015-10-20,15.22,15.26,15.15,15.20,848900,14.820499
2015-10-19,15.06,15.24,15.05,15.20,986100,14.820499
2015-10-16,15.14,15.27,15.00,15.15,1168700,14.771748
2015-10-15,15.05,15.17,14.93,15.10,1884000,14.722997
2015-10-14,15.11,15.32,15.00,15.04,1197200,14.664494
2015-10-13,15.24,15.37,15.13,15.14,961200,14.761998
2015-10-12,15.42,15.57,15.18,15.30,784400,14.918003
2015-10-09,15.43,15.56,15.34,15.38,1184200,14.996006
2015-10-08,15.38,15.55,15.35,15.46,1364300,15.074008
2015-10-07,15.25,15.47,15.24,15.38,1539700,14.996006
2015-10-06,15.04,15.20,15.00,15.17,1560900,14.791249
2015-10-05,15.01,15.26,15.00,15.07,1990400,14.693745
2015-10-02,14.86,15.04,14.68,14.96,2614000,14.586492
2015-10-01,14.74,15.24,14.59,15.09,3814000,14.713246
2015-09-30,14.37,14.67,14.37,14.48,3475500,14.118475
2015-09-29,14.48,14.52,13.98,14.06,4364500,13.708963
2015-09-28,15.01,15.04,14.34,14.40,2971400,14.040473
2015-09-25,15.05,15.18,15.00,15.05,1177800,14.674245
2015-09-24,14.81,15.10,14.78,14.99,1650200,14.615742
2015-09-23,14.85,15.00,14.84,14.86,1436200,14.488988
2015-09-22,14.75,14.91,14.73,14.86,2092800,14.488988
2015-09-21,14.80,14.98,14.80,14.88,1017000,14.508489
2015-09-18,14.86,14.98,14.77,14.77,4605200,14.401236
2015-09-17,14.95,15.23,14.88,14.99,1656300,14.615742
2015-09-16,14.80,14.99,14.78,14.97,1237100,14.596242
2015-09-15,14.71,14.82,14.71,14.78,1947000,14.410985
2015-09-14,14.87,15.07,14.77,14.78,2110600,14.410985
2015-09-11,14.90,15.02,14.75,14.86,2477900,14.488988
2015-09-10,15.32,15.41,15.22,15.36,2196100,14.605991
2015-09-09,15.70,15.76,15.28,15.32,1776100,14.567955
2015-09-08,15.61,15.69,15.48,15.60,1646500,14.834211
2015-09-04,15.40,15.47,15.33,15.42,1196500,14.663047
2015-09-03,15.41,15.60,15.39,15.51,1307700,14.748629
2015-09-02,15.50,15.69,15.34,15.38,1643800,14.62501
2015-09-01,15.50,15.70,15.27,15.38,2152400,14.62501
2015-08-31,15.64,15.82,15.55,15.77,1511800,14.995866
2015-08-28,15.62,15.77,15.34,15.68,2282500,14.910284
2015-08-27,15.12,15.39,15.09,15.37,1865300,14.615501
2015-08-26,15.03,15.14,14.69,14.91,2964000,14.178082
2015-08-25,15.19,15.28,14.84,14.85,2609700,14.121028
2015-08-24,14.73,15.17,11.01,14.84,5138000,14.111518
2015-08-21,15.62,15.73,15.38,15.39,2324700,14.634519
2015-08-20,15.82,15.90,15.69,15.69,1319100,14.919792
2015-08-19,15.94,15.99,15.86,15.97,906100,15.186048
2015-08-18,16.049999,16.07,15.98,16.00,815000,15.214575
2015-08-17,15.97,16.09,15.94,16.08,804300,15.290648
2015-08-14,16.02,16.17,15.98,16.09,1082700,15.300157
2015-08-13,16.110001,16.16,15.96,16.07,1149700,15.281138
2015-08-12,15.85,16.110001,15.84,16.09,1591600,15.300157
2015-08-11,15.99,16.040001,15.94,15.99,1819000,15.205065
2015-08-10,15.75,16.049999,15.72,16.049999,2154800,15.26212
2015-08-07,16.040001,16.10,15.71,15.72,2369200,14.94832
2015-08-06,15.94,16.059999,15.92,16.040001,1091800,15.252612
2015-08-05,16.00,16.15,15.93,15.93,1673000,15.148011
2015-08-04,16.15,16.219999,15.93,15.95,1714700,15.167029
2015-08-03,16.030001,16.07,15.94,15.98,1257300,15.195556
2015-07-31,16.190001,16.190001,16.07,16.09,860400,15.300157
2015-07-30,16.059999,16.15,16.00,16.129999,975000,15.338192
2015-07-29,16.02,16.18,15.98,16.129999,1040700,15.338192
2015-07-28,15.73,16.030001,15.73,16.00,1319300,15.214575
2015-07-27,15.95,16.00,15.67,15.72,2197700,14.94832
