Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,4.58,4.81,4.31,4.59,115600,4.59
2016-01-21,3.95,4.34,3.90,4.28,141400,4.28
2016-01-20,4.20,4.678,3.70,3.97,168600,3.97
2016-01-19,4.61,4.65,4.25,4.25,158300,4.25
2016-01-15,5.60,5.70,4.50,4.50,900700,4.50
2016-01-14,4.50,5.90,4.167,5.81,268100,5.81
2016-01-13,4.02,4.50,4.02,4.49,330700,4.49
2016-01-12,4.79,5.106,3.99,4.05,222000,4.05
2016-01-11,4.85,4.89,4.62,4.71,156600,4.71
2016-01-08,4.84,4.92,4.65,4.82,172700,4.82
2016-01-07,4.79,4.90,4.64,4.71,111200,4.71
2016-01-06,4.90,5.15,4.87,4.87,83200,4.87
2016-01-05,5.25,5.30,5.03,5.07,89600,5.07
2016-01-04,5.14,5.34,5.14,5.20,53200,5.20
2015-12-31,4.92,5.19,4.87,5.05,100100,5.05
2015-12-30,5.15,5.15,4.88,4.95,97700,4.95
2015-12-29,5.06,5.29,5.00,5.03,132000,5.03
2015-12-28,5.30,5.52,5.01,5.07,182500,4.898
2015-12-24,5.16,5.738,5.16,5.31,83500,5.129858
2015-12-23,4.97,5.39,4.75,5.12,155700,4.946304
2015-12-22,4.54,4.85,4.52,4.71,82400,4.550213
2015-12-21,4.90,5.15,4.50,4.50,158500,4.347337
2015-12-18,5.10,5.30,4.63,4.86,128600,4.695124
2015-12-17,5.60,5.729,5.13,5.13,111400,4.955965
2015-12-16,5.48,5.83,5.31,5.39,58200,5.207144
2015-12-15,5.64,6.109,5.31,5.45,65200,5.265108
2015-12-14,6.86,6.86,5.30,5.39,189200,5.207144
2015-12-11,6.20,6.29,5.74,5.87,73500,5.67086
2015-12-10,6.30,6.41,6.20,6.20,86000,5.989664
2015-12-09,6.39,6.67,6.08,6.38,152100,6.163558
2015-12-08,6.50,6.765,6.13,6.39,126100,6.173219
2015-12-07,6.78,6.84,5.27,6.75,363000,6.521006
2015-12-04,7.70,7.70,6.40,6.858,234000,6.625342
2015-12-03,7.85,8.19,7.80,7.86,134900,7.593349
2015-12-02,8.85,8.85,7.884,8.25,230100,7.970118
2015-12-01,8.47,9.01,8.00,8.91,125600,8.607728
2015-11-30,9.18,9.33,9.02,9.15,44400,8.839585
2015-11-27,8.80,9.13,8.60,9.13,30900,8.820264
2015-11-25,8.89,8.95,8.62,8.84,60600,8.540103
2015-11-24,8.59,9.10,8.59,8.93,47900,8.460885
2015-11-23,8.67,9.019,8.67,8.71,101400,8.252441
2015-11-20,8.65,9.21,8.415,9.08,95300,8.603004
2015-11-19,8.91,8.95,8.67,8.72,75600,8.261916
2015-11-18,9.44,9.516,8.65,8.91,101300,8.441935
2015-11-17,10.08,10.08,9.35,9.49,68000,8.991466
2015-11-16,10.40,10.50,9.82,10.13,60000,9.597845
2015-11-13,10.33,10.33,9.88,10.21,87500,9.673643
2015-11-12,10.51,10.51,10.10,10.23,43100,9.692592
2015-11-11,10.52,10.60,10.35,10.46,27700,9.91051
2015-11-10,10.41,10.60,10.33,10.52,44900,9.967358
2015-11-09,10.63,10.721,10.40,10.55,43900,9.995782
2015-11-06,11.30,11.45,10.65,10.78,49000,10.213699
2015-11-05,11.73,11.75,11.00,11.23,67000,10.640059
