Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,15.15,15.15,14.69,14.94,20400,14.94
2016-01-21,14.67,15.28,14.67,14.92,34600,14.92
2016-01-20,14.00,14.81,13.33,14.67,37200,14.67
2016-01-19,14.57,14.57,13.92,14.17,33300,14.17
2016-01-15,14.80,15.20,13.92,14.43,31400,14.43
2016-01-14,14.87,15.40,14.87,15.26,28500,15.26
2016-01-13,16.120001,16.120001,14.70,14.78,33700,14.78
2016-01-12,16.219999,16.799999,15.56,15.76,26100,15.69
2016-01-11,16.110001,16.639999,15.70,16.139999,25200,16.068312
2016-01-08,16.549999,17.00,15.90,16.08,109600,16.008579
2016-01-07,16.98,17.16,16.35,16.379999,29600,16.307245
2016-01-06,17.129999,17.60,16.99,17.379999,26500,17.302804
2016-01-05,19.110001,19.110001,17.18,17.280001,27500,17.20325
2016-01-04,17.15,19.15,16.23,18.950001,72600,18.865832
2015-12-31,17.190001,17.35,17.10,17.290001,33600,17.213205
2015-12-30,17.299999,17.799999,17.17,17.18,29600,17.103693
2015-12-29,17.24,17.860001,17.190001,17.309999,33500,17.233115
2015-12-28,17.57,17.99,17.110001,17.25,24900,17.173382
2015-12-24,17.709999,17.76,17.610001,17.620001,4800,17.54174
2015-12-23,17.99,18.23,17.709999,17.780001,47200,17.701029
2015-12-22,17.33,17.74,16.93,17.73,17600,17.65125
2015-12-21,16.66,17.50,16.459999,17.33,55800,17.253027
2015-12-18,17.049999,17.360001,16.459999,16.459999,264100,16.38689
2015-12-17,17.17,17.469999,16.92,17.16,29300,17.083782
2015-12-16,16.809999,17.290001,16.76,17.27,26600,17.193294
2015-12-15,16.370001,16.98,16.33,16.82,29400,16.745292
2015-12-14,16.879999,16.99,16.16,16.370001,44400,16.297292
2015-12-11,17.43,17.559999,16.92,16.99,36200,16.914537
2015-12-10,17.639999,17.99,17.549999,17.73,17900,17.65125
2015-12-09,18.01,18.110001,17.50,17.58,29900,17.501916
2015-12-08,17.969999,18.17,17.75,18.00,25700,17.920051
2015-12-07,19.08,19.08,18.040001,18.16,39800,18.07934
2015-12-04,19.27,19.33,18.959999,18.98,58900,18.895698
2015-12-03,19.700001,19.700001,19.049999,19.219999,48500,19.134631
2015-12-02,20.219999,20.219999,19.49,19.57,23900,19.483077
2015-12-01,20.700001,20.700001,19.98,20.219999,48600,20.13019
2015-11-30,19.83,20.93,19.35,20.719999,47300,20.627969
2015-11-27,19.52,20.00,19.40,19.950001,17100,19.86139
2015-11-25,19.26,19.75,19.26,19.66,31400,19.572678
2015-11-24,18.93,19.450001,18.75,19.26,41900,19.174455
2015-11-23,18.809999,19.25,18.75,19.15,50600,19.064943
2015-11-20,18.99,19.700001,18.889999,18.959999,56800,18.875786
2015-11-19,18.50,19.030001,18.50,18.879999,28200,18.796141
2015-11-18,18.549999,18.940001,18.49,18.639999,74600,18.557208
2015-11-17,18.549999,19.09,18.219999,18.60,79300,18.517386
2015-11-16,18.66,18.969999,18.42,18.57,41900,18.487519
2015-11-13,18.360001,18.799999,18.25,18.74,47100,18.656764
2015-11-12,18.74,18.74,18.40,18.530001,28300,18.447697
2015-11-11,18.370001,19.16,18.32,18.85,57500,18.766276
2015-11-10,18.059999,18.370001,17.809999,18.35,81400,18.268497
2015-11-09,18.65,18.65,17.99,18.01,70900,17.930007
2015-11-06,18.389999,19.299999,18.389999,18.92,46000,18.835965
2015-11-05,19.309999,19.309999,18.50,18.50,74400,18.41783
2015-11-04,19.24,19.33,18.99,19.299999,34600,19.214276
2015-11-03,19.049999,19.42,18.91,19.02,36700,18.935521
2015-11-02,18.049999,19.23,18.049999,19.040001,61800,18.955432
2015-10-30,18.860001,18.860001,17.950001,18.030001,69400,17.949918
2015-10-29,18.01,18.91,18.01,18.51,96200,18.427786
2015-10-28,23.139999,23.139999,17.040001,17.780001,243900,17.701029
2015-10-27,23.049999,23.049999,22.540001,22.93,53500,22.828154
2015-10-26,23.09,23.73,22.83,23.110001,37200,23.007355
2015-10-23,22.99,23.15,22.73,23.139999,45600,23.03722
2015-10-22,22.17,22.85,22.07,22.77,67800,22.668865
2015-10-21,21.969999,22.25,21.610001,21.98,53300,21.882373
2015-10-20,21.299999,21.700001,21.299999,21.57,46700,21.474194
2015-10-19,20.98,21.469999,20.940001,21.309999,32900,21.215349
2015-10-16,20.860001,21.26,19.99,21.02,43900,20.926638
2015-10-15,20.23,20.790001,19.49,20.780001,36200,20.687704
2015-10-14,20.639999,20.889999,20.10,20.17,44800,20.080413
2015-10-13,20.389999,20.92,20.389999,20.709999,24800,20.618013
2015-10-12,20.450001,20.950001,20.27,20.66,27500,20.498547
2015-10-09,20.82,20.82,20.129999,20.360001,35700,20.200892
2015-10-08,20.23,20.950001,20.23,20.74,39200,20.577922
2015-10-07,20.200001,20.719999,19.76,20.370001,146600,20.210814
2015-10-06,20.120001,20.690001,20.120001,20.290001,27800,20.131439
2015-10-05,19.450001,20.549999,18.639999,20.02,36500,19.863549
2015-10-02,18.969999,19.370001,18.75,19.33,26600,19.178941
2015-10-01,19.379999,19.379999,18.68,19.139999,34600,18.990425
2015-09-30,18.90,19.610001,18.780001,19.440001,71100,19.288081
2015-09-29,18.950001,19.280001,18.40,18.780001,67300,18.633239
2015-09-28,18.74,19.280001,18.74,18.90,40500,18.752301
2015-09-25,19.219999,19.219999,18.780001,18.98,56900,18.831675
2015-09-24,18.74,19.07,18.68,19.07,53700,18.920972
2015-09-23,19.059999,19.17,18.68,18.940001,34900,18.791989
2015-09-22,18.83,19.34,18.690001,18.92,49200,18.772145
2015-09-21,18.870001,19.51,18.870001,19.040001,67600,18.891208
2015-09-18,18.50,19.059999,18.42,18.530001,315700,18.385193
2015-09-17,18.950001,19.379999,18.700001,18.870001,104100,18.722536
2015-09-16,18.92,19.42,18.76,18.98,161100,18.831675
2015-09-15,18.18,19.01,18.15,18.84,47300,18.69277
2015-09-14,18.32,18.32,17.940001,18.10,60700,17.958553
2015-09-11,18.00,18.33,17.76,18.139999,29300,17.99824
2015-09-10,18.049999,18.559999,17.959999,18.18,24300,18.037928
2015-09-09,18.610001,18.610001,18.00,18.15,18900,18.008162
2015-09-08,18.889999,18.889999,18.309999,18.379999,47500,18.236364
2015-09-04,17.790001,18.75,17.790001,18.65,19900,18.504254
2015-09-03,18.50,19.07,18.00,18.00,28100,17.859334
2015-09-02,17.68,18.60,17.549999,18.52,31300,18.375271
2015-09-01,17.389999,17.799999,17.35,17.530001,42600,17.393008
2015-08-31,18.030001,18.030001,17.530001,17.66,68400,17.521991
2015-08-28,17.700001,18.190001,17.59,17.969999,26400,17.829568
2015-08-27,18.18,18.67,17.50,17.77,42700,17.631132
2015-08-26,17.66,18.18,17.59,17.950001,40200,17.809726
2015-08-25,18.41,18.41,17.25,17.379999,34100,17.244179
2015-08-24,17.23,18.110001,16.459999,17.84,55800,17.700585
2015-08-21,18.360001,18.809999,17.889999,17.92,88000,17.779959
2015-08-20,19.59,19.83,18.790001,18.85,47600,18.702692
2015-08-19,19.790001,20.129999,19.42,19.709999,43100,19.55597
2015-08-18,20.15,20.18,19.870001,20.040001,16500,19.883393
2015-08-17,19.90,21.040001,19.90,20.17,36900,20.012376
2015-08-14,20.379999,20.68,19.91,20.129999,44000,19.972688
2015-08-13,20.889999,21.209999,20.389999,20.43,29800,20.270345
2015-08-12,20.75,20.91,20.030001,20.84,28700,20.67714
2015-08-11,22.059999,22.129999,20.700001,20.75,35100,20.587844
2015-08-10,22.59,23.25,22.219999,22.25,26900,22.076121
2015-08-07,22.620001,22.620001,21.82,22.48,22700,22.304324
2015-08-06,22.809999,22.98,20.719999,22.709999,28200,22.532526
2015-08-05,23.16,23.459999,22.50,22.75,37400,22.572214
2015-08-04,23.17,23.77,22.709999,23.040001,105300,22.859949
2015-08-03,22.10,23.24,21.67,23.17,68300,22.988932
2015-07-31,20.26,22.969999,19.51,22.08,180900,21.90745
2015-07-30,20.09,20.299999,19.23,20.10,145600,19.942924
2015-07-29,20.370001,21.40,19.76,20.209999,35700,20.052063
2015-07-28,20.10,20.219999,19.52,20.059999,35900,19.903235
2015-07-27,19.809999,19.92,19.280001,19.870001,22900,19.714721
2015-07-24,19.559999,19.790001,19.450001,19.75,24100,19.595658
2015-07-23,20.58,20.58,19.50,19.67,34800,19.516284
2015-07-22,20.90,20.90,20.059999,20.549999,22000,20.389406
2015-07-21,21.309999,21.559999,20.799999,20.83,12500,20.667218
2015-07-20,22.040001,22.040001,21.309999,21.41,16800,21.242686
2015-07-17,22.450001,22.450001,21.709999,21.799999,13700,21.629637
2015-07-16,23.00,23.209999,22.32,22.360001,25200,22.185262
2015-07-15,22.639999,22.889999,22.200001,22.719999,27400,22.542448
2015-07-14,22.90,22.90,22.309999,22.629999,25600,22.453151
2015-07-13,22.51,23.18,22.51,22.799999,35800,22.621823
2015-07-10,22.030001,22.780001,22.030001,22.629999,26100,22.383699
2015-07-09,21.75,21.889999,21.129999,21.68,49900,21.444039
2015-07-08,22.360001,22.85,20.99,21.469999,174900,21.236324
2015-07-07,22.280001,22.629999,21.940001,22.459999,30800,22.215549
2015-07-06,21.43,23.00,21.43,22.58,66000,22.334244
2015-07-02,20.76,21.459999,20.129999,21.35,34800,21.117631
2015-07-01,20.77,20.83,20.40,20.73,32700,20.504378
