Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,11.05,11.23,10.84,10.91,318800,10.91
2016-01-21,10.94,11.21,10.81,10.90,320000,10.90
2016-01-20,11.20,11.21,10.51,10.92,472300,10.92
2016-01-19,11.82,11.82,11.05,11.19,205100,11.19
2016-01-15,10.90,11.70,10.90,11.62,313400,11.62
2016-01-14,11.31,12.09,10.77,11.15,766300,11.15
2016-01-13,10.95,10.97,10.43,10.74,401400,10.74
2016-01-12,10.54,10.94,10.43,10.91,351200,10.91
2016-01-11,9.60,10.54,9.50,10.49,357200,10.49
2016-01-08,9.52,9.70,9.41,9.54,205000,9.54
2016-01-07,9.44,9.79,9.40,9.49,186800,9.49
2016-01-06,9.82,10.00,9.58,9.64,214200,9.64
2016-01-05,10.20,10.28,9.77,10.01,210000,10.01
2016-01-04,9.67,10.19,9.60,10.11,237900,10.11
2015-12-31,10.07,10.20,9.96,9.99,178800,9.99
2015-12-30,10.26,10.30,10.06,10.22,118800,10.22
2015-12-29,10.27,10.48,10.16,10.32,84200,10.32
2015-12-28,10.41,10.46,10.00,10.27,107000,10.27
2015-12-24,10.36,10.59,10.14,10.50,87400,10.50
2015-12-23,10.46,10.61,10.30,10.40,147500,10.40
2015-12-22,9.93,10.43,9.89,10.42,116000,10.42
2015-12-21,9.82,10.07,9.67,9.95,214400,9.95
2015-12-18,10.16,10.22,9.55,9.80,483300,9.80
2015-12-17,9.89,10.72,9.68,10.23,661700,10.23
2015-12-16,9.43,9.88,9.36,9.88,222100,9.88
2015-12-15,9.35,9.61,9.28,9.40,118500,9.40
2015-12-14,9.03,9.31,9.00,9.29,218800,9.29
2015-12-11,9.05,9.59,9.05,9.10,215900,9.10
2015-12-10,9.16,9.33,8.95,9.20,203200,9.20
2015-12-09,9.00,9.33,8.94,9.18,302900,9.18
2015-12-08,9.00,9.26,8.82,9.08,187600,9.08
2015-12-07,9.35,9.42,8.94,9.10,253100,9.10
2015-12-04,9.51,9.76,9.33,9.44,148000,9.44
2015-12-03,9.78,9.99,9.43,9.49,207900,9.49
2015-12-02,9.87,10.09,9.60,9.82,179300,9.82
2015-12-01,9.63,9.80,9.59,9.78,149500,9.78
2015-11-30,9.76,9.82,9.55,9.66,151000,9.66
2015-11-27,9.66,9.96,9.53,9.79,82900,9.79
2015-11-25,9.70,9.91,9.54,9.84,199100,9.74
2015-11-24,9.35,9.79,9.31,9.77,115200,9.670712
2015-11-23,9.32,9.67,9.18,9.45,189100,9.353963
