Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.57,16.57,16.57,16.57,000,16.57
2016-01-21,16.58,16.58,16.57,16.57,1500,16.57
2016-01-20,17.059999,17.059999,17.059999,17.059999,000,17.059999
2016-01-19,16.98,17.059999,16.98,17.059999,400,17.059999
2016-01-15,16.709999,16.790001,16.709999,16.790001,2200,16.790001
2016-01-14,17.559999,17.559999,17.559999,17.559999,300,17.559999
2016-01-13,17.52,17.52,17.52,17.52,600,17.52
2016-01-12,17.43,17.43,17.43,17.43,000,17.43
2016-01-11,17.49,17.49,17.43,17.43,300,17.43
2016-01-08,17.91,17.91,17.91,17.91,000,17.91
2016-01-07,17.91,17.91,17.91,17.91,200,17.91
2016-01-06,18.67,18.67,18.67,18.67,000,18.67
2016-01-05,18.49,18.67,18.49,18.67,1200,18.67
2016-01-04,18.559999,18.559999,18.209999,18.559999,2300,18.559999
2015-12-31,18.99,18.99,18.99,18.99,000,18.99
2015-12-30,19.24,19.24,18.969999,18.99,1900,18.99
2015-12-29,19.309999,19.48,19.27,19.309999,6100,19.309999
2015-12-28,19.23,19.23,19.23,19.23,100,19.23
2015-12-24,19.23,19.23,19.23,19.23,000,19.23
2015-12-23,19.139999,19.23,19.139999,19.23,1200,19.23
2015-12-22,19.110001,19.129999,19.110001,19.120001,1200,19.000001
2015-12-21,19.08,19.09,18.93,18.93,2600,18.811193
2015-12-18,19.00,19.00,19.00,19.00,400,18.880754
2015-12-17,19.60,19.60,19.60,19.60,000,19.476988
2015-12-16,19.16,19.60,18.92,19.60,2400,19.476988
2015-12-15,19.00,19.299999,18.98,19.129999,1500,19.009937
2015-12-14,18.709999,18.84,18.700001,18.799999,5000,18.682008
2015-12-11,19.50,19.50,19.50,19.50,000,19.377615
2015-12-10,19.32,19.50,19.32,19.50,400,19.377615
2015-12-09,19.620001,19.620001,19.530001,19.530001,400,19.407428
2015-12-08,19.27,19.379999,19.27,19.379999,600,19.258368
2015-12-07,19.98,19.98,19.98,19.98,000,19.854602
2015-12-04,19.98,19.98,19.98,19.98,800,19.854602
2015-12-03,20.129999,20.129999,19.98,19.98,300,19.854602
2015-12-02,19.889999,19.889999,19.889999,19.889999,700,19.765167
2015-12-01,19.91,20.00,19.90,19.98,2700,19.854602
2015-11-30,19.82,19.950001,19.82,19.93,3100,19.804917
2015-11-27,20.67,20.67,20.67,20.67,000,20.540272
2015-11-25,20.67,20.67,20.67,20.67,000,20.540272
2015-11-24,20.559999,20.67,20.559999,20.67,1400,20.540272
2015-11-23,20.58,20.68,20.58,20.68,3200,20.55021
2015-11-20,20.77,20.870001,20.700001,20.870001,4000,20.739018
2015-11-19,20.40,20.559999,20.35,20.48,5200,20.351464
2015-11-18,20.16,20.209999,19.940001,20.10,3600,19.97385
2015-11-17,20.040001,20.09,20.040001,20.09,400,19.963913
2015-11-16,19.91,19.91,19.91,19.91,300,19.785042
