Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,59.549999,60.400002,58.560001,60.389999,147600,60.389999
2016-01-21,58.07,59.400002,57.18,58.759998,218800,58.759998
2016-01-20,55.619999,58.799999,55.119999,58.119999,190900,58.119999
2016-01-19,58.560001,58.560001,55.330002,56.330002,229200,56.330002
2016-01-15,57.34,58.490002,56.459999,57.900002,239800,57.900002
2016-01-14,57.610001,59.669998,56.919998,59.169998,158700,59.169998
2016-01-13,59.77,59.77,56.689999,57.310001,199900,57.310001
2016-01-12,60.00,61.049999,57.16,59.48,210900,59.48
2016-01-11,60.59,60.709999,58.48,59.669998,284700,59.669998
2016-01-08,61.549999,62.48,60.119999,60.299999,256000,60.299999
2016-01-07,61.84,62.619999,60.959999,61.419998,201600,61.419998
2016-01-06,64.239998,64.919998,62.119999,62.830002,251400,62.830002
2016-01-05,64.040001,65.550003,63.720001,65.330002,171200,65.330002
2016-01-04,64.830002,64.830002,63.009998,63.740002,310700,63.740002
2015-12-31,66.57,67.00,65.629997,65.860001,265000,65.860001
2015-12-30,67.589996,67.75,66.639999,66.75,149200,66.75
2015-12-29,67.529999,68.510002,67.400002,67.540001,159500,67.540001
2015-12-28,66.290001,67.279999,66.18,67.220001,114300,67.220001
2015-12-24,66.449997,67.209999,66.099998,66.669998,101200,66.669998
2015-12-23,66.00,66.559998,65.870003,66.220001,151800,66.220001
2015-12-22,66.599998,66.849998,64.879997,65.699997,162900,65.699997
2015-12-21,65.870003,66.449997,65.129997,66.370003,161800,66.370003
2015-12-18,66.139999,66.639999,65.339996,65.339996,528900,65.339996
2015-12-17,67.629997,67.980003,65.879997,66.550003,149700,66.550003
2015-12-16,65.00,67.360001,64.739998,67.269997,250600,67.269997
2015-12-15,63.119999,64.050003,63.00,63.389999,228800,63.389999
2015-12-14,62.990002,63.139999,61.810001,62.580002,210500,62.580002
2015-12-11,63.209999,63.830002,62.32,62.959999,144600,62.959999
2015-12-10,63.73,64.800003,62.990002,64.110001,164000,64.110001
2015-12-09,63.439999,64.07,62.470001,62.799999,104900,62.799999
2015-12-08,62.919998,63.93,62.00,63.740002,115400,63.740002
2015-12-07,64.690002,64.900002,63.23,63.580002,169200,63.580002
2015-12-04,62.900002,64.900002,62.900002,64.849998,214700,64.849998
2015-12-03,62.889999,63.130001,62.009998,62.669998,234400,62.669998
2015-12-02,62.009998,63.029999,62.009998,62.82,181500,62.82
2015-12-01,61.669998,62.599998,61.509998,62.110001,185400,62.110001
2015-11-30,63.419998,63.779999,61.68,61.779999,290300,61.779999
2015-11-27,62.330002,63.369999,62.330002,63.060001,62700,63.060001
2015-11-25,62.110001,62.509998,61.700001,62.419998,83000,62.419998
2015-11-24,60.630001,62.259998,60.630001,62.139999,125600,62.139999
2015-11-23,60.970001,61.450001,60.139999,61.099998,141800,61.099998
2015-11-20,61.66,62.07,60.82,60.990002,155300,60.870001
2015-11-19,61.00,62.400002,60.900002,61.259998,206200,61.139466
2015-11-18,60.27,61.189999,59.700001,60.810001,123600,60.690355
2015-11-17,59.779999,60.689999,59.119999,60.240002,158500,60.121477
2015-11-16,58.34,59.990002,58.34,59.810001,199100,59.692322
2015-11-13,59.560001,60.580002,58.48,58.720001,249400,58.604467
2015-11-12,61.84,62.669998,60.310001,60.490002,185000,60.370985
2015-11-11,62.080002,63.599998,61.959999,62.400002,129100,62.277226
2015-11-10,61.349998,62.869999,61.349998,62.639999,287300,62.516752
2015-11-09,63.189999,63.189999,61.290001,62.220001,146700,62.09758
2015-11-06,61.290001,63.18,61.18,63.110001,212300,62.985829
2015-11-05,62.52,63.200001,61.34,61.650002,139700,61.528702
2015-11-04,62.580002,63.119999,62.09,62.549999,132700,62.426929
2015-11-03,62.00,62.900002,61.00,62.220001,144100,62.09758
2015-11-02,62.84,63.900002,61.779999,61.830002,136700,61.708348
2015-10-30,61.02,63.169998,57.849998,62.689999,266200,62.566653
2015-10-29,63.599998,65.669998,59.060001,60.959999,339700,60.840057
2015-10-28,62.599998,64.440002,62.279999,64.370003,196700,64.243352
2015-10-27,63.040001,63.459999,62.18,62.32,272900,62.197382
2015-10-26,63.869999,64.07,62.98,63.43,96500,63.305199
2015-10-23,63.41,63.889999,62.450001,63.830002,202300,63.704413
2015-10-22,61.650002,62.970001,61.549999,62.669998,150100,62.546692
2015-10-21,62.470001,62.470001,61.16,61.240002,117400,61.119509
2015-10-20,62.110001,62.939999,61.849998,62.43,172600,62.307166
2015-10-19,61.810001,62.599998,61.25,62.23,129800,62.107559
2015-10-16,60.860001,62.439999,60.52,62.25,210100,62.12752
2015-10-15,59.57,60.720001,59.439999,60.639999,193200,60.520687
2015-10-14,60.049999,60.529999,59.139999,59.50,237200,59.382931
2015-10-13,61.27,61.630001,59.369999,60.130001,219500,60.011692
2015-10-12,60.75,62.009998,60.279999,61.959999,135700,61.83809
2015-10-09,60.73,60.880001,60.380001,60.669998,211400,60.550627
2015-10-08,59.779999,60.540001,59.310001,60.540001,130400,60.420885
2015-10-07,59.57,59.959999,58.639999,59.919998,140800,59.802103
2015-10-06,59.48,60.330002,59.09,59.380001,279800,59.263168
2015-10-05,57.419998,59.369999,57.360001,59.360001,208000,59.243207
2015-10-02,55.639999,57.110001,55.130001,57.099998,225000,56.987651
2015-10-01,56.16,56.34,55.27,56.169998,258900,56.059481
2015-09-30,55.73,56.43,55.349998,56.119999,295300,56.00958
2015-09-29,56.169998,56.169998,54.959999,55.27,234200,55.161254
2015-09-28,56.18,56.799999,55.75,56.150002,214000,56.039524
2015-09-25,57.07,57.07,55.779999,56.369999,303700,56.259088
2015-09-24,55.790001,56.59,55.50,56.48,211100,56.368872
2015-09-23,56.029999,56.610001,55.540001,56.279999,128300,56.169265
2015-09-22,55.41,55.880001,55.139999,55.84,154900,55.730132
2015-09-21,54.779999,56.639999,54.48,56.02,305900,55.909778
2015-09-18,53.50,55.709999,53.50,54.200001,1418700,54.09336
2015-09-17,54.82,55.77,53.810001,54.099998,459100,53.993554
2015-09-16,55.82,56.099998,54.75,54.84,290100,54.7321
2015-09-15,57.349998,57.82,55.470001,55.689999,452400,55.580426
2015-09-14,58.580002,59.110001,57.34,58.110001,146800,57.995666
2015-09-11,57.68,58.779999,57.639999,58.50,86800,58.384898
2015-09-10,57.490002,58.16,57.330002,58.150002,150500,58.035589
2015-09-09,59.279999,59.279999,57.580002,57.669998,148800,57.55653
2015-09-08,57.779999,58.950001,56.970001,58.66,175000,58.544583
2015-09-04,56.50,57.16,56.50,56.970001,116100,56.85791
2015-09-03,56.779999,57.50,56.599998,57.220001,184100,57.107418
2015-09-02,56.220001,56.549999,55.419998,56.549999,111200,56.438734
2015-09-01,56.130001,57.080002,55.139999,55.560001,192400,55.450684
2015-08-31,57.639999,58.02,56.93,57.139999,150100,57.027574
2015-08-28,57.360001,57.93,56.959999,57.860001,203600,57.746158
2015-08-27,58.77,59.00,56.950001,57.740002,242100,57.626395
2015-08-26,58.32,58.959999,57.459999,58.279999,211400,58.16533
2015-08-25,59.490002,59.490002,56.630001,57.459999,306000,57.227179
2015-08-24,56.009998,59.02,55.27,57.669998,320400,57.436327
2015-08-21,57.849998,59.32,56.66,58.91,264400,58.671305
2015-08-20,60.779999,62.77,58.919998,59.009998,265900,58.770898
2015-08-19,62.169998,62.400002,60.77,61.200001,250500,60.952027
2015-08-18,63.639999,63.970001,62.490002,62.580002,158700,62.326436
2015-08-17,62.849998,63.869999,62.419998,63.73,187400,63.471774
2015-08-14,62.68,63.470001,61.970001,62.98,131600,62.724813
2015-08-13,61.799999,63.369999,61.610001,63.099998,238300,62.844326
2015-08-12,59.779999,61.740002,59.470001,61.689999,302900,61.440039
2015-08-11,60.09,61.299999,60.060001,60.189999,188100,59.946117
2015-08-10,59.610001,61.189999,59.48,60.790001,278000,60.543688
2015-08-07,59.009998,59.68,58.68,59.330002,153300,59.089605
2015-08-06,61.009998,61.25,59.23,59.459999,204700,59.219075
2015-08-05,61.25,61.950001,60.84,61.060001,202200,60.812595
2015-08-04,60.900002,61.389999,60.48,60.98,110800,60.732917
2015-08-03,61.040001,61.310001,60.34,60.830002,106700,60.583527
2015-07-31,60.23,61.43,60.150002,61.16,233000,60.912188
2015-07-30,58.110001,60.669998,56.549999,60.299999,292400,60.055672
2015-07-29,58.169998,58.25,53.470001,57.810001,259100,57.575763
2015-07-28,59.59,59.59,57.810001,58.389999,205600,58.153411
2015-07-27,59.02,59.50,58.419998,59.400002,139000,59.159321
2015-07-24,59.41,60.099998,58.639999,59.23,124200,58.990008
2015-07-23,60.759998,61.32,59.169998,59.490002,178600,59.248956
2015-07-22,59.860001,61.080002,59.860001,60.830002,140200,60.583527
2015-07-21,60.950001,61.09,59.529999,60.169998,215700,59.926198
2015-07-20,61.029999,61.349998,60.529999,61.07,195400,60.822552
2015-07-17,60.740002,61.029999,59.709999,60.990002,174900,60.742878
2015-07-16,60.009998,60.970001,59.400002,60.52,175800,60.274782
2015-07-15,59.700001,59.970001,59.099998,59.330002,122600,59.089605
2015-07-14,59.16,59.810001,58.759998,59.650002,114400,59.408308
2015-07-13,59.110001,59.529999,58.700001,59.150002,106000,58.910334
2015-07-10,58.099998,58.959999,57.68,58.869999,129500,58.631466
2015-07-09,58.619999,58.75,57.369999,57.509998,238200,57.276976
2015-07-08,57.16,58.169998,57.009998,57.98,316000,57.745072
2015-07-07,56.919998,57.50,56.09,57.459999,188700,57.227179
2015-07-06,56.59,57.400002,56.450001,56.93,160100,56.699328
2015-07-02,57.82,58.00,56.279999,57.09,125500,56.858679
2015-07-01,57.310001,57.799999,56.810001,57.77,205100,57.535924
2015-06-30,56.779999,57.16,56.459999,56.950001,196500,56.719247
2015-06-29,57.189999,57.209999,56.130001,56.189999,135100,55.962324
2015-06-26,57.799999,57.900002,57.130001,57.450001,203400,57.217221
2015-06-25,57.290001,57.939999,57.209999,57.66,144600,57.426369
2015-06-24,57.970001,57.970001,56.900002,57.169998,136400,56.938353
2015-06-23,58.18,58.529999,57.52,57.970001,130900,57.735115
2015-06-22,59.950001,60.049999,57.48,57.98,206300,57.745072
2015-06-19,58.82,60.07,58.139999,59.669998,1317000,59.428223
2015-06-18,57.349998,58.830002,57.220001,58.66,492700,58.422317
2015-06-17,56.099998,57.59,55.950001,57.130001,347800,56.898518
2015-06-16,53.790001,56.580002,53.790001,55.75,391500,55.524109
2015-06-15,51.990002,53.68,51.07,53.259998,251200,53.044196
2015-06-12,52.310001,53.00,52.119999,52.27,105600,52.05821
2015-06-11,52.869999,53.169998,52.34,52.419998,228300,52.207599
2015-06-10,51.82,53.189999,51.779999,53.09,247400,52.874887
2015-06-09,51.759998,51.880001,50.889999,51.529999,139000,51.321206
2015-06-08,52.130001,52.52,51.709999,51.830002,83700,51.619994
2015-06-05,52.16,52.41,51.639999,52.360001,145400,52.147845
2015-06-04,52.07,52.66,51.689999,52.310001,180400,52.098048
2015-06-03,51.349998,52.32,50.98,52.310001,169000,52.098048
2015-06-02,51.240002,51.720001,50.82,51.23,285100,51.022423
2015-06-01,51.630001,51.740002,50.580002,51.470001,117700,51.261452
2015-05-29,51.700001,51.880001,51.049999,51.259998,151500,51.0523
2015-05-28,51.700001,51.959999,51.279999,51.869999,149900,51.659829
2015-05-27,51.040001,52.25,50.720001,51.860001,288800,51.649871
2015-05-26,51.75,51.77,50.450001,50.990002,297700,50.783397
2015-05-22,52.00,52.50,51.630001,52.080002,225600,51.749469
2015-05-21,52.110001,52.41,51.779999,51.959999,144800,51.630228
2015-05-20,52.57,52.57,51.900002,52.299999,129200,51.96807
2015-05-19,53.400002,53.73,52.330002,52.48,178300,52.146928
2015-05-18,52.790001,53.560001,52.599998,53.330002,163100,52.991535
2015-05-15,53.279999,53.619999,52.50,52.849998,182100,52.514578
2015-05-14,52.919998,53.50,52.880001,53.380001,304000,53.041217
2015-05-13,53.07,53.369999,52.470001,52.759998,330800,52.425149
2015-05-12,52.52,52.93,51.75,52.75,152000,52.415215
2015-05-11,52.82,53.02,52.25,52.52,152000,52.186675
2015-05-08,53.509998,53.700001,52.529999,52.84,136100,52.504644
2015-05-07,52.139999,53.060001,51.66,52.970001,242200,52.63382
2015-05-06,52.16,52.50,51.939999,52.310001,161200,51.978008
2015-05-05,51.759998,52.41,51.509998,52.07,248000,51.73953
2015-05-04,52.240002,52.34,51.02,52.049999,215700,51.719656
2015-05-01,51.09,51.529999,50.099998,51.34,269400,51.014164
2015-04-30,48.139999,51.209999,48.139999,50.529999,594300,50.209303
2015-04-29,50.68,50.959999,48.700001,48.75,326700,48.440601
2015-04-28,50.650002,51.209999,50.150002,51.119999,197000,50.795559
2015-04-27,50.360001,50.860001,49.889999,50.450001,175100,50.129813
2015-04-24,50.669998,50.75,50.060001,50.299999,204300,49.980763
2015-04-23,50.09,50.669998,49.939999,50.470001,137300,50.149686
2015-04-22,50.07,50.509998,49.68,50.369999,75700,50.050319
2015-04-21,49.84,50.369999,49.82,50.060001,94100,49.742288
2015-04-20,49.09,49.919998,48.900002,49.610001,69300,49.295144
2015-04-17,48.900002,49.119999,48.459999,48.900002,239300,48.589651
2015-04-16,48.939999,49.439999,48.939999,49.290001,86600,48.977175
2015-04-15,49.470001,49.529999,48.740002,49.110001,209300,48.798317
2015-04-14,49.110001,50.049999,49.00,49.209999,224500,48.897681
2015-04-13,49.27,49.48,48.759998,48.91,126800,48.599586
2015-04-10,49.630001,49.939999,48.790001,49.209999,86900,48.897681
2015-04-09,49.009998,49.459999,48.560001,49.380001,198300,49.066604
2015-04-08,48.970001,49.59,48.740002,49.02,422900,48.708888
2015-04-07,48.740002,48.98,48.470001,48.950001,206000,48.639333
