Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.90,17.33,16.66,17.33,1302200,17.33
2016-01-21,16.68,17.02,16.209999,16.719999,2470400,16.719999
2016-01-20,16.719999,16.940001,16.059999,16.620001,2405800,16.620001
2016-01-19,16.76,17.030001,16.379999,16.91,2269800,16.91
2016-01-15,16.66,16.940001,16.48,16.639999,2326200,16.639999
2016-01-14,16.889999,17.219999,16.66,17.10,2428000,17.10
2016-01-13,16.52,17.17,16.459999,16.889999,3512700,16.889999
2016-01-12,15.97,16.459999,15.86,16.43,2235400,16.43
2016-01-11,15.81,15.94,15.48,15.92,1495000,15.92
2016-01-08,15.79,15.96,15.69,15.71,1170500,15.71
2016-01-07,16.059999,16.27,15.72,15.74,1260200,15.74
2016-01-06,15.91,16.59,15.91,16.299999,1188000,16.299999
2016-01-05,16.700001,16.700001,16.299999,16.50,1534800,16.50
2016-01-04,16.610001,16.66,16.299999,16.50,972000,16.50
2015-12-31,16.959999,16.99,16.690001,16.889999,957300,16.889999
2015-12-30,17.190001,17.190001,16.91,17.00,672100,17.00
2015-12-29,17.030001,17.18,16.940001,17.15,811900,17.15
2015-12-28,17.110001,17.110001,16.68,17.01,951900,17.01
2015-12-24,17.049999,17.219999,16.90,17.10,684600,17.10
2015-12-23,17.07,17.129999,16.93,17.120001,1833100,17.120001
2015-12-22,16.99,17.07,16.58,17.02,1998500,17.02
2015-12-21,16.719999,16.91,16.32,16.91,2007300,16.91
2015-12-18,16.58,16.91,16.41,16.709999,2590800,16.709999
2015-12-17,16.98,16.99,16.60,16.60,1403900,16.60
2015-12-16,16.780001,16.92,16.50,16.90,1410200,16.90
2015-12-15,16.18,16.67,16.18,16.620001,1890800,16.620001
2015-12-14,16.530001,16.60,16.15,16.209999,2237800,16.209999
2015-12-11,16.40,16.66,16.379999,16.48,2060200,16.48
2015-12-10,16.780001,16.90,16.50,16.700001,2211500,16.700001
2015-12-09,16.77,17.17,16.690001,16.780001,1487900,16.780001
2015-12-08,16.719999,16.99,16.51,16.85,1882800,16.85
2015-12-07,16.799999,17.110001,16.610001,17.08,1575500,17.08
2015-12-04,16.950001,17.02,16.719999,16.870001,1307000,16.870001
2015-12-03,17.280001,17.34,16.74,16.90,1248900,16.90
2015-12-02,17.32,17.42,17.24,17.27,1204100,17.27
2015-12-01,17.35,17.51,17.26,17.32,890400,17.32
2015-11-30,17.459999,17.59,17.27,17.309999,1475700,17.309999
2015-11-27,17.77,17.790001,17.51,17.51,334400,17.51
2015-11-25,17.469999,17.790001,17.360001,17.68,852700,17.68
2015-11-24,17.129999,17.57,17.129999,17.42,1667400,17.42
2015-11-23,17.059999,17.48,17.059999,17.27,1312900,17.27
2015-11-20,17.02,17.40,17.01,17.120001,1875800,17.120001
2015-11-19,16.530001,16.870001,16.50,16.82,1953700,16.82
2015-11-18,16.379999,16.950001,16.34,16.92,2392900,16.92
2015-11-17,16.23,16.639999,16.02,16.35,2402300,16.35
2015-11-16,16.09,16.200001,15.98,16.110001,1161700,16.110001
2015-11-13,16.40,16.52,15.96,16.120001,2496500,16.120001
2015-11-12,16.690001,16.870001,16.42,16.530001,2626000,16.530001
2015-11-11,16.469999,16.790001,16.370001,16.719999,3128600,16.719999
2015-11-10,16.200001,16.379999,15.90,16.360001,3822800,16.360001
2015-11-09,16.559999,16.67,16.110001,16.25,2591500,16.19
2015-11-06,16.700001,16.700001,16.42,16.540001,3092700,16.47893
2015-11-05,16.620001,16.77,16.549999,16.75,2352900,16.688153
2015-11-04,17.24,17.40,16.42,16.82,5913000,16.757895
2015-11-03,16.889999,17.969999,16.780001,17.51,3846700,17.445348
2015-11-02,17.299999,17.43,17.049999,17.23,2909800,17.166381
2015-10-30,17.290001,17.290001,16.49,16.969999,3288800,16.90734
2015-10-29,17.43,17.68,17.290001,17.34,1902500,17.275975
2015-10-28,17.57,18.08,17.389999,17.65,3548000,17.58483
2015-10-27,18.16,18.610001,17.559999,17.59,1509000,17.525052
2015-10-26,17.700001,18.299999,17.700001,18.190001,1400700,18.122837
2015-10-23,17.959999,17.959999,17.459999,17.67,2175300,17.604757
2015-10-22,18.139999,18.25,17.51,17.60,2564200,17.535015
2015-10-21,19.25,19.35,18.02,18.08,2212700,18.013243
2015-10-20,19.219999,19.440001,19.120001,19.18,1246600,19.109181
2015-10-19,19.139999,19.33,18.99,19.299999,1239300,19.228737
2015-10-16,19.24,19.360001,18.85,19.18,1534500,19.109181
2015-10-15,18.719999,19.27,18.59,19.23,2167200,19.158996
2015-10-14,18.709999,18.860001,18.549999,18.59,1734500,18.52136
2015-10-13,18.82,19.02,18.549999,18.65,1119200,18.581138
2015-10-12,18.889999,19.17,18.610001,18.99,2059200,18.919882
2015-10-09,18.309999,18.49,18.16,18.450001,1304800,18.381877
2015-10-08,18.030001,18.559999,18.030001,18.360001,1892400,18.292209
2015-10-07,17.92,18.35,17.75,18.15,2911100,18.082984
2015-10-06,18.200001,18.299999,17.92,17.959999,3447000,17.893685
2015-10-05,18.41,18.66,18.18,18.200001,1965500,18.1328
2015-10-02,17.91,18.49,17.77,18.459999,1933000,18.391839
2015-10-01,18.110001,18.309999,17.67,18.10,3714000,18.033169
2015-09-30,18.610001,18.82,18.15,18.18,3445300,18.112874
2015-09-29,18.50,18.690001,18.33,18.469999,1062600,18.401802
2015-09-28,19.32,19.370001,18.52,18.530001,1324000,18.461582
2015-09-25,19.50,19.610001,19.00,19.09,1144400,19.019514
2015-09-24,19.52,19.620001,19.16,19.40,1176800,19.328368
2015-09-23,19.860001,19.91,19.389999,19.59,1327400,19.517667
2015-09-22,19.91,20.34,19.82,19.91,1426900,19.836486
2015-09-21,20.030001,20.459999,19.950001,20.17,1373700,20.095526
2015-09-18,20.110001,20.16,19.76,19.950001,1929900,19.876339
2015-09-17,20.24,20.790001,20.129999,20.450001,1052700,20.374493
2015-09-16,20.290001,20.530001,20.10,20.34,1536100,20.264898
2015-09-15,20.41,20.629999,20.27,20.41,1180800,20.334639
2015-09-14,20.16,20.43,19.91,20.32,2361200,20.244972
2015-09-11,20.040001,20.34,19.950001,20.15,2620100,20.075599
2015-09-10,20.549999,20.809999,20.26,20.34,1368900,20.264898
2015-09-09,21.01,21.09,20.67,20.68,1604400,20.603643
2015-09-08,20.780001,20.940001,20.32,20.92,935500,20.842757
2015-09-04,20.360001,20.67,20.219999,20.440001,749200,20.364529
2015-09-03,20.780001,20.889999,20.52,20.629999,1069400,20.553826
2015-09-02,20.780001,20.91,20.450001,20.74,1261700,20.663421
2015-09-01,20.24,20.959999,20.24,20.57,2928300,20.494048
2015-08-31,20.51,20.969999,20.48,20.700001,2890200,20.62357
2015-08-28,20.00,20.58,20.00,20.51,2507700,20.434271
2015-08-27,19.77,20.32,19.700001,20.07,2417600,19.995895
2015-08-26,19.26,19.639999,18.91,19.57,2467700,19.497741
2015-08-25,19.889999,20.01,18.809999,18.82,2258500,18.75051
2015-08-24,19.24,19.59,18.00,19.33,2009900,19.258627
2015-08-21,20.440001,20.65,19.91,20.360001,2478400,20.284825
2015-08-20,21.450001,21.530001,20.780001,20.809999,1249400,20.733162
2015-08-19,21.690001,21.719999,21.360001,21.559999,1563800,21.480393
2015-08-18,21.83,22.110001,21.68,21.73,993600,21.649765
2015-08-17,21.540001,22.040001,21.459999,21.92,1313100,21.839064
2015-08-14,21.809999,21.92,21.65,21.66,1126100,21.580024
2015-08-13,21.57,22.07,21.35,21.91,2622300,21.769323
2015-08-12,21.540001,21.629999,21.08,21.49,3582700,21.35202
2015-08-11,21.709999,21.860001,21.58,21.65,2157200,21.510992
2015-08-10,23.200001,23.200001,21.889999,21.91,1893400,21.769323
2015-08-07,22.370001,22.450001,22.049999,22.41,1741400,22.266113
2015-08-06,23.02,23.10,22.24,22.530001,2120400,22.385343
2015-08-05,23.48,23.75,22.92,22.959999,2755800,22.81258
2015-08-04,23.24,23.83,22.82,23.299999,3737000,23.150398
2015-08-03,23.200001,23.33,22.690001,22.780001,3157000,22.633738
2015-07-31,22.90,23.379999,22.809999,23.290001,1604300,23.140463
2015-07-30,22.120001,22.99,22.120001,22.790001,2127000,22.643674
2015-07-29,22.00,22.40,21.92,22.26,1819600,22.117076
2015-07-28,22.200001,22.23,21.75,22.030001,1703800,21.888553
2015-07-27,22.139999,22.360001,21.940001,22.059999,1049900,21.918359
2015-07-24,22.73,22.75,22.120001,22.209999,1373800,22.067396
2015-07-23,23.110001,23.16,22.67,22.790001,1066800,22.643674
2015-07-22,23.01,23.32,22.91,22.98,1850100,22.832453
2015-07-21,22.99,23.10,22.709999,22.99,1071000,22.842389
2015-07-20,23.17,23.25,22.98,23.059999,957900,22.911939
2015-07-17,23.52,23.549999,22.99,23.08,760000,22.931811
2015-07-16,23.52,23.60,23.370001,23.43,1141300,23.279564
2015-07-15,23.610001,23.68,23.33,23.360001,1529600,23.210014
2015-07-14,23.60,23.76,23.459999,23.690001,1490700,23.537895
2015-07-13,23.299999,23.57,23.26,23.52,1195800,23.368986
2015-07-10,22.870001,23.23,22.74,23.17,1853300,23.021233
2015-07-09,22.629999,22.809999,22.51,22.639999,1145300,22.494635
2015-07-08,22.48,22.66,22.27,22.379999,1620000,22.236305
2015-07-07,22.280001,22.76,21.90,22.610001,1862100,22.464829
2015-07-06,21.85,22.280001,21.809999,22.15,1590500,22.007782
2015-07-02,21.709999,22.01,21.610001,22.00,1441500,21.858745
2015-07-01,22.219999,22.219999,21.540001,21.639999,2923000,21.501056
2015-06-30,21.18,21.389999,21.10,21.35,1511600,21.212919
2015-06-29,21.48,21.639999,21.030001,21.040001,1376100,20.90491
2015-06-26,21.309999,21.780001,21.309999,21.639999,7791600,21.501056
2015-06-25,21.75,21.780001,21.559999,21.67,1367800,21.530864
2015-06-24,21.790001,21.860001,21.58,21.68,1195700,21.5408
2015-06-23,22.049999,22.16,21.76,21.790001,1252900,21.650094
2015-06-22,21.99,22.110001,21.82,21.940001,1509300,21.799131
2015-06-19,21.75,22.040001,21.700001,21.809999,1648200,21.669965
2015-06-18,21.370001,22.049999,20.860001,21.68,1572200,21.5408
2015-06-17,21.969999,22.09,21.780001,21.84,1270200,21.699773
2015-06-16,22.549999,22.549999,21.65,21.879999,3108700,21.739515
2015-06-15,22.75,22.83,22.57,22.65,1413000,22.504571
2015-06-12,22.83,23.07,22.549999,22.799999,1187800,22.653608
2015-06-11,23.10,23.17,22.83,22.91,931500,22.762902
2015-06-10,22.780001,23.15,22.620001,23.01,1792900,22.862261
2015-06-09,22.76,22.799999,22.66,22.74,1300700,22.593994
2015-06-08,22.41,22.780001,22.41,22.74,1323500,22.593994
2015-06-05,22.34,22.559999,22.049999,22.49,1007000,22.345599
2015-06-04,22.48,22.67,22.35,22.379999,709700,22.236305
2015-06-03,22.280001,22.629999,22.110001,22.60,1223800,22.454893
2015-06-02,22.290001,22.40,22.07,22.27,1298400,22.127012
2015-06-01,22.52,22.60,22.17,22.389999,1247900,22.246241
2015-05-29,22.59,22.799999,22.280001,22.459999,1167900,22.315791
2015-05-28,22.860001,23.01,22.629999,22.639999,1958400,22.494635
2015-05-27,22.68,23.00,22.65,22.93,1609400,22.782774
2015-05-26,22.60,22.82,22.530001,22.57,1808700,22.425085
2015-05-22,22.82,23.00,22.549999,22.620001,1468600,22.474765
2015-05-21,22.629999,22.84,22.48,22.75,1192900,22.60393
2015-05-20,22.67,22.83,22.379999,22.58,842400,22.435021
2015-05-19,22.370001,22.66,22.219999,22.65,1205400,22.504571
2015-05-18,22.049999,22.43,22.01,22.34,1174400,22.196562
2015-05-15,22.00,22.309999,21.75,22.25,1801000,22.10714
2015-05-14,21.889999,22.09,21.809999,21.98,1487400,21.838873
2015-05-13,21.709999,21.98,21.620001,21.84,1284200,21.699773
2015-05-12,21.879999,22.120001,21.389999,21.889999,2119400,21.689836
2015-05-11,21.48,22.040001,21.41,22.02,3121400,21.818648
2015-05-08,21.90,22.190001,21.43,21.440001,2013700,21.243952
2015-05-07,21.33,21.82,21.030001,21.610001,3048200,21.412397
2015-05-06,21.60,22.00,21.25,21.389999,2553400,21.194408
2015-05-05,22.879999,23.129999,21.49,21.559999,6313000,21.362853
2015-05-04,22.91,23.32,22.75,23.00,2947500,22.789686
2015-05-01,22.66,23.26,22.48,22.889999,1756800,22.680692
2015-04-30,22.549999,22.83,22.379999,22.66,1799000,22.452795
2015-04-29,23.209999,23.41,22.16,22.629999,1980200,22.423069
2015-04-28,23.10,23.549999,22.90,23.370001,1633400,23.156304
2015-04-27,23.219999,23.370001,23.01,23.139999,2117100,22.928406
2015-04-24,23.049999,23.370001,22.90,23.08,1015100,22.868955
2015-04-23,22.690001,23.33,22.690001,22.959999,1360400,22.750051
2015-04-22,22.74,22.85,22.51,22.700001,665800,22.49243
2015-04-21,22.530001,23.030001,22.370001,22.709999,1342100,22.502337
2015-04-20,22.65,22.809999,22.25,22.60,1376500,22.393344
2015-04-17,22.610001,22.68,22.34,22.50,1148300,22.294258
2015-04-16,22.84,23.139999,22.719999,22.780001,1168500,22.571699
2015-04-15,22.969999,23.059999,22.450001,22.83,2461300,22.621241
2015-04-14,22.889999,23.110001,22.719999,22.92,1397200,22.710418
2015-04-13,23.709999,23.709999,22.82,22.950001,2055800,22.740144
2015-04-10,23.35,23.73,23.290001,23.610001,1425600,23.394109
2015-04-09,23.68,23.90,23.290001,23.35,1201100,23.136486
2015-04-08,22.709999,23.66,22.610001,23.66,1693500,23.443651
2015-04-07,23.65,23.709999,22.92,23.049999,2284000,22.839228
2015-04-06,23.93,24.219999,23.50,23.620001,1610000,23.404018
2015-04-02,24.00,24.209999,23.77,24.01,1446100,23.790451
2015-04-01,24.27,24.309999,23.799999,24.139999,1980900,23.919262
2015-03-31,24.23,24.469999,23.93,24.33,1071500,24.107525
2015-03-30,23.889999,24.530001,23.84,24.290001,1337900,24.067892
2015-03-27,23.85,24.24,23.639999,23.82,1752200,23.602188
2015-03-26,24.139999,24.139999,23.43,23.860001,2193200,23.641823
2015-03-25,25.00,25.219999,24.27,24.280001,1496800,24.057983
2015-03-24,25.27,25.309999,24.84,24.889999,985700,24.662404
2015-03-23,24.91,25.35,24.76,25.25,1210000,25.019112
2015-03-20,24.950001,25.33,24.82,25.00,2313300,24.771398
2015-03-19,24.59,24.940001,24.52,24.76,1367500,24.533593
2015-03-18,24.84,24.879999,24.280001,24.59,1468500,24.365148
2015-03-17,24.870001,24.940001,24.48,24.85,1789100,24.62277
2015-03-16,24.780001,24.969999,24.57,24.91,1646800,24.682221
2015-03-13,24.99,25.219999,24.50,24.559999,2787700,24.335421
2015-03-12,24.57,24.98,24.43,24.940001,2306900,24.711947
2015-03-11,25.030001,25.360001,24.35,24.459999,2253300,24.236335
2015-03-10,24.99,25.41,24.860001,25.040001,2408300,24.811033
2015-03-09,25.07,25.59,25.00,25.40,2806200,25.16774
2015-03-06,25.540001,25.690001,24.799999,24.799999,3398600,24.573226
2015-03-05,25.549999,25.93,25.40,25.690001,2141000,25.455089
2015-03-04,25.709999,25.77,25.17,25.549999,1988600,25.316368
2015-03-03,25.639999,25.969999,25.16,25.74,2592100,25.504631
2015-03-02,25.690001,26.25,25.68,26.16,5230800,25.920791
2015-02-27,25.68,26.25,25.549999,25.76,8832400,25.464998
2015-02-26,25.35,25.690001,25.26,25.360001,1001400,25.069579
2015-02-25,25.73,25.77,25.389999,25.48,1331400,25.188204
2015-02-24,25.18,25.950001,25.18,25.690001,1747100,25.3958
2015-02-23,25.440001,25.75,25.02,25.09,1024600,24.80267
2015-02-20,25.60,25.969999,25.33,25.40,1786500,25.10912
2015-02-19,24.92,25.889999,24.52,25.48,3480500,25.188204
2015-02-18,24.67,25.549999,24.35,25.450001,3373800,25.158548
2015-02-17,24.469999,24.790001,24.23,24.629999,1524300,24.347937
2015-02-13,24.690001,24.75,24.360001,24.450001,1238300,24.17
2015-02-12,24.92,25.01,24.58,24.610001,1540400,24.328168
2015-02-11,24.440001,25.10,24.41,24.90,1578300,24.614846
2015-02-10,24.379999,24.67,24.309999,24.459999,1581000,24.179884
2015-02-09,24.559999,24.690001,24.190001,24.26,960900,23.982176
2015-02-06,24.52,24.92,24.42,24.700001,1320100,24.417137
2015-02-05,25.00,25.17,24.48,24.51,1457000,24.229313
2015-02-04,24.360001,25.00,24.280001,24.90,1466500,24.614846
2015-02-03,24.60,25.110001,24.42,24.57,1894800,24.288625
2015-02-02,24.65,24.780001,23.68,24.49,1925800,24.209541
2015-01-30,25.32,25.370001,24.52,24.719999,1934000,24.436907
2015-01-29,25.00,25.549999,24.790001,25.450001,1751300,25.158548
2015-01-28,25.49,25.639999,24.809999,24.84,1066800,24.555533
2015-01-27,25.280001,25.66,25.02,25.309999,1397700,25.02015
2015-01-26,24.99,25.49,24.93,25.32,1426300,25.030036
2015-01-23,25.059999,25.360001,24.809999,24.93,1325600,24.644503
