Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,12.42,12.45,12.06,12.45,400,12.45
2016-01-21,12.35,12.35,12.35,12.35,000,12.35
2016-01-20,12.45,12.60,12.35,12.35,2300,12.35
2016-01-19,12.70,12.70,12.57,12.57,900,12.57
2016-01-15,12.85,12.85,12.79,12.85,3000,12.85
2016-01-14,12.42,12.84,12.40,12.84,800,12.84
2016-01-13,12.85,12.85,12.85,12.85,100,12.85
2016-01-12,12.85,12.85,12.45,12.85,300,12.85
2016-01-11,12.85,12.85,12.85,12.85,000,12.85
2016-01-08,12.85,12.85,12.85,12.85,200,12.85
2016-01-07,12.85,12.85,12.85,12.85,100,12.85
2016-01-06,12.85,12.85,12.82,12.82,300,12.82
2016-01-05,12.60,12.60,12.60,12.60,600,12.60
2016-01-04,12.60,12.60,12.35,12.50,2500,12.50
2015-12-31,12.95,13.02,12.05,12.93,10500,12.93
2015-12-30,13.00,13.00,12.80,13.00,1200,13.00
2015-12-29,12.61,13.19,12.61,12.84,1500,12.84
2015-12-28,12.96,13.18,12.96,13.03,1500,13.03
2015-12-24,12.81,12.81,12.81,12.81,100,12.81
2015-12-23,12.84,12.84,12.02,12.50,500,12.50
2015-12-22,13.00,13.00,13.00,13.00,2500,13.00
2015-12-21,13.00,13.00,12.99,13.00,2400,13.00
2015-12-18,12.47,13.07,12.47,13.07,1400,13.07
2015-12-17,12.51,12.57,12.48,12.57,600,12.57
2015-12-16,12.56,12.56,12.56,12.56,500,12.56
2015-12-15,12.50,12.66,12.50,12.54,1600,12.54
2015-12-14,12.29,12.50,12.25,12.48,1200,12.48
2015-12-11,12.06,12.22,12.00,12.12,1900,12.12
2015-12-10,11.86,11.86,11.86,11.86,000,11.86
2015-12-09,11.91,11.91,11.86,11.86,900,11.86
2015-12-08,12.50,12.52,12.50,12.50,1900,12.50
2015-12-07,13.20,13.20,12.55,12.55,2000,12.55
2015-12-04,13.17,13.20,12.62,12.62,600,12.62
2015-12-03,12.99,12.99,12.99,12.99,000,12.99
2015-12-02,13.02,13.07,12.99,12.99,4100,12.99
2015-12-01,13.98,13.98,13.80,13.80,2000,13.740001
2015-11-30,14.75,14.75,12.96,12.96,400,12.903653
2015-11-27,14.86,15.00,14.50,15.00,2000,14.934783
2015-11-25,11.75,11.75,11.75,11.75,000,11.698913
2015-11-24,11.75,12.00,11.72,11.75,2200,11.698913
2015-11-23,11.75,11.76,11.75,11.75,600,11.698913
2015-11-20,11.93,11.95,11.92,11.95,2000,11.898044
2015-11-19,11.60,12.00,11.60,12.00,1200,11.947826
2015-11-18,11.80,11.80,11.80,11.80,200,11.748696
2015-11-17,11.70,11.97,11.13,11.85,4200,11.798479
2015-11-16,11.38,11.38,11.07,11.07,1400,11.02187
2015-11-13,11.25,11.29,11.08,11.12,2300,11.071652
2015-11-12,11.70,11.70,11.70,11.70,000,11.649131
2015-11-11,11.70,11.70,11.70,11.70,700,11.649131
2015-11-10,11.70,11.70,11.70,11.70,200,11.649131
2015-11-09,11.25,11.25,11.25,11.25,000,11.201087
2015-11-06,11.25,11.25,11.25,11.25,000,11.201087
2015-11-05,11.25,11.25,11.25,11.25,100,11.201087
2015-11-04,11.28,11.63,11.25,11.48,1100,11.430087
2015-11-03,11.70,11.70,11.70,11.70,000,11.649131
2015-11-02,11.60,11.70,11.60,11.70,700,11.649131
2015-10-30,11.50,11.50,11.50,11.50,300,11.45
2015-10-29,11.27,11.59,11.21,11.59,1800,11.539609
2015-10-28,11.52,11.52,11.39,11.39,2300,11.340479
2015-10-27,11.50,11.69,11.50,11.69,1100,11.639174
