Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,7.83,7.86,7.72,7.78,3149100,7.78
2016-01-21,7.71,7.79,7.60,7.70,3528500,7.70
2016-01-20,7.77,7.82,7.40,7.67,5185000,7.67
2016-01-19,7.88,8.01,7.76,7.85,4303400,7.85
2016-01-15,7.86,7.98,7.72,7.87,3590600,7.87
2016-01-14,8.05,8.21,7.86,8.11,4398500,8.11
2016-01-13,8.25,8.33,8.01,8.06,4263800,8.06
2016-01-12,8.32,8.48,8.10,8.25,4669200,8.25
2016-01-11,8.43,8.48,8.14,8.24,4480300,8.24
2016-01-08,8.72,8.72,8.35,8.38,3003500,8.38
2016-01-07,8.71,8.83,8.51,8.65,4542700,8.65
2016-01-06,8.71,9.01,8.70,8.88,5250200,8.88
2016-01-05,9.21,9.30,8.79,8.83,5406200,8.83
2016-01-04,9.04,9.25,9.04,9.23,4442900,9.23
2015-12-31,9.19,9.29,9.14,9.18,2492800,9.18
2015-12-30,9.19,9.32,9.18,9.23,1871700,9.23
2015-12-29,9.26,9.33,9.16,9.23,3307600,9.23
2015-12-28,9.04,9.20,9.00,9.19,3120800,9.19
2015-12-24,9.00,9.12,9.00,9.06,1115700,9.06
2015-12-23,8.81,9.05,8.78,9.01,2788700,9.01
2015-12-22,8.75,8.84,8.70,8.76,2762400,8.76
2015-12-21,8.83,8.83,8.57,8.71,3713400,8.71
2015-12-18,8.81,8.90,8.69,8.71,5537300,8.71
2015-12-17,8.87,8.93,8.77,8.82,3690700,8.82
2015-12-16,8.79,8.92,8.74,8.87,4870300,8.87
2015-12-15,8.60,8.82,8.60,8.75,4314700,8.75
2015-12-14,8.72,8.85,8.46,8.57,4648300,8.57
2015-12-11,8.76,8.83,8.68,8.69,4015900,8.69
2015-12-10,8.85,8.95,8.83,8.83,2628300,8.83
2015-12-09,9.08,9.12,8.86,8.88,4339400,8.88
2015-12-08,9.07,9.13,8.96,9.08,4123500,9.08
2015-12-07,9.27,9.34,9.09,9.11,3216500,9.065
2015-12-04,9.13,9.36,9.13,9.31,3059600,9.264013
2015-12-03,9.43,9.46,9.01,9.12,5456000,9.074951
2015-12-02,9.49,9.55,9.36,9.36,3899700,9.313765
2015-12-01,9.36,9.53,9.32,9.46,4589100,9.413271
2015-11-30,9.43,9.53,9.30,9.39,7156300,9.343617
2015-11-27,9.35,9.47,9.31,9.40,2175500,9.353567
2015-11-25,9.31,9.40,9.20,9.33,5917900,9.283913
2015-11-24,9.26,9.55,9.16,9.31,28496300,9.264013
2015-11-23,9.87,10.19,9.87,10.09,9503100,10.040159
2015-11-20,10.07,10.15,9.79,9.85,13674300,9.801345
2015-11-19,10.20,10.25,10.05,10.07,6603300,10.020258
2015-11-18,10.17,10.27,9.99,10.19,3861100,10.139665
2015-11-17,10.08,10.32,10.02,10.09,4125600,10.040159
2015-11-16,9.98,10.13,9.96,10.07,3902000,10.020258
2015-11-13,10.24,10.24,9.96,9.99,4649600,9.940653
2015-11-12,10.46,10.51,10.24,10.26,2258200,10.20932
2015-11-11,10.51,10.69,10.44,10.50,2640900,10.448134
2015-11-10,10.77,10.82,10.41,10.50,3471000,10.448134
2015-11-09,10.82,10.86,10.70,10.83,1961200,10.776504
2015-11-06,10.89,10.91,10.69,10.86,3093600,10.806355
