Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.82,19.030001,18.530001,18.82,79200,18.82
2016-01-21,19.15,19.15,18.629999,18.67,125700,18.67
2016-01-20,18.940001,19.24,18.540001,19.040001,111200,19.040001
2016-01-19,19.52,19.67,19.209999,19.379999,132200,19.209999
2016-01-15,19.35,19.60,19.139999,19.530001,134600,19.358684
2016-01-14,19.959999,20.00,19.709999,19.809999,133400,19.636227
2016-01-13,20.120001,20.120001,19.440001,19.83,156900,19.656052
2016-01-12,20.35,20.35,19.92,20.120001,123200,19.943509
2016-01-11,20.290001,20.719999,20.09,20.33,103300,20.151666
2016-01-08,20.49,20.77,20.16,20.209999,297600,20.032718
2016-01-07,20.379999,20.42,20.16,20.379999,287900,20.201227
2016-01-06,20.209999,20.77,20.09,20.66,90200,20.478771
2016-01-05,20.48,20.549999,20.17,20.49,87400,20.310262
2016-01-04,20.389999,20.68,20.110001,20.450001,147400,20.270614
2015-12-31,21.00,21.09,20.620001,20.629999,52600,20.449034
2015-12-30,21.040001,21.110001,20.74,21.02,67100,20.835614
2015-12-29,20.83,21.08,20.52,21.01,82900,20.825701
2015-12-28,20.719999,20.860001,20.59,20.719999,97200,20.538244
2015-12-24,20.809999,20.92,20.66,20.74,119600,20.558069
2015-12-23,20.940001,20.940001,20.67,20.77,113200,20.587807
2015-12-22,20.889999,20.91,20.610001,20.82,140900,20.637368
2015-12-21,21.040001,21.15,20.610001,20.82,156500,20.637368
2015-12-18,20.74,20.85,20.530001,20.799999,283200,20.617543
2015-12-17,21.00,21.09,20.66,20.74,66600,20.558069
2015-12-16,21.00,21.08,20.75,20.950001,149300,20.766228
2015-12-15,21.059999,21.08,20.83,20.860001,187800,20.677018
2015-12-14,20.959999,21.08,20.809999,20.91,146700,20.726578
2015-12-11,21.309999,21.540001,20.809999,20.93,98900,20.746403
2015-12-10,21.57,21.870001,21.370001,21.709999,161900,21.51956
2015-12-09,21.440001,21.76,21.440001,21.60,162300,21.410526
2015-12-08,21.52,21.549999,21.26,21.459999,157800,21.271753
2015-12-07,21.969999,22.030001,21.50,21.549999,144700,21.360964
2015-12-04,21.58,21.950001,21.549999,21.870001,157700,21.678158
2015-12-03,22.16,22.40,21.780001,21.82,43500,21.628596
2015-12-02,22.25,22.35,22.00,22.10,33300,21.90614
2015-12-01,22.02,22.23,21.85,22.18,64200,21.985438
2015-11-30,22.27,22.27,21.950001,21.99,231600,21.797104
2015-11-27,22.110001,22.27,21.950001,22.209999,27100,22.015174
2015-11-25,21.98,22.26,21.76,22.15,48600,21.955701
2015-11-24,21.73,21.98,21.50,21.93,55300,21.737631
2015-11-23,21.809999,21.90,21.74,21.799999,87300,21.608771
2015-11-20,22.00,22.16,21.83,21.879999,111900,21.688069
2015-11-19,21.940001,22.00,21.73,21.860001,64600,21.668246
2015-11-18,21.860001,22.059999,21.709999,21.889999,135600,21.697981
2015-11-17,21.66,22.360001,21.629999,21.84,36800,21.648421
2015-11-16,21.75,21.809999,21.540001,21.719999,69800,21.529472
2015-11-13,21.58,22.09,21.58,21.719999,45400,21.529472
2015-11-12,22.030001,22.030001,21.719999,21.780001,37000,21.588947
2015-11-11,22.120001,22.41,22.07,22.219999,21900,22.025086
2015-11-10,21.92,22.16,21.799999,22.01,54800,21.816929
2015-11-09,22.42,22.59,21.889999,22.030001,48200,21.836754
2015-11-06,21.690001,22.41,21.690001,22.360001,52300,22.16386
2015-11-05,21.34,21.75,21.34,21.65,19400,21.460087
2015-11-04,21.33,21.51,21.209999,21.40,46900,21.21228
2015-11-03,21.219999,21.459999,21.17,21.299999,26900,21.113157
2015-11-02,20.98,21.75,20.98,21.280001,52300,21.093333
2015-10-30,21.33,21.709999,20.870001,20.870001,63400,20.68693
2015-10-29,21.059999,21.67,21.059999,21.360001,52600,21.172632
2015-10-28,19.790001,21.10,19.790001,21.09,129100,20.905
2015-10-27,20.15,20.219999,19.530001,19.66,85000,19.487543
2015-10-26,20.50,20.50,20.02,20.129999,29600,19.95342
2015-10-23,20.34,20.559999,20.200001,20.51,48800,20.330087
2015-10-22,19.82,20.48,19.82,20.27,39300,20.092193
2015-10-21,20.01,20.08,19.67,19.75,30100,19.576754
2015-10-20,19.629999,20.209999,19.629999,20.040001,29000,19.695702
2015-10-19,19.690001,19.92,19.629999,19.690001,15800,19.351715
2015-10-16,19.879999,19.879999,19.530001,19.719999,27900,19.381199
2015-10-15,19.299999,19.809999,18.99,19.799999,36900,19.459824
2015-10-14,19.549999,19.82,19.18,19.219999,22900,18.889789
2015-10-13,19.73,19.969999,19.73,19.889999,33400,19.548278
2015-10-12,19.65,19.950001,19.65,19.870001,28700,19.528623
2015-10-09,19.92,19.93,19.51,19.719999,38300,19.381199
2015-10-08,19.93,19.98,19.780001,19.92,45400,19.577763
2015-10-07,19.790001,20.00,19.620001,20.00,30600,19.656389
2015-10-06,19.950001,20.00,19.379999,19.77,56700,19.430341
2015-10-05,19.540001,20.00,19.450001,20.00,49700,19.656389
2015-10-02,19.68,19.68,18.65,19.459999,70700,19.125665
2015-10-01,19.790001,19.93,19.299999,19.90,93800,19.558106
2015-09-30,19.559999,19.940001,19.51,19.870001,118900,19.528623
2015-09-29,19.48,19.83,19.10,19.440001,65900,19.10601
2015-09-28,19.389999,19.639999,19.209999,19.41,55200,19.076525
2015-09-25,19.950001,19.99,19.389999,19.41,62500,19.076525
2015-09-24,19.709999,20.059999,19.60,19.92,53200,19.577763
2015-09-23,19.33,19.860001,19.33,19.84,82800,19.499138
2015-09-22,19.360001,19.559999,19.34,19.370001,84600,19.037213
2015-09-21,18.98,19.549999,18.76,19.50,106000,19.164979
2015-09-18,18.440001,19.17,18.280001,19.059999,287500,18.732538
2015-09-17,18.57,19.33,18.459999,18.76,107000,18.437693
2015-09-16,18.26,18.530001,18.200001,18.459999,68400,18.142846
2015-09-15,18.120001,18.299999,18.030001,18.25,108700,17.936455
2015-09-14,18.309999,18.379999,18.08,18.15,100900,17.838172
2015-09-11,17.93,18.35,17.77,18.309999,136700,17.995423
2015-09-10,18.23,18.25,17.93,18.01,141900,17.700578
2015-09-09,19.450001,19.450001,18.26,18.309999,299200,17.995423
2015-09-08,18.690001,20.83,18.690001,19.370001,93500,19.037213
2015-09-04,6.199994,6.299993,6.159993,6.199994,30900,18.280423
2015-09-03,6.349993,6.359993,6.279994,6.279994,37200,18.516299
2015-09-02,6.349993,6.369994,6.309994,6.359993,52400,18.752175
2015-09-01,6.299993,6.369994,6.289994,6.299993,57400,18.575268
2015-08-31,6.359993,6.409993,6.359993,6.399994,33200,18.870114
2015-08-28,6.289994,6.389993,6.289994,6.359993,33700,18.752175
2015-08-27,6.359993,6.389993,6.299993,6.349993,28000,18.72269
2015-08-26,6.349993,6.359993,6.269993,6.329993,33300,18.663721
2015-08-25,6.339994,6.529993,6.209993,6.219993,130400,18.339391
2015-08-24,6.199994,6.349993,6.169994,6.169994,50400,18.191969
2015-08-21,6.199994,6.409993,6.199994,6.369994,61500,18.78166
2015-08-20,6.349993,6.399994,6.299993,6.349993,35500,18.72269
2015-08-19,6.399994,6.489993,6.339994,6.409993,23200,18.899598
2015-08-18,6.439993,6.479993,6.399994,6.439993,19300,18.988051
2015-08-17,6.399994,6.509993,6.319993,6.429994,17500,18.958568
2015-08-14,6.279994,6.439993,6.279994,6.439993,16100,18.988051
2015-08-13,6.369994,6.399994,6.299993,6.319993,36900,18.634236
2015-08-12,6.399994,6.429994,6.329993,6.339994,32600,18.693207
2015-08-11,6.399994,6.429994,6.379993,6.419993,29900,18.929083
2015-08-10,6.299993,6.419993,6.299993,6.409993,48300,18.899598
2015-08-07,6.349993,6.429994,6.299993,6.309994,19900,18.604753
2015-08-06,6.459993,6.479993,6.369994,6.409993,13800,18.899598
2015-08-05,6.409993,6.489993,6.409993,6.439993,14600,18.988051
2015-08-04,6.389993,6.469993,6.389993,6.399994,9400,18.870114
2015-08-03,6.379993,6.419993,6.319993,6.389993,20100,18.840629
2015-07-31,6.459993,6.489993,6.239993,6.369994,39900,18.78166
2015-07-30,6.349993,6.449993,6.349993,6.429994,17100,18.958568
2015-07-29,6.369994,6.409993,6.299993,6.359993,22700,18.752175
2015-07-28,6.439993,6.459993,6.339994,6.369994,21300,18.78166
2015-07-27,6.369994,6.409993,6.329993,6.389993,22800,18.840629
2015-07-24,6.429994,6.519993,6.389993,6.389993,23500,18.840629
2015-07-23,6.619993,6.679993,6.469993,6.469993,18800,19.076505
2015-07-22,6.519993,6.689993,6.519993,6.629993,20400,19.548258
2015-07-21,6.549993,6.639993,6.499993,6.499993,20500,19.017537
2015-07-20,6.709993,6.709993,6.539993,6.579993,17600,19.251598
2015-07-17,6.689993,6.729993,6.649993,6.709993,24600,19.631948
2015-07-16,6.599993,6.699993,6.589993,6.659993,19300,19.48566
2015-07-15,6.519993,6.589993,6.469993,6.589993,33300,19.280857
2015-07-14,6.529993,6.549993,6.459993,6.519993,26700,19.076052
2015-07-13,6.499993,6.629993,6.499993,6.559993,27600,19.193083
2015-07-10,6.439993,6.529993,6.399994,6.529993,26400,19.10531
2015-07-09,6.439993,6.439993,6.359993,6.399994,29500,18.72496
2015-07-08,6.349993,6.409993,6.329993,6.379993,18100,18.666443
2015-07-07,6.489993,6.489993,6.359993,6.389993,28600,18.695701
2015-07-06,6.429994,6.499993,6.399994,6.469993,28500,18.929763
2015-07-02,6.619993,6.619993,6.449993,6.469993,26300,18.929763
2015-07-01,6.589993,6.699993,6.539993,6.599993,39800,19.310113
2015-06-30,6.609993,6.689993,6.499993,6.569993,37000,19.22234
2015-06-29,6.649993,6.699993,6.549993,6.549993,58700,19.163825
2015-06-26,6.729993,6.739993,6.649993,6.689993,185100,19.573434
2015-06-25,6.719993,6.739993,6.629993,6.689993,25200,19.573434
2015-06-24,6.619993,6.699993,6.579993,6.689993,33900,19.573434
2015-06-23,6.589993,6.669993,6.579993,6.669993,31300,19.514919
2015-06-22,6.599993,6.649993,6.529993,6.629993,50100,19.397887
2015-06-19,6.559993,6.649993,6.449993,6.539993,68600,19.134568
2015-06-18,6.469993,6.599993,6.429994,6.579993,36900,19.251598
2015-06-17,6.549993,6.619993,6.459993,6.459993,24500,18.900505
2015-06-16,6.399994,6.609993,6.399994,6.569993,28500,19.22234
2015-06-15,6.489993,6.659993,6.439993,6.459993,39400,18.900505
2015-06-12,6.599993,6.689993,6.509993,6.559993,21000,19.193083
2015-06-11,6.639993,6.639993,6.529993,6.589993,23800,19.280857
2015-06-10,6.549993,6.689993,6.529993,6.659993,32200,19.48566
2015-06-09,6.479993,6.569993,6.399994,6.509993,21100,19.046795
2015-06-08,6.519993,6.579993,6.449993,6.499993,31400,19.017537
2015-06-05,6.399994,6.569993,6.319994,6.559993,31400,19.193083
2015-06-04,6.429993,6.499993,6.349993,6.369994,17700,18.637186
2015-06-03,6.429993,6.519993,6.369994,6.479993,35800,18.959022
2015-06-02,6.279994,6.439993,6.279994,6.439993,32900,18.84199
2015-06-01,6.319994,6.379994,6.209994,6.329993,43300,18.520155
2015-05-29,6.309994,6.389993,6.249993,6.279994,38500,18.373866
2015-05-28,6.309994,6.389993,6.289994,6.339994,42400,18.549413
2015-05-27,6.339994,6.379994,6.289994,6.319994,83800,18.490898
2015-05-26,6.359993,6.439993,6.259994,6.329993,31300,18.520155
2015-05-22,6.389993,6.419993,6.209994,6.389993,52100,18.695701
2015-05-21,6.449993,6.489993,6.379994,6.379994,27900,18.666445
2015-05-20,6.449993,6.489993,6.359993,6.469993,33800,18.929763
2015-05-19,6.379994,6.469993,6.349993,6.439993,26400,18.84199
2015-05-18,6.289994,6.439993,6.289994,6.389993,21300,18.695701
2015-05-15,6.339994,6.449993,6.229994,6.319994,41900,18.490898
2015-05-14,6.209994,6.379994,6.209994,6.349993,41100,18.57867
2015-05-13,6.229994,6.409993,6.129994,6.199994,48600,18.139805
2015-05-12,6.299994,6.449993,6.189993,6.259994,19500,18.315351
2015-05-11,6.189993,6.419993,6.169994,6.339994,31900,18.549413
2015-05-08,6.249993,6.269993,6.179993,6.219993,21200,18.198319
2015-05-07,6.119994,6.249993,6.079994,6.179993,124900,18.081288
2015-05-06,6.139994,6.199994,6.059994,6.159993,33800,18.022773
2015-05-05,6.149994,6.219993,6.059994,6.099993,42800,17.847226
2015-05-04,6.199994,6.259994,6.129994,6.149994,47000,17.993516
