Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.50,19.60,19.48,19.50,13700,19.50
2016-01-21,19.52,19.59,19.40,19.50,29500,19.50
2016-01-20,19.40,19.74,19.40,19.49,18700,19.49
2016-01-19,19.73,19.77,19.40,19.48,5500,19.48
2016-01-15,19.48,19.58,19.450001,19.459999,8900,19.459999
2016-01-14,19.559999,19.58,19.450001,19.50,45200,19.50
2016-01-13,19.799999,19.799999,19.200001,19.65,32500,19.65
2016-01-12,19.799999,19.90,19.67,19.90,4500,19.90
2016-01-11,19.93,20.00,19.77,19.90,7000,19.90
2016-01-08,19.65,19.799999,19.65,19.799999,7500,19.799999
2016-01-07,19.889999,19.99,19.700001,19.76,8600,19.76
2016-01-06,19.790001,19.799999,19.719999,19.76,4200,19.76
2016-01-05,19.93,19.93,19.65,19.809999,1700,19.809999
2016-01-04,19.879999,19.879999,19.65,19.799999,9200,19.799999
2015-12-31,19.92,19.92,19.66,19.85,19000,19.85
2015-12-30,19.879999,19.879999,19.700001,19.799999,5000,19.799999
2015-12-29,19.68,19.959999,19.610001,19.75,11500,19.75
2015-12-28,19.60,19.879999,19.60,19.719999,4800,19.719999
2015-12-24,19.74,19.950001,19.610001,19.610001,1000,19.610001
2015-12-23,19.629999,19.809999,19.60,19.75,4000,19.75
2015-12-22,19.50,19.889999,19.49,19.52,9300,19.52
2015-12-21,19.51,19.68,19.50,19.639999,2000,19.639999
2015-12-18,19.450001,19.92,19.450001,19.450001,2800,19.450001
2015-12-17,19.49,19.709999,19.40,19.50,12100,19.50
2015-12-16,19.83,19.83,19.450001,19.469999,2700,19.469999
2015-12-15,19.799999,19.799999,19.40,19.75,8600,19.75
2015-12-14,19.42,19.84,19.40,19.73,9300,19.73
2015-12-11,19.27,19.66,19.25,19.42,24800,19.42
2015-12-10,19.610001,19.610001,19.50,19.60,4500,19.60
2015-12-09,19.559999,19.610001,19.50,19.610001,3100,19.610001
2015-12-08,19.360001,19.40,19.299999,19.379999,8800,19.329999
2015-12-07,19.60,19.60,19.42,19.42,1000,19.369897
2015-12-04,19.76,19.91,19.370001,19.610001,5800,19.559407
2015-12-03,19.52,19.76,19.389999,19.700001,600,19.649175
2015-12-02,19.84,19.84,19.360001,19.51,10300,19.459665
2015-12-01,19.66,19.870001,19.32,19.870001,13200,19.818736
2015-11-30,19.889999,19.889999,19.57,19.700001,3400,19.649175
2015-11-27,19.700001,19.82,19.26,19.50,4700,19.44969
2015-11-25,19.35,19.93,19.35,19.700001,18300,19.649175
2015-11-24,19.41,19.41,19.25,19.25,3200,19.200335
2015-11-23,19.469999,19.74,19.280001,19.540001,11800,19.489588
2015-11-20,19.290001,19.91,19.290001,19.809999,1500,19.75889
2015-11-19,19.610001,19.809999,19.309999,19.75,1200,19.699045
2015-11-18,19.129999,19.780001,19.10,19.65,6500,19.599303
2015-11-17,19.280001,19.450001,19.110001,19.309999,3000,19.26018
2015-11-16,19.27,19.959999,19.110001,19.110001,5200,19.060697
2015-11-13,19.639999,19.91,19.360001,19.66,5300,19.609277
2015-11-12,19.74,20.00,19.540001,20.00,12100,19.9484
2015-11-11,19.98,20.00,19.700001,19.870001,2900,19.818736
2015-11-10,19.870001,20.00,19.35,19.98,11600,19.928451
2015-11-09,19.67,20.00,19.52,20.00,18600,19.9484
2015-11-06,19.219999,19.549999,19.219999,19.450001,7600,19.39982
2015-11-05,19.370001,19.469999,19.120001,19.32,15400,19.270154
2015-11-04,19.25,19.43,19.15,19.290001,26300,19.240233
2015-11-03,19.27,19.40,19.030001,19.25,47400,19.200335
2015-11-02,19.379999,19.469999,19.01,19.360001,52400,19.310052
2015-10-30,19.469999,19.469999,18.700001,19.34,7000,19.290103
2015-10-29,18.50,19.41,18.50,19.32,2900,19.270154
2015-10-28,18.35,18.879999,18.35,18.879999,5000,18.831289
