Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,23.379999,24.32,23.129999,24.08,41800,24.08
2016-01-21,23.299999,23.50,23.01,23.299999,32300,23.299999
2016-01-20,23.049999,23.91,22.67,23.58,14800,23.58
2016-01-19,23.42,23.67,22.799999,23.309999,10700,23.309999
2016-01-15,23.35,23.98,23.24,23.27,23000,23.27
2016-01-14,24.200001,24.200001,23.129999,23.85,32100,23.85
2016-01-13,23.48,23.700001,22.90,23.129999,18900,23.129999
2016-01-12,23.639999,23.639999,23.17,23.450001,18900,23.450001
2016-01-11,23.360001,23.780001,22.110001,23.620001,16600,23.620001
2016-01-08,23.549999,23.77,23.190001,23.190001,19300,23.190001
2016-01-07,23.379999,23.82,23.25,23.450001,15900,23.450001
2016-01-06,23.34,24.030001,23.27,23.709999,19000,23.709999
2016-01-05,23.549999,23.77,23.360001,23.50,19700,23.50
2016-01-04,24.030001,24.030001,23.299999,23.540001,26700,23.540001
2015-12-31,24.48,24.639999,23.85,24.030001,24500,24.030001
2015-12-30,24.940001,24.940001,24.360001,24.41,14300,24.41
2015-12-29,24.799999,24.99,24.799999,24.889999,17000,24.889999
2015-12-28,24.65,24.82,24.65,24.77,14200,24.77
2015-12-24,24.60,24.780001,24.60,24.75,5000,24.75
2015-12-23,24.440001,24.65,24.40,24.57,9000,24.57
2015-12-22,23.76,24.440001,23.76,24.389999,14800,24.389999
2015-12-21,23.549999,23.809999,23.42,23.74,20800,23.74
2015-12-18,23.41,23.719999,23.41,23.530001,64600,23.530001
2015-12-17,23.57,23.870001,23.32,23.41,14200,23.41
2015-12-16,23.50,23.74,22.92,23.49,37700,23.49
2015-12-15,23.280001,23.83,23.08,23.66,18600,23.66
2015-12-14,23.67,23.77,23.049999,23.09,65900,23.09
2015-12-11,23.610001,23.940001,23.26,23.75,56100,23.75
2015-12-10,24.059999,24.200001,23.52,23.860001,35000,23.860001
2015-12-09,23.879999,24.129999,23.879999,23.99,32400,23.99
2015-12-08,23.540001,24.030001,23.24,23.879999,29700,23.879999
2015-12-07,23.50,23.639999,23.360001,23.620001,22100,23.620001
2015-12-04,23.639999,23.74,23.24,23.690001,28100,23.690001
2015-12-03,23.559999,23.75,23.200001,23.51,54400,23.51
2015-12-02,23.040001,23.65,23.040001,23.559999,46600,23.559999
2015-12-01,23.450001,23.450001,23.27,23.280001,12300,23.280001
2015-11-30,23.48,23.75,23.35,23.450001,17800,23.450001
2015-11-27,23.360001,23.450001,23.15,23.450001,2400,23.450001
2015-11-25,23.440001,23.65,23.23,23.450001,7800,23.450001
2015-11-24,23.58,23.719999,23.35,23.440001,14000,23.440001
2015-11-23,23.709999,23.75,23.469999,23.700001,17700,23.700001
2015-11-20,23.440001,23.76,23.40,23.709999,26600,23.709999
2015-11-19,23.48,23.60,23.360001,23.530001,7600,23.280001
2015-11-18,23.34,23.50,23.33,23.48,15600,23.230531
2015-11-17,23.50,23.50,23.139999,23.32,12100,23.072232
2015-11-16,23.370001,23.450001,23.219999,23.389999,12100,23.141488
2015-11-13,22.98,23.40,22.98,23.27,12800,23.022764
2015-11-12,23.379999,23.379999,23.059999,23.120001,7000,22.874358
2015-11-11,23.40,23.450001,23.15,23.43,11900,23.181063
2015-11-10,23.24,23.290001,23.10,23.290001,22000,23.042551
