Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.50,14.58,14.45,14.50,18000,14.50
2016-01-21,14.47,14.50,14.46,14.49,11800,14.49
2016-01-20,14.52,14.52,14.40,14.50,26800,14.50
2016-01-19,14.54,14.54,14.45,14.49,37200,14.49
2016-01-15,14.47,14.48,14.40,14.45,49900,14.45
2016-01-14,14.50,14.50,14.45,14.45,27000,14.45
2016-01-13,14.45,14.54,14.45,14.50,20100,14.50
2016-01-12,14.40,14.46,14.40,14.45,39800,14.45
2016-01-11,14.40,14.48,14.40,14.43,41600,14.43
2016-01-08,14.50,14.67,14.48,14.48,61000,14.48
2016-01-07,14.70,14.70,14.46,14.50,10600,14.50
2016-01-06,14.50,14.69,14.50,14.57,11300,14.57
2016-01-05,14.61,14.69,14.55,14.66,8700,14.66
2016-01-04,14.71,14.75,14.60,14.69,4800,14.69
2015-12-31,14.61,14.75,14.52,14.61,3400,14.61
2015-12-30,14.70,14.70,14.41,14.50,15900,14.50
2015-12-29,14.64,14.75,14.62,14.75,11200,14.75
2015-12-28,14.75,14.75,14.63,14.63,1100,14.63
2015-12-24,14.74,14.75,14.62,14.65,1100,14.65
2015-12-23,14.50,14.75,14.48,14.75,13100,14.75
2015-12-22,14.53,14.57,14.42,14.42,2800,14.42
2015-12-21,14.61,14.61,14.48,14.48,600,14.48
2015-12-18,14.74,14.74,14.42,14.71,9700,14.71
2015-12-17,14.68,14.71,14.68,14.71,500,14.71
2015-12-16,14.60,14.67,14.60,14.62,3500,14.62
2015-12-15,14.61,14.74,14.60,14.68,2000,14.68
2015-12-14,14.65,14.69,14.59,14.69,12400,14.69
2015-12-11,14.54,14.67,14.52,14.65,4500,14.65
2015-12-10,14.75,14.75,14.35,14.64,1000,14.64
2015-12-09,14.78,14.78,14.78,14.78,200,14.78
2015-12-08,14.71,14.71,14.42,14.59,2300,14.59
2015-12-07,14.36,14.61,14.36,14.61,900,14.61
2015-12-04,14.33,14.75,14.32,14.75,3000,14.75
2015-12-03,14.47,14.51,14.30,14.51,3900,14.51
2015-12-02,14.25,14.89,14.25,14.50,30200,14.50
2015-12-01,14.50,14.50,14.36,14.50,13700,14.50
2015-11-30,14.25,14.44,14.25,14.44,1200,14.44
2015-11-27,14.40,14.40,14.40,14.40,000,14.40
2015-11-25,14.25,14.42,14.25,14.40,1000,14.40
2015-11-24,14.26,14.26,14.22,14.24,5300,14.24
2015-11-23,14.23,14.23,14.23,14.23,100,14.23
2015-11-20,14.38,14.40,14.20,14.27,8800,14.27
2015-11-19,14.19,14.19,14.18,14.19,4100,14.19
2015-11-18,14.38,14.40,14.17,14.17,5600,14.17
2015-11-17,14.47,14.47,14.19,14.40,2500,14.40
2015-11-16,14.17,14.29,14.06,14.26,4100,14.26
2015-11-13,14.17,14.28,14.17,14.28,1300,14.28
2015-11-12,14.20,14.23,14.13,14.23,2500,14.23
2015-11-11,14.31,14.40,14.30,14.30,2800,14.30
2015-11-10,14.29,14.30,14.10,14.30,5900,14.30
2015-11-09,14.21,14.30,14.21,14.30,1800,14.30
2015-11-06,14.15,14.34,14.15,14.30,7800,14.21
2015-11-05,14.02,14.24,14.02,14.24,1200,14.150377
2015-11-04,14.13,14.20,14.02,14.05,7400,13.961574
2015-11-03,14.15,14.34,14.11,14.27,14600,14.180189
2015-11-02,14.15,14.21,14.15,14.21,200,14.120566
2015-10-30,14.20,14.33,14.15,14.17,3700,14.080818
2015-10-29,14.13,14.35,14.10,14.14,39100,14.051007
2015-10-28,14.29,14.29,14.12,14.14,7900,14.051007
2015-10-27,14.17,14.22,14.15,14.15,32500,14.060944
2015-10-26,14.23,14.35,14.05,14.15,3100,14.060944
2015-10-23,14.32,14.45,14.26,14.35,6200,14.259686
2015-10-22,14.07,14.50,14.07,14.44,5100,14.349118
2015-10-21,14.35,14.35,14.01,14.13,5700,14.04107
2015-10-20,14.04,14.10,14.01,14.03,4000,13.941699
2015-10-19,14.01,14.14,14.01,14.14,1100,14.051007
2015-10-16,14.10,14.15,14.03,14.03,4700,13.941699
2015-10-15,14.13,14.15,14.02,14.08,3100,13.991384
2015-10-14,14.15,14.15,13.97,13.97,1400,13.882077
2015-10-13,14.06,14.17,14.02,14.08,1000,13.991384
2015-10-12,13.97,13.97,13.95,13.95,800,13.862202
2015-10-09,14.19,14.19,13.94,14.00,1600,13.911888
2015-10-08,14.05,14.13,13.93,14.11,1200,14.021195
2015-10-07,14.01,14.14,13.84,13.85,7600,13.762832
2015-10-06,14.12,14.12,14.12,14.12,300,14.031133
2015-10-05,14.05,14.20,13.94,14.12,6200,14.031133
2015-10-02,14.13,14.13,13.81,14.05,17100,13.961574
2015-10-01,14.04,14.15,14.03,14.10,3300,14.011259
2015-09-30,14.15,14.15,14.04,14.15,5400,14.060944
2015-09-29,14.15,14.15,14.03,14.05,6000,13.961574
2015-09-28,14.12,14.15,14.02,14.15,4800,14.060944
2015-09-25,14.05,14.14,14.05,14.14,1100,14.051007
