Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.82,14.95,14.23,14.25,8300,14.25
2016-01-21,14.38,14.48,14.14,14.23,26100,14.23
2016-01-20,14.17,14.51,14.17,14.38,7800,14.38
2016-01-19,14.47,14.81,14.22,14.29,3700,14.29
2016-01-15,14.51,14.51,14.25,14.30,3400,14.30
2016-01-14,14.50,14.57,14.26,14.37,5900,14.37
2016-01-13,14.99,14.99,14.34,14.35,13900,14.35
2016-01-12,14.50,14.51,14.43,14.44,39200,14.44
2016-01-11,14.53,14.86,14.46,14.58,36300,14.58
2016-01-08,14.60,14.60,14.29,14.48,3800,14.48
2016-01-07,14.88,14.88,14.55,14.55,6700,14.55
2016-01-06,14.86,14.89,14.68,14.88,15300,14.88
2016-01-05,14.76,15.07,14.68,14.76,3900,14.76
2016-01-04,15.50,15.50,14.68,14.71,16300,14.71
2015-12-31,15.39,15.40,15.24,15.33,9000,15.33
2015-12-30,15.17,15.45,15.17,15.33,7200,15.33
2015-12-29,15.18,15.36,15.17,15.25,12600,15.25
2015-12-28,15.20,15.20,15.08,15.17,10300,15.17
2015-12-24,15.21,15.21,15.15,15.18,1800,15.18
2015-12-23,15.11,15.30,15.11,15.23,6900,15.23
2015-12-22,15.21,15.21,15.02,15.14,12900,15.14
2015-12-21,15.57,15.57,15.04,15.12,14900,15.12
2015-12-18,15.05,15.82,15.00,15.82,106200,15.82
2015-12-17,15.02,15.05,15.00,15.02,9200,15.02
2015-12-16,14.68,15.06,14.68,14.97,8800,14.97
2015-12-15,15.20,15.20,14.96,14.99,9700,14.99
2015-12-14,14.97,15.15,14.81,15.00,27000,15.00
2015-12-11,14.95,15.10,14.66,14.74,3700,14.74
2015-12-10,15.15,15.24,15.08,15.10,18700,15.000001
2015-12-09,15.20,15.21,15.10,15.15,10000,15.049669
2015-12-08,15.24,15.24,14.75,15.11,21800,15.009934
2015-12-07,15.20,15.21,15.13,15.18,11200,15.079471
2015-12-04,15.16,15.24,15.15,15.24,4300,15.139073
2015-12-03,15.10,15.24,15.05,15.16,42100,15.059603
2015-12-02,15.06,15.19,15.04,15.13,24600,15.029802
2015-12-01,15.15,15.20,15.06,15.20,44300,15.099338
2015-11-30,14.99,15.15,14.87,15.15,111700,15.049669
