Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,30.040001,30.540001,30.030001,30.290001,16900,30.290001
2016-01-21,29.290001,30.60,29.23,30.129999,207200,30.129999
2016-01-20,29.92,29.98,28.60,29.84,368800,29.84
2016-01-19,30.290001,30.290001,29.92,30.02,7600,30.02
2016-01-15,30.01,30.15,29.92,30.15,17100,30.15
2016-01-14,30.139999,30.16,30.00,30.08,28000,30.08
2016-01-13,30.18,30.290001,30.00,30.17,186600,30.17
2016-01-12,30.450001,30.450001,30.02,30.26,19000,30.26
2016-01-11,30.40,30.540001,30.16,30.290001,19200,30.290001
2016-01-08,30.60,30.82,30.530001,30.68,10800,30.68
2016-01-07,30.719999,30.91,30.540001,30.73,4000,30.73
2016-01-06,30.549999,30.91,30.549999,30.889999,7400,30.889999
2016-01-05,30.799999,30.870001,30.52,30.52,8400,30.52
2016-01-04,30.43,30.91,30.40,30.719999,15000,30.719999
2015-12-31,30.92,30.959999,30.709999,30.950001,10700,30.950001
2015-12-30,30.450001,30.950001,30.450001,30.68,4600,30.68
2015-12-29,30.76,31.110001,30.389999,30.50,6000,30.50
2015-12-28,30.75,30.76,30.26,30.76,3500,30.76
2015-12-24,30.48,30.74,30.35,30.74,4000,30.74
2015-12-23,30.73,30.73,30.43,30.68,8700,30.68
2015-12-22,30.23,30.74,30.209999,30.73,15700,30.73
2015-12-21,30.73,30.76,30.219999,30.26,10300,30.26
2015-12-18,30.16,30.50,30.16,30.450001,7600,30.450001
2015-12-17,30.16,30.799999,30.16,30.530001,8500,30.530001
2015-12-16,30.66,31.26,30.08,30.870001,22000,30.870001
2015-12-15,30.00,30.950001,30.00,30.719999,9300,30.719999
2015-12-14,31.120001,31.120001,29.719999,29.870001,29300,29.870001
2015-12-11,31.25,31.299999,31.040001,31.290001,2900,30.790001
2015-12-10,31.23,31.33,31.10,31.10,8500,30.603037
2015-12-09,31.290001,31.40,31.219999,31.34,8000,30.839202
2015-12-08,31.209999,31.40,31.209999,31.35,11900,30.849042
2015-12-07,31.25,31.34,31.129999,31.290001,8400,30.790001
2015-12-04,31.07,31.200001,31.040001,31.18,12500,30.681759
2015-12-03,31.040001,31.120001,30.969999,31.07,5100,30.573516
2015-12-02,31.040001,31.040001,31.00,31.040001,4400,30.543996
2015-12-01,31.02,31.040001,30.77,31.030001,8200,30.534156
2015-11-30,30.99,31.00,30.75,30.75,9700,30.25863
2015-11-27,30.85,30.940001,30.85,30.940001,5100,30.445594
2015-11-25,30.709999,30.93,30.709999,30.93,10500,30.435753
2015-11-24,30.889999,30.90,30.790001,30.90,11000,30.406232
2015-11-23,30.75,30.889999,30.75,30.870001,8600,30.376713
2015-11-20,30.860001,30.90,30.75,30.85,4900,30.357032
2015-11-19,30.719999,30.889999,30.719999,30.780001,2700,30.288151
2015-11-18,30.879999,30.90,30.74,30.860001,10400,30.366872
2015-11-17,30.870001,30.870001,30.77,30.780001,3000,30.288151
2015-11-16,30.879999,30.90,30.75,30.879999,5600,30.386551
2015-11-13,30.92,30.92,30.700001,30.709999,9600,30.219268
2015-11-12,30.799999,30.93,30.690001,30.93,7100,30.435753
2015-11-11,30.879999,30.93,30.610001,30.90,9400,30.406232
2015-11-10,30.700001,30.91,30.60,30.889999,10600,30.396392
2015-11-09,30.049999,30.700001,30.049999,30.65,16200,30.160227
2015-11-06,30.25,30.709999,30.129999,30.26,7700,29.77646
2015-11-05,30.82,30.870001,30.35,30.860001,12200,30.366872
2015-11-04,30.60,30.879999,30.450001,30.879999,7500,30.386551
2015-11-03,30.60,30.60,30.360001,30.530001,10100,30.042146
2015-11-02,30.50,30.57,30.40,30.51,9700,30.022465
2015-10-30,30.219999,30.459999,30.120001,30.280001,7900,29.796141
2015-10-29,30.17,30.26,30.040001,30.25,3600,29.766619
2015-10-28,30.09,30.17,30.01,30.07,7000,29.589495
2015-10-27,30.049999,30.10,29.92,30.00,8200,29.520614
2015-10-26,30.200001,30.23,30.00,30.129999,8000,29.648536
2015-10-23,30.15,30.299999,30.040001,30.15,10200,29.668217
2015-10-22,30.200001,30.200001,30.08,30.110001,9900,29.628857
2015-10-21,30.25,30.25,30.02,30.040001,5400,29.559976
2015-10-20,30.200001,30.290001,30.049999,30.15,5500,29.668217
2015-10-19,30.09,30.280001,30.02,30.280001,4000,29.796141
2015-10-16,29.85,30.17,29.85,30.17,16000,29.687898
2015-10-15,29.889999,30.059999,29.85,29.860001,5400,29.382852
2015-10-14,29.92,29.92,29.809999,29.85,5800,29.373011
2015-10-13,30.01,30.01,29.799999,29.90,4900,29.422212
2015-10-12,30.030001,30.030001,29.85,29.90,15700,29.422212
2015-10-09,30.02,30.02,29.85,29.950001,16800,29.471414
2015-10-08,29.92,29.99,29.91,29.969999,12300,29.491093
2015-10-07,29.870001,30.120001,29.870001,30.00,20200,29.520614
2015-10-06,29.940001,30.139999,29.93,29.950001,6500,29.471414
2015-10-05,29.98,30.09,29.879999,30.00,21100,29.520614
2015-10-02,29.85,30.049999,29.82,30.00,16600,29.520614
2015-10-01,30.08,30.08,29.84,29.860001,6600,29.382852
2015-09-30,30.700001,30.700001,29.879999,29.879999,15300,29.402531
2015-09-29,29.91,30.08,29.91,29.92,10000,29.441893
2015-09-28,30.16,30.17,30.030001,30.07,6000,29.589495
2015-09-25,30.32,30.32,29.98,30.24,7100,29.756779
2015-09-24,30.07,30.15,29.93,30.15,8400,29.668217
2015-09-23,29.959999,29.99,29.83,29.99,13100,29.510774
2015-09-22,30.10,30.110001,29.959999,29.959999,4000,29.481252
2015-09-21,30.15,30.549999,29.959999,29.98,6500,29.500933
2015-09-18,29.959999,30.60,29.959999,29.99,25000,29.510774
2015-09-17,30.10,30.10,29.889999,30.059999,6800,29.579655
2015-09-16,30.00,30.059999,29.85,29.85,5400,29.373011
2015-09-15,29.84,30.02,29.84,30.00,5700,29.520614
2015-09-14,30.15,30.15,29.85,30.00,21100,29.520614
2015-09-11,30.290001,30.43,30.200001,30.309999,24100,29.33365
2015-09-10,30.299999,30.440001,30.17,30.33,6700,29.353006
2015-09-09,30.299999,30.67,30.08,30.209999,14700,29.23687
2015-09-08,30.709999,30.709999,30.01,30.34,24400,29.362684
2015-09-04,30.690001,30.76,30.629999,30.690001,3600,29.70141
2015-09-03,30.450001,30.700001,30.450001,30.639999,4100,29.653019
2015-09-02,30.610001,30.629999,30.41,30.459999,4400,29.478817
2015-09-01,30.60,30.610001,30.41,30.48,2500,29.498174
2015-08-31,30.40,30.76,30.40,30.76,9400,29.769155
2015-08-28,30.60,30.75,30.41,30.60,4600,29.614309
2015-08-27,30.50,30.76,30.389999,30.76,11100,29.769155
2015-08-26,30.65,30.65,30.25,30.65,4900,29.662698
2015-08-25,30.65,30.65,30.110001,30.26,9100,29.285261
2015-08-24,30.00,30.18,29.99,30.09,21700,29.120737
2015-08-21,30.639999,30.639999,30.25,30.25,6700,29.275583
2015-08-20,30.32,30.700001,30.280001,30.700001,5900,29.711088
2015-08-19,30.23,30.75,30.23,30.60,3000,29.614309
2015-08-18,30.360001,30.60,30.360001,30.60,2700,29.614309
2015-08-17,30.799999,30.799999,30.540001,30.65,3600,29.662698
2015-08-14,30.799999,30.799999,30.59,30.610001,3600,29.623987
2015-08-13,30.450001,30.700001,30.450001,30.700001,900,29.711088
2015-08-12,30.440001,30.75,30.27,30.65,11900,29.662698
2015-08-11,30.309999,30.75,30.200001,30.23,8700,29.256227
2015-08-10,30.200001,30.639999,30.09,30.639999,4700,29.653019
2015-08-07,30.190001,30.200001,30.059999,30.15,3600,29.178804
2015-08-06,30.35,30.690001,30.08,30.190001,12500,29.217516
2015-08-05,30.209999,30.309999,30.209999,30.209999,4400,29.23687
2015-08-04,30.219999,30.790001,30.219999,30.24,2700,29.265905
2015-08-03,30.389999,30.43,30.200001,30.23,2500,29.256227
2015-07-31,30.15,30.59,30.15,30.549999,14700,29.565918
2015-07-30,30.15,30.24,30.15,30.23,5900,29.256227
2015-07-29,30.200001,30.49,30.18,30.23,4700,29.256227
2015-07-28,30.34,30.379999,30.200001,30.200001,2600,29.227194
2015-07-27,30.309999,30.33,30.200001,30.200001,5300,29.227194
2015-07-24,30.41,30.540001,30.33,30.33,8500,29.353006
2015-07-23,30.41,31.139999,30.32,30.75,2600,29.759477
2015-07-22,31.01,31.01,30.42,30.67,2400,29.682054
2015-07-21,30.90,30.90,30.48,30.75,4400,29.759477
2015-07-20,31.129999,31.129999,30.42,30.610001,7800,29.623987
2015-07-17,30.25,31.200001,30.25,30.93,24700,29.933679
2015-07-16,30.219999,30.67,30.219999,30.629999,31400,29.643341
2015-07-15,30.08,30.280001,30.08,30.219999,7900,29.246549
2015-07-14,30.07,30.280001,30.07,30.280001,5700,29.304617
2015-07-13,30.299999,30.33,30.059999,30.219999,11400,29.246549
2015-07-10,30.049999,30.25,30.040001,30.25,4800,29.275583
2015-07-09,30.299999,30.299999,30.049999,30.049999,6200,29.082025
2015-07-08,30.299999,30.309999,30.110001,30.129999,7400,29.159447
2015-07-07,30.450001,30.450001,30.35,30.40,2400,29.420751
2015-07-06,30.50,30.50,30.299999,30.50,11100,29.51753
2015-07-02,30.219999,30.50,30.00,30.49,12900,29.507852
2015-07-01,30.26,30.440001,30.110001,30.370001,5800,29.391718
2015-06-30,30.50,30.50,29.959999,30.00,13900,29.033636
2015-06-29,30.370001,30.48,30.16,30.379999,6100,29.401394
2015-06-26,30.33,30.40,29.90,30.07,9700,29.101381
2015-06-25,30.299999,30.68,29.809999,30.67,38000,29.682054
2015-06-24,30.639999,30.82,30.10,30.200001,8600,29.227194
2015-06-23,30.25,31.25,30.25,30.450001,4500,29.469141
2015-06-22,30.950001,30.950001,30.32,30.32,8700,29.343328
2015-06-19,31.17,31.18,30.65,30.66,5400,29.672376
2015-06-18,31.18,31.25,30.82,30.860001,5800,29.865934
2015-06-17,31.24,31.25,30.950001,31.23,2700,30.224014
2015-06-16,31.00,31.469999,30.99,31.00,5000,30.001424
2015-06-15,31.25,31.25,30.809999,30.860001,4800,29.865934
2015-06-12,31.700001,31.73,31.299999,31.299999,2200,30.291759
2015-06-11,31.799999,31.799999,31.51,31.60,5100,30.098203
2015-06-10,31.549999,31.67,31.50,31.59,8400,30.088678
2015-06-09,31.549999,31.549999,31.27,31.540001,8000,30.041055
2015-06-08,31.40,31.549999,31.40,31.549999,8700,30.050578
2015-06-05,31.43,31.459999,31.16,31.16,5500,29.679114
2015-06-04,31.700001,31.700001,31.219999,31.59,2700,30.088678
2015-06-03,31.639999,31.66,31.17,31.66,3600,30.155351
2015-06-02,31.24,31.49,31.15,31.469999,4000,29.97438
2015-06-01,31.549999,31.549999,31.41,31.549999,1800,30.050578
2015-05-29,31.139999,31.49,31.120001,31.200001,6700,29.717214
2015-05-28,31.059999,31.549999,31.059999,31.48,3800,29.983905
2015-05-27,31.709999,31.709999,31.02,31.58,3800,30.079153
2015-05-26,31.60,31.709999,31.32,31.709999,3900,30.202974
2015-05-22,31.35,31.51,31.299999,31.51,2600,30.01248
2015-05-21,31.299999,31.549999,31.299999,31.52,2900,30.022005
2015-05-20,31.280001,31.50,31.27,31.299999,5500,29.81246
2015-05-19,31.120001,31.290001,30.99,31.290001,9000,29.802937
2015-05-18,31.110001,31.27,30.99,31.27,3800,29.783887
2015-05-15,31.290001,31.290001,31.110001,31.110001,2900,29.631491
2015-05-14,30.799999,31.42,30.59,31.299999,21800,29.81246
2015-05-13,30.33,31.08,30.33,31.040001,15200,29.564818
2015-05-12,30.35,30.66,30.209999,30.33,20500,28.88856
2015-05-11,30.719999,30.719999,30.299999,30.59,5400,29.136203
2015-05-08,31.00,31.00,30.639999,30.809999,2400,29.345747
2015-05-07,30.209999,31.040001,30.09,30.27,12600,28.831412
2015-05-06,31.40,31.40,30.110001,30.190001,24000,28.755214
2015-05-05,31.24,31.50,30.85,30.940001,3300,29.46957
2015-05-04,31.07,31.50,30.83,30.83,5200,29.364797
2015-05-01,31.280001,31.309999,30.59,30.799999,6500,29.336222
2015-04-30,31.50,31.50,30.690001,31.309999,2600,29.821985
2015-04-29,30.67,31.379999,30.67,31.219999,5500,29.736262
2015-04-28,30.75,31.33,30.75,31.26,7100,29.774362
2015-04-27,31.23,31.25,31.00,31.049999,5200,29.574341
2015-04-24,31.24,31.25,30.58,31.24,9200,29.755312
2015-04-23,30.549999,31.15,30.549999,30.809999,7800,29.345747
2015-04-22,30.799999,30.799999,30.65,30.780001,8200,29.317174
2015-04-21,30.68,30.90,30.469999,30.68,1200,29.221926
2015-04-20,31.00,31.370001,30.52,30.52,10300,29.069531
