Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.55,9.55,9.50,9.53,1400,9.53
2016-01-21,9.53,9.53,9.48,9.50,360300,9.50
2016-01-20,9.52,9.52,9.52,9.52,000,9.52
2016-01-19,9.52,9.52,9.52,9.52,000,9.52
2016-01-15,9.52,9.52,9.52,9.52,200,9.52
2016-01-14,9.52,9.52,9.52,9.52,125000,9.52
2016-01-13,9.538,9.538,9.538,9.538,000,9.538
2016-01-12,9.538,9.538,9.538,9.538,000,9.538
2016-01-11,9.538,9.538,9.538,9.538,000,9.538
2016-01-08,9.538,9.538,9.538,9.538,000,9.538
2016-01-07,9.538,9.538,9.538,9.538,200,9.538
2016-01-06,9.565,9.589,9.565,9.589,200,9.589
2016-01-05,9.60,9.60,9.60,9.60,000,9.60
2016-01-04,9.60,9.60,9.60,9.60,000,9.60
2015-12-31,9.95,9.95,9.55,9.60,4100,9.60
2015-12-30,9.70,11.00,9.50,9.57,15600,9.57
2015-12-29,5.98,6.54,5.98,6.54,4700,6.54
2015-12-28,9.50,9.50,9.50,9.50,275000,9.50
2015-12-24,9.53,9.53,9.53,9.53,000,9.53
2015-12-23,9.55,9.55,9.53,9.53,275000,9.53
2015-12-22,9.96,9.96,9.96,9.96,000,9.96
2015-12-21,9.55,9.96,9.53,9.96,204500,9.96
2015-12-18,9.60,9.60,9.54,9.54,75400,9.54
