Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.95,9.95,9.95,9.95,1100,9.95
2016-01-21,9.85,9.85,9.85,9.85,100,9.85
2016-01-20,9.85,9.85,9.85,9.85,100,9.85
2016-01-19,9.96,9.96,9.96,9.96,000,9.96
2016-01-15,10.09,10.09,9.96,9.96,200,9.96
2016-01-14,9.96,9.96,9.96,9.96,000,9.96
2016-01-13,9.96,9.96,9.96,9.96,000,9.96
2016-01-12,9.95,9.96,9.95,9.96,500200,9.96
2016-01-11,9.85,9.98,9.85,9.90,1300,9.90
2016-01-08,10.00,10.00,10.00,10.00,000,10.00
2016-01-07,10.00,10.00,10.00,10.00,200,10.00
2016-01-06,10.00,10.00,10.00,10.00,300,10.00
2016-01-05,9.951,10.06,9.951,10.02,5400,10.02
2016-01-04,10.05,10.05,10.00,10.00,46100,10.00
2015-12-31,10.05,10.05,9.95,9.95,150600,9.95
2015-12-30,9.85,9.85,9.85,9.85,000,9.85
2015-12-29,10.09,10.10,9.85,9.85,2200,9.85
2015-12-28,10.00,10.00,10.00,10.00,000,10.00
2015-12-24,10.00,10.00,10.00,10.00,000,10.00
2015-12-23,9.88,10.00,9.87,10.00,9800,10.00
2015-12-22,9.86,9.97,9.22,9.97,23500,9.97
2015-12-21,9.80,9.80,9.80,9.80,800,9.80
2015-12-18,10.08,10.08,9.95,9.95,12200,9.95
2015-12-17,10.08,10.08,10.08,10.08,000,10.08
2015-12-16,10.08,10.08,10.08,10.08,000,10.08
2015-12-15,10.10,10.10,10.08,10.08,200,10.08
2015-12-14,9.95,10.10,9.95,10.03,18100,10.03
2015-12-11,10.00,10.00,10.00,10.00,000,10.00
2015-12-10,10.00,10.00,10.00,10.00,300,10.00
2015-12-09,9.96,9.96,9.96,9.96,100,9.96
2015-12-08,10.00,10.00,10.00,10.00,000,10.00
2015-12-07,10.00,10.00,10.00,10.00,000,10.00
2015-12-04,10.00,10.00,10.00,10.00,000,10.00
2015-12-03,10.06,10.06,10.00,10.00,5800,10.00
2015-12-02,9.95,9.95,9.95,9.95,000,9.95
2015-12-01,9.95,9.95,9.95,9.95,000,9.95
2015-11-30,9.94,9.98,9.94,9.95,474600,9.95
2015-11-27,9.95,10.01,9.95,9.98,309100,9.98
2015-11-25,9.90,10.10,9.85,9.85,33300,9.85
2015-11-24,9.88,9.88,9.86,9.86,200,9.86
2015-11-23,9.98,9.98,9.98,9.98,000,9.98
2015-11-20,9.901,9.98,9.90,9.98,47300,9.98
2015-11-19,10.00,10.06,9.80,9.90,142300,9.90
2015-11-18,10.02,10.06,10.00,10.00,16700,10.00
2015-11-17,10.01,10.01,10.01,10.01,000,10.01
2015-11-16,10.01,10.01,10.00,10.01,12300,10.01
2015-11-13,10.02,10.10,10.01,10.09,23800,10.09
2015-11-12,10.04,10.08,10.00,10.00,17200,10.00
2015-11-11,10.01,10.08,10.00,10.02,44000,10.02
2015-11-10,10.06,10.06,10.06,10.06,000,10.06
2015-11-09,10.01,10.09,10.00,10.06,106500,10.06
2015-11-06,10.00,10.00,10.00,10.00,3600,10.00
2015-11-05,10.00,10.00,10.00,10.00,1200,10.00
2015-11-04,10.00,10.00,10.00,10.00,000,10.00
2015-11-03,10.00,10.00,10.00,10.00,9100,10.00
2015-11-02,10.01,10.01,10.01,10.01,35000,10.01
2015-10-30,10.01,10.01,10.00,10.00,22000,10.00
2015-10-29,10.00,10.00,10.00,10.00,000,10.00
2015-10-28,10.02,10.09,10.00,10.00,36900,10.00
2015-10-27,10.00,10.10,10.00,10.00,166200,10.00
2015-10-26,10.00,10.10,10.00,10.00,118100,10.00
2015-10-23,10.10,10.10,10.00,10.05,150700,10.05
2015-10-22,10.00,10.09,10.00,10.09,6600,10.09
2015-10-21,10.00,10.01,10.00,10.01,8000,10.01
2015-10-20,10.00,10.00,10.00,10.00,2500,10.00
2015-10-19,10.03,10.03,10.00,10.00,1700,10.00
2015-10-16,10.00,10.05,10.00,10.00,61300,10.00
2015-10-15,10.01,10.04,10.00,10.00,150500,10.00
2015-10-14,10.00,10.01,10.00,10.00,2667200,10.00
2015-10-13,10.00,10.00,10.00,10.00,000,10.00
