Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.13,9.49,9.05,9.42,138200,9.42
2016-01-21,9.16,9.29,9.02,9.05,96900,9.05
2016-01-20,9.14,9.27,8.84,9.20,116800,9.20
2016-01-19,9.28,9.43,9.15,9.21,124600,9.21
2016-01-15,9.03,9.32,9.03,9.28,149000,9.28
2016-01-14,9.15,9.40,9.03,9.25,153500,9.25
2016-01-13,9.47,9.48,9.12,9.15,159400,9.15
2016-01-12,9.56,9.60,9.25,9.52,144800,9.52
2016-01-11,9.33,9.55,9.32,9.52,152500,9.52
2016-01-08,9.38,9.53,9.28,9.28,236700,9.28
2016-01-07,9.42,9.57,9.35,9.36,129900,9.36
2016-01-06,9.51,9.64,9.51,9.58,51500,9.58
2016-01-05,9.62,9.69,9.51,9.58,60000,9.58
2016-01-04,9.62,9.70,9.46,9.58,106300,9.58
2015-12-31,9.61,9.97,9.61,9.68,102500,9.68
2015-12-30,9.92,9.92,9.65,9.67,68700,9.67
2015-12-29,9.84,9.95,9.73,9.89,52800,9.89
2015-12-28,10.00,10.00,9.77,9.80,64400,9.80
2015-12-24,9.84,10.18,9.55,10.07,83300,10.07
2015-12-23,9.80,9.84,9.75,9.80,87900,9.80
2015-12-22,9.61,9.80,9.16,9.71,125100,9.71
2015-12-21,9.28,9.68,9.00,9.61,206300,9.61
2015-12-18,9.08,9.27,8.80,9.20,289600,9.20
2015-12-17,9.24,9.42,8.79,9.11,152400,9.11
2015-12-16,9.31,9.36,9.12,9.27,147800,9.27
2015-12-15,8.89,9.22,8.80,9.21,154800,9.21
2015-12-14,8.87,9.08,8.81,8.88,137900,8.88
2015-12-11,8.91,9.13,8.77,8.91,194500,8.91
2015-12-10,9.13,9.20,9.04,9.05,108900,9.05
2015-12-09,9.22,9.36,9.03,9.09,119200,9.09
2015-12-08,9.19,9.34,9.16,9.20,76300,9.20
2015-12-07,9.28,9.40,9.15,9.30,82800,9.30
2015-12-04,9.25,9.48,9.17,9.27,92100,9.27
2015-12-03,9.52,9.58,9.20,9.28,94100,9.28
2015-12-02,9.69,9.70,9.48,9.53,66000,9.53
2015-12-01,9.48,9.75,9.26,9.63,82700,9.63
2015-11-30,9.75,9.80,9.51,9.51,202300,9.51
2015-11-27,9.47,9.78,9.43,9.77,45400,9.77
2015-11-25,9.44,9.59,9.22,9.52,108000,9.52
2015-11-24,9.20,9.47,9.20,9.37,98600,9.37
2015-11-23,9.35,9.46,9.27,9.27,48700,9.27
2015-11-20,9.29,9.40,9.26,9.29,57400,9.29
2015-11-19,9.40,9.42,9.24,9.28,49400,9.28
2015-11-18,9.36,9.42,9.28,9.38,81500,9.38
2015-11-17,9.27,9.44,9.19,9.28,67900,9.28
2015-11-16,8.93,9.30,8.93,9.29,163800,9.29
2015-11-13,8.77,9.19,8.77,9.04,137900,9.04
2015-11-12,8.88,8.89,8.81,8.83,115600,8.83
2015-11-11,8.99,9.11,8.93,8.94,100300,8.94
2015-11-10,9.11,9.27,9.03,9.03,73200,9.03
2015-11-09,9.32,9.35,9.17,9.17,77500,9.17
2015-11-06,9.35,9.43,9.20,9.36,83900,9.36
2015-11-05,9.47,9.52,9.19,9.27,64600,9.27
2015-11-04,9.61,9.68,9.47,9.58,60700,9.43
2015-11-03,9.55,9.68,9.48,9.62,74900,9.469374
2015-11-02,9.47,9.68,9.33,9.60,71200,9.449687
2015-10-30,9.47,9.49,9.31,9.39,52100,9.242975
2015-10-29,9.73,9.89,9.46,9.51,85600,9.361096
2015-10-28,9.65,9.84,9.43,9.78,144900,9.626868
2015-10-27,9.76,9.76,9.46,9.47,94700,9.321723
2015-10-26,9.94,9.95,9.70,9.76,50000,9.607182
2015-10-23,9.95,9.97,9.80,9.93,54400,9.77452
2015-10-22,9.55,10.00,9.50,9.90,97400,9.744989
2015-10-21,9.69,9.69,9.47,9.48,48900,9.331565
2015-10-20,9.56,9.67,9.49,9.60,66800,9.449687
2015-10-19,9.65,9.66,9.46,9.59,106800,9.439844
2015-10-16,9.44,9.71,9.41,9.70,137200,9.548121
2015-10-15,9.22,9.49,9.15,9.40,117700,9.252818
2015-10-14,9.38,9.50,9.13,9.16,108700,9.016576
2015-10-13,9.35,9.52,9.35,9.39,52100,9.242975
2015-10-12,9.33,9.50,9.21,9.40,104900,9.252818
2015-10-09,9.50,9.59,9.27,9.27,83800,9.124854
2015-10-08,9.46,9.62,9.38,9.50,81100,9.351253
2015-10-07,9.38,9.58,9.30,9.52,185900,9.37094
2015-10-06,9.40,9.53,9.34,9.37,75300,9.223288
2015-10-05,9.30,9.45,9.25,9.37,104300,9.223288
2015-10-02,9.25,9.29,9.00,9.25,95200,9.105167
2015-10-01,9.48,9.55,9.25,9.33,59100,9.183914
2015-09-30,9.71,9.72,9.37,9.48,135000,9.331565
2015-09-29,9.70,9.83,9.54,9.63,53700,9.479217
2015-09-28,9.71,9.98,9.67,9.72,97800,9.567808
2015-09-25,9.79,10.00,9.69,9.74,156200,9.587495
2015-09-24,9.73,9.87,9.73,9.78,69200,9.626868
2015-09-23,9.85,9.96,9.71,9.82,51000,9.666242
2015-09-22,9.70,9.92,9.70,9.87,64900,9.715459
2015-09-21,10.00,10.07,9.80,9.82,69000,9.666242
2015-09-18,9.71,9.99,9.71,9.95,160800,9.794207
2015-09-17,9.93,10.09,9.88,9.89,71900,9.735147
2015-09-16,9.91,10.02,9.82,9.96,84600,9.80405
2015-09-15,9.82,9.98,9.73,9.87,73300,9.715459
2015-09-14,9.85,9.94,9.70,9.80,51700,9.646556
2015-09-11,9.94,9.99,9.75,9.84,56200,9.685929
2015-09-10,9.75,10.04,9.69,10.01,110200,9.853268
2015-09-09,9.99,10.05,9.71,9.74,74300,9.587495
2015-09-08,9.76,10.00,9.76,9.85,110100,9.695773
2015-09-04,9.62,9.76,9.42,9.69,147600,9.538277
2015-09-03,9.89,9.96,9.69,9.72,197400,9.567808
2015-09-02,10.13,10.15,9.85,9.93,114500,9.77452
2015-09-01,10.40,10.46,10.01,10.05,85800,9.892641
2015-08-31,10.48,10.74,10.48,10.56,103400,10.394656
2015-08-28,10.60,10.67,10.35,10.61,83300,10.443872
2015-08-27,10.55,10.67,10.42,10.57,71800,10.404499
2015-08-26,10.25,10.44,10.10,10.40,100200,10.237161
2015-08-25,10.93,10.93,10.00,10.10,152700,9.941859
2015-08-24,10.69,11.13,10.35,10.65,146100,10.483246
2015-08-21,11.40,11.64,11.39,11.43,102900,11.251034
2015-08-20,11.71,11.88,11.54,11.56,53300,11.378999
2015-08-19,11.76,11.96,11.73,11.80,101600,11.61524
2015-08-18,11.91,11.98,11.77,11.84,62700,11.654614
2015-08-17,11.75,12.04,11.69,11.91,119000,11.723518
2015-08-14,11.61,11.84,11.61,11.78,117900,11.595553
2015-08-13,11.72,11.87,11.63,11.64,75700,11.457746
2015-08-12,11.72,11.81,11.62,11.71,77500,11.526649
2015-08-11,11.76,11.96,11.68,11.78,56900,11.595553
2015-08-10,11.93,12.03,11.69,11.78,179000,11.595553
2015-08-07,11.66,11.89,11.60,11.85,99000,11.664458
2015-08-06,11.89,11.96,11.56,11.74,92600,11.55618
2015-08-05,12.10,12.16,11.95,12.00,41600,11.664457
2015-08-04,12.03,12.10,11.99,12.08,53400,11.74222
2015-08-03,11.97,12.06,11.89,12.03,79800,11.693618
2015-07-31,11.94,12.05,11.92,12.01,79800,11.674178
2015-07-30,11.90,12.03,11.76,11.90,65500,11.567253
2015-07-29,12.35,12.35,11.91,11.92,62100,11.586694
2015-07-28,11.83,12.11,11.67,12.02,72500,11.683898
2015-07-27,11.76,11.86,11.68,11.72,74900,11.392287
2015-07-24,11.90,12.03,11.75,11.76,88100,11.431168
2015-07-23,12.12,12.12,11.92,11.95,39600,11.615855
2015-07-22,12.10,12.23,12.02,12.05,32300,11.713059
