Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.50,16.549999,16.50,16.549999,2400,16.549999
2016-01-21,16.200001,16.879999,15.85,16.700001,6500,16.700001
2016-01-20,15.96,16.299999,15.50,16.190001,5600,16.190001
2016-01-19,16.08,16.08,15.30,15.39,6000,15.39
2016-01-15,16.799999,16.799999,15.14,16.08,18100,16.08
2016-01-14,15.84,16.209999,15.84,15.96,700,15.96
2016-01-13,16.889999,16.889999,15.44,15.44,3000,15.44
2016-01-12,16.25,17.01,15.81,15.90,9300,15.90
2016-01-11,16.35,16.35,15.98,15.98,1900,15.98
2016-01-08,16.190001,16.190001,15.83,15.83,1800,15.83
2016-01-07,16.200001,16.200001,16.200001,16.200001,200,16.200001
2016-01-06,16.059999,16.059999,16.059999,16.059999,000,16.059999
2016-01-05,15.33,16.059999,15.33,16.059999,800,16.059999
2016-01-04,15.58,16.50,15.33,16.02,3300,16.02
2015-12-31,15.76,16.08,15.54,15.54,3200,15.54
2015-12-30,15.83,16.440001,15.50,15.50,8000,15.50
2015-12-29,16.41,16.41,15.55,15.77,3200,15.77
2015-12-28,15.55,16.50,15.55,15.94,4900,15.94
2015-12-24,15.75,15.75,15.75,15.75,000,15.75
2015-12-23,15.10,15.96,15.09,15.75,8800,15.75
2015-12-22,15.52,15.78,14.72,15.03,14500,15.03
2015-12-21,15.42,15.89,15.42,15.52,1800,15.52
2015-12-18,16.48,17.280001,15.30,15.42,30800,15.42
2015-12-17,16.35,17.120001,16.35,17.120001,2300,17.120001
2015-12-16,17.219999,17.799999,17.219999,17.32,2200,17.101
2015-12-15,17.27,17.27,17.27,17.27,000,17.051633
2015-12-14,17.26,17.450001,17.26,17.27,2400,17.051633
2015-12-11,16.540001,17.75,16.540001,17.74,2200,17.515689
2015-12-10,16.309999,17.41,16.309999,17.129999,1700,16.913401
2015-12-09,17.33,17.33,16.07,16.07,3300,15.866805
2015-12-08,17.360001,17.40,17.360001,17.360001,1500,17.140495
2015-12-07,17.459999,17.50,17.40,17.40,1400,17.179988
2015-12-04,18.440001,18.440001,18.43,18.43,600,18.196965
2015-12-03,17.40,17.77,17.32,17.33,4900,17.110873
2015-12-02,18.10,18.40,17.92,17.92,2300,17.693413
2015-12-01,18.50,18.50,18.059999,18.200001,3400,17.969874
2015-11-30,18.02,18.49,18.02,18.49,800,18.256206
2015-11-27,17.950001,17.950001,17.950001,17.950001,800,17.723035
2015-11-25,17.790001,18.469999,17.790001,18.110001,900,17.881011
2015-11-24,17.969999,17.969999,17.969999,17.969999,000,17.74278
2015-11-23,17.969999,17.969999,17.969999,17.969999,400,17.74278
2015-11-20,17.92,17.959999,17.92,17.92,600,17.693413
2015-11-19,17.32,17.90,17.299999,17.90,600,17.673666
2015-11-18,18.24,18.50,17.809999,17.969999,2800,17.74278
2015-11-17,17.66,18.50,17.530001,18.049999,1100,17.821769
2015-11-16,18.98,19.540001,18.129999,18.57,5000,18.335194
2015-11-13,19.00,19.040001,19.00,19.040001,1100,18.799252
2015-11-12,19.290001,19.309999,19.16,19.16,1200,18.917734
2015-11-11,19.469999,19.469999,19.469999,19.469999,700,19.223814
2015-11-10,19.33,19.33,19.33,19.33,1500,19.085585
2015-11-09,19.049999,19.07,19.049999,19.07,1000,18.828872
2015-11-06,19.049999,19.09,19.049999,19.09,600,18.848619
2015-11-05,19.09,19.09,19.09,19.09,400,18.848619
2015-11-04,19.360001,19.360001,19.360001,19.360001,400,19.115206
2015-11-03,19.52,19.52,19.309999,19.309999,600,19.065837
2015-11-02,19.57,19.57,19.200001,19.24,2600,18.996722
2015-10-30,19.469999,19.49,19.209999,19.209999,2700,18.967101
2015-10-29,19.98,19.98,18.879999,19.299999,1400,19.055963
2015-10-28,19.51,20.00,19.49,19.809999,7800,19.559515
2015-10-27,19.85,20.00,19.33,19.90,3100,19.648377
2015-10-26,19.91,20.00,19.870001,19.879999,4900,19.628629
2015-10-23,20.00,20.00,19.870001,19.99,1400,19.737239
2015-10-22,19.49,19.870001,19.49,19.870001,1700,19.618758
2015-10-21,19.75,19.76,18.709999,19.52,3600,19.273183
2015-10-20,19.65,19.950001,19.540001,19.92,4700,19.668125
2015-10-19,19.65,19.66,19.49,19.66,1900,19.411412
2015-10-16,19.530001,19.76,19.35,19.74,2500,19.4904
2015-10-15,19.74,19.74,19.690001,19.690001,2100,19.441033
2015-10-14,19.610001,19.610001,19.610001,19.610001,1200,19.362045
2015-10-13,19.16,20.139999,19.16,20.10,3300,19.845849
2015-10-12,19.610001,20.969999,19.059999,19.50,3000,19.253435
2015-10-09,20.379999,20.379999,19.25,19.40,5500,19.154699
2015-10-08,19.809999,20.40,19.809999,20.360001,3000,20.102562
2015-10-07,19.83,20.049999,19.25,19.98,7200,19.727365
2015-10-06,20.379999,21.27,19.459999,20.15,6000,19.895216
2015-10-05,20.34,20.559999,19.02,20.40,19900,20.142055
2015-10-02,18.459999,20.16,18.459999,20.110001,11800,19.855723
2015-10-01,18.43,18.440001,18.370001,18.440001,30800,18.206839
2015-09-30,18.379999,18.379999,18.309999,18.370001,2000,18.137724
2015-09-29,18.219999,18.219999,18.049999,18.17,21500,17.940252
2015-09-28,18.219999,18.530001,17.84,18.440001,8300,18.206839
2015-09-25,18.280001,18.49,17.84,18.49,15700,18.256206
2015-09-24,18.74,18.74,17.82,18.59,6400,18.354942
2015-09-23,18.75,18.959999,18.690001,18.82,6600,18.582033
2015-09-22,19.26,19.299999,18.59,19.200001,22900,18.957229
2015-09-21,19.43,20.120001,19.43,19.85,31000,19.382779
2015-09-18,20.459999,20.84,18.43,19.370001,242500,18.914078
2015-09-17,20.73,21.08,19.379999,20.73,46600,20.242066
2015-09-16,20.190001,21.549999,20.190001,21.00,45600,20.505711
2015-09-15,19.51,20.870001,19.51,20.809999,71800,20.320183
2015-09-14,18.51,20.50,18.51,20.00,118100,19.529248
2015-09-11,18.48,18.57,17.370001,18.48,56300,18.045025
2015-09-10,18.360001,18.559999,17.799999,17.799999,49000,17.38103
