Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.60,19.190001,18.459999,18.73,161800,18.73
2016-01-21,18.34,19.16,18.200001,18.35,130300,18.35
2016-01-20,18.01,18.48,17.27,18.24,111900,18.24
2016-01-19,18.690001,18.969999,18.17,18.24,101000,18.24
2016-01-15,18.76,18.969999,18.030001,18.620001,126500,18.620001
2016-01-14,19.190001,19.75,19.02,19.24,103000,19.24
2016-01-13,18.59,19.48,18.59,19.120001,111400,19.120001
2016-01-12,19.24,19.309999,18.65,18.780001,185300,18.48
2016-01-11,19.26,19.309999,18.709999,18.969999,92900,18.666964
2016-01-08,19.049999,19.68,18.90,19.139999,157700,18.834248
2016-01-07,19.139999,19.469999,18.879999,18.879999,128300,18.578401
2016-01-06,19.52,19.84,19.48,19.530001,58600,19.218019
2016-01-05,19.969999,20.139999,19.66,19.809999,79800,19.493545
2016-01-04,19.98,19.98,19.35,19.83,111100,19.513226
2015-12-31,20.10,20.459999,19.700001,20.09,124700,19.769073
2015-12-30,20.559999,20.639999,20.15,20.17,106300,19.847795
2015-12-29,20.65,20.93,20.360001,20.51,64300,20.182364
2015-12-28,20.48,20.870001,20.299999,20.51,81200,20.182364
2015-12-24,20.780001,21.40,20.540001,20.629999,51500,20.300446
2015-12-23,20.84,21.290001,20.73,20.780001,74300,20.448051
2015-12-22,19.889999,20.790001,19.48,20.68,151000,20.349648
2015-12-21,19.85,20.27,19.52,19.75,166200,19.434504
2015-12-18,20.200001,20.40,19.540001,19.66,424200,19.345942
2015-12-17,20.200001,20.75,20.200001,20.32,117600,19.995399
2015-12-16,20.120001,20.389999,20.02,20.190001,103800,19.867476
2015-12-15,19.91,20.209999,19.799999,19.950001,130600,19.63131
2015-12-14,19.709999,20.08,19.50,19.790001,244400,19.473866
2015-12-11,19.629999,20.02,19.50,19.76,147600,19.444345
2015-12-10,20.01,20.360001,19.07,19.629999,276900,19.31642
2015-12-09,20.450001,21.209999,20.450001,20.90,88500,20.566133
2015-12-08,21.17,21.26,20.68,20.809999,104500,20.477571
2015-12-07,21.790001,21.889999,21.32,21.48,102300,21.136868
2015-12-04,21.73,22.00,21.559999,21.74,87000,21.392715
2015-12-03,22.02,22.290001,21.57,21.610001,116400,21.264792
2015-12-02,22.120001,22.24,21.76,21.83,81200,21.481277
2015-12-01,22.299999,22.709999,21.85,21.98,151800,21.628881
2015-11-30,22.610001,22.91,21.950001,22.030001,164700,21.678083
2015-11-27,22.860001,22.860001,22.26,22.530001,35900,22.170096
2015-11-25,21.85,22.84,21.75,22.67,69300,22.307859
2015-11-24,20.780001,22.15,20.780001,21.85,104600,21.500958
2015-11-23,21.389999,21.51,19.530001,21.110001,196500,20.77278
2015-11-20,22.610001,22.99,21.469999,22.33,177500,21.97329
2015-11-19,23.02,23.139999,22.35,22.459999,119400,22.101213
2015-11-18,22.879999,23.16,22.530001,23.00,106400,22.632587
2015-11-17,23.09,23.110001,22.59,22.77,98000,22.406262
2015-11-16,23.01,23.35,22.85,23.040001,120300,22.671949
2015-11-13,23.32,23.389999,22.74,23.00,50200,22.632587
2015-11-12,24.07,24.41,23.35,23.440001,94200,23.065559
2015-11-11,24.530001,24.620001,24.129999,24.290001,37000,23.901981
2015-11-10,24.540001,24.709999,23.799999,24.450001,70600,24.059425
2015-11-09,24.57,24.969999,24.34,24.540001,45700,24.147988
2015-11-06,25.18,25.200001,24.34,24.68,113600,24.285751
2015-11-05,25.25,25.85,24.690001,25.18,37200,24.777763
2015-11-04,25.700001,25.700001,25.08,25.25,34500,24.846645
2015-11-03,25.08,25.68,25.08,25.60,48600,25.191054
2015-11-02,24.24,25.25,24.24,25.219999,101300,24.817123
2015-10-30,24.379999,24.67,24.08,24.16,46900,23.774057
2015-10-29,24.860001,25.059999,24.139999,24.370001,62200,23.980703
2015-10-28,23.559999,25.01,23.559999,25.00,81300,24.600638
2015-10-27,23.709999,24.00,23.299999,23.459999,56700,23.085238
2015-10-26,24.280001,24.469999,22.709999,23.75,102600,23.370607
2015-10-23,24.299999,24.58,24.00,24.26,46000,23.87246
2015-10-22,23.559999,24.49,23.559999,24.01,45700,23.626453
2015-10-21,23.90,24.17,23.290001,23.35,33300,22.976997
2015-10-20,23.469999,23.950001,23.200001,23.790001,35600,23.409968
2015-10-19,23.629999,23.889999,23.33,23.49,55000,23.11476
2015-10-16,23.40,23.84,22.780001,23.629999,93200,23.252523
2015-10-15,22.799999,23.389999,22.35,23.34,70000,22.967156
2015-10-14,23.610001,23.82,23.01,23.040001,78300,22.376743
2015-10-13,23.02,23.85,22.76,23.66,95400,22.978893
2015-10-12,23.450001,23.450001,22.77,23.110001,176100,22.444727
2015-10-09,23.84,23.85,23.139999,23.34,140200,22.668106
2015-10-08,22.959999,23.91,22.92,23.700001,115600,23.017743
2015-10-07,22.67,23.52,22.67,23.00,226000,22.337893
2015-10-06,23.01,23.24,22.60,22.66,134400,22.007681
2015-10-05,21.84,23.35,21.84,23.059999,198700,22.396165
2015-10-02,20.379999,21.549999,20.379999,21.51,245000,20.890786
2015-10-01,20.709999,21.379999,20.35,20.52,275300,19.929286
2015-09-30,21.459999,21.459999,20.299999,20.610001,450200,20.016695
2015-09-29,24.09,24.09,21.110001,21.299999,427800,20.686831
2015-09-28,26.23,26.889999,25.879999,26.219999,91600,25.465197
2015-09-25,26.540001,26.90,26.219999,26.42,68100,25.659441
2015-09-24,25.99,26.52,25.690001,26.219999,40800,25.465197
2015-09-23,26.08,26.440001,25.85,26.110001,73600,25.358365
2015-09-22,26.27,26.309999,25.75,26.07,54700,25.319516
2015-09-21,26.709999,26.74,26.27,26.620001,42400,25.853684
2015-09-18,26.40,26.860001,26.26,26.50,117000,25.737138
2015-09-17,27.059999,27.58,26.74,26.879999,48400,26.106198
2015-09-16,26.379999,27.139999,26.33,27.139999,45200,26.358713
2015-09-15,25.700001,26.360001,25.50,26.290001,40700,25.533184
2015-09-14,26.27,26.27,25.440001,25.68,59400,24.940744
2015-09-11,26.190001,26.360001,25.99,26.190001,36200,25.436062
2015-09-10,26.08,26.50,26.08,26.379999,22600,25.620591
2015-09-09,26.58,26.91,26.10,26.10,58000,25.348653
2015-09-08,26.26,26.620001,25.93,26.32,51300,25.562319
2015-09-04,25.860001,26.16,25.83,25.83,35600,25.086425
2015-09-03,25.84,26.389999,25.84,26.25,43900,25.494335
2015-09-02,26.030001,26.120001,25.42,25.76,99900,25.018441
2015-09-01,26.09,26.43,25.65,25.74,63800,24.999016
2015-08-31,25.290001,27.01,25.290001,26.68,111700,25.911956
2015-08-28,25.200001,25.559999,24.860001,25.440001,231800,24.707653
2015-08-27,25.530001,25.58,25.10,25.290001,191800,24.561971
2015-08-26,25.98,25.98,25.049999,25.42,120100,24.688228
2015-08-25,26.92,26.92,25.40,25.469999,66200,24.736788
2015-08-24,25.18,27.120001,24.82,25.969999,99500,25.222394
2015-08-21,26.25,26.709999,26.17,26.49,98300,25.727425
2015-08-20,27.01,27.10,26.58,26.68,70500,25.911956
2015-08-19,27.52,27.75,26.83,27.280001,38900,26.494684
2015-08-18,28.309999,28.360001,27.530001,27.66,48400,26.863744
2015-08-17,28.08,28.66,28.08,28.379999,59400,27.563017
2015-08-14,27.84,28.34,27.780001,28.25,34400,27.43676
2015-08-13,28.299999,28.75,27.90,27.959999,45900,27.155107
2015-08-12,28.309999,28.549999,27.83,28.280001,25600,27.465897
2015-08-11,28.66,28.860001,28.17,28.540001,54000,27.718413
2015-08-10,28.360001,29.18,28.360001,28.93,87300,28.097185
2015-08-07,28.34,28.41,27.809999,28.129999,35300,27.320214
2015-08-06,28.549999,28.60,28.09,28.50,77500,27.679563
2015-08-05,28.440001,29.309999,28.34,28.540001,53400,27.718413
2015-08-04,28.09,28.68,28.049999,28.35,60100,27.533882
2015-08-03,28.85,28.860001,27.940001,28.08,97000,27.271654
2015-07-31,27.93,29.09,27.93,28.809999,102300,27.980639
2015-07-30,27.76,28.219999,27.34,27.799999,112800,26.999714
2015-07-29,28.01,28.309999,27.790001,27.809999,41400,27.009426
2015-07-28,28.190001,28.26,27.469999,28.00,50000,27.193957
2015-07-27,28.27,28.65,27.950001,28.09,44500,27.281366
2015-07-24,28.51,28.85,28.110001,28.309999,39200,27.495032
2015-07-23,29.120001,29.120001,28.309999,28.440001,64600,27.621291
2015-07-22,29.16,29.49,28.860001,29.129999,49500,28.291426
2015-07-21,29.68,29.870001,29.07,29.27,51900,28.427397
2015-07-20,29.719999,29.950001,29.120001,29.559999,199200,28.709048
2015-07-17,30.110001,30.110001,29.469999,29.530001,59400,28.679913
2015-07-16,30.219999,30.370001,29.66,29.98,59200,29.116958
2015-07-15,30.469999,30.66,29.74,29.950001,50600,29.087822
2015-07-14,30.68,30.93,30.540001,30.799999,52100,29.621986
2015-07-13,30.469999,30.74,30.209999,30.629999,71800,29.458488
2015-07-10,28.440001,30.75,28.440001,30.360001,118300,29.198817
2015-07-09,28.700001,28.98,27.74,28.040001,117500,26.96755
2015-07-08,28.50,28.83,27.860001,28.26,108800,27.179135
2015-07-07,28.950001,28.950001,28.07,28.77,81700,27.669629
2015-07-06,29.120001,29.530001,28.639999,29.049999,68300,27.938919
2015-07-02,29.17,29.68,28.959999,29.42,76900,28.294768
2015-07-01,29.469999,29.92,29.00,29.129999,62700,28.015859
2015-06-30,29.780001,30.459999,28.82,29.049999,106900,27.938919
2015-06-29,30.129999,30.32,29.280001,29.379999,100900,28.256297
2015-06-26,30.629999,30.879999,30.27,30.469999,100600,29.304608
