Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,39.02,39.259998,38.220001,39.09,212200,39.09
2016-01-21,38.400002,39.18,37.50,38.68,257700,38.68
2016-01-20,37.32,38.779999,36.759998,38.349998,253100,38.349998
2016-01-19,39.27,39.27,37.470001,37.849998,211500,37.849998
2016-01-15,39.080002,39.75,37.779999,39.060001,568600,39.060001
2016-01-14,40.07,40.360001,39.299999,40.02,220700,40.02
2016-01-13,41.060001,41.599998,39.689999,39.880001,189600,39.880001
2016-01-12,39.970001,40.959999,39.709999,40.959999,210600,40.959999
2016-01-11,40.830002,41.00,39.310001,39.720001,106900,39.720001
2016-01-08,41.48,42.139999,40.73,40.84,303000,40.84
2016-01-07,41.880001,42.25,40.599998,41.50,142000,41.50
2016-01-06,42.150002,43.27,42.150002,42.470001,155600,42.470001
2016-01-05,42.830002,43.029999,42.43,42.610001,196600,42.610001
2016-01-04,43.50,43.540001,42.02,42.470001,206700,42.470001
2015-12-31,44.150002,44.459999,43.959999,44.049999,115200,44.049999
2015-12-30,44.59,44.68,44.09,44.360001,78000,44.360001
2015-12-29,44.060001,44.689999,43.93,44.540001,84400,44.540001
2015-12-28,43.279999,43.990002,43.16,43.900002,72500,43.900002
2015-12-24,43.040001,43.970001,43.040001,43.540001,54500,43.540001
2015-12-23,42.869999,43.200001,42.779999,42.970001,102400,42.970001
2015-12-22,42.59,43.150002,41.98,42.82,110400,42.82
2015-12-21,42.91,43.189999,41.84,42.48,115900,42.48
2015-12-18,42.580002,43.349998,42.240002,42.599998,361700,42.599998
2015-12-17,42.099998,42.790001,41.849998,42.549999,173400,42.549999
2015-12-16,41.639999,42.200001,41.240002,41.990002,148100,41.990002
2015-12-15,41.150002,41.900002,41.110001,41.25,262300,41.25
2015-12-14,41.02,41.400002,40.349998,40.849998,112600,40.849998
2015-12-11,40.799999,41.560001,40.66,41.07,97100,41.07
2015-12-10,41.619999,42.02,41.009998,41.619999,114400,41.419999
2015-12-09,42.099998,42.98,41.560001,41.700001,87400,41.499616
2015-12-08,42.119999,42.470001,41.939999,42.349998,76100,42.14649
2015-12-07,42.509998,42.900002,42.139999,42.549999,108100,42.34553
2015-12-04,42.099998,42.799999,42.049999,42.630001,92400,42.425147
2015-12-03,42.34,42.549999,41.900002,42.139999,304000,41.9375
2015-12-02,42.169998,42.540001,41.950001,42.240002,178200,42.037022
2015-12-01,42.689999,43.200001,41.889999,42.290001,153300,42.086781
2015-11-30,43.080002,43.080002,42.16,42.50,179800,42.295771
2015-11-27,43.00,43.400002,42.50,42.959999,68400,42.75356
2015-11-25,42.619999,43.290001,42.380001,43.07,122900,42.863032
2015-11-24,42.150002,42.849998,41.740002,42.549999,134100,42.34553
2015-11-23,42.16,42.619999,41.889999,42.360001,102500,42.156444
2015-11-20,41.84,42.509998,41.23,42.310001,308000,42.106685
2015-11-19,42.169998,42.169998,41.220001,41.82,198800,41.619038
2015-11-18,41.950001,42.34,41.470001,42.279999,196600,42.076827
2015-11-17,41.34,42.18,40.759998,41.709999,213000,41.509566
2015-11-16,38.75,42.43,38.75,41.48,564100,41.280672
2015-11-13,39.040001,39.509998,37.939999,38.34,223500,38.155762
2015-11-12,40.18,40.18,39.220001,39.310001,114700,39.121102
2015-11-11,41.23,41.23,40.200001,40.32,91300,40.126247
2015-11-10,41.049999,41.43,40.66,41.240002,161100,41.041828
2015-11-09,41.259998,41.349998,40.48,41.029999,111800,40.832834
2015-11-06,41.040001,41.66,40.209999,41.419998,108700,41.220959
2015-11-05,41.299999,41.470001,40.68,41.279999,115400,41.081632
2015-11-04,41.50,41.900002,41.009998,41.23,121900,41.031873
2015-11-03,41.970001,41.970001,40.82,41.439999,219300,41.240863
2015-11-02,40.82,42.119999,40.290001,41.970001,347600,41.768319
2015-10-30,40.759998,41.099998,40.400002,40.560001,138600,40.365095
2015-10-29,41.099998,41.240002,40.189999,40.720001,146900,40.524326
2015-10-28,40.610001,41.380001,39.009998,41.049999,267000,40.852738
2015-10-27,40.169998,41.360001,40.00,40.57,287800,40.375045
2015-10-26,40.209999,40.82,39.889999,40.240002,167900,40.046633
2015-10-23,40.59,41.700001,40.07,40.34,228300,40.146151
2015-10-22,42.380001,44.52,40.02,40.279999,941100,40.086438
2015-10-21,49.630001,49.830002,48.00,48.740002,120300,48.505787
2015-10-20,49.91,51.900002,48.959999,49.419998,224800,49.182516
2015-10-19,49.490002,50.209999,49.369999,49.990002,96300,49.74978
2015-10-16,49.450001,49.82,49.07,49.580002,110500,49.341751
2015-10-15,48.009998,49.290001,47.610001,49.25,134600,49.013335
2015-10-14,48.119999,48.700001,47.700001,47.849998,120000,47.620061
2015-10-13,47.970001,48.880001,47.830002,48.200001,175600,47.968381
2015-10-12,48.52,49.450001,47.529999,48.25,232800,48.01814
2015-10-09,47.630001,48.02,47.130001,47.52,196800,47.291649
2015-10-08,48.23,48.48,46.490002,47.41,176700,47.182176
2015-10-07,48.110001,48.540001,47.380001,48.25,225200,48.01814
2015-10-06,48.380001,48.98,47.110001,48.02,185200,47.789246
2015-10-05,48.830002,49.27,47.310001,48.299999,187300,48.067899
2015-10-02,46.59,48.700001,46.529999,48.700001,145400,48.465978
2015-10-01,47.82,47.82,46.599998,47.220001,226400,46.993091
2015-09-30,47.529999,48.07,47.23,47.740002,180200,47.510593
2015-09-29,47.560001,48.299999,46.98,47.09,102200,46.863715
2015-09-28,48.509998,48.509998,46.509998,47.529999,144400,47.301599
2015-09-25,51.130001,51.130001,48.259998,48.830002,196400,48.595355
2015-09-24,51.139999,51.310001,49.73,50.650002,228300,50.406609
2015-09-23,51.810001,52.240002,51.119999,51.279999,103400,51.033579
2015-09-22,51.66,52.130001,50.34,51.689999,210600,51.441608
2015-09-21,52.060001,52.830002,51.75,52.009998,139200,51.76007
2015-09-18,51.02,52.34,51.02,51.639999,465600,51.391849
2015-09-17,51.50,52.369999,51.50,51.869999,100000,51.620744
2015-09-16,51.599998,52.00,51.400002,51.52,98000,51.272427
2015-09-15,51.369999,51.790001,51.110001,51.52,63200,51.272427
2015-09-14,51.59,51.75,51.02,51.259998,85000,51.013674
2015-09-11,50.580002,51.59,50.560001,51.490002,134700,51.242572
2015-09-10,51.00,51.639999,50.82,51.150002,68100,50.705167
2015-09-09,52.220001,52.23,50.91,51.009998,99400,50.566381
2015-09-08,51.27,52.02,50.900002,51.869999,80900,51.418902
2015-09-04,50.380001,51.200001,50.220001,50.630001,123900,50.189688
2015-09-03,51.240002,51.82,50.720001,51.00,176400,50.55647
2015-09-02,51.93,52.00,50.299999,51.23,298200,50.784469
2015-09-01,52.330002,52.48,50.790001,51.380001,169900,50.933166
2015-08-31,53.490002,53.939999,52.48,53.060001,153800,52.598556
2015-08-28,52.950001,53.84,52.580002,53.77,104000,53.30238
2015-08-27,53.470001,53.810001,52.580002,53.23,172500,52.767076
2015-08-26,53.380001,53.380001,52.18,53.110001,159000,52.64812
2015-08-25,53.57,53.57,51.959999,52.299999,140900,51.845163
2015-08-24,52.639999,53.580002,51.73,51.91,421700,51.458555
2015-08-21,54.669998,55.830002,54.50,54.799999,231700,54.323421
2015-08-20,56.27,56.470001,55.66,55.720001,87800,55.235422
2015-08-19,56.560001,57.16,55.950001,56.779999,98900,56.286202
2015-08-18,57.00,57.299999,56.709999,56.869999,122700,56.375419
2015-08-17,55.779999,56.970001,55.77,56.900002,76100,56.405161
2015-08-14,55.43,56.139999,55.23,56.07,111700,55.582377
2015-08-13,55.759998,56.110001,55.360001,55.599998,124700,55.116463
2015-08-12,55.32,55.900002,54.880001,55.59,139500,55.106552
2015-08-11,55.82,56.549999,55.560001,56.009998,109900,55.522898
2015-08-10,56.52,56.75,55.619999,56.080002,139700,55.592292
2015-08-07,55.84,56.32,55.110001,56.200001,119600,55.711248
2015-08-06,56.970001,57.259998,55.650002,56.080002,84000,55.592292
2015-08-05,57.02,57.529999,56.790001,57.18,102700,56.682724
2015-08-04,56.380001,57.07,56.349998,56.619999,80100,56.127593
2015-08-03,56.669998,57.25,56.41,56.849998,107500,56.355592
2015-07-31,56.919998,57.32,56.52,56.720001,209100,56.226726
2015-07-30,56.82,57.029999,56.52,56.849998,226400,56.355592
2015-07-29,57.880001,57.959999,56.59,57.029999,125600,56.534027
2015-07-28,57.700001,58.32,56.75,57.73,159400,57.22794
2015-07-27,57.580002,57.700001,56.860001,57.32,161300,56.821506
2015-07-24,57.560001,58.509998,57.389999,57.700001,169900,57.198203
2015-07-23,57.82,58.25,56.959999,57.720001,230900,57.218029
2015-07-22,57.00,57.950001,56.130001,57.619999,558100,57.118897
2015-07-21,60.060001,60.360001,59.439999,59.77,153100,59.2502
2015-07-20,59.959999,60.25,59.48,60.189999,83500,59.666546
2015-07-17,60.00,60.200001,59.639999,60.02,85600,59.498026
2015-07-16,59.82,60.48,59.299999,59.959999,157300,59.438546
2015-07-15,59.720001,60.34,59.02,59.419998,79200,58.903242
2015-07-14,59.279999,59.900002,59.130001,59.810001,88000,59.289853
2015-07-13,58.650002,59.509998,58.650002,59.439999,68700,58.923068
2015-07-10,58.66,58.73,58.220001,58.490002,157800,57.981333
2015-07-09,59.290001,60.66,58.029999,58.080002,135600,57.574899
2015-07-08,58.849998,59.18,58.189999,58.709999,153200,58.199417
2015-07-07,59.389999,59.48,58.639999,59.299999,87400,58.784286
2015-07-06,57.799999,59.330002,57.799999,59.209999,78300,58.695069
2015-07-02,58.84,58.84,57.740002,58.560001,97500,58.050724
2015-07-01,58.709999,58.799999,56.810001,58.740002,164300,58.229159
2015-06-30,55.880001,58.619999,55.880001,58.27,95500,57.763245
2015-06-29,58.889999,59.139999,57.59,57.830002,83500,57.327073
