Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,10.60,10.87,10.51,10.77,157100,10.77
2016-01-21,10.71,10.87,10.58,10.60,84000,10.60
2016-01-20,10.64,10.83,10.46,10.69,132200,10.69
2016-01-19,11.04,11.04,10.69,10.79,85500,10.79
2016-01-15,11.05,11.26,10.48,10.90,168200,10.90
2016-01-14,11.61,11.75,11.33,11.38,128700,11.38
2016-01-13,12.14,12.25,11.47,11.57,88300,11.57
2016-01-12,12.22,12.22,11.86,12.08,111600,12.08
2016-01-11,11.98,12.34,11.91,12.10,53000,12.10
2016-01-08,12.57,12.57,11.90,11.96,126300,11.96
2016-01-07,12.68,12.78,12.55,12.57,109100,12.57
2016-01-06,12.69,13.00,12.69,12.91,128000,12.91
2016-01-05,12.49,12.99,12.49,12.89,50600,12.89
2016-01-04,13.20,13.20,12.73,12.89,125200,12.89
2015-12-31,13.63,13.70,13.34,13.42,73700,13.42
2015-12-30,13.67,13.75,13.57,13.64,66700,13.64
2015-12-29,13.54,13.80,13.48,13.72,59900,13.72
2015-12-28,13.39,13.52,13.27,13.49,22800,13.49
2015-12-24,13.50,13.50,13.44,13.48,27900,13.48
2015-12-23,13.55,13.64,13.39,13.51,56900,13.51
2015-12-22,13.14,13.56,12.95,13.51,116600,13.51
2015-12-21,13.28,13.40,13.04,13.10,151100,13.10
2015-12-18,13.32,13.44,13.17,13.21,169000,13.21
2015-12-17,13.58,13.59,13.32,13.40,37800,13.40
2015-12-16,13.43,13.58,13.14,13.50,50200,13.50
2015-12-15,12.95,13.42,12.83,13.33,48800,13.33
2015-12-14,12.85,12.96,12.70,12.86,91700,12.86
2015-12-11,12.93,13.05,12.78,12.82,122000,12.82
2015-12-10,13.18,13.27,13.05,13.15,68400,13.15
2015-12-09,13.31,13.47,12.89,13.20,103000,13.20
2015-12-08,13.39,13.49,13.12,13.31,41700,13.31
2015-12-07,13.82,13.94,13.40,13.49,82200,13.49
2015-12-04,13.66,13.92,13.57,13.90,48400,13.90
2015-12-03,13.63,13.78,13.60,13.66,107400,13.66
2015-12-02,13.78,13.85,13.46,13.62,78000,13.62
2015-12-01,13.76,13.88,13.63,13.82,122300,13.82
2015-11-30,13.75,13.81,13.58,13.72,82600,13.72
2015-11-27,13.54,13.72,13.45,13.71,17600,13.71
2015-11-25,13.70,13.80,13.38,13.59,75300,13.59
2015-11-24,13.42,13.88,13.31,13.86,122000,13.86
2015-11-23,13.21,13.62,13.20,13.55,98300,13.55
2015-11-20,13.05,13.34,13.00,13.26,88000,13.26
2015-11-19,12.98,13.03,12.83,13.02,41500,13.02
2015-11-18,12.84,13.05,12.68,13.03,77200,13.03
2015-11-17,12.69,13.03,12.69,12.85,71300,12.85
2015-11-16,12.54,12.84,12.48,12.84,80500,12.84
2015-11-13,12.77,12.91,12.68,12.78,49400,12.78
2015-11-12,13.07,13.08,12.83,12.87,64600,12.87
2015-11-11,13.28,13.40,13.17,13.17,42900,13.17
2015-11-10,13.30,13.34,13.14,13.24,78400,13.24
2015-11-09,13.34,13.39,13.17,13.29,61800,13.29
2015-11-06,13.05,13.42,13.05,13.39,74300,13.39
2015-11-05,12.87,13.06,12.74,13.02,54200,13.02
2015-11-04,12.97,13.00,12.73,12.86,71100,12.86
2015-11-03,12.69,13.00,12.60,12.96,109000,12.96
2015-11-02,12.43,12.75,12.34,12.73,70900,12.73
2015-10-30,12.89,12.89,12.34,12.46,79300,12.46
2015-10-29,12.97,13.11,12.81,12.90,77200,12.90
2015-10-28,12.46,13.03,12.42,13.03,123100,13.03
2015-10-27,12.62,12.74,12.43,12.46,77400,12.46
2015-10-26,12.49,12.77,12.49,12.68,70200,12.68
2015-10-23,12.43,12.57,12.36,12.54,83200,12.54
2015-10-22,12.22,12.50,12.22,12.35,146200,12.35
2015-10-21,12.34,12.46,12.19,12.20,140400,12.155
2015-10-20,12.06,12.35,12.05,12.30,115000,12.254631
2015-10-19,12.30,12.40,11.95,12.10,126400,12.055369
2015-10-16,13.04,13.04,12.36,12.41,480700,12.364225
2015-10-15,12.63,13.13,12.62,13.03,123000,12.981938
2015-10-14,13.18,13.18,12.52,12.63,144200,12.583414
2015-10-13,13.13,13.25,13.07,13.15,46800,13.101496
2015-10-12,13.10,13.20,13.00,13.16,54900,13.111459
2015-10-09,13.15,13.17,13.07,13.07,39600,13.021791
2015-10-08,12.96,13.22,12.96,13.19,106300,13.141348
2015-10-07,12.87,13.06,12.84,13.01,91000,12.962013
2015-10-06,12.82,12.90,12.68,12.86,100600,12.812565
2015-10-05,12.85,13.00,12.75,12.85,116500,12.802603
2015-10-02,12.81,12.88,12.31,12.70,150600,12.653156
2015-10-01,13.04,13.13,12.71,12.91,133200,12.862381
2015-09-30,13.09,13.10,13.00,13.01,69500,12.962013
2015-09-29,13.04,13.13,12.84,13.00,78900,12.952049
2015-09-28,13.01,13.15,12.85,13.01,85200,12.962013
2015-09-25,13.25,13.29,12.96,13.00,114300,12.952049
2015-09-24,13.10,13.16,12.94,13.09,107400,13.041718
2015-09-23,13.06,13.22,13.00,13.15,107600,13.101496
2015-09-22,12.92,13.05,12.72,13.00,96500,12.952049
2015-09-21,12.96,13.09,12.87,13.01,47900,12.962013
2015-09-18,12.77,13.04,12.59,12.86,254900,12.812565
2015-09-17,13.09,13.30,12.87,12.90,53700,12.852418
2015-09-16,13.22,13.30,13.10,13.12,41700,13.071607
2015-09-15,13.08,13.35,13.08,13.28,39800,13.231016
2015-09-14,13.09,13.17,12.99,13.06,73700,13.011828
2015-09-11,12.90,13.14,12.90,13.08,25100,13.031754
2015-09-10,12.88,13.09,12.84,13.00,111500,12.952049
2015-09-09,13.09,13.09,12.81,12.89,71600,12.842455
2015-09-08,12.90,13.03,12.86,12.95,75400,12.902234
2015-09-04,12.50,12.87,12.50,12.73,63800,12.683045
2015-09-03,12.76,12.90,12.64,12.65,75000,12.60334
2015-09-02,12.66,12.80,12.51,12.80,123000,12.752787
2015-09-01,12.67,12.83,12.42,12.50,97800,12.453894
2015-08-31,12.73,12.99,12.71,12.88,86900,12.832492
2015-08-28,12.68,12.99,12.68,12.84,76700,12.79264
2015-08-27,12.96,13.01,12.62,12.79,83900,12.742824
2015-08-26,12.75,12.87,12.48,12.87,95100,12.822529
2015-08-25,12.99,12.99,12.33,12.50,190100,12.453894
2015-08-24,12.48,13.02,12.48,12.59,183400,12.543562
2015-08-21,12.73,13.08,12.73,13.00,259400,12.952049
2015-08-20,13.07,13.07,12.90,12.97,130600,12.92216
2015-08-19,13.01,13.31,12.90,13.21,72300,13.161275
2015-08-18,12.99,13.16,12.51,13.13,47200,13.08157
2015-08-17,12.75,13.23,12.74,13.11,146300,13.061643
2015-08-14,12.63,12.92,12.63,12.82,72600,12.772713
2015-08-13,12.50,12.71,12.47,12.69,65400,12.643192
2015-08-12,12.44,12.55,12.41,12.51,87300,12.463857
2015-08-11,12.45,12.54,12.36,12.49,29800,12.44393
2015-08-10,12.29,12.62,12.25,12.52,92000,12.47382
2015-08-07,12.55,12.74,12.45,12.48,27100,12.433967
2015-08-06,12.83,13.04,12.65,12.66,34100,12.613303
2015-08-05,12.91,13.09,12.74,12.84,45600,12.79264
2015-08-04,12.80,12.98,12.75,12.80,20100,12.752787
2015-08-03,12.74,12.99,12.60,12.79,78600,12.742824
2015-07-31,13.03,13.05,12.62,12.79,70400,12.742824
2015-07-30,12.83,13.05,12.78,12.98,50200,12.932123
2015-07-29,12.93,13.11,12.86,12.92,52300,12.872344
2015-07-28,13.10,13.18,12.92,12.96,195100,12.912197
2015-07-27,12.64,13.08,12.53,13.01,132200,12.962013
2015-07-24,12.73,12.87,12.67,12.73,125000,12.683045
2015-07-23,12.92,12.97,12.67,12.79,121600,12.742824
2015-07-22,12.73,12.99,12.73,12.89,104100,12.797621
2015-07-21,12.71,12.97,12.62,12.74,133700,12.648695
2015-07-20,12.57,12.76,12.51,12.70,168200,12.608982
2015-07-17,13.04,13.04,12.53,12.83,165000,12.738051
2015-07-16,13.25,13.39,13.05,13.10,36500,13.006116
2015-07-15,13.19,13.28,13.13,13.16,28000,13.065686
2015-07-14,13.00,13.17,12.85,13.15,57600,13.055757
2015-07-13,12.95,13.11,12.95,13.02,58200,12.926689
2015-07-10,12.83,12.97,12.78,12.91,50300,12.817477
2015-07-09,12.94,12.99,12.69,12.71,82500,12.618911
2015-07-08,12.89,13.12,12.71,12.73,106800,12.638767
2015-07-07,13.00,13.23,12.79,12.95,105100,12.85719
2015-07-06,12.80,13.44,12.70,13.04,66100,12.946546
2015-07-02,13.17,13.24,12.96,12.97,80500,12.877048
2015-07-01,13.17,13.33,13.10,13.16,87900,13.065686
2015-06-30,13.37,13.48,13.06,13.07,80500,12.97633
2015-06-29,13.32,13.48,13.14,13.21,68800,13.115327
2015-06-26,13.41,13.54,13.31,13.49,191500,13.39332
2015-06-25,13.34,13.36,13.25,13.34,46900,13.244396
2015-06-24,13.31,13.38,13.20,13.26,61300,13.164969
2015-06-23,13.27,13.35,13.12,13.34,69500,13.244396
2015-06-22,13.11,13.39,13.10,13.33,66000,13.234467
2015-06-19,12.95,13.14,12.90,12.99,117400,12.896904
2015-06-18,12.86,13.06,12.82,13.01,108900,12.916761
2015-06-17,12.79,12.84,12.66,12.80,143400,12.708266
2015-06-16,12.53,12.73,12.50,12.73,37400,12.638767
2015-06-15,12.63,12.72,12.42,12.61,52700,12.519627
2015-06-12,12.75,12.88,12.70,12.76,33900,12.668553
2015-06-11,12.73,12.87,12.73,12.79,40700,12.698337
2015-06-10,12.50,12.87,12.50,12.78,89300,12.688409
2015-06-09,12.35,12.63,12.35,12.40,64800,12.311132
2015-06-08,12.39,12.49,12.34,12.40,41900,12.311132
2015-06-05,12.37,12.46,12.27,12.45,26300,12.360774
2015-06-04,12.23,12.46,12.23,12.30,39500,12.211849
2015-06-03,12.02,12.42,12.00,12.32,95900,12.231705
2015-06-02,11.74,12.06,11.74,12.03,39100,11.943784
2015-06-01,11.92,11.92,11.59,11.75,155600,11.665791
2015-05-29,11.79,11.89,11.64,11.82,48300,11.735289
2015-05-28,11.71,11.89,11.69,11.87,176900,11.784931
2015-05-27,11.78,11.80,11.64,11.78,64700,11.695575
2015-05-26,11.80,11.80,11.59,11.63,155200,11.546651
2015-05-22,12.07,12.07,11.68,11.89,94600,11.804788
2015-05-21,12.12,12.15,11.94,12.05,40800,11.963641
2015-05-20,12.16,12.17,11.88,12.10,40300,12.013283
2015-05-19,11.97,12.11,11.77,12.11,59000,12.02321
2015-05-18,11.67,11.91,11.41,11.86,36300,11.775002
2015-05-15,11.80,11.89,11.56,11.73,50700,11.645934
2015-05-14,11.75,11.94,11.74,11.86,57300,11.775002
2015-05-13,11.74,11.75,11.53,11.73,92800,11.645934
2015-05-12,11.76,11.89,11.58,11.75,102400,11.665791
2015-05-11,11.63,11.81,11.63,11.81,69300,11.725361
2015-05-08,11.77,11.77,11.55,11.68,39600,11.596293
2015-05-07,11.62,11.73,11.60,11.69,40800,11.60622
2015-05-06,11.61,11.65,11.54,11.63,63200,11.546651
2015-05-05,11.62,11.78,11.50,11.61,69500,11.526794
2015-05-04,11.76,11.81,11.32,11.70,54600,11.616149
2015-05-01,12.02,12.15,11.63,11.69,62000,11.60622
2015-04-30,12.43,12.43,11.97,12.01,117800,11.923928
2015-04-29,12.50,12.54,12.41,12.45,73500,12.360774
2015-04-28,12.41,12.60,12.29,12.51,70400,12.420344
2015-04-27,12.20,12.57,12.10,12.36,109400,12.271419
2015-04-24,11.96,12.19,11.90,12.17,44100,12.082781
2015-04-23,11.98,12.05,11.83,12.00,313900,11.913999
2015-04-22,12.36,12.36,12.02,12.04,28000,11.913999
2015-04-21,12.28,12.36,12.15,12.36,18000,12.23065
2015-04-20,12.11,12.35,12.00,12.29,41100,12.161383
2015-04-17,12.17,12.33,11.99,12.11,71500,11.983266
2015-04-16,12.29,12.39,12.15,12.25,15300,12.121801
2015-04-15,12.18,12.41,12.10,12.37,25400,12.240545
2015-04-14,12.22,12.30,12.16,12.18,24600,12.052534
2015-04-13,12.12,12.29,12.12,12.25,28700,12.121801
2015-04-10,12.20,12.24,12.00,12.15,87300,12.022847
2015-04-09,12.20,12.27,11.96,12.10,43600,11.973371
2015-04-08,11.98,12.27,11.98,12.20,42600,12.072324
2015-04-07,12.24,12.47,11.94,12.04,171100,11.913999
2015-04-06,12.11,12.33,12.03,12.21,23000,12.08222
2015-04-02,12.19,12.39,12.17,12.23,44400,12.10201
2015-04-01,12.07,12.42,12.07,12.24,207300,12.111906
2015-03-31,12.28,12.37,12.23,12.32,28500,12.191068
2015-03-30,12.13,12.38,12.10,12.36,90300,12.23065
2015-03-27,12.06,12.12,11.89,12.12,54100,11.993162
2015-03-26,11.90,12.13,11.86,12.09,40200,11.963476
2015-03-25,12.30,12.32,11.94,11.97,48700,11.844732
2015-03-24,12.22,12.40,12.14,12.30,64800,12.171278
2015-03-23,12.12,12.30,12.09,12.26,66400,12.131697
2015-03-20,11.99,12.31,11.88,12.20,129500,12.072324
2015-03-19,11.91,12.01,11.72,11.90,55900,11.775464
2015-03-18,12.19,12.19,11.91,12.02,81200,11.894209
2015-03-17,12.04,12.15,11.90,12.10,49400,11.973371
2015-03-16,12.05,12.16,11.95,12.11,92100,11.983266
2015-03-13,12.13,12.19,11.78,12.03,42300,11.904103
2015-03-12,11.60,12.11,11.60,12.07,91400,11.943685
2015-03-11,11.52,11.64,11.44,11.54,108200,11.419231
2015-03-10,11.50,11.73,11.45,11.53,83400,11.409336
2015-03-09,11.57,11.66,11.47,11.53,45900,11.409336
2015-03-06,11.20,11.68,11.20,11.50,89200,11.37965
2015-03-05,11.21,11.41,11.10,11.32,28500,11.201534
2015-03-04,11.28,11.29,11.17,11.20,65900,11.08279
2015-03-03,11.31,11.46,11.26,11.36,21200,11.241115
2015-03-02,11.36,11.51,11.19,11.34,41800,11.221325
2015-02-27,11.32,11.44,11.27,11.29,74000,11.171848
2015-02-26,11.23,11.45,11.18,11.37,27300,11.251011
2015-02-25,11.45,11.45,11.16,11.27,29500,11.152058
2015-02-24,11.57,11.57,11.23,11.34,56100,11.221325
2015-02-23,11.32,11.37,11.15,11.28,41000,11.161952
2015-02-20,11.54,11.54,11.22,11.40,73300,11.280696
2015-02-19,11.54,11.61,11.41,11.58,13700,11.458813
2015-02-18,11.61,11.72,11.50,11.55,71500,11.429127
2015-02-17,11.67,11.76,11.59,11.65,24500,11.52808
2015-02-13,11.68,11.75,11.47,11.71,97900,11.587452
2015-02-12,11.62,11.76,11.54,11.72,29000,11.597348
2015-02-11,11.70,11.79,11.36,11.57,42100,11.448917
2015-02-10,11.88,11.91,11.66,11.76,51300,11.636929
2015-02-09,11.92,12.02,11.71,11.83,114800,11.706197
2015-02-06,11.67,12.01,11.63,11.90,72100,11.775464
2015-02-05,11.49,11.71,11.41,11.62,33500,11.498394
2015-02-04,11.63,11.77,11.34,11.40,58200,11.280696
2015-02-03,11.43,11.71,11.43,11.65,63500,11.52808
2015-02-02,10.96,11.55,10.89,11.41,87300,11.290592
2015-01-30,11.25,11.50,10.88,10.90,96200,10.785929
2015-01-29,11.19,11.42,10.96,11.38,76900,11.260906
2015-01-28,11.67,11.67,11.13,11.24,83900,11.08279
2015-01-27,11.53,11.63,11.28,11.63,134100,11.467335
2015-01-26,12.03,12.03,11.51,11.66,68000,11.496916
2015-01-23,12.15,12.95,11.74,12.00,100400,11.83216
2015-01-22,11.57,12.29,11.48,12.25,93100,12.078664
2015-01-21,11.54,11.61,11.21,11.46,205200,11.299713
2015-01-20,11.90,11.97,11.50,11.55,53000,11.388454
2015-01-16,11.55,11.92,11.55,11.88,55300,11.713839
2015-01-15,11.84,11.84,11.38,11.60,124900,11.437755
2015-01-14,11.80,12.04,11.75,11.86,41600,11.694118
2015-01-13,11.87,12.05,11.62,11.96,81600,11.79272
2015-01-12,12.03,12.18,11.74,11.74,51000,11.575797
2015-01-09,12.42,12.42,12.03,12.07,32200,11.901181
2015-01-08,12.36,12.48,12.25,12.45,60700,12.275866
2015-01-07,12.45,12.54,12.12,12.23,58200,12.058943
2015-01-06,12.83,12.83,12.27,12.38,55900,12.206845
2015-01-05,12.85,13.00,12.61,12.80,46500,12.620971
2015-01-02,13.23,13.23,12.81,12.95,41600,12.768873
2014-12-31,13.26,13.34,13.11,13.13,51000,12.946355
2014-12-30,13.23,13.35,13.11,13.18,33800,12.995656
2014-12-29,13.36,13.60,13.25,13.30,83700,13.113978
2014-12-26,13.14,13.36,13.05,13.34,28000,13.153418
2014-12-24,13.14,13.22,12.88,13.14,27000,12.956216
2014-12-23,13.09,13.23,13.07,13.13,48200,12.946355
2014-12-22,13.09,13.11,12.88,13.02,44800,12.837894
2014-12-19,12.85,13.11,12.69,13.08,170900,12.897055
2014-12-18,12.94,12.97,12.71,12.93,65000,12.749153
2014-12-17,12.44,13.00,12.34,12.79,95300,12.611111
2014-12-16,12.18,12.54,12.15,12.44,130600,12.266006
2014-12-15,12.16,12.41,12.03,12.25,171800,12.078664
2014-12-12,11.96,12.32,11.96,12.16,180800,11.989922
2014-12-11,12.14,12.42,12.10,12.15,134700,11.980062
2014-12-10,12.35,12.40,12.04,12.04,114500,11.871601
2014-12-09,12.00,12.44,11.88,12.43,66800,12.256146
2014-12-08,11.95,12.30,11.95,12.15,70700,11.980062
2014-12-05,11.44,12.05,11.44,12.00,176300,11.83216
2014-12-04,11.37,11.61,11.37,11.45,63400,11.289853
2014-12-03,11.41,11.56,11.34,11.41,81100,11.250412
2014-12-02,11.17,11.57,11.17,11.44,90100,11.279992
2014-12-01,11.49,11.54,11.15,11.17,131800,11.013769
2014-11-28,11.82,11.93,11.47,11.48,24500,11.319433
2014-11-26,11.82,11.92,11.72,11.84,17300,11.674398
2014-11-25,11.91,12.02,11.78,11.84,65800,11.674398
2014-11-24,11.74,11.92,11.74,11.85,46400,11.684259
2014-11-21,11.71,11.80,11.60,11.75,68200,11.585657
2014-11-20,11.46,11.60,11.39,11.55,59500,11.388454
2014-11-19,11.85,11.85,11.37,11.55,80300,11.388454
2014-11-18,11.91,12.00,11.85,11.90,98000,11.733559
2014-11-17,12.09,12.37,11.82,11.90,65000,11.733559
2014-11-14,12.38,12.45,12.16,12.17,45100,11.999783
2014-11-13,12.55,12.60,12.33,12.33,96500,12.157545
2014-11-12,12.24,12.63,12.10,12.63,60600,12.453349
2014-11-11,12.25,12.38,12.15,12.32,41900,12.147684
2014-11-10,12.14,12.25,12.08,12.25,31000,12.078664
2014-11-07,12.30,12.37,12.06,12.20,37400,12.029363
2014-11-06,12.05,12.36,12.05,12.34,28800,12.167405
2014-11-05,12.13,12.27,12.07,12.09,40800,11.920902
2014-11-04,11.89,12.09,11.89,12.06,29000,11.891321
2014-11-03,12.09,12.20,11.60,11.97,111300,11.80258
2014-10-31,12.18,12.18,11.88,12.02,97000,11.851881
2014-10-30,11.74,11.93,11.74,11.93,69600,11.76314
2014-10-29,11.83,11.85,11.66,11.80,63100,11.634958
2014-10-28,11.53,11.86,11.50,11.85,93400,11.684259
2014-10-27,11.35,11.56,11.12,11.50,56600,11.339154
2014-10-24,11.37,11.47,11.25,11.40,58600,11.240552
2014-10-23,11.42,11.53,11.21,11.32,120900,11.161671
2014-10-22,11.53,11.53,11.32,11.38,48400,11.181392
2014-10-21,11.45,11.55,11.36,11.53,64800,11.328773
