Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,11.66,11.76,11.31,11.74,47700,11.74
2016-01-21,11.62,11.67,11.34,11.48,79500,11.48
2016-01-20,11.15,11.61,11.00,11.55,87600,11.55
2016-01-19,11.49,11.49,11.01,11.25,98800,11.25
2016-01-15,11.15,11.38,11.00,11.37,140800,11.37
2016-01-14,11.18,11.58,11.14,11.42,83700,11.42
2016-01-13,11.67,11.69,10.99,11.08,87000,11.08
2016-01-12,11.60,11.66,11.38,11.64,123500,11.64
2016-01-11,11.26,11.53,11.22,11.52,81300,11.52
2016-01-08,11.34,11.39,10.96,11.19,146300,11.19
2016-01-07,11.35,11.41,11.25,11.30,107300,11.30
2016-01-06,11.38,11.54,11.34,11.51,102600,11.51
2016-01-05,11.48,11.65,11.44,11.51,108800,11.51
2016-01-04,11.93,11.93,11.24,11.43,142800,11.43
2015-12-31,12.69,12.69,12.04,12.07,65600,12.07
2015-12-30,12.78,12.84,12.66,12.68,72400,12.68
2015-12-29,12.84,12.86,12.32,12.76,78800,12.76
2015-12-28,12.85,12.93,12.56,12.80,114100,12.80
2015-12-24,12.73,13.06,12.56,12.93,28400,12.93
2015-12-23,13.00,13.21,12.56,12.76,79200,12.76
2015-12-22,12.81,12.92,12.53,12.90,107600,12.90
2015-12-21,12.85,12.93,12.61,12.78,85700,12.78
2015-12-18,12.61,12.75,11.22,12.69,430500,12.69
2015-12-17,12.91,12.95,11.38,12.65,65800,12.65
2015-12-16,12.64,12.88,12.30,12.88,98200,12.88
2015-12-15,12.44,12.68,12.40,12.54,91600,12.54
2015-12-14,12.64,12.64,12.26,12.35,88700,12.35
2015-12-11,12.50,12.76,12.40,12.65,107700,12.65
2015-12-10,12.74,12.84,12.61,12.72,76900,12.72
2015-12-09,12.70,12.81,12.63,12.77,93400,12.77
2015-12-08,12.95,13.03,12.71,12.78,58800,12.78
2015-12-07,13.13,13.23,12.98,13.08,72500,13.08
2015-12-04,13.04,13.30,13.04,13.24,171300,13.24
2015-12-03,13.13,13.32,13.03,13.05,184700,13.05
2015-12-02,13.16,13.28,12.51,13.12,91900,13.12
2015-12-01,13.15,13.29,13.07,13.20,87900,13.20
2015-11-30,12.91,13.25,12.91,13.11,102100,13.11
2015-11-27,12.94,13.00,12.89,12.96,23300,12.96
2015-11-25,12.95,13.06,12.62,12.94,63100,12.94
2015-11-24,12.90,13.00,12.77,12.96,111600,12.96
2015-11-23,13.07,13.12,12.88,13.00,62400,13.00
2015-11-20,12.65,13.09,12.59,13.03,167600,13.03
2015-11-19,12.36,12.68,12.23,12.57,276000,12.57
2015-11-18,12.35,12.39,11.29,12.35,229100,12.35
2015-11-17,12.60,12.62,12.37,12.38,148400,12.32
2015-11-16,12.78,12.97,12.55,12.59,151900,12.528983
2015-11-13,12.59,12.91,12.18,12.80,124900,12.737965
2015-11-12,12.76,13.01,12.65,12.68,84300,12.618547
2015-11-11,12.85,13.04,12.83,12.86,168200,12.797673
2015-11-10,12.88,13.00,12.73,12.85,121900,12.787723
2015-11-09,13.02,13.11,12.86,12.91,83200,12.847431
2015-11-06,12.82,13.09,12.67,13.08,187900,13.016608
2015-11-05,12.91,13.13,12.73,12.90,164700,12.83748
2015-11-04,13.16,13.23,12.73,12.89,161500,12.827529
2015-11-03,12.86,13.43,12.75,13.18,293200,13.116123
2015-11-02,12.42,13.23,12.42,12.99,187300,12.927044
2015-10-30,11.39,13.11,11.38,12.59,589900,12.528983
2015-10-29,11.26,11.45,10.89,11.09,188100,11.036252
2015-10-28,10.52,11.30,10.31,11.29,242800,11.235283
2015-10-27,11.03,11.10,10.53,10.57,116600,10.518772
2015-10-26,11.12,11.28,10.87,11.09,128900,11.036252
