Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,48.110001,50.23,48.099998,49.889999,130900,49.889999
2016-01-21,49.799999,49.959999,47.139999,47.75,327500,47.75
2016-01-20,49.75,50.419998,47.490002,49.23,88600,49.23
2016-01-19,49.610001,51.259998,47.799999,50.16,127700,50.16
2016-01-15,49.810001,50.509998,48.099998,49.599998,94200,49.599998
2016-01-14,49.580002,50.98,49.27,50.869999,120400,50.869999
2016-01-13,50.400002,50.630001,49.110001,49.650002,81700,49.650002
2016-01-12,50.970001,51.919998,49.66,50.080002,114000,50.080002
2016-01-11,48.860001,50.970001,48.860001,50.689999,148900,50.689999
2016-01-08,49.07,49.540001,48.34,48.450001,143700,48.450001
2016-01-07,49.150002,50.110001,48.610001,48.919998,141300,48.919998
2016-01-06,48.91,50.23,48.91,50.009998,104400,50.009998
2016-01-05,49.639999,50.029999,49.150002,49.48,68300,49.48
2016-01-04,48.93,50.189999,48.099998,49.360001,139600,49.360001
2015-12-31,50.380001,50.380001,48.709999,49.75,62100,49.75
2015-12-30,50.98,51.330002,50.380001,50.470001,71800,50.470001
2015-12-29,50.189999,50.990002,49.790001,50.959999,86100,50.959999
2015-12-28,49.139999,50.439999,48.82,50.099998,108600,50.099998
2015-12-24,49.389999,49.98,49.279999,49.509998,35500,49.509998
2015-12-23,49.50,49.66,48.830002,49.549999,90800,49.549999
2015-12-22,48.48,49.32,48.040001,49.279999,103000,49.279999
2015-12-21,48.009998,49.330002,47.66,48.470001,93300,48.470001
2015-12-18,48.25,49.299999,47.93,48.470001,292600,48.470001
2015-12-17,48.75,48.84,48.049999,48.57,98200,48.57
2015-12-16,48.50,48.849998,47.990002,48.720001,66300,48.720001
2015-12-15,48.119999,48.52,47.900002,48.459999,92900,48.459999
2015-12-14,47.16,48.220001,46.279999,48.139999,194900,48.139999
2015-12-11,45.959999,46.439999,45.450001,45.48,95500,45.48
2015-12-10,46.830002,47.02,45.560001,46.66,109800,46.66
2015-12-09,48.25,48.68,46.720001,46.759998,90700,46.759998
2015-12-08,47.419998,48.91,47.110001,48.759998,132800,48.759998
2015-12-07,48.200001,48.799999,47.400002,47.799999,88100,47.799999
2015-12-04,48.91,48.959999,47.889999,48.119999,143600,48.119999
2015-12-03,47.700001,49.169998,47.700001,48.939999,148200,48.939999
2015-12-02,48.439999,48.650002,47.450001,48.00,167700,48.00
2015-12-01,50.650002,51.110001,48.00,48.68,213200,48.68
2015-11-30,53.549999,54.990002,47.599998,48.720001,353400,48.720001
2015-11-27,50.060001,51.00,49.939999,50.689999,233400,50.689999
