Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,8.15,8.33,8.15,8.23,8400,8.23
2016-01-21,7.95,8.18,7.95,8.13,5300,8.13
2016-01-20,8.00,8.00,7.64,7.87,39500,7.87
2016-01-19,8.20,8.24,7.82,8.01,63200,8.01
2016-01-15,8.38,8.38,8.18,8.20,12100,8.20
2016-01-14,8.38,8.38,8.27,8.28,7700,8.28
2016-01-13,8.50,8.50,8.29,8.29,6100,8.29
2016-01-12,8.44,8.54,8.34,8.47,3200,8.47
2016-01-11,8.55,8.59,8.40,8.49,9600,8.49
2016-01-08,8.30,8.52,8.26,8.52,7100,8.52
2016-01-07,8.29,8.40,8.29,8.34,6900,8.34
2016-01-06,8.31,8.40,8.25,8.39,4800,8.39
2016-01-05,8.48,8.56,8.27,8.36,62600,8.36
2016-01-04,8.58,8.59,8.23,8.43,19500,8.43
2015-12-31,8.49,8.49,8.47,8.49,6200,8.49
2015-12-30,8.42,8.51,8.31,8.49,20900,8.49
2015-12-29,8.25,8.38,8.20,8.31,11000,8.31
2015-12-28,8.26,8.33,8.08,8.27,12100,8.27
2015-12-24,8.20,8.26,8.07,8.15,3800,8.15
2015-12-23,7.96,8.07,7.96,8.06,4200,8.06
2015-12-22,7.92,8.00,7.89,7.94,32300,7.94
2015-12-21,7.92,7.99,7.89,7.91,12500,7.91
2015-12-18,7.91,8.00,7.90,7.95,12200,7.95
2015-12-17,8.19,8.19,7.85,8.00,39700,8.00
2015-12-16,8.30,8.30,8.02,8.07,28800,8.07
2015-12-15,8.39,8.42,8.19,8.29,22800,8.29
2015-12-14,8.49,8.56,8.25,8.30,17300,8.30
2015-12-11,8.38,8.60,8.38,8.52,17500,8.52
2015-12-10,8.42,8.47,8.25,8.47,15400,8.47
2015-12-09,8.36,8.46,8.25,8.43,7000,8.43
2015-12-08,8.45,8.45,8.39,8.41,3000,8.33
2015-12-07,8.45,8.46,8.32,8.42,6100,8.339905
2015-12-04,8.38,8.55,8.38,8.47,2600,8.38943
2015-12-03,8.45,8.60,8.30,8.31,31000,8.230952
2015-12-02,8.55,8.58,8.47,8.47,15600,8.38943
2015-12-01,8.85,8.85,8.50,8.56,13800,8.478574
2015-11-30,8.54,8.85,8.52,8.85,26100,8.765815
2015-11-27,8.60,8.60,8.48,8.48,5200,8.399334
2015-11-25,8.51,8.68,8.51,8.61,51200,8.528097
2015-11-24,8.51,8.59,8.50,8.53,10600,8.448858
2015-11-23,8.54,8.58,8.46,8.54,19800,8.458763
2015-11-20,8.49,8.58,8.44,8.49,12400,8.409239
2015-11-19,8.50,8.53,8.47,8.47,19300,8.38943
2015-11-18,8.44,8.53,8.44,8.49,14100,8.409239
2015-11-17,8.40,8.50,8.40,8.49,3800,8.409239
2015-11-16,8.39,8.55,8.23,8.45,9700,8.369619
2015-11-13,8.45,8.56,8.32,8.43,10800,8.34981
2015-11-12,8.45,8.58,8.38,8.38,23200,8.300285
2015-11-11,8.37,8.57,8.20,8.39,12800,8.310191
2015-11-10,8.49,8.58,8.21,8.28,27200,8.201236
2015-11-09,8.36,8.50,8.36,8.45,8200,8.369619
2015-11-06,8.25,8.54,8.25,8.32,12700,8.240856
2015-11-05,8.40,8.58,8.27,8.40,5300,8.320095
2015-11-04,8.49,8.54,8.37,8.47,7000,8.38943
2015-11-03,8.49,8.53,8.49,8.50,7400,8.419144
2015-11-02,8.40,8.48,8.37,8.43,11700,8.34981
2015-10-30,8.49,8.53,8.35,8.36,12000,8.280475
2015-10-29,8.38,8.49,8.38,8.49,5100,8.409239
2015-10-28,8.42,8.46,8.32,8.42,5100,8.339905
2015-10-27,8.39,8.46,8.29,8.31,5500,8.230952
2015-10-26,8.32,8.34,8.25,8.31,4900,8.230952
2015-10-23,8.36,8.36,8.20,8.30,13700,8.221047
2015-10-22,8.31,8.33,8.20,8.29,7200,8.211141
2015-10-21,8.43,8.56,8.25,8.25,24400,8.171522
2015-10-20,8.60,8.60,8.44,8.50,17400,8.419144
2015-10-19,8.83,8.83,8.36,8.47,50100,8.38943
2015-10-16,8.84,8.84,8.68,8.72,19200,8.637051
2015-10-15,8.36,8.97,8.26,8.79,45300,8.706385
2015-10-14,8.31,8.36,8.27,8.34,9600,8.260666
2015-10-13,8.21,8.30,8.21,8.28,2500,8.201236
2015-10-12,8.26,8.28,8.14,8.24,7300,8.161617
2015-10-09,8.25,8.25,8.17,8.25,4300,8.171522
2015-10-08,8.24,8.25,8.18,8.25,4200,8.171522
2015-10-07,8.17,8.25,8.12,8.21,7500,8.131903
2015-10-06,8.22,8.22,8.06,8.10,4200,8.022949
