Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.89,14.02,13.74,14.01,144400,14.01
2016-01-21,13.60,13.92,13.51,13.82,141500,13.82
2016-01-20,13.45,13.70,13.40,13.60,175000,13.60
2016-01-19,13.68,13.80,13.52,13.57,103000,13.57
2016-01-15,13.09,13.62,13.09,13.59,255700,13.59
2016-01-14,13.32,13.60,13.25,13.35,234300,13.35
2016-01-13,13.71,13.76,13.18,13.29,219300,13.29
2016-01-12,13.97,14.11,13.65,13.69,127000,13.69
2016-01-11,13.95,14.11,13.80,13.88,118500,13.88
2016-01-08,14.20,14.26,13.93,13.93,102400,13.93
2016-01-07,14.24,14.27,14.14,14.14,90900,14.14
2016-01-06,14.12,14.42,14.12,14.32,52600,14.32
2016-01-05,14.12,14.30,14.05,14.23,77700,14.23
2016-01-04,14.25,14.42,14.03,14.11,122200,14.11
2015-12-31,14.44,14.61,14.28,14.34,80000,14.34
2015-12-30,14.35,14.64,14.35,14.55,209600,14.55
2015-12-29,14.22,14.50,14.15,14.38,160400,14.38
2015-12-28,14.26,14.79,14.19,14.22,103900,14.22
2015-12-24,14.36,14.36,14.19,14.27,55100,14.27
2015-12-23,14.26,14.41,14.25,14.27,73300,14.27
2015-12-22,14.50,14.50,14.20,14.29,118400,14.29
2015-12-21,14.33,14.48,14.30,14.47,90000,14.47
2015-12-18,14.59,14.75,14.23,14.37,276400,14.37
2015-12-17,14.66,14.76,14.60,14.69,44800,14.69
2015-12-16,14.59,14.71,14.45,14.66,52200,14.66
2015-12-15,14.35,14.59,14.30,14.54,62200,14.54
2015-12-14,14.37,14.42,14.25,14.29,70500,14.29
2015-12-11,14.19,14.49,14.19,14.41,65700,14.41
2015-12-10,14.33,14.55,14.33,14.39,53400,14.39
2015-12-09,14.52,14.61,14.33,14.34,56600,14.34
2015-12-08,14.70,14.82,14.54,14.56,44200,14.56
2015-12-07,14.90,14.93,14.62,14.74,102500,14.74
2015-12-04,14.82,14.98,14.82,14.94,32300,14.94
2015-12-03,14.94,14.95,14.82,14.85,51800,14.85
2015-12-02,14.90,14.91,14.79,14.87,32100,14.87
2015-12-01,14.89,14.94,14.70,14.85,61300,14.85
2015-11-30,14.85,14.89,14.69,14.84,52300,14.84
2015-11-27,14.72,14.85,14.47,14.80,11300,14.80
2015-11-25,14.70,14.84,14.65,14.75,29500,14.75
2015-11-24,14.54,14.75,14.50,14.72,38600,14.72
2015-11-23,14.62,14.68,14.54,14.58,43900,14.58
2015-11-20,14.73,14.76,14.62,14.68,50600,14.68
2015-11-19,14.64,14.74,14.51,14.64,23800,14.64
2015-11-18,14.65,14.71,14.50,14.68,23700,14.68
2015-11-17,14.67,14.74,14.50,14.66,59100,14.66
2015-11-16,14.49,14.74,14.36,14.67,41500,14.67
2015-11-13,14.49,14.82,14.44,14.45,64600,14.45
2015-11-12,14.71,14.74,14.56,14.57,36200,14.57
2015-11-11,14.78,14.90,14.69,14.77,47100,14.77
2015-11-10,14.58,14.80,14.57,14.76,30800,14.76
2015-11-09,14.81,14.85,14.58,14.66,45900,14.60
2015-11-06,14.64,14.85,14.64,14.83,45000,14.769304
2015-11-05,14.56,14.77,14.56,14.66,37800,14.60
2015-11-04,14.45,14.61,14.45,14.55,65300,14.490451
2015-11-03,14.54,14.57,14.43,14.44,115400,14.3809
2015-11-02,14.57,14.84,14.53,14.60,75400,14.540246
2015-10-30,14.57,14.62,14.49,14.58,100600,14.520328
2015-10-29,14.50,14.81,14.50,14.61,80400,14.550205
2015-10-28,14.50,14.83,14.50,14.81,86900,14.749387
2015-10-27,14.58,14.68,14.40,14.50,45900,14.440655
2015-10-26,14.72,14.78,14.52,14.61,37000,14.550205
2015-10-23,14.67,14.80,14.55,14.70,42600,14.639836
2015-10-22,14.45,14.80,14.45,14.60,36500,14.540246
2015-10-21,14.76,14.80,14.38,14.38,46400,14.321146
2015-10-20,14.67,14.78,14.67,14.76,43800,14.699591
2015-10-19,14.52,14.71,14.52,14.70,71000,14.639836
2015-10-16,14.79,14.79,14.57,14.57,119400,14.510368
2015-10-15,14.36,14.76,14.34,14.74,99000,14.679673
2015-10-14,14.50,14.50,13.55,14.31,110200,14.251433
2015-10-13,14.62,14.80,14.45,14.45,154400,14.39086
2015-10-12,14.49,14.71,14.46,14.67,112400,14.609959
2015-10-09,14.54,14.54,14.37,14.46,89200,14.400819
2015-10-08,14.43,14.57,14.14,14.50,148700,14.440655
2015-10-07,14.26,14.42,14.25,14.42,93100,14.360983
2015-10-06,14.10,14.25,14.05,14.20,89000,14.141883
2015-10-05,13.87,14.19,13.86,14.16,63900,14.102046
2015-10-02,13.64,13.83,13.50,13.80,149100,13.74352
2015-10-01,13.85,13.90,13.71,13.75,90500,13.693725
2015-09-30,14.10,14.10,13.88,13.88,109500,13.823193
