Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.69,13.82,13.32,13.39,263500,13.39
2016-01-21,14.19,14.19,13.46,13.54,229400,13.54
2016-01-20,13.61,14.20,13.61,14.06,235900,14.06
2016-01-19,13.96,14.15,13.63,13.80,300200,13.80
2016-01-15,13.67,13.90,13.41,13.81,214700,13.81
2016-01-14,13.96,14.30,13.89,14.07,161500,14.07
2016-01-13,14.62,14.62,13.72,13.94,278100,13.94
2016-01-12,14.67,14.67,14.32,14.55,241400,14.55
2016-01-11,14.57,14.80,14.49,14.57,146700,14.57
2016-01-08,15.48,15.56,14.52,14.57,352100,14.57
2016-01-07,15.49,15.58,15.36,15.39,328200,15.39
2016-01-06,15.42,15.69,15.38,15.68,222100,15.68
2016-01-05,15.51,15.72,15.45,15.62,234700,15.62
2016-01-04,15.41,15.51,15.06,15.51,527000,15.51
2015-12-31,15.70,15.82,15.56,15.65,296300,15.65
2015-12-30,15.85,15.85,15.60,15.71,147000,15.71
2015-12-29,15.60,15.94,15.49,15.91,161400,15.91
2015-12-28,15.48,15.57,15.24,15.54,109800,15.54
2015-12-24,15.52,15.59,15.44,15.56,109300,15.56
2015-12-23,15.50,15.53,15.38,15.43,93100,15.43
2015-12-22,15.49,15.51,15.09,15.40,186800,15.40
2015-12-21,15.56,15.74,15.22,15.38,149100,15.38
2015-12-18,15.75,15.77,15.32,15.46,405200,15.46
2015-12-17,15.50,15.80,15.42,15.78,337200,15.78
2015-12-16,15.44,15.50,15.11,15.48,196400,15.48
2015-12-15,15.17,15.44,15.05,15.32,316600,15.32
2015-12-14,14.94,15.08,14.87,14.99,248000,14.99
2015-12-11,15.04,15.15,14.85,14.96,278800,14.96
2015-12-10,15.08,15.41,15.03,15.32,297100,15.30
2015-12-09,15.51,15.63,14.97,15.11,427300,15.090274
2015-12-08,15.52,15.79,15.50,15.55,118800,15.5297
2015-12-07,15.93,15.93,15.51,15.65,331600,15.629569
2015-12-04,15.56,16.01,15.47,15.89,149400,15.869257
2015-12-03,15.90,15.97,15.51,15.52,322400,15.49974
2015-12-02,16.120001,16.200001,15.78,15.86,223400,15.839295
2015-12-01,16.030001,16.190001,15.91,16.07,182300,16.049021
2015-11-30,16.01,16.309999,15.90,15.94,296100,15.919191
2015-11-27,16.09,16.16,15.99,16.09,50400,16.068995
2015-11-25,16.16,16.17,16.01,16.059999,113800,16.039034
2015-11-24,16.049999,16.219999,15.95,16.15,263700,16.128916
2015-11-23,15.96,16.24,15.96,16.059999,227000,16.039034
2015-11-20,15.89,16.219999,15.76,15.98,310500,15.959138
2015-11-19,15.70,15.90,15.65,15.89,250600,15.869257
2015-11-18,15.50,15.70,15.33,15.67,219600,15.649544
2015-11-17,15.30,15.65,15.20,15.50,255000,15.479765
2015-11-16,14.89,15.32,14.83,15.29,275600,15.270039
2015-11-13,15.03,15.17,14.80,14.94,233500,14.920496
2015-11-12,15.38,15.38,15.07,15.11,178300,15.090274
2015-11-11,15.26,15.47,15.19,15.43,365200,15.409857
2015-11-10,15.27,15.35,15.15,15.19,1095400,15.17017
2015-11-09,15.50,15.53,15.19,15.26,521800,15.240079
2015-11-06,15.30,15.70,15.30,15.45,745600,15.42983
2015-11-05,15.03,15.47,14.95,15.36,778900,15.339948
2015-11-04,14.86,15.10,14.79,15.00,429300,14.980418
2015-11-03,14.79,14.92,14.73,14.78,171500,14.760705
2015-11-02,14.60,14.97,14.58,14.85,228900,14.830614
2015-10-30,15.03,15.13,14.51,14.58,233100,14.560966
2015-10-29,15.03,15.13,14.92,14.98,320600,14.960444
2015-10-28,14.56,15.14,14.50,15.05,214600,15.030353
2015-10-27,14.58,14.75,14.42,14.50,147400,14.481071
2015-10-26,14.80,14.84,14.62,14.67,204700,14.650849
2015-10-23,14.75,14.87,14.69,14.75,247200,14.730744
2015-10-22,14.62,14.88,14.62,14.75,161800,14.730744
2015-10-21,14.75,14.80,14.50,14.50,202200,14.481071
2015-10-20,14.65,14.82,14.60,14.72,282400,14.700784
2015-10-19,14.61,14.79,14.58,14.59,200700,14.570953
2015-10-16,14.77,14.82,14.64,14.69,279200,14.670822
2015-10-15,14.44,14.77,14.36,14.72,705900,14.700784
2015-10-14,14.79,14.80,14.32,14.36,387400,14.341253
2015-10-13,14.80,15.00,14.77,14.78,190900,14.760705
2015-10-12,14.95,15.05,14.83,14.84,771900,14.820627
2015-10-09,14.99,15.00,14.84,14.91,194900,14.890535
2015-10-08,14.95,15.04,14.82,14.90,259900,14.880548
2015-10-07,15.14,15.15,14.92,14.97,391500,14.950458
2015-10-06,15.06,15.11,14.90,14.97,320600,14.950458
2015-10-05,14.89,15.08,14.81,15.00,236000,14.980418
2015-10-02,14.70,14.72,14.25,14.69,153300,14.670822
2015-10-01,14.74,14.85,14.47,14.78,264600,14.760705
2015-09-30,14.95,15.00,14.57,14.70,294800,14.68081
2015-09-29,14.60,14.87,14.38,14.81,223900,14.790667
2015-09-28,14.48,14.73,14.31,14.55,266900,14.531006
2015-09-25,14.95,14.95,14.47,14.49,399600,14.471084
2015-09-24,14.70,14.92,14.67,14.83,389700,14.81064
2015-09-23,14.62,14.87,14.60,14.79,134800,14.770692
2015-09-22,14.42,14.67,14.32,14.62,170500,14.600914
2015-09-21,14.35,14.54,14.35,14.53,100500,14.511031
2015-09-18,14.00,14.32,13.91,14.25,285500,14.231397
2015-09-17,14.40,14.70,14.15,14.23,79800,14.211423
2015-09-16,14.68,14.68,14.42,14.48,354100,14.461096
2015-09-15,14.35,14.68,14.30,14.55,383000,14.531006
2015-09-14,14.45,14.45,14.12,14.27,288500,14.251372
2015-09-11,14.27,14.48,14.22,14.43,155900,14.411163
2015-09-10,14.14,14.42,14.11,14.34,173500,14.301306
2015-09-09,14.25,14.35,14.00,14.09,195800,14.05198
2015-09-08,13.86,14.23,13.81,14.12,113900,14.081899
2015-09-04,13.59,13.79,13.49,13.65,76300,13.613167
2015-09-03,13.82,13.88,13.65,13.67,81600,13.633113
2015-09-02,13.56,13.75,13.50,13.72,103700,13.682979
2015-09-01,13.61,13.77,13.25,13.36,157100,13.32395
2015-08-31,13.52,13.83,13.51,13.82,115200,13.782708
2015-08-28,13.55,13.65,13.45,13.59,113200,13.553329
2015-08-27,13.92,13.92,13.55,13.63,175400,13.593221
2015-08-26,13.87,13.88,13.41,13.83,129100,13.792682
2015-08-25,13.97,13.97,13.52,13.55,150800,13.513437
2015-08-24,13.36,14.09,12.20,13.60,311100,13.563303
2015-08-21,13.76,14.28,13.72,14.06,149400,14.022061
2015-08-20,14.09,14.16,13.95,14.01,123400,13.972196
2015-08-19,14.18,14.40,14.01,14.20,95100,14.161683
2015-08-18,14.26,14.37,14.17,14.25,92100,14.211548
2015-08-17,14.20,14.41,14.03,14.25,117500,14.211548
2015-08-14,13.83,14.18,13.76,14.17,84800,14.131764
2015-08-13,13.66,13.95,13.65,13.88,194400,13.842547
2015-08-12,13.85,13.88,13.59,13.70,310400,13.663032
2015-08-11,13.97,14.07,13.85,13.97,214300,13.932304
2015-08-10,13.99,14.08,13.94,14.06,529200,14.022061
