Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,0.48,0.55,0.47,0.55,136900,0.55
2016-01-21,0.49,0.52,0.46,0.51,64900,0.51
2016-01-20,0.50,0.52,0.45,0.48,68600,0.48
2016-01-19,0.50,0.52,0.50,0.50,120700,0.50
2016-01-15,0.54,0.58,0.51,0.54,188200,0.54
2016-01-14,0.55,0.65,0.51,0.58,114300,0.58
2016-01-13,0.67,0.69,0.55,0.59,97700,0.59
2016-01-12,0.65,0.70,0.57,0.67,151900,0.67
2016-01-11,0.68,0.70,0.63,0.63,91100,0.63
2016-01-08,0.78,0.78,0.65,0.66,75800,0.66
2016-01-07,0.74,0.83,0.70,0.71,74100,0.71
2016-01-06,0.77,0.88,0.71,0.79,103800,0.79
2016-01-05,0.80,0.81,0.76,0.76,25300,0.76
2016-01-04,0.80,0.84,0.78,0.80,61600,0.80
2015-12-31,0.73,0.85,0.72,0.80,118200,0.80
2015-12-30,0.80,0.80,0.65,0.77,101400,0.77
2015-12-29,0.72,0.88,0.62,0.77,707500,0.77
2015-12-28,0.76,0.80,0.73,0.73,38100,0.73
2015-12-24,0.78,0.80,0.73,0.80,43000,0.80
2015-12-23,0.77,0.80,0.74,0.78,61600,0.78
2015-12-22,0.70,0.78,0.70,0.77,62700,0.77
2015-12-21,0.70,0.79,0.70,0.72,47600,0.72
2015-12-18,0.70,0.75,0.69,0.69,81400,0.69
2015-12-17,0.71,0.75,0.70,0.71,82600,0.71
2015-12-16,0.72,0.83,0.72,0.74,65000,0.74
2015-12-15,0.70,0.80,0.70,0.75,94300,0.75
2015-12-14,0.78,0.78,0.65,0.71,201300,0.71
2015-12-11,0.80,0.84,0.78,0.81,59400,0.81
2015-12-10,0.80,0.84,0.80,0.83,31900,0.83
2015-12-09,0.82,0.84,0.79,0.82,43200,0.82
2015-12-08,0.84,0.88,0.80,0.80,68000,0.80
2015-12-07,0.83,0.84,0.75,0.82,163500,0.82
2015-12-04,0.88,0.93,0.84,0.85,54100,0.85
2015-12-03,0.86,0.90,0.85,0.89,50800,0.89
2015-12-02,0.95,0.95,0.83,0.85,283700,0.85
2015-12-01,0.95,0.97,0.92,0.97,118800,0.97
2015-11-30,0.98,1.05,0.95,0.95,76400,0.95
2015-11-27,1.05,1.05,1.00,1.00,30900,1.00
2015-11-25,1.02,1.06,1.02,1.05,41300,1.05
2015-11-24,1.00,1.03,0.95,1.01,117500,1.01
2015-11-23,1.02,1.06,1.00,1.00,86800,1.00
2015-11-20,1.05,1.07,1.02,1.05,128100,1.05
2015-11-19,1.13,1.13,1.06,1.10,29500,1.097
2015-11-18,1.12,1.14,1.07,1.10,47600,1.097
2015-11-17,1.15,1.15,1.12,1.14,17600,1.136891
2015-11-16,1.12,1.15,1.08,1.14,31500,1.136891
2015-11-13,1.14,1.14,1.08,1.11,66900,1.106973
2015-11-12,1.06,1.29,1.05,1.11,63900,1.106973
2015-11-11,1.06,1.16,1.03,1.05,161000,1.047136
2015-11-10,1.29,1.29,1.00,1.00,319900,0.997273
2015-11-09,1.30,1.30,1.15,1.30,69300,1.296455
2015-11-06,1.24,1.30,1.18,1.30,38000,1.296455
2015-11-05,1.30,1.30,1.15,1.22,113000,1.216673
2015-11-04,1.30,1.36,1.29,1.30,52900,1.296455
2015-11-03,1.35,1.35,1.26,1.30,66100,1.296455
2015-11-02,1.36,1.36,1.34,1.34,44800,1.336345
2015-10-30,1.36,1.37,1.33,1.34,17400,1.336345
2015-10-29,1.35,1.39,1.35,1.38,68300,1.376236
2015-10-28,1.33,1.38,1.33,1.38,84600,1.376236
2015-10-27,1.32,1.35,1.31,1.33,21600,1.326373
2015-10-26,1.35,1.35,1.33,1.34,34000,1.336345
2015-10-23,1.34,1.36,1.32,1.34,82500,1.336345
2015-10-22,1.36,1.36,1.29,1.34,25400,1.336345
2015-10-21,1.32,1.33,1.29,1.33,21400,1.326373
2015-10-20,1.26,1.34,1.23,1.32,25400,1.3164
2015-10-19,1.33,1.33,1.26,1.29,12800,1.286482
2015-10-16,1.35,1.35,1.26,1.31,40300,1.306427
2015-10-15,1.30,1.37,1.30,1.35,41900,1.346318
2015-10-14,1.30,1.36,1.30,1.32,31700,1.3164
2015-10-13,1.30,1.32,1.26,1.28,23600,1.276509
2015-10-12,1.37,1.37,1.26,1.28,37800,1.276509
2015-10-09,1.37,1.37,1.30,1.34,32200,1.336345
2015-10-08,1.39,1.39,1.36,1.38,4800,1.376236
2015-10-07,1.35,1.46,1.35,1.37,134700,1.366264
2015-10-06,1.38,1.40,1.30,1.36,57200,1.356291
2015-10-05,1.34,1.38,1.32,1.36,55800,1.356291
2015-10-02,1.15,1.40,1.13,1.27,181800,1.266536
2015-10-01,1.24,1.29,1.15,1.18,86400,1.176782
2015-09-30,1.30,1.31,1.23,1.24,62100,1.236618
2015-09-29,1.28,1.33,1.26,1.27,25100,1.266536
2015-09-28,1.30,1.33,1.22,1.29,90300,1.286482
2015-09-25,1.33,1.35,1.25,1.31,181800,1.306427
2015-09-24,1.36,1.41,1.28,1.33,123900,1.326373
2015-09-23,1.46,1.46,1.29,1.30,215500,1.296455
2015-09-22,1.51,1.54,1.41,1.48,59400,1.475964
2015-09-21,1.54,1.54,1.50,1.54,15400,1.5358
2015-09-18,1.50,1.54,1.46,1.54,56400,1.5358
2015-09-17,1.57,1.59,1.50,1.55,42500,1.545773
2015-09-16,1.55,1.57,1.53,1.54,30700,1.5358
2015-09-15,1.57,1.59,1.51,1.54,66200,1.5358
2015-09-14,1.51,1.76,1.50,1.57,234600,1.565718
2015-09-11,1.56,1.58,1.50,1.54,33100,1.5358
2015-09-10,1.56,1.61,1.56,1.56,33400,1.555745
2015-09-09,1.56,1.63,1.55,1.57,57700,1.565718
2015-09-08,1.55,1.59,1.53,1.56,44800,1.555745
