Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.209999,16.209999,15.87,16.10,123400,16.10
2016-01-21,16.48,16.48,16.02,16.030001,130800,16.030001
2016-01-20,16.049999,16.549999,15.92,16.43,225200,16.43
2016-01-19,16.41,16.48,16.110001,16.299999,207000,16.299999
2016-01-15,15.68,16.32,15.65,16.27,259400,16.27
2016-01-14,16.23,16.49,16.040001,16.139999,145000,16.139999
2016-01-13,16.459999,16.99,15.98,16.07,177400,16.07
2016-01-12,16.50,16.50,16.219999,16.41,121800,16.41
2016-01-11,16.42,16.52,16.26,16.379999,104200,16.379999
2016-01-08,16.90,16.90,16.389999,16.41,206800,16.41
2016-01-07,16.76,17.01,16.629999,16.719999,96100,16.719999
2016-01-06,16.76,17.17,16.76,17.059999,135500,17.059999
2016-01-05,17.049999,17.15,16.889999,17.040001,96600,17.040001
2016-01-04,17.219999,17.41,16.860001,16.969999,164400,16.969999
2015-12-31,17.959999,17.959999,17.49,17.49,124200,17.49
2015-12-30,18.02,18.33,17.540001,18.059999,331500,18.059999
2015-12-29,17.719999,18.02,17.440001,18.02,178500,18.02
2015-12-28,17.440001,17.620001,17.190001,17.60,142900,17.60
2015-12-24,17.40,17.690001,17.32,17.530001,53300,17.530001
2015-12-23,17.60,17.620001,17.40,17.440001,78100,17.440001
2015-12-22,17.290001,17.50,17.01,17.450001,153700,17.450001
2015-12-21,17.33,17.610001,17.01,17.25,219700,17.25
2015-12-18,17.83,17.92,17.219999,17.23,488300,17.23
2015-12-17,18.01,18.10,17.719999,17.83,143300,17.83
2015-12-16,17.959999,18.049999,16.27,17.959999,165100,17.959999
2015-12-15,17.52,17.870001,17.50,17.74,199000,17.74
2015-12-14,17.32,17.68,17.25,17.379999,208100,17.379999
2015-12-11,17.459999,17.709999,17.24,17.309999,170900,17.309999
2015-12-10,17.74,17.91,17.219999,17.780001,79400,17.780001
2015-12-09,18.02,18.15,17.139999,17.799999,60800,17.799999
2015-12-08,18.110001,18.290001,18.00,18.07,80300,18.07
2015-12-07,18.530001,18.549999,18.120001,18.27,63200,18.27
2015-12-04,18.25,18.610001,18.209999,18.540001,89100,18.540001
2015-12-03,18.43,18.540001,18.18,18.26,135100,18.26
2015-12-02,18.629999,18.67,18.40,18.41,116600,18.41
2015-12-01,18.51,18.73,18.440001,18.620001,128400,18.620001
2015-11-30,18.51,18.65,18.40,18.51,111600,18.51
2015-11-27,18.450001,18.639999,18.27,18.50,38400,18.50
2015-11-25,18.379999,18.50,18.290001,18.50,59800,18.50
2015-11-24,18.33,18.450001,18.15,18.389999,82400,18.389999
2015-11-23,18.32,18.440001,18.309999,18.389999,71000,18.389999
2015-11-20,18.25,18.49,18.25,18.35,80900,18.35
2015-11-19,18.209999,18.299999,18.049999,18.25,133200,18.25
2015-11-18,18.139999,18.26,17.809999,18.24,107400,18.24
2015-11-17,18.10,18.23,17.879999,18.059999,141100,18.059999
2015-11-16,18.00,18.129999,16.200001,18.08,98100,18.08
2015-11-13,17.90,18.23,17.82,17.950001,110500,17.950001
2015-11-12,18.299999,18.57,17.959999,17.98,136100,17.98
2015-11-11,18.549999,18.74,18.450001,18.450001,129900,18.450001
2015-11-10,18.360001,18.68,18.32,18.48,181000,18.48
2015-11-09,18.43,18.450001,18.139999,18.299999,118700,18.299999
2015-11-06,18.18,18.50,18.110001,18.370001,253200,18.370001
2015-11-05,17.83,18.26,17.83,18.059999,207000,18.059999
2015-11-04,17.799999,17.950001,17.700001,17.83,149000,17.83
2015-11-03,17.690001,17.879999,17.57,17.799999,188500,17.799999
2015-11-02,17.33,17.799999,17.190001,17.67,249600,17.67
2015-10-30,17.82,17.85,17.18,17.35,191600,17.35
2015-10-29,18.42,18.459999,17.860001,17.99,247100,17.85
2015-10-28,17.870001,18.459999,17.870001,18.389999,285500,18.246887
2015-10-27,17.700001,18.00,17.51,17.85,275900,17.71109
2015-10-26,17.50,17.74,17.42,17.68,322600,17.542413
2015-10-23,16.860001,17.49,16.48,17.32,276700,17.185214
2015-10-22,17.09,17.469999,17.09,17.309999,110300,17.175291
2015-10-21,17.24,17.389999,16.99,16.99,233600,16.857782
2015-10-20,17.24,17.440001,17.190001,17.23,142800,17.095914
2015-10-19,17.129999,17.32,17.129999,17.25,51800,17.115759
2015-10-16,17.24,17.42,17.07,17.23,149800,17.095914
2015-10-15,16.809999,17.24,16.77,17.24,110600,17.105836
2015-10-14,17.190001,17.309999,16.700001,16.74,104200,16.609727
2015-10-13,17.360001,17.469999,17.15,17.23,101400,17.095914
2015-10-12,17.18,17.469999,17.08,17.379999,97800,17.244746
2015-10-09,17.40,17.459999,17.16,17.200001,108400,17.066149
2015-10-08,17.10,17.549999,17.10,17.40,369300,17.264591
2015-10-07,16.870001,17.02,16.82,16.99,322500,16.857782
2015-10-06,17.059999,17.059999,16.780001,16.83,144800,16.699027
2015-10-05,16.969999,17.15,16.50,17.049999,168400,16.917314
2015-10-02,16.799999,16.870001,16.370001,16.799999,179800,16.66926
2015-10-01,16.90,17.08,16.790001,17.00,150800,16.867704
2015-09-30,16.950001,16.99,16.75,16.90,216600,16.768482
2015-09-29,16.940001,17.040001,16.73,16.83,143600,16.699027
2015-09-28,17.01,17.09,16.860001,16.889999,105400,16.75856
2015-09-25,16.73,17.27,16.709999,17.09,263000,16.957004
2015-09-24,16.459999,16.690001,16.41,16.59,225500,16.460895
2015-09-23,16.50,16.65,16.379999,16.57,114400,16.44105
2015-09-22,16.43,16.709999,16.42,16.50,80600,16.371595
2015-09-21,16.59,16.799999,16.389999,16.60,136600,16.470817
2015-09-18,16.42,16.49,16.33,16.459999,379200,16.331906
2015-09-17,16.870001,16.90,16.52,16.629999,145800,16.500583
2015-09-16,17.040001,17.10,16.809999,16.889999,176900,16.75856
2015-09-15,16.99,17.200001,16.950001,17.09,151300,16.957004
2015-09-14,16.959999,17.059999,16.879999,16.959999,44700,16.828015
2015-09-11,16.75,16.969999,16.73,16.93,58900,16.798249
2015-09-10,16.700001,17.02,16.700001,16.879999,94400,16.748637
2015-09-09,16.98,16.99,16.74,16.76,78000,16.629572
2015-09-08,16.83,16.940001,16.59,16.860001,99300,16.728794
2015-09-04,16.549999,16.76,16.49,16.59,63600,16.460895
2015-09-03,16.559999,16.85,16.559999,16.74,173200,16.609727
2015-09-02,16.559999,16.77,16.370001,16.60,99200,16.470817
2015-09-01,16.76,16.98,16.370001,16.41,121000,16.282296
2015-08-31,16.870001,17.15,16.870001,17.030001,180200,16.897471
2015-08-28,16.83,17.059999,16.76,17.01,165500,16.877627
2015-08-27,16.690001,17.00,16.67,16.83,245600,16.699027
2015-08-26,16.48,16.629999,16.25,16.60,161600,16.470817
2015-08-25,16.610001,16.690001,16.129999,16.139999,135600,16.014396
2015-08-24,16.32,16.629999,16.040001,16.15,175200,16.024319
2015-08-21,16.639999,16.950001,16.51,16.82,191200,16.689105
2015-08-20,16.940001,17.15,16.889999,16.91,113600,16.778405
2015-08-19,17.129999,17.309999,16.969999,17.110001,107000,16.976849
2015-08-18,17.33,17.41,17.110001,17.23,51200,17.095914
2015-08-17,17.15,17.42,17.10,17.379999,94800,17.244746
2015-08-14,16.83,17.25,16.83,17.25,83200,17.115759
2015-08-13,16.77,17.02,16.77,16.870001,97000,16.738717
2015-08-12,16.91,16.99,16.639999,16.809999,136500,16.679182
2015-08-11,17.040001,17.24,16.879999,17.030001,137300,16.897471
2015-08-10,17.139999,17.26,16.940001,17.08,204800,16.947082
2015-08-07,17.129999,17.27,16.93,17.00,89100,16.867704
2015-08-06,17.23,17.35,17.120001,17.23,82300,17.095914
2015-08-05,17.16,17.389999,17.10,17.24,83200,17.105836
2015-08-04,17.08,17.34,17.08,17.15,104500,17.016537
2015-08-03,17.00,17.10,16.719999,17.030001,77500,16.897471
2015-07-31,16.90,17.040001,16.82,17.00,130500,16.867704
