Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,27.32,28.459999,26.700001,28.40,131500,28.40
2016-01-21,27.32,27.635,26.58,26.85,84300,26.85
2016-01-20,25.16,27.90,24.961,27.25,143700,27.25
2016-01-19,29.24,29.24,24.42,25.51,229700,25.51
2016-01-15,28.379999,28.950001,27.75,28.74,172100,28.74
2016-01-14,28.40,30.16,27.309999,29.24,232600,29.24
2016-01-13,30.48,30.92,27.889999,28.09,169500,28.09
2016-01-12,29.75,30.83,29.50,30.41,166300,30.41
2016-01-11,30.889999,31.00,28.51,29.540001,245800,29.540001
2016-01-08,31.950001,32.939999,30.469999,30.719999,165300,30.719999
2016-01-07,32.279999,32.610001,31.26,31.290001,184500,31.290001
2016-01-06,33.00,33.613998,32.52,33.00,114900,33.00
2016-01-05,33.560001,34.25,33.139999,33.599998,101300,33.599998
2016-01-04,33.889999,34.310001,32.584999,33.400002,168900,33.400002
2015-12-31,34.84,35.169998,34.220001,34.610001,191000,34.610001
2015-12-30,34.740002,35.360001,34.59,35.00,77700,35.00
2015-12-29,35.049999,35.73,34.75,34.91,86600,34.91
2015-12-28,35.34,35.75,34.349998,34.91,104400,34.91
2015-12-24,34.740002,35.630001,34.630001,35.419998,49200,35.419998
2015-12-23,33.830002,34.869999,33.75,34.580002,87700,34.580002
2015-12-22,34.029999,34.529999,32.869999,33.990002,104700,33.990002
2015-12-21,33.93,34.650002,33.16,33.919998,152500,33.919998
2015-12-18,33.630001,34.75,33.41,33.759998,1762800,33.759998
2015-12-17,33.50,33.84,32.301998,33.18,207000,33.18
2015-12-16,31.030001,33.66,30.973,33.330002,271100,33.330002
2015-12-15,30.940001,31.24,29.916,30.950001,254000,30.950001
2015-12-14,29.26,31.00,29.26,30.93,330600,30.93
2015-12-11,28.959999,29.43,28.48,29.200001,194600,29.200001
2015-12-10,28.58,29.629999,28.58,29.530001,128700,29.530001
2015-12-09,27.75,28.940001,27.485001,28.65,136000,28.65
2015-12-08,27.110001,27.860001,26.99,27.73,110200,27.73
2015-12-07,27.74,27.90,26.389999,26.870001,129300,26.870001
2015-12-04,28.190001,28.190001,26.955,27.84,114700,27.84
2015-12-03,28.809999,29.309999,27.629999,28.209999,94000,28.209999
2015-12-02,29.129999,29.73,28.684999,28.799999,102700,28.799999
2015-12-01,30.60,30.870001,28.34,29.23,145800,29.23
2015-11-30,30.00,31.25,29.290001,30.809999,213100,30.809999
2015-11-27,29.23,30.00,29.139999,29.98,93200,29.98
2015-11-25,29.77,29.93,28.450001,29.24,118700,29.24
2015-11-24,28.049999,29.98,27.780001,29.90,160000,29.90
2015-11-23,28.50,28.915001,28.049999,28.34,189200,28.34
2015-11-20,28.290001,28.76,28.120001,28.41,55500,28.41
2015-11-19,27.059999,28.790001,27.059999,28.10,119700,28.10
2015-11-18,28.41,28.629999,27.73,28.440001,89400,28.440001
2015-11-17,28.030001,28.51,27.68,28.24,93000,28.24
2015-11-16,27.92,28.57,27.280001,27.959999,113400,27.959999
2015-11-13,27.459999,29.940001,27.40,27.99,129500,27.99
2015-11-12,28.01,28.43,26.08,27.690001,125600,27.690001
2015-11-11,27.66,28.77,27.139999,28.26,139300,28.26
2015-11-10,28.00,28.67,27.365,28.10,129600,28.10
2015-11-09,29.889999,29.98,28.120001,28.440001,111000,28.440001
2015-11-06,28.35,29.99,27.85,29.889999,196000,29.889999
2015-11-05,28.65,28.93,27.709999,28.450001,82300,28.450001
2015-11-04,28.99,29.00,27.700001,28.67,125900,28.67
2015-11-03,28.200001,29.200001,27.98,28.879999,149500,28.879999
2015-11-02,27.09,28.695,26.68,28.440001,104000,28.440001
2015-10-30,27.02,27.719999,26.030001,26.99,141800,26.99
2015-10-29,28.93,29.15,26.965,27.120001,73500,27.120001
2015-10-28,29.66,30.18,28.280001,28.940001,153200,28.940001
2015-10-27,27.00,30.209999,27.00,29.49,255700,29.49
2015-10-26,26.959999,27.889999,26.290001,27.09,75400,27.09
2015-10-23,25.27,27.195,24.98,26.93,118400,26.93
2015-10-22,24.67,25.219999,23.375,24.98,111600,24.98
2015-10-21,25.719999,27.768,23.620001,24.59,100400,24.59
2015-10-20,26.450001,26.450001,23.93,25.540001,212800,25.540001
2015-10-19,25.870001,26.68,25.42,26.07,72200,26.07
2015-10-16,25.67,26.24,25.00,26.02,86500,26.02
2015-10-15,23.940001,25.59,23.724001,25.58,122700,25.58
2015-10-14,24.40,24.700001,23.611,23.950001,123900,23.950001
2015-10-13,24.26,24.790001,23.549999,24.27,125400,24.27
2015-10-12,26.27,26.75,24.379999,24.530001,130400,24.530001
2015-10-09,25.48,26.17,25.190001,26.139999,126400,26.139999
2015-10-08,24.719999,25.700001,23.84,25.33,128500,25.33
2015-10-07,25.049999,25.940001,24.110001,24.870001,221400,24.870001
