Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,21.049999,21.450001,21.049999,21.450001,3900,21.450001
2016-01-21,21.049999,21.440001,21.02,21.360001,5800,21.360001
2016-01-20,21.25,21.450001,21.030001,21.450001,9300,21.450001
2016-01-19,21.309999,21.450001,21.27,21.450001,3300,21.450001
2016-01-15,21.389999,21.450001,21.309999,21.370001,5700,21.370001
2016-01-14,21.299999,21.35,21.25,21.35,2300,21.35
2016-01-13,21.440001,21.450001,21.17,21.219999,2300,21.219999
2016-01-12,21.450001,21.450001,21.110001,21.40,2700,21.40
2016-01-11,21.23,21.49,21.23,21.389999,5200,21.389999
2016-01-08,21.10,21.15,21.049999,21.15,5200,21.15
2016-01-07,21.09,21.10,21.07,21.10,1300,21.10
2016-01-06,21.190001,21.190001,20.98,21.049999,2900,21.049999
2016-01-05,20.870001,21.25,20.860001,21.040001,10200,21.040001
2016-01-04,20.83,21.200001,20.83,21.07,4600,21.07
2015-12-31,20.99,21.120001,20.879999,20.99,4000,20.99
2015-12-30,20.950001,20.950001,20.700001,20.90,10400,20.90
2015-12-29,21.15,21.200001,20.639999,20.90,2000,20.90
2015-12-28,20.940001,21.200001,20.85,20.85,2600,20.85
2015-12-24,20.860001,21.379999,20.799999,20.809999,3100,20.809999
2015-12-23,20.76,21.190001,20.67,20.99,2300,20.99
2015-12-22,20.700001,21.17,20.50,20.799999,2900,20.799999
2015-12-21,20.73,21.27,20.540001,20.709999,4800,20.709999
2015-12-18,20.639999,21.27,20.60,20.60,36000,20.60
2015-12-17,20.700001,21.049999,20.66,20.690001,5900,20.690001
2015-12-16,20.92,21.10,20.60,20.690001,6700,20.690001
2015-12-15,20.99,21.24,20.60,21.129999,4300,21.129999
2015-12-14,20.73,20.780001,20.299999,20.610001,7300,20.610001
2015-12-11,20.74,20.870001,20.309999,20.66,15100,20.66
2015-12-10,20.77,20.93,20.60,20.610001,6700,20.610001
2015-12-09,20.620001,20.799999,20.620001,20.77,3500,20.77
2015-12-08,21.01,21.379999,20.530001,20.82,8400,20.82
2015-12-07,21.049999,21.08,21.00,21.00,5500,21.00
2015-12-04,21.00,21.209999,21.00,21.10,1700,21.10
2015-12-03,21.01,21.290001,20.799999,20.799999,7800,20.799999
2015-12-02,20.85,21.309999,20.77,20.870001,6900,20.870001
2015-12-01,20.74,20.74,20.65,20.700001,2700,20.700001
2015-11-30,20.66,21.299999,20.66,20.780001,2700,20.780001
2015-11-27,20.709999,20.709999,20.67,20.67,2300,20.67
2015-11-25,21.049999,21.059999,20.60,21.00,4500,20.794999
2015-11-24,21.129999,21.299999,21.10,21.10,4400,20.894024
2015-11-23,20.98,21.280001,20.790001,21.10,10100,20.894024
2015-11-20,20.93,20.93,20.66,20.90,1300,20.695975
2015-11-19,20.860001,21.00,20.84,20.940001,2100,20.735586
2015-11-18,20.709999,20.809999,20.690001,20.77,6600,20.567245
2015-11-17,20.76,20.799999,20.65,20.67,2400,20.468221
2015-11-16,20.799999,20.799999,20.620001,20.77,4200,20.567245
2015-11-13,20.639999,20.65,20.59,20.629999,2300,20.428611
2015-11-12,20.700001,20.700001,20.450001,20.59,2400,20.389002
2015-11-11,20.66,20.700001,20.51,20.51,900,20.309783
2015-11-10,20.68,20.68,20.42,20.42,1300,20.220661
2015-11-09,20.52,20.700001,20.309999,20.610001,3600,20.408807
2015-11-06,20.41,20.700001,20.309999,20.40,3700,20.200856
2015-11-05,20.610001,20.610001,20.309999,20.540001,2300,20.339491
2015-11-04,20.65,20.75,20.52,20.52,2500,20.319686
2015-11-03,20.639999,20.65,20.40,20.58,1300,20.379099
2015-11-02,20.40,20.65,20.389999,20.620001,4400,20.41871
2015-10-30,20.309999,20.610001,20.309999,20.43,800,20.230564
2015-10-29,20.48,20.620001,20.48,20.549999,1300,20.349392
2015-10-28,20.530001,20.530001,20.299999,20.450001,7900,20.250369
2015-10-27,20.60,20.65,20.50,20.50,2700,20.29988
