Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.06,13.40,13.00,13.34,101500,13.34
2016-01-21,12.82,13.15,12.82,12.96,38300,12.96
2016-01-20,13.00,13.02,12.71,12.78,32300,12.78
2016-01-19,13.24,13.55,12.98,13.06,47500,13.06
2016-01-15,13.25,13.48,12.69,13.12,79100,13.12
2016-01-14,13.49,13.73,13.43,13.55,28300,13.55
2016-01-13,13.81,13.94,13.36,13.45,22700,13.45
2016-01-12,14.04,14.04,13.62,13.79,17000,13.79
2016-01-11,13.95,13.96,13.72,13.80,11300,13.80
2016-01-08,13.99,14.11,13.71,13.78,19100,13.78
2016-01-07,14.03,14.21,13.79,13.84,20500,13.84
2016-01-06,14.01,14.31,14.01,14.21,14100,14.21
2016-01-05,14.09,14.22,14.06,14.11,13700,14.11
2016-01-04,14.01,14.28,13.85,14.05,25000,14.05
2015-12-31,14.39,14.39,14.03,14.08,14000,14.08
2015-12-30,14.59,14.59,14.27,14.36,10500,14.36
2015-12-29,14.40,14.67,14.32,14.56,5800,14.56
2015-12-28,14.50,14.55,14.25,14.32,25400,14.32
2015-12-24,14.81,14.87,14.59,14.81,7400,14.81
2015-12-23,13.95,14.76,13.95,14.76,81900,14.76
2015-12-22,13.80,14.15,13.75,14.14,34200,14.14
2015-12-21,13.60,13.80,13.59,13.76,14100,13.76
2015-12-18,13.41,13.77,13.41,13.61,61300,13.61
2015-12-17,13.61,13.61,13.46,13.49,10400,13.49
2015-12-16,13.46,13.75,13.46,13.64,27700,13.64
2015-12-15,13.24,13.42,13.24,13.36,12600,13.36
2015-12-14,13.81,13.81,13.05,13.14,45600,13.14
2015-12-11,13.91,14.08,13.75,13.79,12700,13.79
2015-12-10,14.10,14.24,13.94,14.12,13500,14.12
2015-12-09,13.93,14.08,13.92,13.93,5600,13.93
2015-12-08,14.05,14.17,13.96,13.96,7200,13.96
2015-12-07,14.00,14.33,13.99,14.07,22500,14.07
2015-12-04,13.89,14.12,13.89,14.05,7500,14.05
2015-12-03,13.92,14.00,13.58,13.89,16500,13.89
2015-12-02,13.81,13.95,13.77,13.92,4000,13.92
2015-12-01,13.94,14.03,13.74,13.84,10000,13.84
2015-11-30,13.91,14.02,13.83,13.92,17500,13.92
2015-11-27,13.98,13.98,13.86,13.97,2300,13.97
2015-11-25,13.93,14.00,13.76,13.98,4300,13.98
2015-11-24,13.87,13.96,13.76,13.93,7100,13.93
2015-11-23,13.53,14.00,13.53,13.94,11400,13.94
2015-11-20,13.83,13.94,13.69,13.84,8200,13.84
2015-11-19,13.83,13.85,13.73,13.74,6800,13.74
2015-11-18,13.86,13.88,13.79,13.84,11100,13.84
2015-11-17,14.03,14.03,13.85,13.85,14200,13.85
2015-11-16,13.99,14.22,13.86,14.09,20700,14.09
2015-11-13,13.87,14.04,13.85,13.94,10400,13.94
2015-11-12,14.12,14.12,13.92,13.92,8200,13.92
2015-11-11,14.15,14.31,14.08,14.25,6000,14.25
2015-11-10,13.96,14.20,13.96,14.05,14100,14.05
2015-11-09,14.22,14.22,13.97,14.01,8700,14.01
2015-11-06,14.06,14.28,14.05,14.23,6500,14.23
2015-11-05,14.00,14.08,13.96,14.07,12700,14.07
2015-11-04,14.24,14.25,13.95,14.00,13700,14.00
2015-11-03,13.92,14.23,13.92,14.00,10400,14.00
2015-11-02,14.07,14.24,13.89,14.10,10600,14.10
2015-10-30,14.44,14.59,14.08,14.15,12300,14.15
2015-10-29,14.18,14.47,13.85,14.37,24500,14.37
2015-10-28,14.14,14.40,14.02,14.40,39200,14.265
2015-10-27,14.10,14.15,13.97,14.03,19200,13.898469
2015-10-26,14.00,14.22,13.92,14.14,14700,14.007438
2015-10-23,13.85,14.15,13.85,14.11,23000,13.977719
2015-10-22,14.05,14.28,13.97,14.10,14700,13.967813
2015-10-21,14.25,14.25,13.96,14.01,8500,13.878657
2015-10-20,13.90,14.19,13.90,14.18,17200,14.047063
2015-10-19,14.11,14.17,14.00,14.17,23900,14.037157
2015-10-16,13.97,14.15,13.93,14.14,7600,14.007438
2015-10-15,13.71,13.99,13.71,13.99,12300,13.858844
2015-10-14,13.88,14.12,13.71,13.71,16900,13.581469
2015-10-13,14.05,14.15,13.86,13.94,19600,13.809312
2015-10-12,14.10,14.15,13.91,14.15,6500,14.017344
2015-10-09,14.08,14.10,13.99,14.08,4900,13.948
2015-10-08,14.11,14.15,13.92,14.02,5900,13.888563
2015-10-07,14.00,14.11,13.98,14.02,11600,13.888563
2015-10-06,13.95,14.00,13.90,13.95,6300,13.819219
2015-10-05,13.82,14.17,13.82,13.95,69300,13.819219
2015-10-02,13.80,14.15,13.67,13.76,50600,13.631001
2015-10-01,14.32,14.32,13.71,13.89,29800,13.759782
2015-09-30,13.87,14.10,13.76,14.06,24500,13.928188
2015-09-29,13.95,13.97,13.64,13.79,17600,13.660719
2015-09-28,13.87,14.00,13.66,13.77,20500,13.640907
2015-09-25,14.00,14.14,13.85,13.90,17000,13.769687
2015-09-24,13.75,14.00,13.60,13.98,18200,13.848937
2015-09-23,13.90,14.04,13.83,13.85,11200,13.720157
2015-09-22,13.96,14.07,13.79,13.89,14400,13.759782
2015-09-21,14.10,14.21,13.96,14.08,15500,13.948
2015-09-18,13.66,14.27,13.66,14.21,44700,14.076782
2015-09-17,13.57,14.00,13.57,13.87,20400,13.739969
2015-09-16,13.61,13.78,13.51,13.62,16700,13.492313
2015-09-15,13.72,14.01,13.57,13.65,21100,13.522031
2015-09-14,14.06,14.08,13.64,13.80,13300,13.670626
2015-09-11,13.73,14.06,13.64,13.85,16500,13.720157
2015-09-10,13.67,13.83,13.60,13.78,18600,13.650813
2015-09-09,13.86,14.00,13.60,13.70,19900,13.571563
2015-09-08,13.69,13.81,13.61,13.77,49200,13.640907
2015-09-04,13.91,14.13,13.45,13.47,47500,13.343719
2015-09-03,14.09,14.16,13.84,13.99,35400,13.858844
2015-09-02,14.43,14.43,13.92,14.12,36100,13.987625
2015-09-01,14.09,14.60,14.09,14.18,23300,14.047063
2015-08-31,14.24,14.46,14.18,14.29,20600,14.156032
2015-08-28,14.35,14.47,14.23,14.27,19100,14.13622
2015-08-27,14.18,14.50,14.06,14.43,20000,14.294719
2015-08-26,14.22,14.22,14.00,14.20,20000,14.066875
2015-08-25,14.54,14.54,13.85,13.92,29200,13.7895
2015-08-24,13.60,14.33,13.47,14.17,30900,14.037157
2015-08-21,14.09,14.48,14.09,14.40,22700,14.265
2015-08-20,14.42,14.54,14.25,14.32,11300,14.18575
2015-08-19,14.60,14.65,14.45,14.48,9600,14.34425
2015-08-18,14.73,14.74,14.55,14.58,11200,14.443313
2015-08-17,14.37,14.78,14.34,14.74,20400,14.601813
2015-08-14,14.29,14.44,14.19,14.40,44600,14.265
2015-08-13,14.16,14.40,14.16,14.27,11000,14.13622
2015-08-12,14.37,14.47,14.07,14.20,59800,14.066875
2015-08-11,14.39,14.55,14.25,14.43,37600,14.294719
2015-08-10,14.45,14.58,14.20,14.41,42800,14.274906
2015-08-07,14.43,14.47,14.40,14.41,4800,14.274906
2015-08-06,14.54,14.54,14.23,14.45,24800,14.314531
2015-08-05,14.21,14.54,14.21,14.48,10200,14.34425
2015-08-04,14.56,14.75,14.12,14.14,46400,14.007438
2015-08-03,14.78,14.88,14.47,14.50,50800,14.364063
2015-07-31,14.97,15.01,14.75,14.87,6700,14.730594
2015-07-30,14.80,14.99,14.67,14.81,14900,14.671157
2015-07-29,14.85,15.06,14.85,14.95,40200,14.676109
2015-07-28,14.96,15.07,14.83,14.88,12300,14.607392
2015-07-27,14.80,15.06,14.80,14.93,13200,14.656476
2015-07-24,15.05,15.07,14.85,14.95,27800,14.676109
2015-07-23,15.13,15.19,14.92,15.02,39300,14.744827
2015-07-22,15.16,15.25,15.01,15.21,14700,14.931346
2015-07-21,15.15,15.28,15.09,15.20,18800,14.921529
2015-07-20,15.44,15.47,15.08,15.22,11300,14.941163
2015-07-17,15.43,15.48,15.20,15.44,47100,15.157132
2015-07-16,15.33,15.45,15.25,15.38,44600,15.098232
2015-07-15,15.15,15.31,15.00,15.31,15600,15.029514
2015-07-14,15.15,15.29,15.06,15.10,12700,14.823362
2015-07-13,15.24,15.38,15.05,15.14,22500,14.862629
2015-07-10,15.04,15.24,15.04,15.16,14900,14.882262
2015-07-09,15.35,15.35,14.89,14.90,35300,14.627025
2015-07-08,14.89,15.25,14.89,15.22,23100,14.941163
2015-07-07,14.90,15.41,14.90,14.97,54300,14.695743
2015-07-06,15.03,15.11,14.83,15.02,43300,14.744827
2015-07-02,15.27,15.48,15.03,15.04,49700,14.764461
2015-07-01,15.19,15.35,15.09,15.29,29000,15.00988
2015-06-30,15.09,15.30,14.91,15.23,24200,14.950979
2015-06-29,15.22,15.35,14.93,14.98,29300,14.705559
2015-06-26,15.50,15.50,15.35,15.35,43100,15.068782
2015-06-25,15.30,15.49,15.30,15.48,42600,15.196399
2015-06-24,15.23,15.39,15.20,15.28,28000,15.000063
2015-06-23,15.25,15.27,15.14,15.25,18100,14.970613
2015-06-22,15.17,15.28,15.07,15.22,27800,14.941163
2015-06-19,15.26,15.26,15.14,15.14,63600,14.862629
2015-06-18,15.23,15.28,15.06,15.16,29000,14.882262
2015-06-17,15.09,15.28,15.09,15.13,22400,14.852812
2015-06-16,15.09,15.20,14.95,15.06,14500,14.784095
2015-06-15,14.95,15.10,14.79,15.08,38700,14.803728
2015-06-12,14.90,15.00,14.87,14.98,12400,14.705559
2015-06-11,14.85,15.00,14.79,14.99,60300,14.715376
2015-06-10,14.75,14.90,14.70,14.82,90700,14.548491
2015-06-09,14.60,14.74,14.60,14.72,31200,14.450323
2015-06-08,14.76,14.85,14.56,14.72,24500,14.450323
2015-06-05,14.81,14.90,14.66,14.79,18400,14.519041
2015-06-04,14.67,14.89,14.58,14.86,32400,14.587758
2015-06-03,14.69,14.93,14.65,14.79,38800,14.519041
2015-06-02,14.73,14.90,14.73,14.86,16600,14.587758
2015-06-01,14.90,14.90,14.66,14.69,58400,14.420872
2015-05-29,14.95,14.95,14.68,14.80,17900,14.528858
2015-05-28,14.74,14.97,14.73,14.94,38400,14.666292
2015-05-27,14.45,15.03,14.45,14.75,111800,14.479773
2015-05-26,14.50,14.54,14.29,14.38,37800,14.116552
2015-05-22,14.67,14.77,14.50,14.54,22000,14.273621
2015-05-21,14.50,14.83,14.49,14.66,11400,14.391422
2015-05-20,14.76,14.76,14.39,14.71,40400,14.440506
2015-05-19,14.94,14.98,14.60,14.66,33700,14.391422
2015-05-18,15.20,15.20,14.85,14.99,33000,14.715376
2015-05-15,15.20,15.20,14.82,15.15,50700,14.872445
2015-05-14,15.15,15.28,15.09,15.20,29600,14.921529
2015-05-13,14.97,15.14,14.97,15.13,11400,14.852812
2015-05-12,15.14,15.15,14.97,15.09,10500,14.813545
2015-05-11,15.19,15.23,15.08,15.23,8500,14.950979
2015-05-08,15.28,15.28,15.12,15.19,8900,14.911712
2015-05-07,15.10,15.28,15.10,15.24,28200,14.960796
2015-05-06,15.21,15.21,15.11,15.13,8000,14.852812
2015-05-05,15.05,15.23,15.02,15.12,17200,14.842995
2015-05-04,15.11,15.23,15.00,15.13,23100,14.852812
2015-05-01,15.13,15.24,15.13,15.18,10700,14.901896
2015-04-30,15.20,15.23,15.11,15.11,35400,14.833178
2015-04-29,15.30,15.33,15.16,15.19,33500,14.911712
2015-04-28,15.52,15.61,15.50,15.51,18600,15.093323
2015-04-27,15.70,15.76,15.46,15.63,12800,15.210099
2015-04-24,15.27,15.65,15.27,15.65,14800,15.229561
2015-04-23,15.68,15.68,15.25,15.26,28400,14.850039
2015-04-22,15.52,15.65,15.36,15.38,3200,14.966815
2015-04-21,15.45,15.46,15.26,15.34,6000,14.92789
2015-04-20,15.29,15.50,15.16,15.35,7900,14.937622
2015-04-17,15.15,15.37,15.15,15.16,16400,14.752725
2015-04-16,15.10,15.33,15.10,15.18,10400,14.772189
2015-04-15,15.56,15.56,15.24,15.30,6800,14.888965
2015-04-14,15.30,15.43,15.10,15.28,14200,14.869502
2015-04-13,15.35,15.35,15.23,15.28,6700,14.869502
2015-04-10,15.48,15.48,15.12,15.26,3500,14.850039
2015-04-09,15.21,15.49,15.21,15.42,8900,15.005741
2015-04-08,15.67,15.68,15.39,15.52,8700,15.103055
2015-04-07,15.55,15.79,15.47,15.64,14200,15.219831
2015-04-06,15.74,15.82,15.65,15.74,13000,15.317144
2015-04-02,15.80,15.99,15.77,15.77,10700,15.346338
2015-04-01,15.65,15.78,15.65,15.73,8300,15.307412
2015-03-31,15.39,15.90,15.39,15.72,48700,15.297681
2015-03-30,15.10,15.69,15.08,15.67,57600,15.249025
2015-03-27,15.18,15.30,14.53,14.96,47800,14.558099
2015-03-26,15.01,15.29,14.99,15.19,7800,14.781919
2015-03-25,15.30,15.36,15.08,15.08,4100,14.674875
2015-03-24,15.37,15.37,15.20,15.20,2600,14.791651
2015-03-23,15.28,15.42,15.12,15.24,11900,14.830576
2015-03-20,15.18,15.47,15.17,15.25,33900,14.840308
2015-03-19,15.18,15.23,15.03,15.16,6700,14.752725
2015-03-18,15.22,15.41,15.14,15.24,19300,14.830576
2015-03-17,15.22,15.30,15.02,15.23,14700,14.820845
2015-03-16,15.26,15.30,15.06,15.18,8600,14.772189
2015-03-13,15.24,15.26,14.81,15.19,15300,14.781919
2015-03-12,14.88,15.26,14.88,15.25,11900,14.840308
2015-03-11,14.84,14.90,14.81,14.83,5000,14.431591
2015-03-10,14.98,14.98,14.80,14.81,11000,14.412129
2015-03-09,14.89,15.13,14.89,15.03,4900,14.626218
2015-03-06,15.00,15.16,14.77,14.80,40300,14.402397
2015-03-05,15.06,15.16,15.01,15.01,9400,14.606756
2015-03-04,15.12,15.24,15.05,15.07,15100,14.665143
2015-03-03,15.20,15.28,15.10,15.12,17100,14.7138
2015-03-02,15.28,15.40,15.04,15.17,15300,14.762457
2015-02-27,15.49,15.50,15.29,15.33,17800,14.918158
2015-02-26,15.13,15.38,15.11,15.28,19500,14.869502
2015-02-25,15.39,15.39,15.10,15.11,26900,14.704069
2015-02-24,15.35,15.51,15.24,15.39,16800,14.976547
2015-02-23,15.69,15.89,15.17,15.34,36900,14.92789
2015-02-20,16.219999,16.219999,15.79,15.81,22800,15.385264
2015-02-19,16.219999,16.25,16.00,16.200001,12200,15.764787
2015-02-18,16.15,16.18,16.049999,16.16,2700,15.72586
2015-02-17,16.25,16.25,15.99,16.09,24600,15.657741
2015-02-13,16.17,16.200001,16.09,16.18,5900,15.745324
2015-02-12,16.129999,16.200001,16.02,16.10,4400,15.667473
2015-02-11,16.18,16.18,16.030001,16.040001,4900,15.609085
2015-02-10,16.17,16.18,15.93,16.059999,15300,15.628547
2015-02-09,16.10,16.190001,16.10,16.110001,5900,15.677204
2015-02-06,16.200001,16.24,15.96,16.040001,13600,15.609085
2015-02-05,16.190001,16.25,16.139999,16.219999,14700,15.784248
2015-02-04,16.08,16.18,16.08,16.17,9100,15.735592
2015-02-03,16.030001,16.200001,15.91,16.07,18200,15.638278
2015-02-02,15.99,16.17,15.80,15.98,22200,15.550696
2015-01-30,16.01,16.219999,15.87,15.99,19600,15.560427
2015-01-29,16.00,16.190001,15.96,16.18,15300,15.745324
2015-01-28,16.110001,16.23,15.87,16.01,14400,15.451437
2015-01-27,16.059999,16.200001,15.89,16.110001,8800,15.547949
2015-01-26,16.23,16.24,15.93,16.24,13700,15.673412
2015-01-23,16.209999,16.209999,15.93,16.139999,14900,15.576901
2015-01-22,15.98,16.209999,15.65,16.200001,26100,15.634809
2015-01-21,15.93,16.00,15.63,15.96,13900,15.403181
2015-01-20,16.01,16.01,15.73,15.79,17300,15.239112
2015-01-16,15.99,16.280001,15.86,15.96,11100,15.403181
2015-01-15,16.209999,16.23,16.00,16.00,8000,15.441786
2015-01-14,16.120001,16.299999,16.120001,16.190001,4400,15.625158
2015-01-13,16.290001,16.40,16.09,16.129999,27100,15.56725
2015-01-12,16.23,16.299999,16.02,16.200001,14600,15.634809
2015-01-09,16.469999,16.469999,16.25,16.299999,6300,15.731319
2015-01-08,16.32,16.459999,16.23,16.43,19300,15.856784
2015-01-07,16.16,16.379999,16.02,16.200001,17200,15.634809
