Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,17.59,17.91,17.559999,17.844999,20300,17.844999
2016-01-21,17.25,17.49,17.091,17.16,35500,17.16
2016-01-20,17.35,17.576,17.01,17.254999,117600,17.254999
2016-01-19,17.85,18.049999,17.658001,17.889999,150000,17.889999
2016-01-15,17.559999,17.559999,17.07,17.306,5300,17.306
2016-01-14,17.82,18.212,17.82,17.959999,5200,17.959999
2016-01-13,17.993,18.290001,17.914,17.914,5000,17.914
2016-01-12,18.15,18.381001,17.91,18.26,5200,18.26
2016-01-11,17.950001,17.950001,17.719,17.790001,5900,17.790001
2016-01-08,18.190001,18.299999,18.01,18.02,33900,18.02
2016-01-07,18.35,18.497999,18.02,18.15,213800,18.15
2016-01-06,18.58,18.58,18.58,18.58,500,18.58
2016-01-05,18.950001,19.079,18.90,18.996,5600,18.996
2016-01-04,18.76,19.700001,18.530001,19.059999,13100,19.059999
2015-12-31,19.530001,19.59,19.351,19.362,12700,19.362
2015-12-30,19.50,19.76,19.43,19.43,23500,19.43
2015-12-29,19.799999,19.950001,19.621,19.700001,39200,19.700001
2015-12-28,19.68,19.950001,19.632999,19.719999,96800,19.719999
2015-12-24,19.709999,20.00,19.43,19.90,75700,19.90
2015-12-23,19.67,19.969999,19.65,19.950001,128300,19.950001
2015-12-22,19.43,19.700001,19.290001,19.43,103100,19.43
2015-12-21,19.60,19.73,19.290001,19.405001,59200,19.405001
2015-12-18,19.84,20.08,19.537001,19.537001,34000,19.537001
2015-12-17,20.09,20.09,19.77,19.799999,14100,19.799999
2015-12-16,19.76,20.139999,19.60,19.75,25700,19.75
2015-12-15,19.42,19.90,19.42,19.860001,129800,19.860001
2015-12-14,19.25,19.511999,19.051001,19.511999,62800,19.511999
2015-12-11,19.136,19.16,18.92,18.92,3300,18.92
2015-12-10,19.84,20.02,19.450001,19.566,169500,19.566
2015-12-09,19.959999,20.25,19.813,19.85,63900,19.85
2015-12-08,19.99,20.059999,19.82,20.02,48600,20.02
2015-12-07,20.49,20.518999,20.00,20.200001,210500,20.200001
2015-12-04,20.370001,20.620001,20.370001,20.379999,5300,20.379999
2015-12-03,20.709999,20.749001,20.35,20.705,11800,20.705
2015-12-02,20.482,20.530001,20.389999,20.52,2200,20.52
2015-12-01,20.690001,21.200001,20.370001,20.605,4900,20.605
2015-11-30,20.35,21.540001,20.120001,20.497999,6000,20.497999
2015-11-27,20.292,20.469999,20.292,20.469999,500,20.469999
2015-11-25,20.790001,20.969999,20.450001,20.60,35600,20.60
2015-11-24,21.030001,21.125,20.813999,21.01,15000,21.01
2015-11-23,21.33,21.33,20.950001,21.219999,31600,21.219999
2015-11-20,21.334,21.334,21.040001,21.299999,4500,21.299999
2015-11-19,21.00,21.049999,20.870001,21.00,3100,21.00
2015-11-18,20.75,20.940001,20.615,20.940001,3400,20.940001
2015-11-17,20.707001,20.790001,20.58,20.690001,10200,20.690001
2015-11-16,20.389999,20.486,20.370001,20.486,1400,20.486
2015-11-13,20.236,20.43,20.129999,20.33,201000,20.33
2015-11-12,20.438,20.438,20.299999,20.315001,3100,20.315001
2015-11-11,20.50,20.719999,20.48,20.684999,4500,20.684999
2015-11-10,20.587999,20.587999,20.587999,20.587999,200,20.587999
2015-11-09,20.90,20.90,20.42,20.58,61900,20.58
2015-11-06,20.969999,21.045,20.802999,20.91,4800,20.91
2015-11-05,21.200001,21.209999,21.10,21.181,4100,21.181
2015-11-04,21.43,21.43,21.07,21.218,9800,21.218
2015-11-03,20.989,21.368999,20.989,21.25,10400,21.25
2015-11-02,20.66,20.66,20.66,20.66,200,20.66
2015-10-30,20.620001,20.67,20.573,20.66,7800,20.66
2015-10-29,20.60,20.629,20.576,20.60,1300,20.60
2015-10-28,21.02,21.190001,20.643999,20.660999,6400,20.660999
2015-10-27,20.879999,20.940001,20.75,20.940001,1800,20.940001
2015-10-26,21.059999,21.07,20.879999,21.030001,5200,21.030001
2015-10-23,21.01,21.370001,21.01,21.15,6300,21.15
2015-10-22,20.98,21.013,20.98,21.013,2400,21.013
2015-10-21,20.83,20.83,20.52,20.59,30100,20.59
2015-10-20,20.93,20.93,20.93,20.93,100,20.93
2015-10-19,20.93,20.93,20.780001,20.92,6500,20.92
2015-10-16,21.056,21.190001,20.860001,21.190001,15900,21.190001
