Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,8.52,9.13,8.31,9.05,255700,9.05
2016-01-21,7.02,8.13,7.02,7.70,178900,7.70
2016-01-20,7.35,7.49,6.70,7.11,329400,7.11
2016-01-19,7.50,8.15,7.24,7.36,285700,7.36
2016-01-15,7.31,7.47,6.90,7.31,165400,7.31
2016-01-14,7.06,7.674,6.845,7.62,134500,7.62
2016-01-13,7.77,7.98,6.765,6.86,178000,6.86
2016-01-12,8.24,8.35,6.95,7.50,311500,7.50
2016-01-11,8.94,8.947,7.94,8.09,274400,8.09
2016-01-08,8.95,9.17,8.50,9.06,128100,9.06
2016-01-07,9.04,9.09,8.54,8.90,180600,8.90
2016-01-06,9.32,9.32,8.81,9.04,189000,9.04
2016-01-05,9.75,9.96,9.38,9.45,143200,9.45
2016-01-04,9.87,10.138,9.53,9.74,197500,9.74
2015-12-31,8.85,9.75,8.85,9.70,250200,9.70
2015-12-30,9.00,9.303,8.81,8.98,233700,8.98
2015-12-29,9.41,9.73,9.005,9.18,181400,9.18
2015-12-28,9.85,9.97,9.07,9.35,296700,9.35
2015-12-24,9.57,9.905,9.48,9.87,399700,9.87
2015-12-23,9.34,9.51,8.99,9.44,385600,9.44
2015-12-22,8.75,9.235,8.75,9.07,371600,9.07
2015-12-21,8.88,9.92,8.66,8.75,473300,8.75
2015-12-18,8.66,8.94,7.80,7.99,342300,7.99
2015-12-17,9.63,9.66,8.20,8.66,328300,8.66
2015-12-16,9.96,10.22,9.60,9.63,159600,9.63
2015-12-15,9.97,10.16,9.66,9.68,158900,9.68
2015-12-14,10.31,10.313,9.36,9.70,149800,9.70
2015-12-11,10.68,10.68,9.94,9.96,91700,9.96
2015-12-10,10.25,10.79,10.05,10.51,115700,10.51
2015-12-09,10.80,11.89,10.05,10.27,284100,10.27
2015-12-08,10.62,10.98,10.17,10.63,136800,10.63
2015-12-07,11.10,11.29,10.40,10.61,164500,10.61
2015-12-04,11.70,11.70,11.06,11.11,140100,11.11
2015-12-03,12.39,12.44,11.55,11.68,125200,11.68
2015-12-02,12.24,12.33,11.51,12.14,160000,12.14
2015-12-01,12.90,12.924,12.29,12.39,48800,12.39
2015-11-30,13.29,13.34,12.52,12.70,87700,12.70
2015-11-27,13.14,13.255,12.80,12.91,35800,12.91
2015-11-25,12.62,13.01,12.35,12.79,74300,12.79
2015-11-24,12.58,12.759,12.54,12.62,44200,12.62
2015-11-23,12.86,12.86,12.50,12.56,78900,12.56
2015-11-20,13.87,13.90,12.85,12.87,57500,12.87
2015-11-19,13.26,14.00,13.10,13.71,66700,13.71
2015-11-18,14.17,14.45,13.49,13.69,56400,13.69
2015-11-17,13.843,14.14,13.843,13.96,52000,13.96
2015-11-16,13.83,14.10,13.72,14.04,44300,14.04
2015-11-13,12.99,13.89,12.79,13.57,59900,13.57
2015-11-12,13.48,13.48,12.09,13.07,110600,13.07
2015-11-11,14.35,14.35,13.33,13.47,48600,13.47
2015-11-10,14.41,14.42,13.95,13.99,66400,13.99
2015-11-09,14.50,14.50,14.111,14.38,88200,14.38
2015-11-06,13.48,14.12,13.48,14.11,59300,14.11
2015-11-05,13.95,14.012,13.58,13.87,34400,13.87
2015-11-04,14.03,14.168,13.79,14.07,74000,14.07
2015-11-03,14.13,14.44,14.10,14.17,33900,14.17
2015-11-02,14.10,14.655,14.10,14.51,85000,14.087
2015-10-30,14.06,14.18,13.85,14.17,31500,13.756912
2015-10-29,13.93,14.14,13.90,13.91,23400,13.504491
2015-10-28,14.29,14.80,13.64,13.85,207700,13.446241
2015-10-27,14.73,14.73,14.02,14.05,28900,13.64041
2015-10-26,14.00,14.73,13.95,14.63,28700,14.203501
2015-10-23,14.00,14.185,13.652,13.94,35200,13.533616
2015-10-22,14.70,14.93,14.00,14.00,63300,13.591867
2015-10-21,14.94,14.94,14.53,14.69,121100,14.261752
2015-10-20,14.85,15.00,14.69,14.87,65400,14.436505
2015-10-19,14.83,14.93,14.66,14.82,28300,14.387962
2015-10-16,13.90,14.89,13.90,14.86,149200,14.426796
2015-10-15,14.24,14.47,13.87,14.01,58600,13.601576
2015-10-14,14.40,14.40,14.06,14.30,35100,13.883122
2015-10-13,14.52,14.638,14.27,14.42,21400,13.999623
2015-10-12,14.86,14.86,14.50,14.74,56300,14.310294
2015-10-09,14.80,14.90,14.40,14.72,33800,14.290878
2015-10-08,14.51,15.00,14.36,14.67,64600,14.242335
2015-10-07,13.97,14.50,13.97,14.37,68300,13.951081
2015-10-06,14.09,14.50,13.45,13.77,78500,13.368573
2015-10-05,13.73,14.44,13.73,14.02,83400,13.611285
