Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,10.01,10.01,9.98,9.98,1600,9.98
2016-01-21,9.85,9.85,9.85,9.85,200,9.85
2016-01-20,9.90,10.01,9.81,10.01,2100,10.01
2016-01-19,10.01,10.01,9.90,10.00,1400,10.00
2016-01-15,9.83,10.01,9.81,10.01,3100,10.01
2016-01-14,10.01,10.01,10.00,10.00,1600,10.00
2016-01-13,10.03,10.03,10.00,10.00,285200,10.00
2016-01-12,10.00,10.005,10.00,10.00,578400,10.00
2016-01-11,10.00,10.01,10.00,10.01,500,10.01
2016-01-08,10.02,10.02,10.01,10.01,500,10.01
2016-01-07,10.12,10.14,10.00,10.06,202400,10.06
2016-01-06,10.09,10.11,10.09,10.10,5600,10.10
2016-01-05,10.00,10.00,10.00,10.00,800,10.00
2016-01-04,10.00,10.00,10.00,10.00,94600,10.00
2015-12-31,10.00,10.00,10.00,10.00,500,10.00
2015-12-30,9.90,9.90,9.90,9.90,000,9.90
2015-12-29,9.90,9.90,9.90,9.90,300,9.90
2015-12-28,9.90,9.90,9.90,9.90,400,9.90
2015-12-24,10.00,10.00,10.00,10.00,000,10.00
2015-12-23,10.02,10.02,10.00,10.00,14800,10.00
2015-12-22,10.11,10.11,10.11,10.11,000,10.11
2015-12-21,10.11,10.11,10.11,10.11,000,10.11
2015-12-18,10.00,10.13,10.00,10.11,10200,10.11
2015-12-17,10.12,10.12,10.12,10.12,200,10.12
2015-12-16,9.90,10.124,9.90,10.01,2900,10.01
2015-12-15,10.00,10.01,10.00,10.01,3600,10.01
2015-12-14,10.02,10.02,10.00,10.00,816700,10.00
2015-12-11,10.05,10.05,10.02,10.02,15300,10.02
2015-12-10,10.14,10.14,10.14,10.14,000,10.14
2015-12-09,10.00,10.14,10.00,10.14,57500,10.14
2015-12-08,10.00,10.00,10.00,10.00,000,10.00
2015-12-07,10.00,10.00,10.00,10.00,29600,10.00
2015-12-04,10.00,10.00,9.99,10.00,46900,10.00
2015-12-03,10.03,10.03,10.00,10.00,9200,10.00
2015-12-02,10.03,10.03,10.03,10.03,000,10.03
2015-12-01,10.01,10.05,10.00,10.03,1200,10.03
2015-11-30,10.08,10.08,10.00,10.00,200,10.00
2015-11-27,10.00,10.01,10.00,10.01,27500,10.01
2015-11-25,10.01,10.14,10.00,10.14,7000,10.14
2015-11-24,10.04,10.23,10.00,10.128,3800,10.128
2015-11-23,10.19,10.19,10.19,10.19,000,10.19
2015-11-20,10.11,10.20,10.11,10.19,500,10.19
2015-11-19,10.10,10.28,10.09,10.11,1800,10.11
2015-11-18,10.14,10.24,10.11,10.24,17600,10.24
2015-11-17,10.11,10.11,10.11,10.11,000,10.11
2015-11-16,10.11,10.11,10.11,10.11,000,10.11
2015-11-13,10.11,10.11,10.11,10.11,000,10.11
2015-11-12,10.05,10.15,10.02,10.11,34600,10.11
2015-11-11,10.01,10.30,10.01,10.04,27200,10.04
2015-11-10,10.20,10.20,10.20,10.20,100,10.20
2015-11-09,10.12,10.30,10.03,10.03,6400,10.03
2015-11-06,10.15,10.30,10.105,10.30,39500,10.30
2015-11-05,10.40,10.40,10.29,10.30,2300,10.30
2015-11-04,10.34,10.34,10.34,10.34,000,10.34
2015-11-03,10.34,10.34,10.19,10.34,300,10.34
2015-11-02,10.30,10.30,10.30,10.30,600,10.30
2015-10-30,10.22,10.38,10.08,10.35,5700,10.35
2015-10-29,10.06,10.35,10.06,10.35,8900,10.35
2015-10-28,10.11,10.35,10.11,10.34,6100,10.34
2015-10-27,10.33,10.33,10.28,10.30,2700,10.30
2015-10-26,10.29,10.29,10.29,10.29,1000,10.29
2015-10-23,10.35,10.40,10.255,10.33,32400,10.33
2015-10-22,10.24,10.30,10.13,10.30,7000,10.30
2015-10-21,10.25,10.25,10.25,10.25,000,10.25
2015-10-20,10.25,10.25,10.25,10.25,000,10.25
2015-10-19,10.11,10.25,10.11,10.25,115500,10.25
2015-10-16,10.15,10.15,10.15,10.15,000,10.15
2015-10-15,10.05,10.16,10.05,10.15,117200,10.15
2015-10-14,10.05,10.14,10.05,10.13,1200,10.13
2015-10-13,10.06,10.11,10.05,10.09,13300,10.09
2015-10-12,10.06,10.15,10.05,10.12,6300,10.12
2015-10-09,10.08,10.301,10.06,10.06,3200,10.06
2015-10-08,10.06,10.06,10.05,10.05,300,10.05
2015-10-07,10.05,10.06,10.05,10.05,85900,10.05
2015-10-06,10.14,10.14,10.05,10.05,83000,10.05
2015-10-05,10.16,10.16,10.05,10.115,85900,10.115
2015-10-02,10.03,10.15,10.02,10.05,118500,10.05
2015-10-01,10.08,10.25,10.02,10.25,266300,10.25
2015-09-30,10.06,10.17,10.05,10.14,155900,10.14
2015-09-29,10.07,10.14,10.05,10.11,656300,10.11
2015-09-28,10.11,10.16,10.10,10.12,128400,10.12
2015-09-25,10.10,10.20,10.10,10.20,32400,10.20
2015-09-24,10.10,10.25,10.06,10.07,7600,10.07
2015-09-23,10.11,10.19,10.11,10.19,1200,10.19
2015-09-22,10.06,10.20,10.06,10.20,7500,10.20
2015-09-21,10.25,10.25,10.07,10.07,9400,10.07
2015-09-18,10.25,10.25,10.19,10.20,700,10.20
2015-09-17,10.15,10.29,10.13,10.25,59900,10.25
2015-09-16,10.06,10.10,10.05,10.10,27800,10.10
2015-09-15,10.33,10.33,10.04,10.11,66100,10.11
2015-09-14,10.05,10.11,10.05,10.10,731600,10.10
2015-09-11,10.01,10.09,10.00,10.05,3800900,10.05
