Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,11.93,11.93,11.93,11.93,100,11.93
2016-01-21,11.85,11.90,11.75,11.75,1700,11.75
2016-01-20,11.75,11.80,11.70,11.75,6600,11.75
2016-01-19,11.75,11.75,11.75,11.75,000,11.75
2016-01-15,11.74,11.77,11.74,11.75,3600,11.75
2016-01-14,11.90,11.91,11.85,11.85,1500,11.85
2016-01-13,11.94,11.94,11.74,11.77,4600,11.77
2016-01-12,11.84,11.88,11.81,11.88,1100,11.88
2016-01-11,11.99,11.99,11.99,11.99,000,11.99
2016-01-08,12.05,12.05,11.99,11.99,900,11.99
2016-01-07,11.80,12.30,11.80,12.04,3700,12.04
2016-01-06,12.00,12.00,11.80,11.80,7200,11.80
2016-01-05,12.30,12.30,12.30,12.30,1100,12.30
2016-01-04,12.30,12.30,12.00,12.00,3500,12.00
2015-12-31,12.34,12.41,12.34,12.36,1100,12.36
2015-12-30,12.16,12.16,12.16,12.16,300,12.16
2015-12-29,12.38,12.39,12.15,12.15,3500,12.15
2015-12-28,12.35,12.42,12.28,12.28,800,12.28
2015-12-24,12.33,12.45,12.33,12.45,1400,12.45
2015-12-23,12.24,12.33,12.24,12.33,1100,12.33
2015-12-22,12.21,12.21,12.20,12.21,1700,12.21
2015-12-21,12.21,12.21,12.21,12.21,200,12.21
2015-12-18,11.92,12.00,11.91,12.00,2400,12.00
2015-12-17,12.11,12.12,12.00,12.00,7000,12.00
2015-12-16,12.39,12.39,12.13,12.13,1500,12.13
2015-12-15,12.35,12.36,12.35,12.36,1000,12.36
2015-12-14,12.14,12.47,12.01,12.47,2000,12.47
2015-12-11,12.40,12.40,12.00,12.14,10600,12.14
2015-12-10,11.80,13.23,11.80,12.54,4000,12.54
2015-12-09,11.70,11.70,11.70,11.70,000,11.70
2015-12-08,11.70,11.75,11.70,11.70,1000,11.70
2015-12-07,11.77,11.77,11.77,11.77,200,11.77
2015-12-04,11.79,11.80,11.75,11.80,3500,11.80
2015-12-03,11.83,11.83,11.77,11.77,1800,11.77
2015-12-02,11.85,11.85,11.85,11.85,600,11.85
