Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,20.83,21.790001,20.40,21.120001,5600,21.120001
2016-01-21,20.639999,20.690001,20.24,20.48,8200,20.48
2016-01-20,20.110001,20.76,20.10,20.68,7500,20.68
2016-01-19,20.85,20.940001,20.01,20.219999,15100,20.219999
2016-01-15,21.10,21.50,20.620001,20.860001,7900,20.860001
2016-01-14,21.73,21.73,21.10,21.309999,5400,21.309999
2016-01-13,22.00,22.00,21.10,21.26,8900,21.26
2016-01-12,21.860001,22.299999,21.25,21.50,16300,21.50
2016-01-11,21.00,22.309999,21.00,21.799999,6800,21.799999
2016-01-08,22.139999,22.57,21.01,21.059999,36000,21.059999
2016-01-07,22.10,22.40,22.10,22.16,4600,22.16
2016-01-06,22.10,22.450001,22.10,22.450001,5900,22.450001
2016-01-05,22.26,23.639999,22.059999,22.35,6600,22.35
2016-01-04,22.719999,22.77,22.01,22.040001,9500,22.040001
2015-12-31,23.32,24.48,22.50,22.85,5600,22.85
2015-12-30,23.99,23.99,23.25,23.25,2900,23.25
2015-12-29,23.719999,24.040001,23.34,24.040001,4400,24.040001
2015-12-28,23.530001,23.530001,23.299999,23.299999,1500,23.299999
2015-12-24,23.65,24.200001,23.559999,24.02,3300,24.02
2015-12-23,23.59,24.18,23.450001,24.18,3200,24.18
2015-12-22,23.42,23.870001,23.42,23.85,2900,23.85
2015-12-21,23.60,23.700001,23.129999,23.17,5800,23.17
2015-12-18,23.450001,23.50,23.16,23.450001,20500,23.450001
2015-12-17,23.75,24.040001,23.60,23.60,4100,23.60
2015-12-16,23.75,24.10,23.66,24.07,3900,24.07
2015-12-15,24.129999,24.25,24.00,24.09,4800,24.09
2015-12-14,23.629999,24.09,23.629999,23.950001,8700,23.950001
2015-12-11,23.60,24.25,23.58,23.90,7300,23.90
2015-12-10,24.48,24.48,24.00,24.00,4100,24.00
2015-12-09,24.450001,24.450001,24.01,24.01,2800,24.01
2015-12-08,24.00,24.50,24.00,24.09,6600,24.09
2015-12-07,23.50,24.530001,23.50,24.110001,13000,24.110001
2015-12-04,23.690001,24.35,23.690001,23.959999,2700,23.959999
2015-12-03,23.92,24.00,23.59,23.68,4500,23.68
2015-12-02,23.75,24.49,23.75,23.90,3200,23.90
2015-12-01,24.610001,24.610001,23.799999,24.49,7300,24.49
2015-11-30,24.75,24.75,24.209999,24.49,5400,24.49
2015-11-27,24.469999,24.74,24.00,24.74,6400,24.74
2015-11-25,24.030001,24.25,23.92,24.24,9100,24.24
2015-11-24,23.90,24.120001,23.26,23.799999,2000,23.799999
2015-11-23,24.07,24.370001,23.700001,23.99,2900,23.99
2015-11-20,24.219999,24.50,24.200001,24.25,10400,24.25
2015-11-19,23.610001,24.200001,23.610001,24.059999,1400,24.059999
2015-11-18,24.25,24.25,23.620001,23.85,5100,23.85
2015-11-17,23.389999,24.120001,23.389999,23.719999,8600,23.719999
2015-11-16,24.00,24.40,23.01,24.040001,5000,24.040001
2015-11-13,22.91,24.74,22.91,24.42,10300,24.42
2015-11-12,23.549999,24.549999,22.77,23.07,7400,23.07
2015-11-11,24.08,24.719999,23.700001,23.700001,2500,23.700001
2015-11-10,24.629999,24.629999,23.07,23.98,5900,23.98
2015-11-09,24.709999,24.90,22.549999,24.67,28000,24.67
2015-11-06,23.709999,24.700001,22.51,24.700001,1700,24.700001
2015-11-05,23.959999,24.90,23.65,24.08,1600,23.955
2015-11-04,24.040001,24.040001,23.440001,23.969999,4600,23.84557
2015-11-03,24.00,24.85,23.549999,23.99,5200,23.865467
2015-11-02,23.809999,24.290001,23.809999,24.040001,3300,23.915209
2015-10-30,23.60,24.120001,23.219999,23.219999,1300,23.099464
2015-10-29,23.969999,24.90,23.639999,23.639999,5500,23.517283
2015-10-28,23.73,24.10,23.530001,23.950001,12100,23.825676
2015-10-27,24.879999,24.879999,22.40,22.99,3200,22.870658
2015-10-26,23.139999,23.25,22.00,23.24,6000,23.11936
2015-10-23,23.129999,23.25,22.120001,23.25,2300,23.129309
2015-10-22,22.18,23.01,22.18,23.01,3400,22.890555
2015-10-21,22.25,22.25,21.870001,22.030001,5100,21.915642
2015-10-20,22.469999,22.75,22.209999,22.67,3000,22.552319
2015-10-19,22.42,22.799999,21.969999,21.99,2400,21.875849
2015-10-16,22.620001,22.620001,21.799999,22.459999,2600,22.343409
2015-10-15,21.67,22.639999,21.379999,22.49,4600,22.373254
2015-10-14,21.879999,21.940001,21.309999,21.40,4800,21.288912
2015-10-13,22.09,22.09,21.889999,21.889999,2000,21.776368
2015-10-12,21.76,22.049999,21.459999,22.049999,3300,21.935537
2015-10-09,22.00,22.00,21.24,21.719999,3900,21.60725
2015-10-08,21.799999,21.99,21.51,21.98,5900,21.865901
2015-10-07,21.549999,22.00,21.48,21.48,3400,21.368496
2015-10-06,21.360001,22.00,21.01,21.440001,7200,21.328705
2015-10-05,20.99,21.74,20.959999,21.41,5500,21.29886
2015-10-02,20.799999,21.26,20.799999,20.959999,7200,20.851195
2015-10-01,21.15,21.360001,20.809999,20.809999,7800,20.701974
2015-09-30,21.280001,21.280001,20.969999,20.969999,5200,20.861143
2015-09-29,20.950001,21.85,20.950001,21.049999,4600,20.940728
2015-09-28,20.969999,21.48,20.950001,20.959999,3400,20.851195
2015-09-25,21.68,21.68,20.85,21.00,13300,20.890988
2015-09-24,21.34,21.67,21.34,21.440001,4100,21.328705
2015-09-23,21.709999,21.75,21.450001,21.450001,3700,21.338653
2015-09-22,20.950001,21.75,20.950001,21.33,11200,21.219275
2015-09-21,21.440001,21.59,21.15,21.15,1700,21.040209
2015-09-18,20.870001,21.32,20.870001,21.290001,12100,21.179484
2015-09-17,21.120001,21.459999,21.049999,21.25,5800,21.139691
2015-09-16,21.67,21.67,21.16,21.309999,3000,21.199379
2015-09-15,21.16,21.639999,21.15,21.639999,1200,21.527666
2015-09-14,21.23,21.58,21.049999,21.35,2100,21.239172
2015-09-11,21.190001,21.65,21.049999,21.219999,2200,21.109846
2015-09-10,21.18,21.639999,20.85,21.389999,5800,21.278963
2015-09-09,21.700001,21.700001,21.049999,21.18,5500,21.070054
2015-09-08,21.25,22.059999,21.049999,21.50,4200,21.388393
2015-09-04,20.90,20.969999,20.90,20.950001,2400,20.841249
2015-09-03,21.139999,21.780001,21.049999,21.16,5300,21.050158
2015-09-02,21.709999,21.709999,21.049999,21.32,5100,21.209327
2015-09-01,21.469999,21.469999,20.85,20.91,6500,20.801455
2015-08-31,21.00,22.030001,20.85,21.889999,4500,21.776368
2015-08-28,21.77,21.99,21.09,21.139999,3700,21.030261
2015-08-27,21.10,22.459999,20.82,21.92,7300,21.806213
2015-08-26,21.00,21.25,20.790001,21.25,4800,21.139691
2015-08-25,21.040001,21.129999,20.07,20.99,4900,20.88104
2015-08-24,19.950001,20.860001,19.950001,20.33,12700,20.224466
2015-08-21,20.00,20.780001,19.870001,20.07,15600,19.965816
2015-08-20,20.40,20.92,20.40,20.41,5000,20.304051
2015-08-19,21.030001,21.25,20.40,20.41,3000,20.304051
2015-08-18,21.440001,21.440001,20.60,20.799999,2900,20.692026
2015-08-17,20.299999,21.209999,20.299999,21.200001,2200,21.089951
2015-08-14,20.690001,21.379999,20.690001,21.219999,4400,21.109846
2015-08-13,20.57,21.25,20.57,20.76,4200,20.652234
2015-08-12,20.870001,21.40,20.870001,21.370001,3600,21.259069
2015-08-11,20.90,20.90,20.90,20.90,1000,20.791507
2015-08-10,21.41,21.57,20.58,21.57,5500,21.458029
2015-08-07,21.27,21.74,21.190001,21.190001,3300,21.080003
2015-08-06,21.459999,21.530001,21.41,21.450001,4200,21.214302
2015-08-05,21.549999,21.969999,21.549999,21.77,1500,21.530785
2015-08-04,21.700001,21.700001,21.40,21.450001,3000,21.214302
2015-08-03,21.969999,21.99,21.84,21.85,3200,21.609906
2015-07-31,22.16,22.35,21.92,21.969999,11600,21.728586
2015-07-30,21.60,22.030001,21.530001,21.75,4200,21.511005
2015-07-29,22.030001,22.299999,21.559999,21.559999,4700,21.323092
2015-07-28,23.90,23.90,22.059999,22.24,3700,21.99562
2015-07-27,22.50,22.50,21.90,22.040001,1900,21.797819
2015-07-24,22.549999,22.549999,22.549999,22.549999,2300,22.302213
2015-07-23,22.530001,22.530001,22.530001,22.530001,1200,22.282434
2015-07-22,23.120001,23.43,22.77,23.42,1500,23.162654
