Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,10.10,11.41,9.29,10.81,41300,10.81
2016-01-21,9.68,10.27,8.73,9.82,48300,9.82
2016-01-20,9.79,10.52,8.80,9.73,32900,9.73
2016-01-19,9.30,10.11,9.30,9.76,40500,9.76
2016-01-15,9.98,9.98,9.01,9.22,39600,9.22
2016-01-14,8.95,9.74,8.63,9.30,37700,9.30
2016-01-13,9.70,10.13,8.82,8.98,28300,8.98
2016-01-12,9.45,10.90,9.45,9.56,12800,9.56
2016-01-11,11.29,11.29,9.23,9.47,29200,9.47
2016-01-08,9.39,9.86,9.15,9.63,22100,9.63
2016-01-07,10.21,10.23,9.02,9.26,45300,9.26
2016-01-06,10.87,11.01,10.34,10.42,38800,10.42
2016-01-05,10.93,11.24,10.93,11.02,19400,11.02
2016-01-04,10.69,11.27,10.60,10.93,54500,10.93
2015-12-31,10.81,11.18,10.62,11.07,38600,11.07
2015-12-30,12.60,12.60,10.40,10.57,68400,10.57
2015-12-29,13.49,13.49,12.61,12.61,38300,12.61
2015-12-28,12.77,13.15,12.77,12.88,20200,12.88
2015-12-24,13.12,13.16,12.77,12.77,8500,12.77
2015-12-23,12.90,13.73,12.52,13.14,46800,13.14
2015-12-22,13.35,14.16,12.56,12.79,101700,12.79
2015-12-21,13.84,13.88,13.15,13.44,35500,13.44
2015-12-18,13.26,14.05,12.61,13.93,86800,13.93
2015-12-17,14.19,14.21,13.26,13.47,45500,13.47
2015-12-16,13.86,14.16,13.66,14.09,26600,14.09
2015-12-15,13.68,14.35,13.43,13.80,36000,13.80
2015-12-14,13.78,13.91,13.12,13.86,33600,13.86
2015-12-11,14.01,14.78,13.68,13.95,36000,13.95
2015-12-10,16.76,16.77,13.42,14.48,105500,14.48
2015-12-09,16.799999,17.59,15.52,16.74,62900,16.74
2015-12-08,16.59,16.790001,15.51,16.700001,25000,16.610001
2015-12-07,17.190001,17.43,16.379999,16.60,62100,16.510539
2015-12-04,17.00,17.280001,16.49,16.68,30500,16.590108
2015-12-03,16.33,17.50,15.90,16.969999,52100,16.878544
2015-12-02,16.35,16.99,16.18,16.309999,42500,16.222101
2015-12-01,13.97,16.60,13.97,16.35,146200,16.261887
2015-11-30,12.39,13.87,12.04,13.83,37700,13.755467
2015-11-27,13.10,13.10,12.08,12.56,11700,12.492312
2015-11-25,12.74,13.29,11.78,12.59,84900,12.52215
2015-11-24,12.75,13.38,12.14,12.55,114600,12.482366
2015-11-23,13.30,13.39,11.07,11.60,121600,11.537486
2015-11-20,14.27,14.50,13.25,13.27,46500,13.198486
2015-11-19,13.45,14.41,13.45,14.27,48000,14.193096
2015-11-18,13.20,13.92,13.20,13.43,30600,13.357623
2015-11-17,13.43,13.50,12.71,13.14,35200,13.069186
2015-11-16,12.53,13.32,12.52,13.21,59900,13.138809
2015-11-13,12.74,12.84,12.32,12.69,23000,12.62161
2015-11-12,12.44,12.87,12.30,12.47,24900,12.402797
2015-11-11,12.30,12.72,12.27,12.41,10800,12.34312
2015-11-10,12.38,12.42,11.79,12.26,12500,12.193928
2015-11-09,11.55,12.44,11.55,12.31,27600,12.243659
2015-11-06,11.16,12.25,11.16,11.95,69700,11.885599
2015-11-05,11.66,11.66,10.61,11.05,63900,10.990449
2015-11-04,12.11,12.28,11.50,11.51,43600,11.44797
2015-11-03,12.35,12.99,12.01,12.20,33400,12.134251
2015-11-02,12.65,13.03,11.89,12.20,36000,12.134251
