Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,21.629999,21.629999,21.629999,21.629999,400,21.629999
2016-01-21,21.09,21.09,21.09,21.09,400,21.09
2016-01-20,21.52,21.52,21.290001,21.290001,900,21.290001
2016-01-19,21.700001,21.700001,21.700001,21.700001,300,21.700001
2016-01-15,21.93,21.93,21.93,21.93,000,21.93
2016-01-14,22.209999,22.209999,21.93,21.93,81000,21.93
2016-01-13,22.139999,22.139999,22.139999,22.139999,200,22.139999
2016-01-12,22.25,22.27,22.25,22.27,400,22.27
2016-01-11,22.27,22.27,22.27,22.27,000,22.27
2016-01-08,22.40,22.41,22.27,22.27,28400,22.27
2016-01-07,23.290001,23.290001,22.90,22.90,600,22.90
2016-01-06,23.35,23.67,23.35,23.35,2200,23.35
2016-01-05,23.75,23.790001,23.549999,23.77,1200,23.77
2016-01-04,24.389999,24.389999,24.389999,24.389999,000,24.389999
2015-12-31,24.219999,24.389999,24.219999,24.389999,1100,24.389999
2015-12-30,24.83,24.83,24.370001,24.370001,1000,24.370001
2015-12-29,25.049999,25.16,24.98,25.16,2300,25.16
2015-12-28,24.91,24.92,24.90,24.90,5000,24.832
2015-12-24,25.120001,25.120001,24.92,24.92,1100,24.851946
2015-12-23,24.809999,24.91,24.809999,24.91,600,24.841973
2015-12-22,24.35,24.66,24.35,24.60,900,24.53282
2015-12-21,25.200001,25.209999,24.42,24.42,12600,24.353311
2015-12-18,25.280001,25.50,25.049999,25.049999,4100,24.697367
2015-12-17,25.620001,25.870001,25.379999,25.469999,1600,25.111455
2015-12-16,25.049999,26.549999,25.049999,26.360001,1100,25.988928
2015-12-15,25.469999,25.469999,25.360001,25.450001,400,25.091738
2015-12-14,25.00,25.00,24.639999,24.99,49100,24.638212
2015-12-11,25.030001,25.209999,25.02,25.209999,700,24.855115
2015-12-10,25.67,25.67,25.67,25.67,300,25.30864
2015-12-09,25.48,25.48,25.48,25.48,000,25.121314
2015-12-08,25.49,25.49,25.459999,25.48,800,25.121314
2015-12-07,26.610001,26.610001,26.17,26.17,3000,25.801602
2015-12-04,25.99,25.99,25.99,25.99,000,25.624135
2015-12-03,25.99,25.99,25.99,25.99,000,25.624135
2015-12-02,26.120001,26.120001,25.99,25.99,700,25.624135
2015-12-01,26.17,26.17,26.17,26.17,000,25.801602
2015-11-30,26.33,26.33,26.17,26.17,400,25.801602
2015-11-27,27.15,27.15,26.790001,26.790001,7700,26.412875
2015-11-25,27.58,27.58,27.190001,27.190001,1900,26.807243
2015-11-24,27.60,27.780001,27.60,27.780001,1500,27.388938
2015-11-23,27.629999,27.719999,27.629999,27.719999,300,27.329781
2015-11-20,27.67,27.67,27.67,27.67,000,27.280486
2015-11-19,27.700001,27.700001,27.67,27.67,900,27.280486
2015-11-18,27.120001,27.120001,27.120001,27.120001,100,26.738229
2015-11-17,26.700001,26.700001,26.700001,26.700001,000,26.324141
2015-11-16,26.629999,26.700001,26.34,26.700001,3600,26.324141
2015-11-13,26.82,26.82,26.82,26.82,200,26.442451
2015-11-12,26.83,27.10,26.83,27.049999,6300,26.669213
2015-11-11,27.93,27.93,27.93,27.93,000,27.536826
2015-11-10,27.93,27.93,27.93,27.93,000,27.536826
2015-11-09,27.93,27.93,27.93,27.93,000,27.536826
2015-11-06,27.93,27.93,27.93,27.93,000,27.536826
2015-11-05,27.940001,27.969999,27.93,27.93,3100,27.536826
2015-11-04,28.030001,28.030001,28.030001,28.030001,000,27.635419
2015-11-03,27.26,28.040001,27.26,28.030001,500,27.635419
2015-11-02,26.719999,26.719999,26.719999,26.719999,000,26.343858
2015-10-30,26.719999,26.719999,26.719999,26.719999,000,26.343858
2015-10-29,26.870001,27.120001,26.719999,26.719999,37700,26.343858
2015-10-28,27.209999,27.209999,27.200001,27.200001,300,26.817103
2015-10-27,27.620001,27.620001,27.620001,27.620001,000,27.231191
2015-10-26,27.620001,27.620001,27.620001,27.620001,300,27.231191
2015-10-23,26.969999,26.969999,26.969999,26.969999,000,26.590339
2015-10-22,26.969999,26.969999,26.969999,26.969999,000,26.590339
2015-10-21,26.92,26.969999,26.92,26.969999,500,26.590339
2015-10-20,27.540001,27.540001,27.540001,27.540001,000,27.152317
2015-10-19,27.469999,27.549999,27.379999,27.540001,1700,27.152317
2015-10-16,27.200001,27.200001,27.200001,27.200001,000,26.817103
2015-10-15,27.200001,27.200001,27.200001,27.200001,1000,26.817103
2015-10-14,27.559999,27.58,27.559999,27.58,1600,27.191753
2015-10-13,27.41,27.41,27.41,27.41,400,27.024146
2015-10-12,28.41,29.01,28.40,28.48,7400,28.079083
2015-10-09,28.110001,28.110001,28.110001,28.110001,000,27.714293
2015-10-08,28.110001,28.110001,28.110001,28.110001,300,27.714293
2015-10-07,27.440001,27.440001,27.440001,27.440001,000,27.053724
2015-10-06,27.469999,27.469999,27.43,27.440001,3800,27.053724
