Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.761,16.761,16.761,16.761,000,16.761
2016-01-21,16.780001,16.780001,16.761,16.761,1100,16.761
2016-01-20,16.82,16.91,16.665001,16.665001,800,16.665001
2016-01-19,17.24,17.24,17.24,17.24,1500,17.24
2016-01-15,17.00,17.00,16.92,16.959999,6300,16.959999
2016-01-14,17.77,17.77,17.60,17.60,29700,17.60
2016-01-13,17.690001,17.690001,17.690001,17.690001,300,17.690001
2016-01-12,17.65,17.65,17.594,17.65,2300,17.65
2016-01-11,17.690001,17.690001,17.683001,17.683001,3400,17.683001
2016-01-08,17.927999,17.927999,17.927999,17.927999,000,17.927999
2016-01-07,17.806999,17.927999,17.806999,17.927999,800,17.927999
2016-01-06,18.700001,18.700001,18.700001,18.700001,700,18.700001
2016-01-05,18.60,18.60,18.60,18.60,000,18.60
2016-01-04,17.540001,18.74,17.540001,18.60,7500,18.60
2015-12-31,19.285,19.549999,19.285,19.327999,1900,19.327999
2015-12-30,19.232,19.450001,19.232,19.32,4500,19.32
2015-12-29,19.50,19.76,19.49,19.66,13900,19.66
2015-12-28,19.34,19.40,19.34,19.40,3500,19.40
2015-12-24,19.549999,19.618,19.549999,19.618,700,19.618
2015-12-23,19.617001,19.790001,19.490999,19.76,25800,19.76
2015-12-22,19.299999,19.299999,19.291,19.291,600,19.291
2015-12-21,19.24,19.25,19.24,19.25,2500,19.25
2015-12-18,19.74,19.74,19.74,19.74,000,19.663
2015-12-17,19.700001,19.74,19.612,19.74,1500,19.663
2015-12-16,19.49,19.49,19.49,19.49,100,19.413975
2015-12-15,19.379999,19.414,19.379999,19.414,1500,19.338271
2015-12-14,19.174999,19.174999,18.98,18.98,1500,18.905964
2015-12-11,18.98,18.98,18.98,18.98,400,18.905964
2015-12-10,19.74,19.74,19.49,19.49,5200,19.413975
2015-12-09,19.652,19.652,19.652,19.652,000,19.575344
2015-12-08,20.01,20.01,19.652,19.652,2400,19.575344
2015-12-07,20.58,20.58,20.129999,20.129999,400,20.051478
2015-12-04,20.555,20.555,20.555,20.555,000,20.474821
2015-12-03,20.555,20.555,20.555,20.555,300,20.474821
2015-12-02,20.549999,20.549999,20.549999,20.549999,200,20.46984
2015-12-01,20.32,20.32,20.32,20.32,300,20.240737
2015-11-30,20.50,20.50,20.15,20.15,700,20.0714
2015-11-27,20.51,20.51,20.51,20.51,300,20.429997
2015-11-25,20.90,20.90,20.701,20.701,4000,20.620252
2015-11-24,20.68,20.68,20.68,20.68,000,20.599334
2015-11-23,20.68,20.68,20.68,20.68,000,20.599334
2015-11-20,20.68,20.68,20.68,20.68,000,20.599334
2015-11-19,20.68,20.68,20.65,20.68,9800,20.599334
2015-11-18,20.333,20.333,20.333,20.333,000,20.253687
2015-11-17,20.299999,20.333,20.299999,20.333,800,20.253687
2015-11-16,20.34,20.34,20.34,20.34,200,20.26066
2015-11-13,20.50,20.50,20.50,20.50,000,20.420036
2015-11-12,20.51,20.51,20.50,20.50,1000,20.420036
2015-11-11,20.677999,20.677999,20.677999,20.677999,1600,20.597341
2015-11-10,20.330999,20.330999,20.330999,20.330999,100,20.251694
2015-11-09,20.858,20.858,20.858,20.858,000,20.776639
2015-11-06,20.858,20.858,20.858,20.858,200,20.776639
2015-11-05,21.473,21.51,21.370001,21.370001,1600,21.286643
2015-11-04,21.120001,21.120001,21.120001,21.120001,200,21.037618
2015-11-03,20.83,21.290001,20.83,21.235001,17100,21.152169
2015-11-02,20.759001,20.759001,20.759001,20.759001,200,20.678026
2015-10-30,20.549999,20.624001,20.530001,20.624001,1300,20.543552
2015-10-29,20.790001,20.790001,20.51,20.51,700,20.429997
2015-10-28,21.110001,21.110001,20.75,20.75,400,20.66906
2015-10-27,21.114,21.114,21.114,21.114,400,21.031641
