Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,11.87,12.25,11.87,12.13,104500,12.13
2016-01-21,11.63,12.10,11.28,11.81,112800,11.81
2016-01-20,11.30,11.72,11.03,11.59,77700,11.59
2016-01-19,11.73,12.11,11.25,11.51,115900,11.51
2016-01-15,11.42,11.72,11.25,11.62,128800,11.62
2016-01-14,11.98,12.65,11.59,11.79,95200,11.79
2016-01-13,12.07,12.07,11.65,11.85,115200,11.85
2016-01-12,12.35,12.35,11.72,12.03,103800,12.03
2016-01-11,11.66,12.31,11.51,12.27,105300,12.27
2016-01-08,11.60,11.85,11.44,11.60,247700,11.60
2016-01-07,11.94,12.24,11.60,11.60,139200,11.60
2016-01-06,12.69,12.76,11.88,12.03,292800,12.03
2016-01-05,12.93,13.00,12.91,12.92,67000,12.92
2016-01-04,12.91,13.01,12.48,13.00,142400,12.91
2015-12-31,13.60,13.64,13.02,13.07,71900,12.979515
2015-12-30,13.98,14.06,13.64,13.65,45300,13.5555
2015-12-29,13.83,14.00,13.61,14.00,111700,13.903077
2015-12-28,13.66,13.84,13.47,13.79,79500,13.694531
2015-12-24,13.78,13.93,13.65,13.74,21200,13.644877
2015-12-23,13.66,13.93,13.55,13.81,61500,13.714393
2015-12-22,13.55,13.68,13.45,13.63,57100,13.535639
2015-12-21,13.64,13.72,13.29,13.56,75900,13.466123
2015-12-18,13.82,13.96,13.46,13.51,539700,13.416469
2015-12-17,14.10,14.30,13.87,13.90,105200,13.803769
2015-12-16,14.61,14.67,13.93,14.03,123900,13.932869
2015-12-15,14.32,14.80,14.32,14.57,150000,14.46913
2015-12-14,14.40,15.03,14.14,14.26,178900,14.161277
2015-12-11,13.80,14.69,13.79,14.38,191100,14.280446
2015-12-10,14.02,14.20,13.85,13.89,49300,13.793839
2015-12-09,13.79,14.24,13.79,13.98,86300,13.883215
2015-12-08,13.70,14.07,12.88,13.98,142500,13.883215
2015-12-07,13.66,13.99,13.65,13.87,129600,13.773977
2015-12-04,13.35,13.63,13.35,13.52,50000,13.4264
2015-12-03,13.62,13.71,13.35,13.41,57800,13.317161
2015-12-02,12.82,13.67,12.82,13.56,43800,13.466123
2015-12-01,13.72,13.82,13.37,13.64,48100,13.54557
2015-11-30,13.67,13.71,13.48,13.53,58700,13.43633
2015-11-27,13.36,13.64,13.10,13.60,24300,13.505846
2015-11-25,13.20,13.41,13.04,13.40,38400,13.30723
2015-11-24,12.82,13.24,12.81,13.23,66300,13.138407
2015-11-23,13.05,13.34,12.83,12.91,76900,12.820623
2015-11-20,12.87,13.02,12.75,13.00,55400,12.91
2015-11-19,12.76,12.82,12.66,12.76,44400,12.671662
2015-11-18,12.41,12.77,12.22,12.76,93000,12.671662
2015-11-17,12.35,12.37,12.15,12.29,54100,12.204915
2015-11-16,12.22,12.38,12.02,12.37,44300,12.284361
2015-11-13,12.12,12.34,12.00,12.17,48200,12.085746
2015-11-12,12.51,12.51,12.17,12.20,47600,12.115538
2015-11-11,12.38,12.74,12.31,12.54,43700,12.453185
2015-11-10,12.33,12.61,12.33,12.55,55100,12.463116
2015-11-09,12.65,12.85,12.26,12.32,82100,12.234707
2015-11-06,12.50,12.73,12.42,12.71,41900,12.622008
2015-11-05,12.58,12.62,12.37,12.61,62900,12.5227
2015-11-04,13.75,14.00,12.44,12.54,156700,12.453185
2015-11-03,13.92,14.15,13.76,13.87,79300,13.773977
2015-11-02,13.75,14.14,13.69,14.00,41700,13.903077
2015-10-30,13.84,14.04,13.64,13.80,76200,13.704462
2015-10-29,13.99,14.03,13.41,13.90,44300,13.803769
2015-10-28,13.53,14.06,13.39,14.01,66800,13.913008
2015-10-27,13.80,13.93,13.36,13.48,68500,13.386676
2015-10-26,14.03,14.39,13.76,13.82,122900,13.724323
2015-10-23,14.30,14.30,13.88,14.10,65700,14.002385
2015-10-22,13.64,14.31,13.54,14.15,148800,14.052038
2015-10-21,13.92,13.92,13.51,13.55,47700,13.456192
2015-10-20,13.82,14.06,13.77,13.89,45300,13.793839
2015-10-19,13.80,13.94,13.65,13.90,35100,13.803769
2015-10-16,14.10,14.10,13.54,13.82,68800,13.724323
2015-10-15,13.61,14.05,13.49,14.05,56100,13.952731
2015-10-14,13.55,13.84,13.52,13.55,72000,13.456192
2015-10-13,13.79,13.99,13.59,13.62,55800,13.525708
