Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.50,19.50,18.85,19.200001,5600,19.200001
2016-01-21,19.030001,19.08,19.030001,19.049999,600,19.049999
2016-01-20,19.049999,19.530001,19.01,19.01,3100,19.01
2016-01-19,19.559999,19.780001,19.200001,19.73,1600,19.73
2016-01-15,20.110001,20.110001,20.110001,20.110001,000,20.110001
2016-01-14,20.110001,20.110001,20.110001,20.110001,1000,20.110001
2016-01-13,19.799999,19.799999,19.110001,19.59,3800,19.59
2016-01-12,20.25,20.35,19.52,20.35,4000,20.35
2016-01-11,19.25,19.25,19.25,19.25,100,19.25
2016-01-08,19.52,20.34,19.52,19.969999,2800,19.969999
2016-01-07,20.469999,20.469999,19.959999,19.959999,3700,19.959999
2016-01-06,20.50,20.50,20.50,20.50,000,20.50
2016-01-05,20.549999,20.549999,20.50,20.50,500,20.50
2016-01-04,20.49,20.49,19.530001,19.84,2400,19.84
2015-12-31,19.42,19.879999,19.299999,19.879999,2900,19.879999
2015-12-30,19.50,19.50,19.50,19.50,700,19.50
2015-12-29,20.00,20.00,19.700001,19.700001,400,19.700001
2015-12-28,19.75,19.790001,19.50,19.790001,1200,19.790001
2015-12-24,19.629999,19.85,19.58,19.85,1000,19.85
2015-12-23,20.389999,20.75,20.00,20.700001,2900,20.700001
2015-12-22,20.40,21.129999,20.370001,20.98,8700,20.98
2015-12-21,20.379999,20.450001,19.50,20.00,6000,20.00
2015-12-18,19.16,20.299999,19.16,20.299999,2800,20.299999
2015-12-17,18.98,18.98,18.98,18.98,000,18.98
2015-12-16,18.98,18.98,18.98,18.98,000,18.98
2015-12-15,19.25,19.25,18.98,18.98,700,18.98
2015-12-14,18.50,19.209999,18.50,19.200001,4700,19.200001
2015-12-11,18.75,18.77,18.41,18.77,4300,18.77
2015-12-10,18.870001,19.00,18.85,18.85,800,18.85
2015-12-09,19.049999,19.049999,18.780001,19.01,600,19.01
2015-12-08,18.90,19.040001,18.90,19.040001,400,19.040001
2015-12-07,19.27,19.27,19.27,19.27,000,19.27
2015-12-04,19.16,19.40,19.00,19.27,3800,19.27
2015-12-03,19.200001,19.200001,18.73,19.08,5800,19.08
2015-12-02,19.00,19.08,19.00,19.049999,4000,19.049999
2015-12-01,18.99,19.00,18.65,18.65,5300,18.65
2015-11-30,19.02,19.15,18.90,19.15,7600,18.919999
2015-11-27,19.00,19.00,18.90,18.92,2600,18.692762
2015-11-25,19.10,19.10,19.00,19.00,7900,18.771801
2015-11-24,19.059999,19.059999,19.059999,19.059999,2200,18.83108
2015-11-23,19.10,19.190001,19.10,19.10,4300,18.870601
2015-11-20,19.10,19.10,19.02,19.049999,1000,18.8212
2015-11-19,19.200001,19.200001,19.09,19.09,4400,18.860721
2015-11-18,19.10,19.200001,19.030001,19.030001,5600,18.801442
2015-11-17,19.110001,19.200001,19.10,19.15,3600,18.919999
2015-11-16,19.110001,19.110001,19.09,19.09,600,18.860721
2015-11-13,19.48,19.50,19.280001,19.299999,2000,19.068197
2015-11-12,19.25,19.469999,19.25,19.469999,500,19.236156
2015-11-11,19.309999,19.49,19.200001,19.49,2300,19.255916
2015-11-10,19.360001,19.42,19.299999,19.299999,6300,19.068197
2015-11-09,19.75,20.389999,19.75,19.76,8300,19.522674
2015-11-06,19.85,19.950001,19.85,19.91,1900,19.670872
