Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,82.010002,82.300003,81.860001,82.089996,16700,82.089996
2016-01-21,81.830002,82.269997,81.269997,81.669998,27500,81.669998
2016-01-20,82.889999,83.43,81.82,83.050003,22700,83.050003
2016-01-19,84.540001,84.839996,84.050003,84.75,19900,84.75
2016-01-15,81.879997,83.43,81.879997,83.110001,22400,83.110001
2016-01-14,84.300003,84.330002,83.010002,83.589996,19600,83.589996
2016-01-13,85.190002,85.400002,84.25,84.25,19700,84.25
2016-01-12,86.43,86.43,85.919998,86.190002,6500,86.190002
2016-01-11,85.839996,86.510002,85.839996,86.129997,18800,86.129997
2016-01-08,86.089996,86.610001,85.879997,85.900002,10500,85.900002
2016-01-07,86.529999,86.779999,85.800003,86.25,13400,86.25
2016-01-06,86.010002,86.540001,85.849998,86.110001,19500,86.110001
2016-01-05,86.860001,87.379997,86.860001,87.209999,13700,87.209999
2016-01-04,87.970001,87.970001,86.50,86.650002,20300,86.650002
2015-12-31,87.379997,88.510002,87.07,88.330002,23500,88.330002
2015-12-30,87.830002,87.830002,86.519997,86.889999,14100,86.889999
2015-12-29,88.470001,88.809998,88.389999,88.760002,12600,88.760002
2015-12-28,87.599998,87.989998,87.57,87.959999,12700,87.959999
2015-12-24,86.510002,86.839996,86.190002,86.839996,16000,86.839996
2015-12-23,85.809998,85.919998,84.989998,85.769997,11400,85.769997
2015-12-22,85.709999,85.800003,84.510002,85.309998,8300,85.309998
2015-12-21,86.559998,86.559998,85.559998,86.059998,14400,86.059998
2015-12-18,87.00,87.199997,86.25,86.620003,23900,86.620003
2015-12-17,88.00,88.00,86.290001,86.93,28600,86.93
2015-12-16,85.790001,87.110001,84.650002,85.809998,24500,85.809998
2015-12-15,85.00,85.699997,84.389999,85.220001,18700,85.220001
2015-12-14,83.120003,83.790001,83.07,83.739998,20300,83.739998
2015-12-11,82.75,83.190002,82.580002,82.849998,14100,82.849998
2015-12-10,84.199997,84.199997,82.870003,83.660004,30000,83.660004
2015-12-09,85.970001,86.209999,85.739998,85.910004,3600,85.910004
2015-12-08,86.269997,86.669998,85.830002,86.669998,17800,86.669998
2015-12-07,87.839996,88.309998,87.260002,87.900002,21200,87.900002
2015-12-04,88.389999,89.290001,88.389999,89.07,5700,89.07
2015-12-03,88.059998,88.480003,87.120003,88.480003,9000,88.480003
2015-12-02,88.699997,89.260002,88.559998,88.879997,19200,88.879997
2015-12-01,87.300003,88.839996,87.220001,88.739998,31600,88.739998
2015-11-30,88.800003,88.800003,88.010002,88.400002,27300,88.400002
2015-11-27,89.029999,89.099998,88.209999,88.529999,26200,88.529999
2015-11-25,90.059998,90.400002,89.260002,89.870003,9900,89.870003
2015-11-24,87.790001,90.00,87.790001,89.790001,47800,89.790001
2015-11-23,87.010002,87.989998,86.470001,87.529999,10100,87.529999
2015-11-20,86.029999,87.489998,85.510002,86.089996,33000,86.089996
2015-11-19,85.93,86.089996,84.720001,85.910004,15600,85.910004
2015-11-18,86.480003,87.709999,86.480003,87.650002,23900,87.650002
2015-11-17,85.910004,86.68,85.489998,86.32,27600,85.950002
2015-11-16,82.910004,84.43,82.779999,84.00,14200,83.639947
2015-11-13,85.00,85.050003,82.93,83.870003,57100,83.510507
2015-11-12,85.050003,85.599998,84.790001,85.07,22200,84.70536
2015-11-11,83.300003,83.650002,82.269997,83.370003,62100,83.01265
2015-11-10,79.68,80.93,79.660004,80.360001,4800,80.01555
2015-11-09,80.089996,80.089996,79.400002,79.519997,6400,79.179146
2015-11-06,81.059998,81.059998,80.290001,80.699997,2900,80.354089
2015-11-05,80.760002,81.68,80.459999,80.860001,8800,80.513406
2015-11-04,80.349998,80.709999,80.139999,80.629997,6000,80.284389
2015-11-03,80.480003,80.849998,80.349998,80.480003,7500,80.135038
2015-11-02,80.449997,80.68,79.989998,80.550003,15100,80.204738
2015-10-30,79.760002,79.879997,79.010002,79.529999,34100,79.189105
2015-10-29,79.080002,79.50,78.93,79.50,8100,79.159235
2015-10-28,81.370003,81.739998,80.080002,80.800003,6700,80.453666
2015-10-27,81.669998,82.00,81.199997,81.709999,5500,81.359762
2015-10-26,81.309998,82.199997,81.309998,82.010002,17300,81.658479
2015-10-23,80.300003,80.300003,79.50,79.720001,11200,79.378293
2015-10-22,79.139999,79.809998,79.00,79.410004,24900,79.069625
2015-10-21,78.089996,78.230003,77.709999,78.230003,5100,77.894682
2015-10-20,77.25,78.00,77.25,78.00,3900,77.665665
2015-10-19,76.910004,76.910004,76.199997,76.480003,5400,76.152183
2015-10-16,76.480003,76.870003,75.559998,76.059998,3700,75.733978
2015-10-15,76.559998,76.860001,75.860001,76.540001,10600,76.211924
2015-10-14,75.839996,76.480003,74.459999,75.860001,8500,75.534838
2015-10-13,74.709999,75.190002,74.639999,74.93,7500,74.608824
2015-10-12,76.839996,76.889999,75.959999,76.169998,21100,75.843507
2015-10-09,76.519997,77.059998,75.080002,76.019997,14900,75.694148
2015-10-08,76.389999,76.57,75.889999,76.400002,3500,76.072524
2015-10-07,76.629997,77.300003,76.510002,76.660004,8500,76.331412
2015-10-06,76.459999,77.279999,76.459999,76.809998,12400,76.480763
2015-10-05,76.449997,77.00,75.889999,76.50,7600,76.172094
2015-10-02,73.82,75.360001,73.82,75.360001,8700,75.036981
2015-10-01,74.099998,74.800003,74.00,74.150002,17700,73.832169
2015-09-30,74.559998,74.610001,73.440002,74.610001,13100,74.290196
2015-09-29,74.75,75.139999,74.370003,74.830002,10900,74.509254
2015-09-28,72.800003,72.889999,72.050003,72.18,18900,71.870612
2015-09-25,73.739998,73.760002,72.93,73.550003,11900,73.234742
2015-09-24,74.300003,74.339996,72.68,73.089996,17600,72.776707
2015-09-23,74.720001,74.720001,74.029999,74.400002,6200,74.081097
2015-09-22,74.309998,75.00,74.309998,74.400002,5900,74.081097
2015-09-21,74.50,75.129997,74.32,74.669998,12000,74.349937
2015-09-18,75.25,75.949997,74.769997,75.110001,12500,74.788053
2015-09-17,75.629997,76.669998,75.480003,76.389999,17100,76.062565
2015-09-16,76.879997,77.440002,76.610001,77.440002,12500,77.108068
2015-09-15,78.269997,78.879997,78.080002,78.739998,14900,78.402491
2015-09-14,79.00,79.00,78.239998,78.529999,6200,78.193392
2015-09-11,78.440002,78.959999,78.440002,78.709999,2700,78.372621
2015-09-10,77.690002,78.300003,77.410004,78.279999,8800,77.944463
2015-09-09,79.550003,79.599998,78.620003,78.699997,6800,78.362661
2015-09-08,79.57,80.00,79.040001,79.730003,11000,79.388253
2015-09-04,77.00,78.68,77.00,77.989998,2900,77.655706
2015-09-03,77.839996,78.620003,77.43,77.589996,6300,77.257419
2015-09-02,78.019997,79.279999,77.980003,78.660004,13700,78.322839
2015-09-01,75.75,77.309998,75.510002,76.599998,21500,76.271664
2015-08-31,76.050003,76.760002,75.82,76.760002,7500,76.430982
2015-08-28,77.400002,77.519997,76.599998,76.629997,6000,76.301534
2015-08-27,76.400002,77.540001,76.400002,77.059998,10000,76.729692
2015-08-26,77.059998,77.059998,74.309998,74.93,31900,74.608824
2015-08-25,77.639999,77.760002,76.519997,76.519997,20600,76.192005
2015-08-24,71.50,74.699997,69.279999,74.00,38400,73.68281
2015-08-21,80.50,81.559998,79.739998,79.760002,7600,79.418123
2015-08-20,80.849998,81.629997,80.580002,80.989998,10100,80.642846
2015-08-19,81.379997,81.519997,81.110001,81.519997,8500,81.170574
2015-08-18,81.949997,82.790001,81.949997,82.400002,7700,81.678391
2015-08-17,82.50,82.50,81.300003,81.75,10400,81.034082
2015-08-14,83.290001,83.300003,82.830002,83.260002,5000,82.53086
2015-08-13,82.349998,83.559998,82.349998,83.199997,5500,82.47138
2015-08-12,81.769997,81.989998,81.160004,81.610001,8700,80.895308
2015-08-11,83.809998,83.809998,82.019997,82.300003,28400,81.579268
2015-08-10,85.459999,86.220001,84.75,84.919998,14500,84.176319
2015-08-07,85.440002,85.440002,84.059998,85.400002,21400,84.652118
2015-08-06,84.779999,86.00,84.779999,85.43,10500,84.681855
2015-08-05,84.07,84.400002,83.82,84.169998,5400,83.432887
2015-08-04,83.449997,83.660004,83.080002,83.489998,6700,82.758842
