Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,6.88,6.93,6.81,6.83,2000,6.83
2016-01-21,6.74,6.90,6.74,6.77,3000,6.77
2016-01-20,6.80,6.81,6.69,6.73,41900,6.73
2016-01-19,6.80,6.80,6.74,6.80,5800,6.80
2016-01-15,6.83,6.84,6.75,6.77,6300,6.77
2016-01-14,6.89,6.89,6.83,6.83,1800,6.83
2016-01-13,6.80,6.88,6.80,6.80,3400,6.80
2016-01-12,6.80,6.94,6.75,6.80,8400,6.80
2016-01-11,6.80,6.80,6.79,6.79,5200,6.79
2016-01-08,6.80,6.80,6.75,6.80,6900,6.80
2016-01-07,6.84,6.86,6.84,6.85,7500,6.85
2016-01-06,6.80,6.89,6.80,6.81,8500,6.81
2016-01-05,6.82,7.02,6.80,6.99,4000,6.99
2016-01-04,7.00,7.10,6.81,6.87,8100,6.87
2015-12-31,7.04,7.21,7.04,7.18,3300,7.18
2015-12-30,7.00,7.00,7.00,7.00,900,7.00
2015-12-29,6.83,6.95,6.83,6.95,7400,6.95
2015-12-28,6.98,7.07,6.97,7.03,4000,7.03
2015-12-24,7.19,7.19,6.93,6.93,300,6.93
2015-12-23,6.85,7.23,6.82,7.04,10600,7.04
2015-12-22,6.81,6.81,6.75,6.79,3000,6.79
2015-12-21,6.82,6.82,6.71,6.78,7300,6.78
2015-12-18,6.93,6.93,6.81,6.90,2600,6.90
2015-12-17,6.81,6.88,6.78,6.78,8100,6.78
2015-12-16,7.00,7.00,6.81,6.81,16300,6.81
2015-12-15,6.85,6.89,6.78,6.80,12600,6.80
2015-12-14,6.80,6.86,6.77,6.80,20300,6.80
2015-12-11,6.80,6.98,6.80,6.91,6800,6.91
2015-12-10,6.87,7.00,6.82,6.82,2600,6.82
2015-12-09,6.91,6.91,6.85,6.85,800,6.85
2015-12-08,6.81,6.85,6.78,6.80,10200,6.80
2015-12-07,6.80,6.87,6.78,6.80,16600,6.80
2015-12-04,6.82,6.94,6.80,6.93,5400,6.93
2015-12-03,6.81,6.88,6.71,6.78,22200,6.78
2015-12-02,6.80,7.24,6.78,6.95,19000,6.95
2015-12-01,6.95,6.96,6.80,6.80,18800,6.80
2015-11-30,6.82,6.84,6.80,6.84,4500,6.84
2015-11-27,6.86,6.87,6.83,6.83,1000,6.83
2015-11-25,6.88,6.93,6.79,6.80,18300,6.80
2015-11-24,6.88,6.90,6.88,6.88,2400,6.88
2015-11-23,6.82,6.92,6.82,6.88,4800,6.88
2015-11-20,6.81,6.93,6.81,6.93,4200,6.93
2015-11-19,6.75,6.80,6.71,6.77,10100,6.77
2015-11-18,6.76,6.80,6.67,6.67,10700,6.67
2015-11-17,6.70,6.84,6.70,6.84,1800,6.84
2015-11-16,6.80,6.80,6.65,6.67,2300,6.67
2015-11-13,6.60,6.60,6.36,6.48,16300,6.48
2015-11-12,6.55,6.70,6.50,6.63,23000,6.63
2015-11-11,6.51,6.51,6.51,6.51,400,6.51
2015-11-10,6.58,6.58,6.35,6.50,3500,6.50
2015-11-09,6.46,6.76,6.44,6.76,8600,6.76
2015-11-06,6.44,6.50,6.44,6.45,11200,6.45
2015-11-05,6.42,6.42,6.40,6.42,12800,6.42
2015-11-04,6.39,6.45,6.35,6.37,5200,6.37
2015-11-03,6.44,6.48,6.44,6.48,1000,6.46
2015-11-02,6.37,6.47,6.35,6.41,11700,6.390216
2015-10-30,6.40,6.47,6.36,6.47,5100,6.45003
2015-10-29,6.26,6.55,6.26,6.42,3200,6.400185
2015-10-28,6.34,6.67,6.25,6.48,18400,6.46
2015-10-27,6.43,6.43,6.25,6.27,8500,6.250648
2015-10-26,6.47,6.48,6.46,6.46,800,6.440062
2015-10-23,6.50,6.50,6.31,6.45,13200,6.430092
2015-10-22,6.60,6.60,6.35,6.43,1900,6.410154
2015-10-21,6.27,6.45,6.27,6.44,1400,6.420123
2015-10-20,6.31,6.34,6.25,6.26,502700,6.240679
2015-10-19,6.32,6.60,6.32,6.43,12800,6.410154
2015-10-16,6.37,6.79,6.27,6.32,4100,6.300494
2015-10-15,6.35,6.64,6.33,6.40,3900,6.380247
2015-10-14,6.29,6.36,6.29,6.36,500,6.34037
2015-10-13,6.65,6.65,6.27,6.28,4800,6.260617
2015-10-12,6.52,6.53,6.35,6.46,10400,6.440062
