Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,22.48,22.549999,21.99,22.43,26800,22.43
2016-01-21,23.200001,23.799999,22.200001,22.42,30400,22.42
2016-01-20,22.129999,23.50,21.76,23.33,59100,23.33
2016-01-19,22.52,22.73,22.01,22.290001,28300,22.290001
2016-01-15,22.98,22.98,21.43,22.200001,36300,22.200001
2016-01-14,23.889999,24.299999,23.50,23.540001,37200,23.540001
2016-01-13,24.26,24.40,23.73,23.889999,25700,23.889999
2016-01-12,24.25,24.35,23.90,24.01,26600,24.01
2016-01-11,24.219999,24.34,23.90,24.15,21200,24.15
2016-01-08,24.02,24.40,23.85,24.00,27300,24.00
2016-01-07,24.17,24.51,23.59,23.90,36400,23.90
2016-01-06,23.91,24.700001,23.74,24.58,35700,24.58
2016-01-05,24.02,24.65,23.60,24.41,24400,24.41
2016-01-04,23.559999,24.57,23.459999,23.98,61100,23.98
2015-12-31,25.26,25.700001,24.700001,25.01,14600,25.01
2015-12-30,25.23,25.50,22.969999,25.26,8500,25.26
2015-12-29,24.969999,25.860001,24.90,25.629999,15000,25.629999
2015-12-28,24.799999,25.25,24.60,25.219999,14800,25.219999
2015-12-24,24.959999,25.129999,24.58,25.120001,9600,25.120001
2015-12-23,25.030001,25.23,24.58,24.92,18400,24.92
2015-12-22,24.90,25.10,24.59,25.09,13500,25.09
2015-12-21,25.280001,25.280001,24.84,24.959999,32500,24.959999
2015-12-18,25.10,25.35,24.940001,25.25,107300,25.25
2015-12-17,25.25,25.280001,24.809999,25.24,14700,25.24
2015-12-16,25.24,25.299999,25.09,25.25,20200,25.25
2015-12-15,24.700001,25.25,24.690001,25.15,20600,25.15
2015-12-14,24.66,25.299999,23.799999,24.85,38500,24.85
2015-12-11,24.700001,24.879999,24.639999,24.690001,31200,24.690001
2015-12-10,24.379999,25.08,21.90,25.059999,52600,25.059999
2015-12-09,25.51,25.67,25.290001,25.389999,27300,25.389999
2015-12-08,25.84,25.91,25.25,25.700001,33200,25.700001
2015-12-07,26.17,26.41,25.40,26.00,26600,26.00
2015-12-04,25.709999,26.25,25.60,26.23,31200,26.23
2015-12-03,27.01,27.01,25.389999,25.52,38600,25.52
2015-12-02,26.50,27.35,26.50,27.02,63000,27.02
2015-12-01,25.91,27.09,25.799999,26.57,81100,26.57
2015-11-30,26.030001,26.030001,25.709999,25.92,14700,25.92
2015-11-27,25.889999,26.139999,25.82,26.02,12600,26.02
2015-11-25,25.99,25.99,25.459999,25.93,20900,25.93
2015-11-24,25.50,26.00,25.469999,25.98,13100,25.98
2015-11-23,25.77,25.879999,25.35,25.790001,8800,25.790001
2015-11-20,25.389999,25.879999,25.25,25.790001,15300,25.790001
2015-11-19,25.709999,25.74,25.26,25.34,18000,25.34
2015-11-18,25.83,25.84,25.370001,25.690001,22500,25.690001
2015-11-17,25.50,25.67,25.43,25.50,26900,25.50
2015-11-16,25.42,25.50,25.08,25.49,21300,25.49
2015-11-13,25.219999,25.549999,24.90,25.360001,21900,25.360001
2015-11-12,25.219999,25.52,24.959999,25.25,8800,25.25
2015-11-11,25.34,25.50,25.32,25.370001,8400,25.370001
2015-11-10,25.25,25.549999,25.24,25.379999,12500,25.379999
2015-11-09,25.780001,25.780001,25.25,25.50,16500,25.50
2015-11-06,25.610001,25.799999,25.33,25.780001,20900,25.670001
