Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.51,16.950001,16.51,16.950001,700,16.950001
2016-01-21,17.16,17.16,16.24,16.469999,4200,16.469999
2016-01-20,17.299999,17.370001,17.16,17.190001,2800,17.190001
2016-01-19,17.40,17.83,17.26,17.65,2500,17.65
2016-01-15,17.43,17.969999,17.42,17.559999,2300,17.559999
2016-01-14,17.969999,17.969999,17.700001,17.91,2100,17.91
2016-01-13,18.190001,18.190001,17.90,17.969999,2000,17.969999
2016-01-12,18.200001,18.200001,18.10,18.10,1000,18.10
2016-01-11,18.00,18.49,17.959999,18.200001,4700,18.200001
2016-01-08,17.969999,18.50,17.969999,18.24,700,18.24
2016-01-07,18.00,18.00,18.00,18.00,100,18.00
2016-01-06,18.190001,18.200001,18.049999,18.049999,1500,18.049999
2016-01-05,18.35,18.48,18.200001,18.200001,27600,18.200001
2016-01-04,18.40,18.50,18.200001,18.25,19000,18.25
2015-12-31,18.25,18.35,18.059999,18.34,6200,18.34
2015-12-30,18.01,18.01,18.00,18.01,1400,18.01
2015-12-29,18.450001,18.450001,18.00,18.24,1800,18.24
2015-12-28,17.700001,18.50,17.700001,18.030001,4300,18.030001
2015-12-24,17.959999,17.959999,17.959999,17.959999,000,17.959999
2015-12-23,18.18,18.27,17.51,17.959999,1900,17.959999
2015-12-22,18.129999,18.129999,18.129999,18.129999,500,18.129999
2015-12-21,17.75,18.23,17.629999,18.08,14100,18.08
2015-12-18,18.030001,18.030001,17.33,17.73,354300,17.73
2015-12-17,17.99,17.99,17.99,17.99,200,17.99
2015-12-16,17.43,17.60,17.26,17.309999,1800,17.309999
2015-12-15,17.280001,17.50,17.26,17.26,3700,17.26
2015-12-14,17.459999,17.459999,17.459999,17.459999,000,17.459999
2015-12-11,17.27,17.49,17.27,17.459999,1000,17.459999
2015-12-10,17.35,17.35,17.35,17.35,000,17.35
2015-12-09,17.35,17.35,17.35,17.35,000,17.35
2015-12-08,17.50,17.59,17.35,17.35,3300,17.35
2015-12-07,17.620001,18.10,17.610001,17.65,7400,17.65
2015-12-04,17.40,17.40,17.40,17.40,000,17.40
2015-12-03,18.10,18.10,17.40,17.40,600,17.40
2015-12-02,18.24,18.24,18.24,18.24,500,18.24
2015-12-01,17.92,18.50,17.799999,18.26,3900,18.26
2015-11-30,17.280001,17.98,16.99,17.98,3500,17.98
2015-11-27,17.00,17.00,17.00,17.00,000,17.00
2015-11-25,15.76,17.18,15.76,17.00,5700,17.00
2015-11-24,16.33,16.639999,16.15,16.639999,3600,16.639999
2015-11-23,15.57,16.379999,15.57,15.89,6400,15.89
2015-11-20,15.87,15.87,15.87,15.87,100,15.87
2015-11-19,15.58,15.58,15.58,15.58,200,15.58
2015-11-18,15.86,15.89,15.58,15.58,1500,15.58
2015-11-17,16.049999,16.049999,15.87,15.88,4100,15.88
2015-11-16,16.35,16.35,15.97,16.209999,700,16.209999
2015-11-13,16.40,16.40,16.40,16.40,000,16.40
2015-11-12,16.40,16.40,16.40,16.40,000,16.40
2015-11-11,15.98,16.40,15.98,16.40,400,16.40
2015-11-10,16.98,17.00,16.219999,16.280001,3500,16.280001
2015-11-09,16.799999,16.799999,16.799999,16.799999,000,16.799999
2015-11-06,17.00,17.00,16.60,16.799999,4600,16.799999
2015-11-05,16.790001,16.99,16.790001,16.93,1300,16.93
2015-11-04,16.629999,16.719999,16.629999,16.719999,500,16.719999
2015-11-03,16.15,16.52,16.15,16.52,2500,16.482
2015-11-02,16.40,16.41,16.01,16.370001,1300,16.332346
2015-10-30,15.95,16.549999,15.95,16.09,1100,16.052989
2015-10-29,16.02,16.08,15.89,15.89,1200,15.853449
2015-10-28,16.40,16.40,15.64,16.00,5100,15.963196
2015-10-27,16.940001,16.940001,16.40,16.48,1400,16.442091
2015-10-26,16.299999,16.42,16.299999,16.41,1500,16.372253
2015-10-23,16.780001,16.780001,16.139999,16.360001,8700,16.322368
2015-10-22,16.73,16.85,16.73,16.73,800,16.691516
2015-10-21,16.969999,16.969999,16.969999,16.969999,300,16.930964
2015-10-20,16.99,16.99,16.66,16.780001,400,16.741402
2015-10-19,16.969999,16.99,16.65,16.99,1000,16.950918
2015-10-16,16.77,17.00,16.77,16.98,13400,16.940941
2015-10-15,16.959999,16.959999,16.889999,16.92,800,16.88108
2015-10-14,16.780001,16.780001,16.780001,16.780001,300,16.741402
2015-10-13,16.799999,17.00,16.77,16.77,1200,16.731425
2015-10-12,16.77,16.83,16.77,16.83,1400,16.791287
2015-10-09,16.84,16.950001,16.799999,16.889999,1300,16.851148
2015-10-08,17.10,17.16,17.10,17.16,500,17.120527
2015-10-07,16.84,17.02,16.84,16.879999,2300,16.841171
2015-10-06,17.24,17.25,17.18,17.18,800,17.140482
2015-10-05,17.01,17.24,16.780001,17.17,18300,17.130505
2015-10-02,17.02,17.25,17.00,17.01,4600,16.970873
2015-10-01,17.40,17.799999,17.15,17.23,8500,17.190366
2015-09-30,17.469999,17.469999,17.469999,17.469999,200,17.429814
2015-09-29,17.49,17.49,17.49,17.49,000,17.449768
2015-09-28,17.27,17.49,17.27,17.49,700,17.449768
2015-09-25,17.51,17.51,17.51,17.51,000,17.469723
2015-09-24,17.51,17.51,17.51,17.51,000,17.469723
2015-09-23,17.51,17.51,17.51,17.51,000,17.469723
2015-09-22,17.48,17.77,17.379999,17.51,2700,17.469723
2015-09-21,17.440001,17.48,17.27,17.42,1900,17.37993
2015-09-18,17.440001,17.469999,17.27,17.469999,3100,17.429814
2015-09-17,17.26,17.26,17.26,17.26,000,17.220298
2015-09-16,17.27,17.27,17.25,17.26,1500,17.220298
2015-09-15,17.280001,17.290001,17.280001,17.290001,300,17.250229
2015-09-14,17.42,17.42,17.42,17.42,000,17.37993
2015-09-11,17.25,17.42,17.25,17.42,500,17.37993
2015-09-10,17.27,17.50,17.25,17.440001,1400,17.399884
2015-09-09,17.26,17.26,17.26,17.26,300,17.220298
2015-09-08,17.309999,17.690001,17.299999,17.690001,1400,17.649309
2015-09-04,17.49,17.49,17.280001,17.450001,1600,17.409861
2015-09-03,17.790001,18.459999,17.610001,18.459999,600,18.417536
2015-09-02,17.49,18.09,17.49,17.530001,900,17.489677
2015-09-01,17.280001,17.49,17.25,17.49,2600,17.449768
2015-08-31,17.35,17.639999,17.35,17.639999,200,17.599423
2015-08-28,17.49,17.49,17.10,17.10,700,17.060666
2015-08-27,17.67,17.67,17.50,17.50,10900,17.459745
2015-08-26,17.190001,17.190001,17.190001,17.190001,700,17.150459
2015-08-25,17.00,17.16,16.76,17.01,7200,16.970873
2015-08-24,17.24,17.969999,17.23,17.24,1900,17.200343
2015-08-21,17.52,17.52,17.24,17.24,300,17.200343
