Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.35,16.50,16.200001,16.26,64500,16.26
2016-01-21,16.25,16.370001,16.129999,16.26,55500,16.26
2016-01-20,16.059999,16.379999,15.93,16.280001,71700,16.280001
2016-01-19,16.139999,16.33,16.139999,16.24,23600,16.24
2016-01-15,15.91,16.50,15.19,16.129999,56300,16.129999
2016-01-14,16.26,16.60,16.26,16.299999,30100,16.299999
2016-01-13,16.73,16.73,16.25,16.299999,46500,16.299999
2016-01-12,17.16,17.16,16.620001,16.700001,43800,16.700001
2016-01-11,16.25,17.059999,16.25,17.00,41200,17.00
2016-01-08,16.90,16.90,16.209999,16.24,42300,16.24
2016-01-07,16.870001,17.030001,16.870001,16.879999,36000,16.879999
2016-01-06,16.700001,17.08,16.700001,16.959999,39700,16.959999
2016-01-05,17.15,17.290001,16.90,16.98,41100,16.98
2016-01-04,17.209999,17.23,16.940001,17.049999,45600,17.049999
2015-12-31,17.77,17.77,17.379999,17.41,26500,17.41
2015-12-30,17.74,17.84,17.639999,17.73,13100,17.73
2015-12-29,17.049999,17.860001,16.99,17.73,56600,17.73
2015-12-28,16.92,17.049999,16.780001,16.950001,277400,16.950001
2015-12-24,17.030001,17.030001,16.879999,16.90,206600,16.90
2015-12-23,16.93,17.059999,16.860001,16.99,18200,16.99
2015-12-22,16.790001,16.969999,16.709999,16.969999,24400,16.969999
2015-12-21,16.73,16.940001,16.65,16.75,47300,16.75
2015-12-18,16.51,16.879999,16.51,16.76,133000,16.76
2015-12-17,17.09,17.10,16.50,16.51,44200,16.51
2015-12-16,17.030001,17.120001,16.690001,17.059999,27500,17.059999
2015-12-15,16.76,17.040001,16.719999,16.99,22200,16.99
2015-12-14,16.610001,16.90,16.50,16.66,24400,16.66
2015-12-11,16.889999,16.889999,16.15,16.52,47500,16.52
2015-12-10,17.16,17.34,17.10,17.110001,12400,17.110001
2015-12-09,17.23,17.33,16.969999,17.200001,17000,17.200001
2015-12-08,17.40,17.459999,17.27,17.33,15400,17.33
2015-12-07,17.889999,17.969999,17.450001,17.549999,36500,17.549999
2015-12-04,17.780001,18.049999,17.780001,17.98,17100,17.98
2015-12-03,17.959999,18.049999,17.75,17.780001,26300,17.780001
2015-12-02,17.92,18.08,17.879999,17.950001,18400,17.950001
2015-12-01,18.32,18.32,17.91,18.02,33300,17.96
2015-11-30,17.83,18.40,17.790001,18.25,179800,18.189234
2015-11-27,17.84,17.940001,17.74,17.82,10900,17.760666
2015-11-25,17.84,17.93,17.790001,17.84,27500,17.780599
2015-11-24,18.02,18.02,17.84,17.90,23200,17.840399
2015-11-23,18.08,18.110001,17.91,17.969999,15600,17.910166
2015-11-20,17.99,18.15,17.870001,18.00,28700,17.940067
2015-11-19,18.10,18.120001,17.889999,17.91,15600,17.850366
2015-11-18,18.059999,18.16,17.90,18.059999,30500,17.999866
2015-11-17,18.18,18.200001,17.889999,17.940001,31700,17.880267
2015-11-16,18.01,18.08,17.85,18.040001,30100,17.979934
2015-11-13,17.99,18.24,17.82,17.940001,27300,17.880267
2015-11-12,18.26,18.40,18.059999,18.08,15000,18.0198
2015-11-11,18.18,18.379999,18.17,18.280001,111400,18.219135
2015-11-10,18.02,18.17,17.940001,18.129999,11200,18.069633
2015-11-09,18.16,18.16,17.85,17.959999,25900,17.900199
2015-11-06,17.76,18.290001,17.25,18.27,20700,18.209168
2015-11-05,17.610001,17.780001,17.60,17.719999,32800,17.660998
2015-11-04,17.629999,17.76,17.57,17.60,23500,17.541399
2015-11-03,17.65,17.870001,17.58,17.66,16900,17.601198
2015-11-02,17.50,18.00,17.450001,17.76,19000,17.700866
2015-10-30,18.02,18.17,17.25,17.379999,40700,17.32213
2015-10-29,18.00,18.200001,17.93,17.959999,47300,17.900199
2015-10-28,17.73,18.24,17.700001,18.129999,51300,18.069633
2015-10-27,17.75,17.790001,17.50,17.620001,26000,17.561333
2015-10-26,17.85,17.92,17.709999,17.780001,40600,17.7208
2015-10-23,17.77,17.940001,17.459999,17.75,54100,17.690899
2015-10-22,16.99,17.76,16.59,17.60,105200,17.541399
2015-10-21,15.76,16.620001,15.76,16.379999,35100,16.32546
2015-10-20,16.66,16.75,16.59,16.59,43000,16.534762
2015-10-19,16.559999,16.83,16.559999,16.77,12100,16.714162
2015-10-16,16.450001,16.57,16.35,16.549999,20400,16.494894
2015-10-15,16.10,16.440001,15.99,16.42,32400,16.365327
2015-10-14,16.40,16.40,16.00,16.040001,14600,15.986594
2015-10-13,16.309999,16.450001,16.280001,16.34,25200,16.285594
2015-10-12,16.280001,16.42,15.78,16.299999,49400,16.245726
2015-10-09,16.379999,16.50,16.26,16.290001,45300,16.235761
2015-10-08,15.83,16.389999,15.77,16.33,100300,16.275627
2015-10-07,15.77,15.90,15.72,15.88,31300,15.827126
2015-10-06,16.10,16.10,15.75,15.76,39600,15.707525
2015-10-05,15.89,16.129999,15.77,16.02,28200,15.96666
2015-10-02,15.91,15.93,15.26,15.77,88700,15.717492
2015-10-01,16.059999,16.190001,15.96,16.040001,28800,15.986594
2015-09-30,16.01,16.360001,15.84,16.120001,43600,16.066327
2015-09-29,15.93,16.07,15.89,15.96,41200,15.906859
2015-09-28,16.139999,16.23,15.95,15.95,38200,15.896892
2015-09-25,16.42,16.42,16.15,16.15,37200,16.096226
2015-09-24,16.24,16.40,16.17,16.280001,40500,16.225794
2015-09-23,16.360001,16.540001,16.219999,16.35,14900,16.295561
2015-09-22,16.379999,16.549999,16.360001,16.389999,11200,16.335427
2015-09-21,16.459999,16.68,16.280001,16.50,15400,16.445061
2015-09-18,16.50,16.549999,16.139999,16.290001,118200,16.235761
2015-09-17,16.98,17.01,16.65,16.67,30300,16.614495
2015-09-16,17.00,17.00,16.85,16.91,29800,16.853696
2015-09-15,17.00,17.139999,16.93,16.99,67700,16.933429
2015-09-14,17.00,17.059999,16.780001,17.02,85200,16.96333
2015-09-11,16.75,16.969999,16.620001,16.91,19900,16.853696
2015-09-10,16.84,17.00,16.809999,16.90,22400,16.843729
2015-09-09,17.00,17.00,16.870001,16.940001,23400,16.883597
2015-09-08,17.049999,17.049999,16.530001,16.889999,62800,16.833762
2015-09-04,16.35,17.120001,15.75,17.049999,89900,16.993229
2015-09-03,16.91,16.92,16.66,16.67,15700,16.614495
2015-09-02,16.629999,16.99,16.629999,16.90,43900,16.843729
2015-09-01,16.73,16.91,16.40,16.530001,55400,16.415161
2015-08-31,17.24,17.280001,16.799999,17.00,41200,16.881895
2015-08-28,17.00,17.24,17.00,17.209999,35400,17.090435
2015-08-27,16.75,17.209999,16.74,16.959999,44800,16.842172
2015-08-26,16.889999,16.90,16.51,16.75,40000,16.633632
2015-08-25,16.709999,16.77,16.40,16.469999,47200,16.355577
2015-08-24,16.50,16.639999,16.110001,16.280001,74700,16.166898
2015-08-21,16.50,16.75,16.50,16.65,47000,16.534326
2015-08-20,16.49,16.549999,16.299999,16.50,26700,16.385369
2015-08-19,16.16,16.76,16.10,16.65,25000,16.534326
2015-08-18,16.33,16.43,16.200001,16.280001,20400,16.166898
2015-08-17,16.17,16.370001,16.17,16.34,11000,16.226481
2015-08-14,16.049999,16.27,16.049999,16.27,11500,16.156967
2015-08-13,16.23,16.23,16.040001,16.049999,11300,15.938494
2015-08-12,16.00,16.290001,16.00,16.190001,20700,16.077523
2015-08-11,15.99,16.110001,15.99,16.10,22200,15.988148
2015-08-10,16.01,16.110001,15.97,16.040001,33300,15.928566
2015-08-07,15.54,15.91,15.54,15.85,25800,15.739885
2015-08-06,15.88,15.88,15.67,15.68,9000,15.571066
2015-08-05,16.00,16.040001,15.91,15.93,7800,15.819329
2015-08-04,15.91,16.08,15.85,15.89,70400,15.779607
2015-08-03,16.059999,16.120001,15.80,15.82,9000,15.710093
2015-07-31,16.059999,16.139999,16.00,16.120001,22000,16.00801
2015-07-30,15.90,16.110001,15.90,16.09,38300,15.978217
2015-07-29,15.80,16.030001,15.42,16.00,28500,15.888843
2015-07-28,15.43,15.82,15.36,15.81,36000,15.700163
2015-07-27,15.40,15.59,15.37,15.52,11100,15.412178
2015-07-24,15.39,15.58,15.36,15.52,14900,15.412178
2015-07-23,15.30,15.85,15.30,15.46,18000,15.352594
2015-07-22,15.69,15.90,15.69,15.72,8500,15.610788
2015-07-21,15.59,15.94,15.59,15.67,16700,15.561135
2015-07-20,15.45,15.60,15.45,15.59,45400,15.481691
2015-07-17,15.50,15.56,15.31,15.46,39800,15.352594
2015-07-16,15.60,15.62,15.50,15.53,27100,15.422108
2015-07-15,15.54,15.64,15.54,15.56,16000,15.4519
2015-07-14,15.52,15.68,15.40,15.58,31700,15.47176
2015-07-13,15.51,15.55,15.36,15.47,14800,15.362525
2015-07-10,15.51,15.83,15.34,15.40,18700,15.293011
2015-07-09,15.55,15.55,15.25,15.34,27400,15.233428
2015-07-08,15.45,15.51,15.31,15.40,21300,15.293011
2015-07-07,15.76,15.85,15.44,15.54,13700,15.432038
2015-07-06,15.65,15.90,15.64,15.80,18100,15.690232
2015-07-02,15.99,16.01,15.65,15.91,31400,15.799468
2015-07-01,16.00,16.040001,15.84,15.94,16500,15.829259
2015-06-30,16.10,16.209999,15.87,15.87,29600,15.759746
2015-06-29,16.08,16.24,15.60,15.95,29000,15.83919
2015-06-26,15.78,16.200001,15.64,16.110001,174100,15.998079
2015-06-25,15.75,15.95,15.75,15.88,15500,15.769676
2015-06-24,15.59,15.86,15.53,15.75,124300,15.640579
2015-06-23,15.60,15.60,15.49,15.54,20000,15.432038
2015-06-22,15.30,15.70,15.30,15.69,23000,15.580996
2015-06-19,15.08,15.37,15.00,15.25,57500,15.144053
2015-06-18,15.29,15.29,15.08,15.12,36900,15.014956
2015-06-17,15.40,15.40,15.25,15.25,10000,15.144053
2015-06-16,15.20,15.41,15.15,15.40,16200,15.293011
2015-06-15,15.09,15.30,14.87,15.26,18200,15.153984
2015-06-12,15.18,15.30,14.95,15.20,23900,15.0944
2015-06-11,15.19,15.21,15.12,15.20,7400,15.0944
2015-06-10,15.11,15.30,15.10,15.12,29600,15.014956
2015-06-09,15.08,15.14,14.99,15.01,13100,14.905721
2015-06-08,15.12,15.18,15.06,15.12,17200,15.014956
