Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.08,18.120001,17.10,17.809999,23800,17.809999
2016-01-21,17.50,17.98,17.450001,17.52,25400,17.52
2016-01-20,16.969999,18.030001,16.889999,17.620001,42200,17.620001
2016-01-19,17.389999,17.629999,16.790001,17.049999,29600,17.049999
2016-01-15,17.26,18.700001,16.85,17.129999,33600,17.129999
2016-01-14,18.02,18.40,17.639999,17.76,17800,17.76
2016-01-13,18.24,18.620001,17.559999,17.90,27800,17.90
2016-01-12,18.57,18.57,17.790001,18.34,9200,18.34
2016-01-11,18.299999,18.49,17.93,18.450001,31500,18.450001
2016-01-08,18.889999,18.90,18.32,18.459999,31700,18.459999
2016-01-07,18.99,18.99,18.459999,18.700001,36200,18.700001
2016-01-06,19.57,19.799999,19.15,19.27,17900,19.27
2016-01-05,19.58,19.870001,19.42,19.74,20600,19.74
2016-01-04,19.51,19.51,18.26,19.469999,22000,19.469999
2015-12-31,19.77,20.18,19.51,19.90,36300,19.90
2015-12-30,19.299999,19.98,19.299999,19.84,13000,19.84
2015-12-29,19.76,20.42,19.66,20.24,13700,20.24
2015-12-28,19.709999,19.99,19.620001,19.76,15600,19.76
2015-12-24,19.969999,20.030001,19.389999,19.93,9500,19.93
2015-12-23,19.93,20.129999,19.82,20.129999,27600,20.129999
2015-12-22,20.68,20.84,19.90,20.00,65300,20.00
2015-12-21,20.469999,20.92,20.42,20.60,11900,20.60
2015-12-18,20.23,20.700001,19.91,20.549999,47800,20.549999
2015-12-17,20.85,20.85,20.139999,20.360001,22200,20.360001
2015-12-16,20.35,20.66,19.719999,20.629999,31200,20.629999
2015-12-15,20.549999,20.59,20.24,20.299999,33700,20.299999
2015-12-14,19.40,20.709999,19.40,20.620001,40500,20.620001
2015-12-11,20.040001,20.17,19.299999,19.940001,23100,19.940001
2015-12-10,20.34,20.549999,20.040001,20.299999,24400,20.299999
2015-12-09,20.93,20.93,18.780001,20.379999,36500,20.379999
2015-12-08,21.059999,21.209999,20.75,21.059999,20100,21.059999
2015-12-07,21.379999,22.18,20.959999,21.07,23500,21.07
2015-12-04,21.559999,22.370001,21.290001,21.58,48500,21.58
2015-12-03,21.75,22.08,21.469999,21.65,43400,21.65
2015-12-02,21.639999,22.059999,21.629999,21.75,57800,21.75
2015-12-01,21.17,21.799999,20.940001,21.540001,49300,21.540001
2015-11-30,20.59,21.360001,20.59,21.16,79300,21.16
2015-11-27,20.309999,20.76,20.280001,20.530001,25700,20.530001
2015-11-25,20.42,20.57,20.00,20.34,30600,20.34
2015-11-24,19.790001,20.790001,19.790001,20.559999,11100,20.559999
2015-11-23,19.84,20.110001,19.83,19.950001,37400,19.950001
2015-11-20,19.75,20.24,19.65,19.93,31000,19.93
2015-11-19,19.790001,19.950001,19.639999,19.77,196700,19.77
2015-11-18,20.139999,20.40,19.610001,19.809999,63200,19.809999
2015-11-17,20.540001,20.60,20.18,20.290001,26600,20.290001
2015-11-16,20.15,20.84,20.15,20.360001,29500,20.360001
2015-11-13,20.120001,20.360001,20.120001,20.25,11000,20.25
2015-11-12,20.67,20.67,20.24,20.24,36600,20.24
2015-11-11,21.280001,21.280001,20.629999,20.68,36000,20.68
2015-11-10,21.57,21.57,20.969999,21.17,24700,21.17
2015-11-09,21.24,21.52,20.950001,21.42,34800,21.42
2015-11-06,20.92,21.780001,20.790001,21.190001,41600,21.190001
2015-11-05,20.790001,21.40,20.43,20.75,28500,20.75
2015-11-04,20.77,21.360001,20.370001,20.809999,56200,20.809999
2015-11-03,20.40,20.959999,20.200001,20.719999,28900,20.719999
2015-11-02,19.92,20.559999,19.540001,20.51,48900,20.51
2015-10-30,20.15,20.469999,19.780001,19.780001,38700,19.780001
2015-10-29,19.959999,20.26,19.799999,20.049999,32900,20.049999
2015-10-28,19.83,20.280001,19.83,20.129999,25200,19.929999
2015-10-27,19.969999,20.02,19.700001,19.91,27400,19.712185
2015-10-26,19.85,20.08,19.59,19.99,33900,19.79139
2015-10-23,19.780001,19.91,19.450001,19.82,42800,19.623079
2015-10-22,19.66,19.709999,19.32,19.51,16200,19.31616
2015-10-21,18.459999,20.10,18.459999,19.549999,59100,19.355761
2015-10-20,19.82,19.879999,19.290001,19.40,42900,19.207252
2015-10-19,19.639999,20.07,19.379999,19.809999,35300,19.613178
2015-10-16,20.15,20.200001,19.879999,19.879999,36300,19.682483
2015-10-15,19.790001,20.26,19.76,20.049999,29500,19.850794
2015-10-14,20.41,20.43,19.77,19.77,32300,19.573577
2015-10-13,20.74,20.90,20.15,20.52,26700,20.316125
2015-10-12,20.67,20.99,19.26,20.799999,27900,20.593342
2015-10-09,20.77,20.92,20.51,20.84,19100,20.632946
2015-10-08,20.799999,21.34,17.219999,20.65,14100,20.444833
2015-10-07,20.40,20.950001,20.389999,20.85,41000,20.642846
2015-10-06,20.370001,20.43,19.98,20.190001,15500,19.989404
2015-10-05,19.950001,20.50,19.57,20.26,25300,20.058708
2015-10-02,19.780001,20.00,19.549999,19.91,50400,19.712185
2015-10-01,20.52,20.52,19.90,20.040001,42300,19.840895
2015-09-30,20.780001,20.780001,20.25,20.42,55700,20.217118
2015-09-29,20.66,20.75,20.299999,20.52,31400,20.316125
2015-09-28,20.90,21.10,20.65,20.66,29700,20.454734
2015-09-25,21.18,21.219999,20.66,20.92,47700,20.712151
2015-09-24,21.65,21.65,20.719999,20.780001,24300,20.573542
2015-09-23,21.93,22.02,21.629999,21.629999,34300,21.415096
2015-09-22,21.780001,22.200001,21.59,21.93,37300,21.712116
2015-09-21,20.780001,22.219999,20.780001,22.040001,28500,21.821024
2015-09-18,21.49,21.67,21.209999,21.65,40500,21.434897
2015-09-17,21.610001,21.91,21.57,21.67,19100,21.454699
2015-09-16,22.35,22.379999,21.540001,21.559999,19600,21.345791
2015-09-15,21.85,22.32,21.799999,22.219999,22600,21.999234
2015-09-14,21.98,22.10,21.60,21.77,207300,21.553706
2015-09-11,21.799999,21.959999,21.629999,21.90,24200,21.682414
2015-09-10,22.219999,22.290001,21.719999,21.790001,77300,21.573508
2015-09-09,22.42,22.639999,22.09,22.360001,26600,22.137844
2015-09-08,22.030001,22.68,21.940001,22.110001,37100,21.890328
2015-09-04,21.799999,22.110001,21.450001,21.74,27800,21.524003
2015-09-03,22.15,22.75,21.610001,21.809999,58000,21.593308
2015-09-02,21.559999,22.190001,21.32,22.049999,56200,21.830923
2015-09-01,20.66,22.059999,20.66,21.360001,71100,21.14778
2015-08-31,22.23,22.23,21.83,21.940001,27600,21.722017
2015-08-28,21.75,22.68,21.75,22.280001,31900,22.058639
2015-08-27,22.879999,22.879999,21.540001,21.84,60000,21.62301
2015-08-26,21.66,22.27,21.360001,22.040001,46800,21.821024
2015-08-25,22.120001,22.120001,21.120001,21.23,35100,21.01907
2015-08-24,21.82,22.34,20.65,21.68,50000,21.4646
2015-08-21,22.280001,22.700001,22.219999,22.24,63100,22.019036
2015-08-20,22.43,23.040001,22.25,22.58,32000,22.355658
2015-08-19,23.41,23.41,22.48,22.780001,46800,22.553671
2015-08-18,23.48,23.799999,23.049999,23.690001,61100,23.45463
