Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.19,13.19,13.05,13.05,600,13.05
2016-01-21,13.14,13.29,12.92,12.92,4100,12.92
2016-01-20,13.80,13.92,13.26,13.28,6700,13.28
2016-01-19,14.40,14.40,13.53,13.60,1400,13.60
2016-01-15,13.60,14.25,13.07,13.47,13100,13.47
2016-01-14,13.99,14.00,13.43,13.63,4100,13.63
2016-01-13,14.25,14.25,13.59,13.96,4700,13.96
2016-01-12,14.20,14.20,14.20,14.20,100,14.20
2016-01-11,14.15,14.21,14.15,14.17,3400,14.17
2016-01-08,13.65,14.39,13.40,14.07,4600,14.07
2016-01-07,13.65,13.97,13.65,13.69,9900,13.69
2016-01-06,14.60,14.98,14.41,14.41,4000,14.41
2016-01-05,14.55,14.80,14.45,14.45,4800,14.45
2016-01-04,14.91,14.92,14.33,14.37,4200,14.37
2015-12-31,14.79,15.00,14.38,14.92,4300,14.92
2015-12-30,15.00,15.59,14.01,14.15,5400,14.15
2015-12-29,14.10,14.35,13.95,14.05,4400,14.05
2015-12-28,14.31,14.31,13.96,14.01,3700,14.01
2015-12-24,14.30,14.33,14.10,14.10,1300,14.10
2015-12-23,14.38,14.51,14.01,14.01,6100,14.01
2015-12-22,14.37,15.42,14.21,14.70,5500,14.70
2015-12-21,14.59,14.70,14.04,14.05,3300,14.05
2015-12-18,13.20,15.27,13.20,14.51,42300,14.51
2015-12-17,13.17,13.55,13.01,13.36,19100,13.36
2015-12-16,13.21,13.32,13.20,13.29,6700,13.29
2015-12-15,13.33,13.33,13.20,13.30,11100,13.30
2015-12-14,13.03,13.25,13.03,13.20,5400,13.20
2015-12-11,13.28,13.35,13.02,13.02,10700,13.02
2015-12-10,13.31,13.35,13.30,13.34,7800,13.34
2015-12-09,13.28,13.41,13.28,13.35,4300,13.35
2015-12-08,13.30,13.54,13.30,13.30,6300,13.30
2015-12-07,13.64,13.64,13.21,13.31,8300,13.31
2015-12-04,13.60,13.60,13.60,13.60,000,13.60
2015-12-03,13.64,13.72,13.60,13.60,1700,13.60
2015-12-02,13.60,13.62,13.60,13.62,600,13.62
2015-12-01,13.61,13.61,13.50,13.50,1200,13.50
2015-11-30,13.51,13.88,13.47,13.53,2600,13.53
2015-11-27,13.48,13.48,13.48,13.48,500,13.48
2015-11-25,13.40,13.40,13.40,13.40,000,13.40
2015-11-24,13.41,13.41,13.40,13.40,600,13.40
2015-11-23,13.44,13.45,13.40,13.45,1600,13.45
2015-11-20,13.50,13.50,13.47,13.48,800,13.48
2015-11-19,13.46,13.46,13.30,13.45,2900,13.45
2015-11-18,13.31,13.50,13.31,13.45,7800,13.45
2015-11-17,13.15,13.45,13.15,13.45,300,13.45
2015-11-16,13.31,13.50,13.30,13.50,17700,13.50
2015-11-13,13.58,13.58,13.30,13.30,1600,13.30
2015-11-12,13.50,13.50,13.35,13.35,7400,13.35
2015-11-11,13.32,13.32,13.32,13.32,200,13.32
2015-11-10,13.41,13.41,13.07,13.08,2200,13.08
2015-11-09,13.30,13.34,13.18,13.18,3700,13.18
2015-11-06,13.20,13.30,13.20,13.30,2600,13.30
2015-11-05,13.40,13.40,13.40,13.40,000,13.40
2015-11-04,13.40,13.40,13.40,13.40,000,13.40
2015-11-03,13.25,13.40,13.25,13.40,1300,13.40
2015-11-02,13.23,13.23,13.23,13.23,100,13.23
2015-10-30,13.11,13.11,13.11,13.11,000,13.11
2015-10-29,13.12,13.34,13.10,13.11,13500,13.11
2015-10-28,13.25,13.25,13.09,13.09,600,13.02
2015-10-27,13.02,13.25,13.02,13.03,500,12.96032
2015-10-26,12.66,13.33,12.66,13.10,600,13.029947
2015-10-23,13.34,13.34,13.34,13.34,200,13.268663
2015-10-22,13.25,13.37,13.06,13.33,3900,13.258716
2015-10-21,12.75,13.30,12.55,13.25,29300,13.179144
2015-10-20,12.27,12.35,12.27,12.35,400,12.283957
2015-10-19,12.36,12.44,12.16,12.20,1300,12.134759
2015-10-16,12.41,12.41,12.41,12.41,000,12.343636
2015-10-15,12.25,12.41,12.03,12.41,1600,12.343636
2015-10-14,12.08,12.08,12.08,12.08,100,12.015401
2015-10-13,12.34,12.34,12.34,12.34,000,12.274011
2015-10-12,12.34,12.34,12.34,12.34,000,12.274011
2015-10-09,12.39,12.39,12.07,12.34,400,12.274011
2015-10-08,12.35,12.35,12.35,12.35,100,12.283957
2015-10-07,12.07,12.07,12.07,12.07,500,12.005454
2015-10-06,12.44,12.44,12.39,12.39,300,12.323743
2015-10-05,12.44,12.44,12.44,12.44,400,12.373475
2015-10-02,12.37,12.37,12.37,12.37,000,12.30385
2015-10-01,12.39,12.39,12.21,12.37,2200,12.30385
2015-09-30,12.41,12.41,12.10,12.38,1800,12.313797
2015-09-29,12.39,12.39,12.39,12.39,000,12.323743
2015-09-28,12.33,12.39,12.33,12.39,900,12.323743
2015-09-25,12.44,12.44,12.25,12.28,1100,12.214331
2015-09-24,12.19,12.43,12.16,12.23,700,12.164598
2015-09-23,12.28,12.28,12.27,12.28,1900,12.214331
2015-09-22,12.29,12.29,12.29,12.29,1000,12.224278
2015-09-21,12.22,12.29,12.22,12.29,800,12.224278
2015-09-18,12.46,12.48,11.98,11.98,23300,11.915935
2015-09-17,12.45,12.75,12.45,12.69,1400,12.622138
2015-09-16,12.73,12.73,12.25,12.25,8400,12.184492
2015-09-15,12.75,12.75,12.26,12.70,2400,12.632085
2015-09-14,12.50,12.75,12.20,12.74,5400,12.671871
2015-09-11,12.35,12.50,12.33,12.50,2300,12.433155
2015-09-10,12.18,12.39,12.08,12.34,2300,12.274011
2015-09-09,11.97,12.39,11.97,12.04,1900,11.975615
2015-09-08,12.39,12.39,12.12,12.28,1500,12.214331
2015-09-04,12.25,12.39,12.25,12.35,600,12.283957
2015-09-03,12.04,12.25,11.96,12.25,8300,12.184492
2015-09-02,12.20,12.49,12.09,12.11,2900,12.04524
2015-09-01,11.66,12.39,11.66,11.93,13600,11.866203
2015-08-31,12.00,12.23,12.00,12.20,12900,12.134759
2015-08-28,11.53,12.05,11.53,12.00,2000,11.935829
2015-08-27,11.90,12.05,11.75,12.05,5000,11.985561
2015-08-26,11.80,12.06,11.69,11.95,3900,11.886096
2015-08-25,11.73,11.90,11.73,11.89,2400,11.826417
2015-08-24,11.92,11.92,11.53,11.58,5500,11.518075
