Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,234.309998,237.339996,232.100006,236.789993,31800,236.789993
2016-01-21,232.660004,237.789993,231.300003,231.990005,22400,231.990005
2016-01-20,228.910004,236.179993,225.630005,231.570007,32700,231.570007
2016-01-19,229.839996,233.690002,223.619995,231.279999,24400,231.279999
2016-01-15,224.649994,228.240005,220.610001,227.279999,27700,227.279999
2016-01-14,231.00,234.470001,229.940002,231.070007,21200,231.070007
2016-01-13,238.729996,240.929993,228.570007,229.259995,22900,229.259995
2016-01-12,239.770004,240.00,233.610001,236.699997,33300,236.699997
2016-01-11,244.240005,244.240005,237.710007,238.520004,18700,238.520004
2016-01-08,244.889999,248.039993,242.429993,243.440002,27700,243.440002
2016-01-07,241.470001,248.00,241.470001,243.520004,19200,243.520004
2016-01-06,245.899994,248.460007,245.899994,248.009995,8600,248.009995
2016-01-05,250.169998,251.740005,248.50,250.119995,12600,250.119995
2016-01-04,255.339996,257.970001,245.850006,249.399994,34100,249.399994
2015-12-31,261.00,261.920013,257.790009,258.170013,23100,258.170013
2015-12-30,260.609985,264.980011,260.230011,261.079987,8900,261.079987
2015-12-29,261.00,263.579987,259.329987,262.690002,19400,262.690002
2015-12-28,258.299988,260.00,256.019989,258.410004,24900,258.410004
2015-12-24,256.600006,262.48999,256.25,260.00,15800,260.00
2015-12-23,257.00,260.179993,254.490005,258.970001,23400,258.970001
2015-12-22,250.970001,257.359985,250.970001,256.019989,24700,256.019989
2015-12-21,253.149994,256.829987,248.789993,252.880005,35300,252.880005
2015-12-18,250.00,257.98999,242.860001,252.910004,311600,252.910004
2015-12-17,252.00,254.309998,242.729996,245.320007,40700,245.320007
2015-12-16,241.800003,251.800003,240.220001,250.050003,42100,249.749998
2015-12-15,239.389999,243.520004,237.960007,240.460007,42700,240.171507
2015-12-14,233.190002,239.960007,231.029999,237.960007,29700,237.674507
2015-12-11,234.350006,235.130005,231.440002,233.50,41900,233.219851
2015-12-10,242.550003,242.550003,238.089996,239.869995,25100,239.582203
2015-12-09,246.00,248.669998,237.649994,243.550003,29800,243.257796
2015-12-08,249.389999,249.850006,243.309998,244.690002,19600,244.396428
2015-12-07,251.070007,254.880005,251.070007,252.600006,23900,252.296941
