Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,12.14,13.35,12.14,13.17,57600,13.17
2016-01-21,11.88,12.19,11.88,11.94,58600,11.94
2016-01-20,12.29,12.49,11.34,11.91,107700,11.91
2016-01-19,12.80,12.84,12.29,12.55,69700,12.55
2016-01-15,12.95,13.44,12.50,12.77,83200,12.77
2016-01-14,12.95,13.23,12.95,13.12,81200,13.12
2016-01-13,13.32,13.62,12.66,13.01,101000,13.01
2016-01-12,13.48,13.54,13.20,13.32,39800,13.32
2016-01-11,13.60,13.64,13.25,13.48,46200,13.48
2016-01-08,14.34,14.34,13.50,13.65,50000,13.65
2016-01-07,14.49,14.74,14.24,14.35,53000,14.35
2016-01-06,14.00,14.66,14.00,14.51,24800,14.51
2016-01-05,14.05,14.30,14.05,14.26,47600,14.26
2016-01-04,13.66,14.05,13.44,14.00,28100,14.00
2015-12-31,13.80,14.11,13.61,13.69,99500,13.69
2015-12-30,13.92,14.18,13.79,13.83,41600,13.83
2015-12-29,14.13,14.48,13.90,14.01,62300,14.01
2015-12-28,14.28,14.38,13.93,13.96,58400,13.96
2015-12-24,14.28,14.50,14.23,14.29,25500,14.29
2015-12-23,14.26,14.64,14.08,14.38,43500,14.38
2015-12-22,14.24,14.41,14.09,14.10,40000,14.10
2015-12-21,14.15,14.25,14.04,14.19,20800,14.19
2015-12-18,14.37,14.75,14.00,14.09,81100,14.09
2015-12-17,13.40,14.74,13.40,14.29,184300,14.29
2015-12-16,13.39,13.53,13.23,13.47,53700,13.47
2015-12-15,13.34,13.48,13.11,13.26,52400,13.26
2015-12-14,13.22,13.65,13.01,13.11,111000,13.11
2015-12-11,13.23,13.52,13.19,13.19,109600,13.19
2015-12-10,13.49,13.54,13.27,13.43,65800,13.43
2015-12-09,13.60,13.80,13.42,13.42,41000,13.42
2015-12-08,13.70,14.04,13.47,13.53,74400,13.53
2015-12-07,13.50,13.78,13.50,13.78,39500,13.78
2015-12-04,13.72,13.92,13.51,13.59,54800,13.59
2015-12-03,14.06,14.26,13.72,13.76,49800,13.76
2015-12-02,14.19,14.42,13.73,13.93,85000,13.93
2015-12-01,14.35,14.82,14.25,14.72,85100,14.33
2015-11-30,14.11,14.30,14.03,14.30,82100,13.921128
2015-11-27,14.02,14.23,14.01,14.20,26800,13.823777
2015-11-25,13.83,14.08,13.83,14.02,32100,13.648547
2015-11-24,14.00,14.18,13.77,13.90,50100,13.531725
2015-11-23,13.88,14.07,13.73,14.04,95100,13.629076
2015-11-20,13.50,13.89,13.46,13.75,84300,13.347564
2015-11-19,13.42,13.59,13.40,13.54,52400,13.14371
2015-11-18,13.65,13.66,13.40,13.48,98600,13.085466
2015-11-17,13.65,13.81,13.54,13.66,44800,13.260198
2015-11-16,13.51,13.83,13.51,13.71,47300,13.308735
2015-11-13,13.65,13.69,13.54,13.57,21500,13.172832
2015-11-12,13.80,13.94,13.57,13.62,72600,13.221369
2015-11-11,13.83,14.09,13.80,13.82,39600,13.415515
2015-11-10,13.66,13.94,13.66,13.79,33100,13.386393
2015-11-09,13.64,13.95,13.58,13.72,53200,13.318442
2015-11-06,13.54,13.85,13.54,13.81,40800,13.405808
2015-11-05,13.78,13.85,13.50,13.53,35600,13.134003
2015-11-04,13.75,13.76,13.53,13.76,39300,13.357271
2015-11-03,13.83,13.91,13.75,13.78,29700,13.376686
2015-11-02,13.79,13.99,13.65,13.96,71000,13.551418
2015-10-30,13.96,13.96,13.65,13.83,67600,13.425222
2015-10-29,13.96,14.21,13.81,13.91,49200,13.502881
2015-10-28,14.13,14.18,13.70,14.07,60300,13.658198
2015-10-27,14.30,14.30,14.00,14.05,40300,13.638784
2015-10-26,14.85,14.85,14.33,14.40,26700,13.978539
2015-10-23,14.59,15.22,14.47,14.80,72100,14.366833
2015-10-22,14.75,14.75,14.51,14.64,24200,14.211516
2015-10-21,14.68,14.86,14.59,14.68,19900,14.250345
2015-10-20,14.26,14.83,14.08,14.73,30600,14.298881
2015-10-19,14.19,14.29,14.15,14.28,18900,13.862051
2015-10-16,14.44,14.54,14.09,14.24,21000,13.823222
2015-10-15,14.10,14.92,14.01,14.36,39500,13.93971
2015-10-14,14.19,14.19,13.95,13.97,33700,13.561125
2015-10-13,14.42,14.67,14.13,14.24,50300,13.823222
2015-10-12,14.22,14.61,14.14,14.61,59900,14.182393
2015-10-09,14.54,14.64,14.20,14.39,23700,13.968833
2015-10-08,14.49,14.77,14.20,14.50,28400,14.075613
2015-10-07,14.65,14.77,14.38,14.47,30200,14.046491
2015-10-06,14.06,14.54,14.06,14.50,47300,14.075613
2015-10-05,13.98,14.21,13.71,14.18,30000,13.764979
2015-10-02,13.65,14.10,13.44,13.87,96800,13.464052
2015-10-01,13.88,13.88,13.57,13.67,28900,13.269905
2015-09-30,13.96,14.08,13.73,13.78,65900,13.376686
2015-09-29,14.03,14.23,13.60,13.78,104000,13.376686
2015-09-28,14.31,14.37,14.01,14.05,53500,13.638784
2015-09-25,14.90,14.91,14.37,14.44,28500,14.017368
2015-09-24,13.99,14.73,13.90,14.61,44700,14.182393
2015-09-23,14.04,14.15,14.04,14.10,29000,13.68732
2015-09-22,14.10,14.25,14.05,14.06,38800,13.648491
2015-09-21,14.35,14.38,14.07,14.13,31300,13.716442
