Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.62,13.62,13.50,13.55,13700,13.55
2016-01-21,13.49,13.53,13.40,13.51,26500,13.51
2016-01-20,13.52,13.52,13.15,13.46,42000,13.46
2016-01-19,13.55,13.78,13.48,13.52,14600,13.52
2016-01-15,13.42,13.50,13.34,13.46,26600,13.46
2016-01-14,13.50,13.63,13.46,13.50,20900,13.50
2016-01-13,13.61,13.79,13.43,13.49,134500,13.49
2016-01-12,13.61,13.66,13.47,13.52,48200,13.52
2016-01-11,13.80,13.80,13.49,13.52,28000,13.52
2016-01-08,13.70,13.84,13.70,13.80,28400,13.80
2016-01-07,13.65,13.69,13.56,13.68,12400,13.68
2016-01-06,13.44,13.73,13.44,13.69,10600,13.69
2016-01-05,13.70,13.70,13.49,13.53,17100,13.53
2016-01-04,13.88,13.88,13.45,13.65,22500,13.65
2015-12-31,13.89,13.96,13.88,13.96,5400,13.96
2015-12-30,14.00,14.00,13.85,13.89,16200,13.89
2015-12-29,13.95,13.99,13.91,13.97,19500,13.97
2015-12-28,13.95,13.97,13.86,13.92,14000,13.92
2015-12-24,13.88,14.00,13.82,13.95,11800,13.95
2015-12-23,13.86,13.95,13.74,13.87,11400,13.87
2015-12-22,13.76,13.90,13.66,13.80,15500,13.80
2015-12-21,13.73,13.78,13.67,13.75,27200,13.75
2015-12-18,13.75,13.84,13.68,13.71,53800,13.71
2015-12-17,13.80,13.80,13.66,13.78,11600,13.78
2015-12-16,13.65,13.92,13.58,13.80,25200,13.80
2015-12-15,13.49,13.70,13.44,13.62,16000,13.62
2015-12-14,13.50,13.60,13.31,13.47,19100,13.47
2015-12-11,13.40,13.61,13.05,13.60,19400,13.60
2015-12-10,13.44,13.50,13.25,13.47,31300,13.47
2015-12-09,13.59,13.60,13.25,13.30,22600,13.30
2015-12-08,13.40,13.64,13.04,13.61,42800,13.61
2015-12-07,13.55,13.57,13.10,13.45,13800,13.45
2015-12-04,13.72,13.73,13.52,13.59,5700,13.59
2015-12-03,13.64,13.75,13.60,13.73,23400,13.73
2015-12-02,13.62,13.72,13.38,13.68,32400,13.68
2015-12-01,13.42,13.75,13.27,13.71,24400,13.65
2015-11-30,13.37,13.61,13.23,13.54,19000,13.480744
2015-11-27,13.34,13.38,13.32,13.38,5400,13.321445
2015-11-25,13.28,13.31,13.00,13.27,7200,13.211926
2015-11-24,13.17,13.40,13.17,13.34,17500,13.28162
2015-11-23,13.23,13.24,13.12,13.24,11800,13.182057
2015-11-20,13.21,13.27,13.20,13.22,7800,13.162145
2015-11-19,13.00,13.25,13.00,13.20,21600,13.142232
2015-11-18,13.00,13.14,12.94,13.04,15100,12.982932
2015-11-17,12.96,13.04,12.91,13.04,13400,12.982932
2015-11-16,12.78,13.00,12.65,12.96,33100,12.903283
2015-11-13,12.65,12.80,12.65,12.77,37000,12.714114
2015-11-12,12.69,12.74,12.59,12.65,30500,12.594639
2015-11-11,13.02,13.02,12.66,12.76,10200,12.704158
2015-11-10,12.94,13.12,12.89,12.95,6500,12.893326
2015-11-09,13.14,13.19,12.85,13.01,11900,12.953064
2015-11-06,12.80,13.25,12.66,13.10,37300,13.04267
2015-11-05,12.75,12.81,12.67,12.80,49900,12.743983
2015-11-04,12.60,12.75,12.60,12.74,31500,12.684245
2015-11-03,12.55,12.62,12.55,12.59,357300,12.534902
2015-11-02,12.52,12.61,12.52,12.53,46700,12.475164
2015-10-30,12.61,12.61,12.48,12.55,56600,12.495077
2015-10-29,12.60,12.64,12.55,12.60,7500,12.544858
2015-10-28,12.62,12.67,12.58,12.61,14600,12.554814
2015-10-27,12.60,12.62,12.58,12.61,7300,12.554814
2015-10-26,12.60,12.68,12.59,12.62,6300,12.56477
2015-10-23,12.58,12.67,12.58,12.66,9400,12.604595
2015-10-22,12.64,12.67,12.60,12.60,10100,12.544858
2015-10-21,12.63,12.66,12.55,12.61,19900,12.554814
2015-10-20,12.64,12.66,12.61,12.62,14400,12.56477
2015-10-19,12.60,12.65,12.60,12.63,14200,12.574727
2015-10-16,12.54,12.65,12.50,12.61,26500,12.554814
2015-10-15,12.50,12.53,12.43,12.50,26400,12.445296
2015-10-14,12.47,12.52,12.46,12.50,33800,12.445296
2015-10-13,12.49,12.53,12.47,12.50,24900,12.445296
2015-10-12,12.54,12.54,12.50,12.50,12500,12.445296
2015-10-09,12.55,12.59,12.46,12.51,27600,12.455252
2015-10-08,12.29,12.60,12.29,12.53,81700,12.475164
2015-10-07,12.03,12.33,12.03,12.31,64700,12.256128
2015-10-06,12.02,12.14,11.97,12.05,28600,11.997265
2015-10-05,12.06,12.15,12.00,12.06,26300,12.007222
2015-10-02,11.98,12.09,11.97,12.07,23600,12.017177
2015-10-01,12.05,12.09,11.99,12.03,17100,11.977352
2015-09-30,12.12,12.12,11.99,12.09,34300,12.03709
2015-09-29,12.34,12.43,12.02,12.19,48200,12.136652
2015-09-28,12.35,12.40,12.01,12.36,15500,12.305908
2015-09-25,12.48,12.54,12.28,12.36,22300,12.305908
2015-09-24,12.40,12.50,12.15,12.42,17300,12.365646
2015-09-23,12.32,12.57,12.14,12.42,73800,12.365646
2015-09-22,12.26,12.27,12.17,12.20,15800,12.146608
2015-09-21,12.50,12.53,12.20,12.30,67000,12.246171
2015-09-18,12.04,12.60,11.99,12.60,152800,12.544858
2015-09-17,12.13,12.27,12.10,12.14,14900,12.086871
2015-09-16,12.21,12.26,12.12,12.17,7900,12.11674
2015-09-15,12.22,12.26,12.19,12.21,14500,12.156565
2015-09-14,12.25,12.29,12.14,12.17,21800,12.11674
2015-09-11,12.18,12.27,12.09,12.27,13500,12.216303
2015-09-10,12.11,12.22,12.10,12.14,10000,12.086871
2015-09-09,12.13,12.25,12.10,12.11,16500,12.057002
2015-09-08,12.30,12.30,12.06,12.10,21300,12.047047
2015-09-04,12.29,12.30,12.15,12.23,23500,12.176477
2015-09-03,12.16,12.26,12.02,12.24,17500,12.186433
2015-09-02,12.21,12.30,12.03,12.07,14300,12.017177
2015-09-01,12.15,12.28,12.07,12.18,22100,12.066959
2015-08-31,12.08,12.33,12.02,12.24,15100,12.126401
2015-08-28,11.97,12.12,11.89,12.06,20600,11.948073
2015-08-27,11.89,12.13,11.87,11.90,22000,11.789557
2015-08-26,12.00,12.02,11.80,11.88,35100,11.769743
2015-08-25,12.27,12.30,11.85,11.91,57400,11.799464
2015-08-24,12.25,12.25,11.61,12.12,53400,12.007515
2015-08-21,12.35,12.48,12.12,12.33,38700,12.215566
2015-08-20,12.44,12.56,12.32,12.38,87500,12.265102
2015-08-19,12.46,12.56,12.46,12.55,19400,12.433525
2015-08-18,12.54,12.54,12.50,12.50,7000,12.383988
2015-08-17,12.43,12.55,12.43,12.51,10500,12.393896
2015-08-14,12.46,12.54,12.46,12.50,13700,12.383988
2015-08-13,12.55,12.56,12.43,12.51,8800,12.393896
2015-08-12,12.55,12.55,12.34,12.53,24000,12.41371
2015-08-11,12.45,12.54,12.45,12.50,20200,12.383988
2015-08-10,12.56,12.56,12.44,12.52,24600,12.403803
2015-08-07,12.50,12.56,12.45,12.53,27200,12.41371
2015-08-06,12.41,12.52,12.41,12.50,18900,12.383988
2015-08-05,12.53,12.53,12.27,12.51,54900,12.393896
2015-08-04,12.50,12.55,12.46,12.46,14100,12.34436
2015-08-03,12.58,12.58,12.46,12.49,17900,12.374081
2015-07-31,12.44,12.58,12.43,12.43,24000,12.314638
2015-07-30,12.32,12.46,12.30,12.46,16600,12.34436
2015-07-29,12.37,12.40,12.30,12.33,26000,12.215566
2015-07-28,12.41,12.47,12.35,12.39,24100,12.27501
2015-07-27,12.55,12.55,12.34,12.43,18000,12.314638
2015-07-24,12.45,12.55,12.44,12.50,31900,12.383988
2015-07-23,12.45,12.52,12.42,12.44,43800,12.324545
2015-07-22,12.57,12.57,12.40,12.55,17400,12.433525
2015-07-21,12.57,12.58,12.50,12.50,23000,12.383988
2015-07-20,12.50,12.55,12.45,12.50,22300,12.383988
2015-07-17,12.57,12.58,12.45,12.58,9400,12.463246
2015-07-16,12.50,12.60,12.50,12.55,31800,12.433525
2015-07-15,12.43,12.59,12.43,12.52,15500,12.403803
2015-07-14,12.51,12.61,12.46,12.50,28300,12.383988
2015-07-13,12.61,12.69,12.55,12.56,21400,12.443432
2015-07-10,12.66,12.69,12.60,12.67,18400,12.552411
2015-07-09,12.68,12.70,12.60,12.65,11400,12.532596
2015-07-08,12.56,12.70,12.50,12.62,50800,12.502875
2015-07-07,12.75,12.75,12.50,12.62,30800,12.502875
2015-07-06,12.54,12.78,12.51,12.72,11700,12.601947
2015-07-02,12.65,12.75,12.54,12.56,25700,12.443432
2015-07-01,12.57,12.70,12.52,12.69,44900,12.572225
2015-06-30,12.51,12.68,12.45,12.46,104100,12.34436
2015-06-29,12.15,12.71,12.07,12.65,101400,12.532596
2015-06-26,12.15,12.37,12.07,12.30,1932400,12.185845
2015-06-25,12.12,12.25,12.03,12.08,59000,11.967886
2015-06-24,12.20,12.25,12.05,12.05,61100,11.938165
2015-06-23,11.89,12.25,11.75,12.17,82900,12.057051
2015-06-22,11.91,12.07,11.84,11.90,82100,11.789557
2015-06-19,11.87,11.98,11.80,11.91,91000,11.799464
2015-06-18,11.79,11.89,11.74,11.85,34200,11.740021
2015-06-17,11.76,11.86,11.73,11.80,53200,11.690485
2015-06-16,11.83,11.85,11.78,11.81,61400,11.700393
2015-06-15,11.75,11.85,11.59,11.81,47700,11.700393
2015-06-12,11.71,11.82,11.69,11.75,26900,11.640949
2015-06-11,11.67,11.73,11.59,11.73,25500,11.621134
2015-06-10,11.49,11.80,11.49,11.67,39900,11.561692
2015-06-09,11.56,11.66,11.50,11.50,39500,11.393269
2015-06-08,11.63,11.63,11.49,11.56,23900,11.452713
2015-06-05,11.57,11.72,11.57,11.58,29000,11.472527
2015-06-04,11.62,11.65,11.51,11.56,25800,11.452713
2015-06-03,11.68,11.80,11.59,11.61,64400,11.502248
2015-06-02,11.71,11.79,11.67,11.70,34200,11.53197
2015-06-01,11.65,11.77,11.60,11.73,30800,11.561539
2015-05-29,11.78,11.78,11.60,11.60,46600,11.433407
2015-05-28,11.77,11.99,11.76,11.83,28700,11.660103
2015-05-27,11.75,11.90,11.75,11.85,25500,11.679817
2015-05-26,11.93,11.94,11.75,11.81,35600,11.640391
2015-05-22,12.10,12.11,11.92,11.98,25000,11.807949
2015-05-21,12.06,12.17,12.05,12.10,48700,11.926226
2015-05-20,12.19,12.21,11.99,12.19,34100,12.014933
2015-05-19,12.12,12.25,12.12,12.18,22000,12.005077
2015-05-18,12.15,12.25,12.09,12.16,37200,11.985364
2015-05-15,12.20,12.20,12.07,12.11,31700,11.936082
2015-05-14,12.01,12.20,11.99,12.18,25400,12.005077
2015-05-13,11.79,12.05,11.75,11.93,27400,11.758668
2015-05-12,11.82,11.97,11.76,11.90,22900,11.729098
2015-05-11,11.81,12.02,11.81,11.89,27800,11.719242
2015-05-08,11.97,11.97,11.82,11.86,22600,11.689672
2015-05-07,11.87,11.97,11.84,11.86,22500,11.689672
2015-05-06,11.84,11.93,11.83,11.86,33600,11.689672
2015-05-05,11.90,11.99,11.77,11.96,150100,11.788236
2015-05-04,11.84,12.00,11.82,11.92,41600,11.748811
2015-05-01,11.93,12.00,11.85,11.86,35800,11.689672
2015-04-30,12.00,12.05,11.79,11.90,96800,11.729098
2015-04-29,12.07,12.10,12.06,12.06,15800,11.886801
2015-04-28,12.09,12.09,12.05,12.06,25800,11.886801
2015-04-27,11.98,12.13,11.98,12.03,55400,11.857231
2015-04-24,12.17,12.17,11.97,12.02,35000,11.847375
2015-04-23,12.06,12.17,11.88,12.02,58400,11.847375
2015-04-22,12.00,12.09,12.00,12.08,49500,11.906513
2015-04-21,12.10,12.10,12.00,12.05,21400,11.876944
2015-04-20,12.05,12.09,12.00,12.07,33300,11.896656
2015-04-17,12.07,12.08,12.00,12.01,47400,11.837519
2015-04-16,12.18,12.23,12.08,12.13,5500,11.955795
2015-04-15,12.05,12.24,12.05,12.17,13700,11.995221
2015-04-14,12.11,12.23,12.06,12.07,14000,11.896656
2015-04-13,12.23,12.24,12.08,12.14,15100,11.965652
2015-04-10,12.31,12.31,12.21,12.21,4800,12.034646
2015-04-09,12.30,12.30,12.09,12.25,11600,12.074072
2015-04-08,12.29,12.35,12.15,12.30,24400,12.123354
2015-04-07,12.42,12.43,12.20,12.27,25700,12.093785
2015-04-06,12.30,12.47,12.21,12.38,32400,12.202205
2015-04-02,12.50,12.66,12.40,12.41,50500,12.231774
2015-04-01,12.30,12.49,12.25,12.49,26700,12.310625
2015-03-31,12.37,12.40,12.22,12.35,20900,12.172636
2015-03-30,12.29,12.47,12.24,12.40,23500,12.221917
2015-03-27,12.31,12.39,12.14,12.26,25500,12.083928
2015-03-26,12.23,12.31,12.18,12.25,11400,12.074072
2015-03-25,12.30,12.47,12.19,12.26,33600,12.083928
2015-03-24,12.36,12.36,12.25,12.29,17300,12.113497
2015-03-23,12.12,12.27,12.00,12.24,26000,12.064215
