Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,27.00,27.00,26.35,26.540001,153100,26.540001
2016-01-21,26.780001,27.110001,26.60,26.77,74900,26.77
2016-01-20,26.950001,27.10,26.50,26.85,74800,26.85
2016-01-19,27.200001,27.389999,26.84,27.139999,44600,27.139999
2016-01-15,26.58,27.07,26.50,27.02,61300,27.02
2016-01-14,27.07,27.440001,26.92,27.129999,61700,27.129999
2016-01-13,27.10,27.24,26.60,26.799999,49100,26.799999
2016-01-12,27.620001,27.620001,26.91,27.129999,69000,27.129999
2016-01-11,27.120001,27.49,26.969999,27.24,55000,27.24
2016-01-08,26.91,28.459999,26.790001,26.90,43300,26.90
2016-01-07,26.51,26.950001,26.51,26.76,32300,26.76
2016-01-06,26.450001,27.049999,26.450001,26.84,35900,26.84
2016-01-05,26.98,27.40,26.57,26.719999,37800,26.719999
2016-01-04,27.620001,28.00,26.65,26.950001,66000,26.950001
2015-12-31,28.60,28.700001,27.950001,28.00,121900,28.00
2015-12-30,28.700001,28.82,28.370001,28.610001,20200,28.610001
2015-12-29,28.540001,29.040001,28.42,28.68,23600,28.68
2015-12-28,28.42,28.709999,27.85,28.43,46400,28.43
2015-12-24,28.01,28.629999,28.01,28.389999,50300,28.389999
2015-12-23,28.01,28.01,27.629999,27.84,22000,27.84
2015-12-22,27.66,28.139999,27.34,27.92,23200,27.92
2015-12-21,27.700001,27.99,27.209999,27.59,41400,27.59
2015-12-18,27.940001,28.040001,27.219999,27.59,91900,27.59
2015-12-17,27.99,28.18,27.76,28.02,33700,28.02
2015-12-16,28.450001,28.450001,27.68,27.889999,55900,27.889999
2015-12-15,27.290001,28.43,27.01,28.02,51500,28.02
2015-12-14,27.18,27.65,26.91,27.08,67100,27.08
2015-12-11,26.780001,27.25,26.780001,27.120001,64200,27.120001
2015-12-10,26.90,27.280001,26.90,27.209999,61800,27.209999
2015-12-09,26.540001,26.90,26.48,26.82,54600,26.82
2015-12-08,26.50,26.799999,26.379999,26.690001,51700,26.690001
2015-12-07,27.34,27.389999,26.690001,26.879999,24500,26.68
2015-12-04,27.01,27.40,26.92,27.32,16400,27.116727
2015-12-03,27.00,27.379999,26.860001,26.959999,161200,26.759405
2015-12-02,27.27,27.48,27.00,27.030001,34900,26.828885
2015-12-01,27.40,27.50,27.17,27.18,30100,26.977769
2015-11-30,27.540001,27.540001,27.15,27.27,57900,27.067099
2015-11-27,27.33,27.57,27.309999,27.540001,5900,27.335091
2015-11-25,27.290001,27.450001,27.190001,27.35,13100,27.146504
2015-11-24,27.00,27.49,26.75,27.469999,23500,27.26561
2015-11-23,26.85,27.08,26.85,27.040001,20000,26.838811
2015-11-20,26.90,26.98,26.84,26.860001,34400,26.66015
2015-11-19,26.90,26.959999,26.809999,26.85,31800,26.650224
2015-11-18,26.950001,26.959999,26.620001,26.90,22300,26.699852
2015-11-17,27.00,27.00,26.75,26.780001,21900,26.580745
2015-11-16,26.91,27.10,26.559999,26.879999,34600,26.68
2015-11-13,26.73,27.030001,26.59,26.620001,20500,26.421936
2015-11-12,27.00,27.59,26.84,26.92,31500,26.719703
2015-11-11,27.200001,27.67,27.18,27.190001,24100,26.987695
2015-11-10,26.85,27.49,26.85,27.27,34900,27.067099
2015-11-09,26.940001,27.120001,26.549999,26.93,24200,26.729629
