Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.69,9.83,9.64,9.71,4320200,9.71
2016-01-21,9.58,9.76,9.41,9.56,7381700,9.56
2016-01-20,9.51,9.70,9.32,9.61,7199500,9.61
2016-01-19,9.87,9.91,9.63,9.67,4590600,9.67
2016-01-15,9.74,9.88,9.62,9.78,4318200,9.78
2016-01-14,9.88,10.03,9.77,9.98,3148500,9.98
2016-01-13,10.15,10.21,9.76,9.82,3713200,9.82
2016-01-12,10.20,10.20,9.93,10.11,3432500,10.11
2016-01-11,10.07,10.14,9.94,10.08,3393500,10.08
2016-01-08,10.29,10.33,9.99,10.03,3595500,10.03
2016-01-07,10.45,10.50,10.18,10.18,8925600,10.18
2016-01-06,10.59,10.70,10.52,10.56,4864200,10.56
2016-01-05,10.74,10.81,10.61,10.73,5478700,10.73
2016-01-04,10.71,10.78,10.62,10.74,4306300,10.74
2015-12-31,10.89,11.00,10.83,10.85,1984700,10.85
2015-12-30,10.99,11.04,10.92,10.92,1657200,10.92
2015-12-29,11.00,11.06,10.93,11.03,1972200,11.03
2015-12-28,10.92,10.97,10.78,10.96,1557400,10.96
2015-12-24,10.90,10.99,10.89,10.95,917400,10.95
2015-12-23,10.73,10.92,10.69,10.92,2241400,10.92
2015-12-22,10.62,10.71,10.50,10.69,2163200,10.69
2015-12-21,10.53,10.61,10.42,10.59,2834600,10.59
2015-12-18,10.64,10.71,10.45,10.45,5974000,10.45
2015-12-17,10.90,10.96,10.71,10.71,4344200,10.71
2015-12-16,10.74,10.94,10.65,10.89,4036600,10.89
2015-12-15,10.52,10.77,10.50,10.68,8049500,10.68
2015-12-14,10.51,10.61,10.30,10.45,6522200,10.45
2015-12-11,10.61,10.65,10.47,10.52,2882600,10.52
2015-12-10,10.58,10.90,10.58,10.73,3901200,10.73
2015-12-09,10.71,10.80,10.52,10.61,3437800,10.61
2015-12-08,10.77,10.82,10.68,10.75,2803200,10.75
2015-12-07,10.94,10.97,10.78,10.83,2812700,10.83
2015-12-04,10.76,10.99,10.70,10.97,3990100,10.97
2015-12-03,10.89,10.91,10.72,10.73,2322000,10.73
2015-12-02,10.91,10.97,10.79,10.82,4798200,10.82
2015-12-01,10.80,10.94,10.76,10.93,2518800,10.93
2015-11-30,10.78,10.81,10.69,10.78,3189400,10.78
2015-11-27,10.77,10.80,10.70,10.77,927100,10.77
2015-11-25,10.71,10.79,10.69,10.75,2276600,10.75
2015-11-24,10.65,10.73,10.57,10.70,3848300,10.70
2015-11-23,10.69,10.82,10.68,10.70,3684400,10.70
2015-11-20,10.71,10.76,10.63,10.69,3092700,10.69
2015-11-19,10.71,10.74,10.64,10.71,3107700,10.71
2015-11-18,10.53,10.75,10.47,10.73,3511900,10.73
2015-11-17,10.59,10.67,10.47,10.50,4635500,10.50
2015-11-16,10.42,10.60,10.39,10.60,2354100,10.60
2015-11-13,10.54,10.60,10.39,10.47,6020600,10.47
2015-11-12,10.69,10.72,10.54,10.56,12333300,10.56
2015-11-11,10.94,10.95,10.74,10.77,7891000,10.77
2015-11-10,10.83,10.93,10.78,10.88,3026300,10.88
2015-11-09,10.98,10.98,10.77,10.88,4590100,10.88
2015-11-06,10.88,11.07,10.88,10.98,8256300,10.98
2015-11-05,10.61,10.79,10.61,10.76,4816300,10.76
2015-11-04,10.56,10.65,10.52,10.62,10462200,10.62
2015-11-03,10.46,10.61,10.45,10.58,8084400,10.58
2015-11-02,10.38,10.59,10.38,10.54,30648200,10.46
2015-10-30,10.50,10.55,10.31,10.35,72209400,10.271443
2015-10-29,10.50,11.22,10.25,10.38,11393100,10.301215
2015-10-28,10.53,10.84,10.49,10.84,4105500,10.757723
2015-10-27,10.51,10.82,10.49,10.50,3913600,10.420304
2015-10-26,10.26,10.72,10.26,10.59,3683800,10.509621
2015-10-23,10.75,10.81,10.50,10.64,3512700,10.559242
2015-10-22,10.45,10.65,10.45,10.56,2355300,10.479849
2015-10-21,10.58,10.62,10.36,10.38,1621100,10.301215
2015-10-20,10.52,10.64,10.49,10.59,993300,10.509621
2015-10-19,10.49,10.61,10.49,10.52,1371200,10.440152
2015-10-16,10.53,10.62,10.48,10.57,1617200,10.489772
2015-10-15,10.43,10.54,10.25,10.52,1544200,10.440152
2015-10-14,10.55,10.57,10.29,10.33,1940400,10.251594
2015-10-13,10.58,10.73,10.53,10.58,1934000,10.499697
2015-10-12,10.46,10.68,10.41,10.67,1875900,10.589014
2015-10-09,10.68,10.69,10.33,10.43,4954800,10.350835
2015-10-08,10.72,10.82,10.66,10.69,2498400,10.608861
2015-10-07,10.68,10.79,10.62,10.78,2538500,10.698178
2015-10-06,10.61,10.72,10.47,10.65,3412400,10.569165
2015-10-05,10.50,10.62,10.46,10.55,2996000,10.469924
2015-10-02,10.19,10.43,10.07,10.43,3681300,10.350835
2015-10-01,10.32,10.50,10.20,10.47,6325100,10.390532
2015-09-30,10.15,10.28,10.07,10.21,5527600,10.132505
2015-09-29,10.25,10.31,10.09,10.10,4026200,10.02334
2015-09-28,10.44,10.44,10.18,10.22,3621500,10.142429
2015-09-25,10.50,10.57,10.30,10.37,8257900,10.29129
2015-09-24,10.20,10.36,10.05,10.32,10047900,10.24167
2015-09-23,9.93,10.45,9.90,10.26,20627100,10.182126
2015-09-22,8.95,9.07,8.91,8.96,1892700,8.891993
2015-09-21,9.04,9.19,9.04,9.10,1270000,9.03093
2015-09-18,8.97,9.10,8.90,8.96,4078100,8.891993
2015-09-17,9.38,9.44,9.09,9.11,2184400,9.040854
2015-09-16,9.31,9.39,9.22,9.37,2314000,9.298881
2015-09-15,9.25,9.40,9.20,9.38,1721800,9.308805
2015-09-14,9.47,9.47,9.21,9.26,1586400,9.189716
2015-09-11,9.18,9.32,9.12,9.27,1321500,9.19964
2015-09-10,9.25,9.39,9.18,9.26,1716000,9.189716
2015-09-09,9.39,9.40,9.20,9.21,1264200,9.140095
2015-09-08,9.24,9.29,9.03,9.29,1454200,9.219488
2015-09-04,9.01,9.11,8.96,9.06,1455900,8.991234
2015-09-03,8.95,9.20,8.94,9.09,2500800,9.021006
2015-09-02,8.97,8.99,8.79,8.95,3284900,8.882068
2015-09-01,9.02,9.12,8.81,8.84,3094400,8.772904
2015-08-31,9.10,9.28,9.03,9.25,2056800,9.179791
2015-08-28,9.06,9.20,9.04,9.15,2052800,9.08055
2015-08-27,8.91,9.12,8.89,9.12,3587900,9.050778
2015-08-26,8.71,8.88,8.54,8.85,4179800,8.782828
2015-08-25,9.03,9.14,8.57,8.57,3645500,8.504952
2015-08-24,8.74,9.06,8.56,8.75,4062800,8.683586
2015-08-21,9.24,9.34,9.15,9.23,2651500,9.159943
2015-08-20,9.56,9.56,9.33,9.35,2333000,9.279033
2015-08-19,9.71,9.77,9.60,9.62,1511600,9.546983
2015-08-18,9.74,9.89,9.71,9.79,1790300,9.715693
2015-08-17,9.49,9.80,9.49,9.72,1962700,9.646224
2015-08-14,9.39,9.73,9.36,9.72,1193300,9.646224
2015-08-13,9.30,9.61,9.30,9.60,1722000,9.527135
2015-08-12,9.68,9.75,9.41,9.50,2868600,9.427894
2015-08-11,9.81,9.84,9.70,9.76,1831300,9.685921
2015-08-10,9.80,9.95,9.75,9.91,1528800,9.834782
2015-08-07,9.85,9.91,9.66,9.75,1551600,9.675996
2015-08-06,9.69,9.94,9.69,9.84,2127900,9.765313
2015-08-05,9.77,9.95,9.75,9.88,2854800,9.80501
2015-08-04,9.74,9.87,9.71,9.73,1832400,9.656148
