Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,23.860001,24.10,23.860001,24.10,600,24.10
2016-01-21,24.59,24.59,23.549999,23.549999,800,23.549999
2016-01-20,23.610001,23.610001,23.610001,23.610001,200,23.610001
2016-01-19,24.209999,24.209999,23.73,24.10,2000,24.10
2016-01-15,25.290001,25.290001,24.41,24.41,900,24.41
2016-01-14,26.23,26.23,26.23,26.23,1000,25.889999
2016-01-13,27.709999,27.709999,26.23,26.23,800,25.889999
2016-01-12,26.200001,26.200001,26.18,26.18,600,25.840648
2016-01-11,26.52,26.52,26.52,26.52,000,26.176241
2016-01-08,26.52,26.52,26.52,26.52,000,26.176241
2016-01-07,26.34,27.00,26.33,26.52,800,26.176241
2016-01-06,27.889999,27.889999,27.889999,27.889999,000,27.528481
2016-01-05,27.889999,27.889999,27.75,27.889999,6000,27.528481
2016-01-04,26.299999,26.299999,26.299999,26.299999,000,25.959091
2015-12-31,27.190001,27.190001,26.299999,26.299999,400,25.959091
2015-12-30,26.83,26.83,26.40,26.42,600,26.077537
2015-12-29,26.200001,26.200001,26.200001,26.200001,200,25.860389
2015-12-28,26.92,26.92,26.92,26.92,200,26.571055
2015-12-24,26.10,26.10,26.10,26.10,200,25.761685
2015-12-23,26.00,26.00,25.40,25.90,1000,25.564277
2015-12-22,25.889999,26.389999,25.68,25.68,500,25.347129
2015-12-21,26.209999,26.209999,26.209999,26.209999,400,25.870258
2015-12-18,26.08,26.33,26.08,26.33,400,25.988703
2015-12-17,26.40,26.450001,26.40,26.450001,400,26.107148
2015-12-16,26.040001,26.040001,25.60,25.60,600,25.268166
2015-12-15,26.540001,26.540001,26.02,26.16,500,25.820907
2015-12-14,25.52,26.01,25.52,26.01,500,25.672851
2015-12-11,25.41,25.799999,25.41,25.799999,600,25.465572
2015-12-10,25.290001,25.290001,25.290001,25.290001,300,24.962185
2015-12-09,26.450001,26.610001,26.200001,26.610001,800,26.265074
2015-12-08,26.42,26.790001,26.42,26.790001,800,26.442741
2015-12-07,26.92,27.40,26.92,27.40,800,27.044833
2015-12-04,27.75,27.889999,27.75,27.889999,6800,27.528481
2015-12-03,28.129999,28.129999,27.620001,27.620001,700,27.261983
2015-12-02,27.82,27.85,27.82,27.85,300,27.489001
2015-12-01,28.440001,28.440001,28.16,28.16,500,27.794982
2015-11-30,27.959999,27.959999,27.959999,27.959999,300,27.597574
2015-11-27,28.059999,28.059999,28.059999,28.059999,000,27.696278
2015-11-25,28.059999,28.059999,28.059999,28.059999,400,27.696278
2015-11-24,28.08,28.190001,28.08,28.190001,700,27.824594
2015-11-23,28.280001,28.280001,28.280001,28.280001,300,27.913427
2015-11-20,27.68,28.50,27.68,28.50,600,28.130575
2015-11-19,28.75,28.76,28.32,28.32,800,27.952908
2015-11-18,28.639999,29.52,28.26,29.52,500,29.137354
2015-11-17,28.389999,28.389999,28.030001,28.15,800,27.785111
2015-11-16,28.00,28.32,28.00,28.32,600,27.952908
2015-11-13,27.860001,28.290001,27.860001,27.889999,600,27.528481
2015-11-12,28.77,28.91,27.219999,27.73,600,27.370555
2015-11-11,28.42,28.58,27.66,28.200001,1400,27.834464
2015-11-10,27.60,27.60,27.559999,27.559999,400,27.202759
2015-11-09,27.110001,27.110001,27.02,27.02,500,26.66976
2015-11-06,28.50,28.50,28.50,28.50,000,28.130575
2015-11-05,28.35,28.50,28.35,28.50,1100,28.130575
2015-11-04,30.209999,30.209999,30.209999,30.209999,300,29.818409
2015-11-03,28.799999,28.799999,28.799999,28.799999,000,28.426686
2015-11-02,28.799999,28.799999,28.799999,28.799999,000,28.426686
2015-10-30,29.00,29.00,28.799999,28.799999,800,28.426686
2015-10-29,28.76,29.00,28.76,29.00,500,28.624094
2015-10-28,29.24,29.24,29.24,29.24,500,28.860983
2015-10-27,29.35,29.35,29.00,29.00,300,28.624094
2015-10-26,30.24,30.24,30.24,30.24,000,29.84802
2015-10-23,30.50,31.00,29.629999,30.24,4300,29.84802
2015-10-22,29.65,29.65,29.08,29.52,1600,29.137354
2015-10-21,29.58,29.58,29.58,29.58,000,29.196576
2015-10-20,29.58,29.58,29.58,29.58,400,29.196576
2015-10-19,28.82,29.00,28.82,29.00,500,28.624094
2015-10-16,29.24,29.309999,29.24,29.309999,400,28.930075
2015-10-15,29.219999,29.219999,29.219999,29.219999,300,28.841241
2015-10-14,28.959999,28.959999,28.959999,28.959999,000,28.584611
2015-10-13,28.90,29.16,28.90,28.959999,3000,28.584611
2015-10-12,29.780001,29.780001,29.780001,29.780001,000,29.393984
2015-10-09,29.780001,29.780001,29.780001,29.780001,300,29.393984
2015-10-08,29.120001,29.120001,29.120001,29.120001,000,28.742539
2015-10-07,29.120001,29.120001,29.120001,29.120001,200,28.742539
2015-10-06,27.90,27.90,27.90,27.90,000,27.538352
2015-10-05,27.709999,27.90,27.709999,27.90,1100,27.538352
2015-10-02,27.35,27.35,27.35,27.35,200,26.995482
