Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,8.40,8.40,8.40,8.40,000,8.40
2016-01-21,8.40,8.40,8.40,8.40,000,8.40
2016-01-20,8.74,8.75,8.40,8.40,10600,8.40
2016-01-19,8.75,8.75,8.63,8.75,1000,8.75
2016-01-15,8.38,8.70,8.38,8.43,6200,8.43
2016-01-14,8.50,8.51,8.50,8.51,800,8.51
2016-01-13,8.50,8.50,8.49,8.50,4100,8.50
2016-01-12,8.50,8.51,8.45,8.50,17000,8.50
2016-01-11,8.36,8.51,8.36,8.39,2100,8.39
2016-01-08,8.45,8.53,8.45,8.45,3500,8.45
2016-01-07,8.45,8.54,8.45,8.49,2100,8.49
2016-01-06,8.51,8.56,8.45,8.56,2700,8.56
2016-01-05,8.22,8.53,8.20,8.49,4300,8.49
2016-01-04,8.45,8.50,8.30,8.40,13000,8.40
2015-12-31,8.57,8.57,8.40,8.55,2100,8.55
2015-12-30,8.50,8.55,8.50,8.55,2700,8.55
2015-12-29,8.50,8.50,8.50,8.50,7400,8.50
2015-12-28,8.50,8.64,8.50,8.50,4700,8.50
2015-12-24,8.50,8.52,8.50,8.52,2000,8.52
2015-12-23,8.55,8.59,8.50,8.57,800,8.57
2015-12-22,8.50,8.50,8.50,8.50,000,8.50
2015-12-21,8.50,8.50,8.50,8.50,1500,8.50
2015-12-18,8.52,8.65,8.50,8.65,4800,8.65
2015-12-17,8.50,8.64,8.50,8.50,700,8.50
2015-12-16,8.50,8.65,8.50,8.50,1900,8.50
2015-12-15,8.50,8.51,8.50,8.51,4400,8.51
2015-12-14,8.50,8.50,8.50,8.50,4800,8.50
2015-12-11,8.52,8.52,8.50,8.51,4400,8.51
2015-12-10,8.69,8.69,8.69,8.69,300,8.69
2015-12-09,8.50,8.58,8.50,8.58,900,8.58
2015-12-08,8.73,8.73,8.73,8.73,000,8.73
2015-12-07,8.76,8.76,8.58,8.73,900,8.73
2015-12-04,8.43,8.76,8.43,8.76,10600,8.76
2015-12-03,8.51,8.51,8.50,8.51,700,8.51
2015-12-02,8.47,8.54,8.44,8.45,2600,8.45
2015-12-01,8.74,8.74,8.50,8.53,2100,8.53
2015-11-30,8.50,8.84,8.50,8.70,900,8.70
2015-11-27,8.70,8.70,8.70,8.70,300,8.70
2015-11-25,8.66,8.82,8.51,8.51,4000,8.51
2015-11-24,8.51,8.77,8.50,8.65,1600,8.65
2015-11-23,8.50,8.50,8.50,8.50,700,8.50
2015-11-20,8.50,8.50,8.50,8.50,100,8.50
2015-11-19,8.94,8.94,8.50,8.59,1900,8.59
2015-11-18,9.00,9.00,8.50,8.84,2600,8.84
2015-11-17,8.97,8.97,8.54,8.95,800,8.95
2015-11-16,8.50,8.79,8.48,8.54,7300,8.54
2015-11-13,8.43,8.73,8.12,8.73,9700,8.73
2015-11-12,8.63,8.71,8.38,8.55,25300,8.55
2015-11-11,8.61,8.70,8.61,8.70,1400,8.70
2015-11-10,9.00,9.00,8.66,8.66,1200,8.66
2015-11-09,8.61,8.89,8.61,8.89,5100,8.89
2015-11-06,8.50,9.59,8.49,9.55,7800,9.55
2015-11-05,8.40,8.50,8.40,8.50,1800,8.50
2015-11-04,8.29,8.45,8.27,8.45,4900,8.45
2015-11-03,8.10,8.25,8.10,8.25,6100,8.225
2015-11-02,8.00,8.12,8.00,8.12,4100,8.095394
2015-10-30,8.05,8.12,8.01,8.01,4600,7.985728
2015-10-29,8.05,8.15,8.05,8.09,700,8.065485
2015-10-28,8.09,8.15,8.02,8.15,5800,8.125303
2015-10-27,7.95,8.13,7.90,8.00,12200,7.975758
2015-10-26,8.12,8.14,8.00,8.00,15200,7.975758
2015-10-23,8.04,8.04,8.04,8.04,300,8.015636
2015-10-22,8.00,8.05,7.99,8.05,5600,8.025606
2015-10-21,8.01,8.01,8.00,8.00,2000,7.975758
2015-10-20,7.94,8.12,7.94,8.01,4700,7.985728
2015-10-19,7.90,7.90,7.86,7.86,900,7.836182
2015-10-16,7.88,8.12,7.88,7.90,3400,7.876061
2015-10-15,7.78,8.00,7.76,8.00,5000,7.975758
2015-10-14,7.98,7.98,7.98,7.98,000,7.955818
2015-10-13,7.95,8.00,7.82,7.98,10100,7.955818
2015-10-12,7.79,7.79,7.77,7.77,900,7.746455
2015-10-09,7.98,7.98,7.95,7.95,300,7.925909
2015-10-08,8.00,8.00,8.00,8.00,800,7.975758
2015-10-07,7.96,7.96,7.75,7.81,4200,7.786333
2015-10-06,7.90,7.97,7.76,7.95,1600,7.925909
2015-10-05,8.00,8.00,7.73,7.90,2200,7.876061
2015-10-02,7.74,7.91,7.72,7.90,4400,7.876061
2015-10-01,7.82,8.00,7.82,7.97,4400,7.945848
2015-09-30,7.90,7.90,7.90,7.90,1100,7.876061
2015-09-29,7.84,7.90,7.84,7.90,500,7.876061
2015-09-28,7.82,7.90,7.80,7.90,3400,7.876061
2015-09-25,7.81,7.81,7.81,7.81,100,7.786333
2015-09-24,7.95,7.95,7.95,7.95,000,7.925909
2015-09-23,7.95,7.95,7.95,7.95,700,7.925909
2015-09-22,7.78,7.95,7.78,7.95,2900,7.925909
2015-09-21,7.90,7.94,7.89,7.90,1900,7.876061
2015-09-18,7.92,7.92,7.83,7.90,1500,7.876061
2015-09-17,7.80,7.92,7.80,7.92,1900,7.896
2015-09-16,7.79,7.86,7.79,7.85,3000,7.826212
2015-09-15,7.61,7.85,7.61,7.85,5800,7.826212
2015-09-14,7.79,7.84,7.59,7.67,13200,7.646758
2015-09-11,7.76,7.92,7.76,7.85,500,7.826212
2015-09-10,7.75,7.91,7.75,7.87,400,7.846151
2015-09-09,7.77,7.89,7.77,7.89,600,7.866091
