Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.27,18.27,18.27,18.27,000,18.27
2016-01-21,18.27,18.27,18.27,18.27,300,18.27
2016-01-20,18.129999,18.129999,17.969999,17.969999,300,17.889999
2016-01-19,18.780001,18.780001,18.49,18.51,1200,18.427596
2016-01-15,18.639999,18.780001,18.639999,18.780001,1000,18.696395
2016-01-14,19.07,19.07,19.07,19.07,100,18.985103
2016-01-13,19.10,19.10,19.10,19.10,200,19.01497
2016-01-12,19.10,19.10,19.10,19.10,000,19.01497
2016-01-11,19.059999,19.10,19.059999,19.10,400,19.01497
2016-01-08,19.309999,19.309999,19.309999,19.309999,2500,19.224034
2016-01-07,19.40,19.40,19.09,19.09,400,19.005014
2016-01-06,19.65,19.65,19.559999,19.559999,700,19.472921
2016-01-05,19.780001,19.780001,19.780001,19.780001,500,19.691943
2016-01-04,19.690001,19.690001,19.66,19.66,800,19.572476
2015-12-31,20.07,20.07,20.07,20.07,200,19.980651
2015-12-30,20.209999,20.209999,20.209999,20.209999,100,20.120027
2015-12-29,19.290001,19.290001,19.290001,19.290001,1100,19.204124
2015-12-28,20.17,20.17,20.15,20.15,500,20.060294
2015-12-24,20.27,20.27,20.27,20.27,000,20.179761
2015-12-23,20.27,20.27,20.27,20.27,400,20.179761
2015-12-22,19.940001,20.01,19.940001,20.00,1300,19.831319
2015-12-21,20.040001,20.040001,20.040001,20.040001,000,19.870982
2015-12-18,20.040001,20.040001,20.040001,20.040001,000,19.870982
2015-12-17,20.16,20.16,20.040001,20.040001,2000,19.870982
2015-12-16,20.15,20.15,20.15,20.15,000,19.980053
2015-12-15,20.34,20.34,20.110001,20.15,900,19.980053
2015-12-14,19.92,19.92,19.92,19.92,300,19.751994
2015-12-11,20.110001,20.110001,20.00,20.00,1200,19.831319
2015-12-10,20.120001,20.15,20.120001,20.15,1000,19.980053
2015-12-09,20.360001,20.360001,20.360001,20.360001,000,20.188283
2015-12-08,20.35,20.360001,20.35,20.360001,500,20.188283
2015-12-07,20.790001,20.790001,20.15,20.15,1500,19.980053
2015-12-04,20.200001,20.200001,20.200001,20.200001,000,20.029633
2015-12-03,20.200001,20.200001,20.200001,20.200001,1000,20.029633
2015-12-02,20.450001,20.450001,20.450001,20.450001,000,20.277524
2015-12-01,20.309999,20.450001,20.309999,20.450001,1700,20.277524
2015-11-30,20.43,20.43,20.43,20.43,000,20.257693
2015-11-27,20.43,20.43,20.43,20.43,000,20.257693
2015-11-25,20.43,20.43,20.43,20.43,300,20.257693
2015-11-24,19.32,21.24,19.32,21.24,600,21.06086
2015-11-23,20.370001,20.41,20.280001,20.41,600,20.237861
2015-11-20,20.41,20.42,20.370001,20.370001,10100,20.198199
2015-11-19,20.23,20.360001,20.23,20.360001,700,20.108958
2015-11-18,20.200001,20.34,20.08,20.34,3700,20.089204
2015-11-17,20.17,20.23,20.17,20.190001,1000,19.941054
2015-11-16,20.10,20.10,20.10,20.10,000,19.852164
2015-11-13,20.10,20.10,20.10,20.10,000,19.852164
2015-11-12,20.10,20.10,20.10,20.10,500,19.852164
2015-11-11,20.24,20.24,20.24,20.24,000,19.990437
2015-11-10,20.18,20.280001,20.18,20.24,700,19.990437
2015-11-09,20.15,20.15,20.15,20.15,400,19.901547
2015-11-06,20.360001,20.360001,20.309999,20.309999,200,20.059574
2015-11-05,21.23,21.23,20.34,20.34,700,20.089204
2015-11-04,20.40,20.40,20.40,20.40,000,20.148464
2015-11-03,20.379999,20.450001,20.33,20.40,800,20.148464
2015-11-02,20.299999,20.299999,20.299999,20.299999,900,20.049697
2015-10-30,19.98,20.16,19.98,20.16,300,19.911424
2015-10-29,20.07,20.139999,20.07,20.110001,500,19.862041
2015-10-28,19.92,20.120001,19.92,20.01,3300,19.763273
2015-10-27,20.07,20.07,19.93,20.02,500,19.77315
2015-10-26,20.09,20.110001,20.09,20.09,1500,19.842287
2015-10-23,20.15,20.17,20.02,20.17,1700,19.9213
2015-10-22,19.950001,19.969999,19.950001,19.959999,2800,19.713889
2015-10-21,19.870001,19.870001,19.870001,19.870001,000,19.625
2015-10-20,19.83,19.870001,19.76,19.870001,19500,19.545987
2015-10-19,19.85,19.85,19.85,19.85,000,19.526312
2015-10-16,19.799999,19.85,19.799999,19.85,800,19.526312
2015-10-15,19.780001,19.879999,19.629999,19.879999,3800,19.555822
2015-10-14,19.58,19.59,19.58,19.59,400,19.270552
2015-10-13,20.02,20.02,19.860001,19.860001,4000,19.53615
2015-10-12,19.93,19.99,19.93,19.940001,800,19.614845
2015-10-09,19.92,19.92,19.76,19.76,500,19.43778
2015-10-08,19.77,19.77,19.77,19.77,200,19.447617
2015-10-07,19.60,19.75,19.57,19.700001,1100,19.378759
2015-10-06,19.700001,19.700001,19.700001,19.700001,100,19.378759
2015-10-05,19.59,19.620001,19.530001,19.57,3400,19.250878
2015-10-02,19.190001,19.190001,19.190001,19.190001,800,18.877075
2015-10-01,19.110001,19.120001,19.00,19.059999,1300,18.749194
2015-09-30,19.059999,19.059999,19.059999,19.059999,000,18.749194
2015-09-29,19.059999,19.059999,19.059999,19.059999,000,18.749194
2015-09-28,19.059999,19.059999,19.059999,19.059999,300,18.749194
2015-09-25,19.34,19.450001,19.200001,19.200001,2800,18.886912
2015-09-24,19.18,19.18,19.18,19.18,5000,18.867238
2015-09-23,19.389999,19.389999,19.389999,19.389999,500,19.073813
2015-09-22,19.50,19.50,19.32,19.40,1800,19.004953
2015-09-21,19.870001,19.870001,19.60,19.65,1800,19.249863
2015-09-18,20.00,20.00,19.51,19.51,2900,19.112714
2015-09-17,21.51,21.51,21.51,21.51,000,21.071988
2015-09-16,21.51,21.51,21.51,21.51,600,21.071988
2015-09-15,20.49,20.49,20.49,20.49,900,20.072758
2015-09-14,20.27,20.27,20.27,20.27,500,19.857238
2015-09-11,20.389999,20.389999,20.27,20.27,3000,19.857238
2015-09-10,20.08,20.08,19.60,19.60,7600,19.200881
2015-09-09,19.50,19.85,19.50,19.65,400,19.249863
2015-09-08,19.27,19.469999,19.27,19.469999,900,19.073528
2015-09-04,19.23,19.23,19.08,19.16,3300,18.769841
2015-09-03,19.290001,19.290001,19.290001,19.290001,100,18.897195
2015-09-02,19.389999,19.389999,19.09,19.23,1600,18.838415
2015-09-01,18.940001,18.940001,18.940001,18.940001,200,18.554321
2015-08-31,19.93,19.93,19.41,19.52,1500,19.122511
