Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,4.09,4.36,4.08,4.36,23209200,4.36
2016-01-21,4.01,4.10,3.90,4.00,29600400,4.00
2016-01-20,4.10,4.15,3.81,3.94,28261600,3.94
2016-01-19,4.28,4.32,4.16,4.18,15659700,4.18
2016-01-15,4.22,4.26,4.11,4.24,24824700,4.24
2016-01-14,4.20,4.37,3.96,4.37,23111000,4.37
2016-01-13,4.40,4.43,4.13,4.17,27519100,4.17
2016-01-12,4.56,4.57,4.37,4.38,17140800,4.38
2016-01-11,4.68,4.72,4.47,4.51,14505800,4.51
2016-01-08,4.74,4.77,4.64,4.67,13846800,4.67
2016-01-07,4.72,4.79,4.68,4.69,12468000,4.69
2016-01-06,4.66,4.78,4.64,4.76,12389600,4.76
2016-01-05,4.63,4.74,4.61,4.72,6858600,4.72
2016-01-04,4.60,4.72,4.57,4.65,9378300,4.65
2015-12-31,4.71,4.72,4.63,4.67,9651700,4.67
2015-12-30,4.79,4.82,4.65,4.66,11903100,4.66
2015-12-29,4.86,4.90,4.78,4.82,8068400,4.82
2015-12-28,4.83,4.88,4.77,4.85,8010100,4.85
2015-12-24,4.86,4.90,4.83,4.86,4937200,4.86
2015-12-23,4.69,4.86,4.68,4.85,16936200,4.85
2015-12-22,4.63,4.65,4.54,4.65,13839800,4.65
2015-12-21,4.69,4.72,4.59,4.64,12131700,4.64
2015-12-18,4.76,4.81,4.55,4.64,36570400,4.64
2015-12-17,4.73,4.89,4.73,4.79,13894200,4.79
2015-12-16,4.57,4.80,4.55,4.74,19253700,4.74
2015-12-15,4.52,4.61,4.44,4.52,17821100,4.52
2015-12-14,4.57,4.63,4.48,4.50,20631700,4.50
2015-12-11,4.71,4.78,4.55,4.57,19043300,4.57
2015-12-10,4.94,4.96,4.86,4.88,14090900,4.775
2015-12-09,4.95,5.02,4.89,4.92,12212700,4.814139
2015-12-08,5.03,5.08,4.92,4.95,14036700,4.843494
2015-12-07,5.08,5.09,4.98,5.06,9142100,4.951127
2015-12-04,5.03,5.10,5.01,5.10,9986700,4.990266
2015-12-03,5.02,5.07,4.93,5.01,10626900,4.902203
2015-12-02,5.09,5.15,4.99,4.99,11413800,4.882633
2015-12-01,4.99,5.10,4.98,5.08,10976100,4.970697
2015-11-30,5.00,5.02,4.95,4.99,10855000,4.882633
2015-11-27,4.91,5.00,4.90,4.96,3774700,4.853279
2015-11-25,4.89,4.92,4.86,4.90,4933400,4.79457
2015-11-24,4.95,5.01,4.88,4.90,13006300,4.79457
2015-11-23,4.92,5.06,4.90,4.96,11499100,4.853279
2015-11-20,4.99,4.99,4.90,4.92,7442100,4.814139
2015-11-19,4.89,4.96,4.86,4.96,10563700,4.853279
2015-11-18,4.77,4.87,4.77,4.87,8589500,4.765215
2015-11-17,4.75,4.85,4.68,4.78,10286600,4.677152
2015-11-16,4.64,4.76,4.61,4.76,7899300,4.657582
2015-11-13,4.69,4.76,4.62,4.64,10823900,4.540164
2015-11-12,4.69,4.76,4.66,4.71,11185700,4.608658
2015-11-11,4.75,4.81,4.67,4.69,9772600,4.589088
2015-11-10,4.80,4.89,4.71,4.74,15749200,4.638012
2015-11-09,4.66,4.87,4.64,4.84,18816600,4.735861
2015-11-06,4.71,4.74,4.61,4.65,13021700,4.549949
2015-11-05,4.81,4.81,4.61,4.71,25925200,4.608658
2015-11-04,4.90,4.90,4.76,4.78,25263700,4.677152
2015-11-03,5.01,5.04,4.80,4.81,53482300,4.706506
2015-11-02,5.11,5.21,5.02,5.16,22999100,5.048975
2015-10-30,5.17,5.19,5.07,5.14,10568800,5.029406
2015-10-29,5.25,5.28,5.15,5.15,16872500,5.039191
2015-10-28,5.22,5.35,5.21,5.28,13263900,5.166394
2015-10-27,5.34,5.40,5.21,5.24,12966400,5.127254
2015-10-26,5.39,5.47,5.34,5.38,16761700,5.264242
2015-10-23,5.43,5.47,5.37,5.40,8915700,5.283812
2015-10-22,5.34,5.44,5.30,5.42,12068000,5.303381
2015-10-21,5.35,5.37,5.28,5.29,7523700,5.176178
2015-10-20,5.26,5.39,5.22,5.32,11435800,5.205533
2015-10-19,5.18,5.27,5.18,5.25,8755300,5.137039
2015-10-16,5.35,5.37,5.09,5.22,19771400,5.107684
2015-10-15,5.13,5.33,5.10,5.32,9574500,5.205533
2015-10-14,5.13,5.23,5.07,5.10,11489200,4.990266
2015-10-13,5.13,5.25,5.10,5.15,11651300,5.039191
2015-10-12,5.20,5.21,5.05,5.11,12827300,5.000051
2015-10-09,5.42,5.46,5.14,5.18,16746200,5.068545
2015-10-08,5.32,5.42,5.27,5.41,12914500,5.293596
2015-10-07,5.17,5.38,5.14,5.38,20287500,5.264242
2015-10-06,5.13,5.20,5.10,5.12,15797100,5.009836
2015-10-05,4.90,5.13,4.90,5.13,19660000,5.019621
2015-10-02,4.66,4.90,4.63,4.88,21700500,4.775
2015-10-01,4.78,4.81,4.67,4.72,16495800,4.618442
2015-09-30,4.81,4.82,4.70,4.75,18204500,4.647797
2015-09-29,4.73,4.82,4.64,4.68,18488800,4.579303
2015-09-28,4.99,5.00,4.72,4.73,22501500,4.628228
2015-09-25,4.85,5.11,4.85,5.00,28553200,4.892418
2015-09-24,4.81,4.88,4.77,4.83,11394600,4.726076
2015-09-23,4.88,4.93,4.85,4.85,12177000,4.745645
2015-09-22,4.84,4.91,4.78,4.80,22052300,4.696722
2015-09-21,5.01,5.09,4.90,4.94,18362000,4.833709
2015-09-18,5.16,5.20,4.98,4.99,28623500,4.882633
2015-09-17,5.15,5.24,5.01,5.20,22053100,5.088115
2015-09-16,5.25,5.36,5.13,5.18,26762000,5.068545
2015-09-15,5.22,5.36,5.19,5.32,17648000,5.205533
2015-09-14,5.31,5.32,5.11,5.22,25536000,5.107684
2015-09-11,5.40,5.46,5.12,5.32,37666600,5.205533
2015-09-10,5.45,5.57,5.39,5.51,28076000,5.288704
2015-09-09,5.49,5.56,5.43,5.45,20366600,5.231114
2015-09-08,5.49,5.49,5.32,5.44,17850600,5.221515
2015-09-04,5.46,5.49,5.35,5.39,15239900,5.173523
2015-09-03,5.28,5.58,5.26,5.52,35321300,5.298302
2015-09-02,5.12,5.28,5.07,5.21,23985900,5.000753
2015-09-01,4.98,5.07,4.92,5.04,19133900,4.83758
2015-08-31,5.02,5.11,5.00,5.07,16846200,4.866376
2015-08-28,4.90,5.11,4.87,5.08,17162400,4.875974
2015-08-27,4.92,4.99,4.82,4.93,26198900,4.731998
2015-08-26,4.99,5.03,4.73,4.84,31202000,4.645613
2015-08-25,5.06,5.10,4.92,4.92,20320500,4.7224
2015-08-24,4.96,4.98,4.57,4.91,22473600,4.712801
2015-08-21,5.22,5.27,5.09,5.15,29566200,4.943163
2015-08-20,5.29,5.33,5.21,5.26,21592100,5.048745
2015-08-19,5.40,5.45,5.28,5.36,22027400,5.144728
2015-08-18,5.61,5.61,5.41,5.42,17277700,5.202319
2015-08-17,5.45,5.64,5.40,5.61,18083100,5.384688
2015-08-14,5.38,5.51,5.37,5.49,15453700,5.269507
2015-08-13,5.43,5.46,5.34,5.35,12451800,5.13513
2015-08-12,5.28,5.44,5.21,5.42,22775000,5.202319
2015-08-11,5.31,5.39,5.30,5.34,12710400,5.125532
2015-08-10,5.22,5.38,5.19,5.33,24596300,5.115933
2015-08-07,5.09,5.24,5.09,5.17,26358400,4.962359
2015-08-06,5.10,5.15,5.00,5.13,20696100,4.923966
2015-08-05,5.28,5.29,5.10,5.11,24617500,4.904769
2015-08-04,5.21,5.26,5.13,5.25,34015300,5.039146
2015-08-03,5.07,5.19,4.94,5.15,57120800,4.943163
2015-07-31,4.61,4.80,4.61,4.72,32936800,4.530432
2015-07-30,4.67,4.70,4.60,4.63,10248900,4.444047
2015-07-29,4.61,4.69,4.53,4.68,12442800,4.492039
2015-07-28,4.57,4.65,4.44,4.61,20123100,4.42485
2015-07-27,4.52,4.63,4.19,4.59,25024200,4.405654
2015-07-24,4.78,4.80,4.52,4.54,26144700,4.357662
2015-07-23,4.78,4.82,4.75,4.77,10214900,4.578424
2015-07-22,4.87,4.90,4.78,4.79,17031400,4.597621
2015-07-21,5.01,5.02,4.86,4.87,24297600,4.674408
2015-07-20,5.17,5.17,4.96,5.01,27376100,4.808785
2015-07-17,5.03,5.31,5.02,5.14,41797800,4.933564
2015-07-16,4.97,5.04,4.89,5.03,25962900,4.827982
2015-07-15,4.92,4.93,4.85,4.88,17538500,4.684007
2015-07-14,4.98,5.00,4.90,4.93,18880500,4.731998
2015-07-13,4.93,5.00,4.90,4.98,16262000,4.77999
2015-07-10,4.85,4.90,4.83,4.90,13331400,4.703203
2015-07-09,4.86,4.88,4.79,4.81,24995300,4.616818
2015-07-08,4.85,4.88,4.80,4.83,16293500,4.636014
2015-07-07,4.92,4.93,4.80,4.88,24315500,4.684007
2015-07-06,4.82,4.95,4.81,4.92,36948500,4.7224
2015-07-02,4.98,4.98,4.84,4.85,18450500,4.655211
2015-07-01,5.00,5.00,4.91,4.95,21374700,4.751195
2015-06-30,5.02,5.02,4.93,4.95,27002700,4.751195
2015-06-29,4.99,5.04,4.91,4.93,28163700,4.731998
2015-06-26,5.08,5.08,5.01,5.01,23194400,4.808785
2015-06-25,5.12,5.12,5.03,5.08,16998200,4.875974
2015-06-24,5.10,5.12,5.00,5.07,19929800,4.866376
2015-06-23,5.04,5.13,5.03,5.09,21570400,4.885572
2015-06-22,5.03,5.06,4.97,5.02,17741500,4.818384
2015-06-19,4.98,5.05,4.97,5.03,40784200,4.827982
2015-06-18,5.00,5.02,4.98,5.00,16583800,4.799187
2015-06-17,5.02,5.03,4.95,4.98,19070200,4.77999
2015-06-16,4.97,5.02,4.93,4.97,27955600,4.770392
2015-06-15,4.95,4.96,4.86,4.88,27438000,4.684007
2015-06-12,4.99,5.03,4.95,4.96,21226900,4.760793
2015-06-11,5.01,5.02,4.96,5.01,25697800,4.808785
2015-06-10,5.05,5.05,4.94,4.98,30980300,4.77999
2015-06-09,5.03,5.06,4.93,4.96,52552400,4.760793
2015-06-08,5.05,5.10,4.99,5.03,63628100,4.827982
2015-06-05,5.07,5.13,4.96,4.97,223165600,4.770392
2015-06-04,5.36,5.36,5.00,5.00,85033400,4.799187
2015-06-03,5.23,5.52,5.23,5.38,57767300,5.163925
2015-06-02,5.07,5.23,5.06,5.16,31492600,4.952761
2015-06-01,5.19,5.19,5.05,5.08,12207900,4.875974
2015-05-29,5.18,5.20,5.03,5.15,21994100,4.943163
2015-05-28,5.30,5.36,5.17,5.17,14017900,4.962359
2015-05-27,5.18,5.36,5.04,5.28,39374000,5.067942
2015-05-26,5.10,5.15,4.90,4.92,20103200,4.7224
2015-05-22,5.34,5.39,5.14,5.16,20584400,4.851978
2015-05-21,5.37,5.42,5.31,5.34,10731800,5.021233
2015-05-20,5.40,5.43,5.32,5.34,12991300,5.021233
2015-05-19,5.56,5.58,5.34,5.38,18677800,5.058845
2015-05-18,5.65,5.68,5.54,5.56,13695500,5.2281
2015-05-15,5.43,5.65,5.43,5.64,14050700,5.303324
2015-05-14,5.48,5.50,5.33,5.42,18443900,5.096457
2015-05-13,5.74,5.76,5.44,5.46,31382100,5.13407
2015-05-12,5.80,5.84,5.68,5.70,14082900,5.359743
2015-05-11,5.98,6.00,5.84,5.84,22028900,5.491386
2015-05-08,6.00,6.04,5.97,6.00,8202300,5.641835
2015-05-07,6.03,6.04,5.90,5.95,13640300,5.594819
2015-05-06,6.40,6.55,5.93,5.94,39534100,5.585416
2015-05-05,6.81,6.87,6.71,6.74,10247900,6.337661
2015-05-04,6.90,6.90,6.81,6.87,5394600,6.459901
2015-05-01,6.91,6.91,6.80,6.86,7079000,6.450498
2015-04-30,6.87,6.91,6.81,6.86,8506700,6.450498
2015-04-29,7.00,7.04,6.89,6.91,5372300,6.497513
2015-04-28,6.87,7.02,6.73,7.02,7715400,6.600946
2015-04-27,7.05,7.05,6.87,6.87,7001800,6.459901
2015-04-24,7.07,7.13,7.01,7.03,4494300,6.61035
2015-04-23,7.09,7.17,7.07,7.07,8227200,6.647962
2015-04-22,7.06,7.11,7.03,7.10,3987400,6.676171
2015-04-21,7.04,7.12,7.02,7.06,3273500,6.638559
2015-04-20,7.05,7.09,7.00,7.04,5822000,6.619753
2015-04-17,7.08,7.12,7.01,7.02,8001500,6.600946
2015-04-16,7.22,7.24,7.11,7.15,6621400,6.723186
2015-04-15,7.32,7.35,7.22,7.25,8044600,6.817217
2015-04-14,7.30,7.37,7.28,7.31,4741000,6.873635
2015-04-13,7.41,7.43,7.33,7.33,4582000,6.892441
2015-04-10,7.28,7.50,7.28,7.43,11179300,6.986472
2015-04-09,7.31,7.44,7.24,7.33,15611400,6.892441
2015-04-08,7.34,7.39,7.24,7.27,8385700,6.836023
2015-04-07,7.40,7.45,7.25,7.25,4990200,6.817217
2015-04-06,7.31,7.35,7.26,7.33,7256500,6.892441
2015-04-02,7.29,7.40,7.27,7.32,5927500,6.883038
2015-04-01,7.11,7.30,6.92,7.29,11612300,6.854829
2015-03-31,7.33,7.41,7.05,7.05,13123700,6.629156
2015-03-30,7.32,7.38,7.27,7.32,4482200,6.883038
2015-03-27,7.27,7.34,7.22,7.32,5543100,6.883038
2015-03-26,7.29,7.38,7.28,7.28,6468000,6.845426
2015-03-25,7.41,7.45,7.29,7.29,6625600,6.854829
2015-03-24,7.40,7.44,7.37,7.39,5469300,6.94886
2015-03-23,7.40,7.50,7.36,7.40,7435700,6.958263
2015-03-20,7.40,7.47,7.39,7.39,15003900,6.94886
2015-03-19,7.50,7.56,7.35,7.39,8216400,6.94886
2015-03-18,7.33,7.60,7.32,7.52,10741200,7.071099
2015-03-17,7.30,7.43,7.30,7.39,8816700,6.94886
2015-03-16,7.29,7.36,7.27,7.36,10511300,6.920651
2015-03-13,7.31,7.38,7.27,7.28,17359600,6.845426
2015-03-12,7.42,7.47,7.33,7.36,9792700,6.920651
2015-03-11,7.29,7.44,7.25,7.36,12106500,6.920651
