Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,4.96,5.08,4.89,5.05,74300,5.05
2016-01-21,4.88,5.00,4.75,4.92,63500,4.92
2016-01-20,4.91,5.01,4.66,4.90,210600,4.90
2016-01-19,5.14,5.14,4.99,5.00,87000,5.00
2016-01-15,5.05,5.10,5.01,5.09,64200,5.09
2016-01-14,5.21,5.23,5.18,5.19,107200,5.19
2016-01-13,5.32,5.34,5.16,5.21,102300,5.21
2016-01-12,5.36,5.36,5.25,5.35,70600,5.35
2016-01-11,5.44,5.44,5.22,5.31,93300,5.31
2016-01-08,5.53,5.53,5.40,5.43,55100,5.43
2016-01-07,5.56,5.56,5.47,5.48,90300,5.48
2016-01-06,5.62,5.66,5.58,5.61,30900,5.61
2016-01-05,5.65,5.72,5.65,5.72,34500,5.72
2016-01-04,5.71,5.71,5.62,5.66,75900,5.66
2015-12-31,5.77,5.82,5.71,5.80,64400,5.80
2015-12-30,5.80,5.83,5.79,5.79,58500,5.79
2015-12-29,5.80,5.85,5.78,5.83,114900,5.83
2015-12-28,5.85,5.85,5.77,5.83,19700,5.83
2015-12-24,5.81,5.87,5.80,5.87,44800,5.87
2015-12-23,5.74,5.84,5.74,5.81,20000,5.81
2015-12-22,5.67,5.73,5.67,5.73,47400,5.73
2015-12-21,5.65,5.69,5.63,5.69,158300,5.69
2015-12-18,5.64,5.64,5.60,5.62,82000,5.62
2015-12-17,5.69,5.69,5.62,5.63,136100,5.63
2015-12-16,5.58,5.67,5.55,5.67,187700,5.67
2015-12-15,5.59,5.63,5.55,5.56,365300,5.56
2015-12-14,5.62,5.66,5.52,5.54,169900,5.54
2015-12-11,5.75,5.80,5.61,5.65,249200,5.65
2015-12-10,5.87,5.96,5.87,5.91,87000,5.79
2015-12-09,5.98,6.00,5.89,5.90,23800,5.780203
2015-12-08,5.98,5.98,5.91,5.95,55400,5.829188
2015-12-07,6.08,6.08,5.97,6.00,58300,5.878173
2015-12-04,6.03,6.10,6.02,6.06,35200,5.936954
2015-12-03,6.07,6.07,6.00,6.01,27800,5.88797
2015-12-02,6.14,6.14,6.06,6.06,40000,5.936954
2015-12-01,6.13,6.15,6.06,6.12,54400,5.995736
2015-11-30,6.14,6.14,6.06,6.09,23600,5.966345
2015-11-27,6.13,6.13,6.07,6.09,3200,5.966345
2015-11-25,6.06,6.12,6.03,6.09,45800,5.966345
2015-11-24,6.00,6.07,5.99,6.06,58600,5.936954
2015-11-23,6.04,6.08,6.01,6.04,52400,5.91736
2015-11-20,6.06,6.11,6.03,6.07,44400,5.946751
2015-11-19,6.03,6.07,5.99,6.04,22100,5.91736
2015-11-18,5.98,6.05,5.96,6.03,87900,5.907564
2015-11-17,5.98,6.02,5.98,5.98,30000,5.858579
2015-11-16,5.97,6.01,5.95,6.01,54600,5.88797
2015-11-13,5.99,6.01,5.91,5.95,109900,5.829188
2015-11-12,6.11,6.11,5.98,6.02,82200,5.897767
2015-11-11,6.25,6.26,6.10,6.11,67400,5.985939
2015-11-10,6.17,6.25,6.17,6.25,74300,6.123096
2015-11-09,6.31,6.33,6.19,6.20,147900,6.074112
2015-11-06,6.39,6.39,6.30,6.37,101400,6.24066
2015-11-05,6.39,6.41,6.35,6.38,64100,6.250457
2015-11-04,6.37,6.40,6.32,6.35,187500,6.221066
2015-11-03,6.25,6.39,6.25,6.36,44900,6.230863
2015-11-02,6.24,6.32,6.15,6.29,44900,6.162284
2015-10-30,6.21,6.23,6.17,6.20,101400,6.074112
2015-10-29,6.27,6.30,6.21,6.21,86000,6.083909
2015-10-28,6.20,6.33,6.20,6.32,61400,6.191675
2015-10-27,6.30,6.30,6.19,6.21,58800,6.083909
2015-10-26,6.43,6.45,6.34,6.34,76900,6.211269
2015-10-23,6.47,6.47,6.39,6.47,38000,6.338629
2015-10-22,6.39,6.42,6.34,6.41,26800,6.279848
2015-10-21,6.35,6.38,6.31,6.31,39800,6.181878
2015-10-20,6.33,6.36,6.30,6.32,25100,6.191675
2015-10-19,6.35,6.35,6.24,6.30,43300,6.172081
2015-10-16,6.30,6.35,6.30,6.33,33100,6.201472
2015-10-15,6.27,6.35,6.27,6.35,11600,6.221066
2015-10-14,6.27,6.30,6.26,6.26,10700,6.132894
2015-10-13,6.32,6.34,6.28,6.30,15000,6.172081
2015-10-12,6.34,6.35,6.31,6.34,15400,6.211269
2015-10-09,6.32,6.35,6.28,6.33,33300,6.201472
2015-10-08,6.22,6.31,6.22,6.30,29300,6.172081
2015-10-07,6.23,6.26,6.20,6.24,17900,6.113299
2015-10-06,6.07,6.18,6.04,6.18,29700,6.054518
2015-10-05,6.02,6.11,5.98,6.09,34600,5.966345
2015-10-02,5.85,6.01,5.81,5.97,45200,5.848782
2015-10-01,5.94,5.94,5.86,5.88,11800,5.760609
2015-09-30,5.86,5.95,5.84,5.91,41300,5.79
2015-09-29,5.81,5.86,5.75,5.85,60700,5.731218
2015-09-28,5.98,5.98,5.79,5.82,58900,5.701828
2015-09-25,6.02,6.09,5.97,5.97,28800,5.848782
2015-09-24,6.00,6.02,5.91,6.00,109300,5.878173
2015-09-23,5.98,6.09,5.98,6.02,197800,5.897767
2015-09-22,6.10,6.10,6.00,6.02,42700,5.897767
2015-09-21,6.13,6.16,6.11,6.13,33700,6.005533
2015-09-18,6.17,6.18,6.11,6.13,45800,6.005533
2015-09-17,6.20,6.27,6.17,6.19,31000,6.064315
2015-09-16,6.15,6.21,6.13,6.19,17600,6.064315
2015-09-15,6.12,6.16,6.06,6.13,66600,6.005533
2015-09-14,6.12,6.12,6.07,6.09,10800,5.966345
2015-09-11,6.13,6.13,6.09,6.12,12200,5.995736
2015-09-10,6.23,6.24,6.19,6.22,16000,5.995736
2015-09-09,6.32,6.32,6.23,6.23,7800,6.005375
2015-09-08,6.19,6.27,6.19,6.27,13200,6.043933
2015-09-04,6.21,6.30,6.13,6.13,96600,5.908981
2015-09-03,6.28,6.37,6.26,6.26,16700,6.034294
2015-09-02,6.21,6.23,6.15,6.23,20400,6.005375
2015-09-01,6.28,6.28,6.17,6.17,28200,5.947539
2015-08-31,6.31,6.38,6.29,6.33,18500,6.10177
2015-08-28,6.25,6.38,6.24,6.31,41400,6.082491
2015-08-27,6.20,6.27,6.16,6.24,54200,6.015015
2015-08-26,6.10,6.10,5.97,6.09,42000,5.870423
2015-08-25,6.08,6.18,6.00,6.03,119200,5.812587
2015-08-24,5.99,6.06,5.30,5.95,178200,5.735471
2015-08-21,6.28,6.31,6.20,6.20,36300,5.976457
2015-08-20,6.44,6.44,6.33,6.34,34400,6.111409
2015-08-19,6.51,6.52,6.47,6.47,48800,6.236722
2015-08-18,6.56,6.56,6.54,6.54,14000,6.304198
2015-08-17,6.53,6.59,6.52,6.59,12200,6.352396
2015-08-14,6.53,6.59,6.53,6.57,20000,6.333117
2015-08-13,6.55,6.58,6.55,6.56,21000,6.323477
2015-08-12,6.50,6.57,6.50,6.56,17200,6.323477
2015-08-11,6.55,6.58,6.55,6.57,39700,6.333117
2015-08-10,6.58,6.61,6.56,6.61,16900,6.371674
2015-08-07,6.54,6.60,6.51,6.51,51800,6.27528
2015-08-06,6.63,6.63,6.57,6.57,16800,6.333117
2015-08-05,6.63,6.71,6.61,6.63,42200,6.390953
2015-08-04,6.60,6.62,6.58,6.61,12500,6.371674
2015-08-03,6.63,6.66,6.60,6.62,28500,6.381314
2015-07-31,6.63,6.68,6.62,6.65,47600,6.410232
2015-07-30,6.62,6.63,6.54,6.62,39500,6.381314
2015-07-29,6.59,6.65,6.59,6.62,33800,6.381314
2015-07-28,6.60,6.63,6.54,6.62,88800,6.381314
2015-07-27,6.61,6.62,6.53,6.57,27600,6.333117
2015-07-24,6.79,6.79,6.59,6.67,71000,6.429511
2015-07-23,6.77,6.82,6.73,6.74,246300,6.496987
2015-07-22,6.73,6.80,6.67,6.80,31500,6.554824
2015-07-21,6.84,6.84,6.74,6.75,43400,6.506627
2015-07-20,6.91,6.92,6.83,6.83,28500,6.583742
